,Date,Time,ms,LEVEL,TEMPERATURE,DT,Rate of Change
1125,6/10/2019,7:30:00 AM,0,8.5417,11.177,2019-06-10 07:30:00,0.0012000000000000454
1126,6/10/2019,7:40:00 AM,0,8.5411,11.165,2019-06-10 07:40:00,0.0009999999999999788
1127,6/10/2019,7:50:00 AM,0,8.541,11.155,2019-06-10 07:50:00,0.0008999999999998564
1128,6/10/2019,8:00:00 AM,0,8.5414,11.146,2019-06-10 08:00:00,0.000700000000000145
1129,6/10/2019,8:10:00 AM,0,8.5417,11.139,2019-06-10 08:10:00,0.00030000000000001136
1130,6/10/2019,8:20:00 AM,0,8.5425,11.136,2019-06-10 08:20:00,0.0002000000000000668
1131,6/10/2019,8:30:00 AM,0,8.542,11.138,2019-06-10 08:30:00,0.0008000000000000895
1132,6/10/2019,8:40:00 AM,0,8.542,11.146,2019-06-10 08:40:00,0.00030000000000001136
1133,6/10/2019,8:50:00 AM,0,8.5422,11.143,2019-06-10 08:50:00,0.000700000000000145
1134,6/10/2019,9:00:00 AM,0,8.5413,11.136,2019-06-10 09:00:00,0.00039999999999995595
1135,6/10/2019,9:10:00 AM,0,8.5412,11.132,2019-06-10 09:10:00,0.0002000000000000668
1136,6/10/2019,9:20:00 AM,0,8.5409,11.134,2019-06-10 09:20:00,0.0004999999999999005
1137,6/10/2019,9:30:00 AM,0,8.5411,11.139,2019-06-10 09:30:00,0.000700000000000145
1138,6/10/2019,9:40:00 AM,0,8.5405,11.146,2019-06-10 09:40:00,0.0006999999999999674
1139,6/10/2019,9:50:00 AM,0,8.5401,11.153,2019-06-10 09:50:00,0.0006999999999999674
1140,6/10/2019,10:00:00 AM,0,8.5398,11.16,2019-06-10 10:00:00,0.0006000000000000227
1141,6/10/2019,10:10:00 AM,0,8.5393,11.166,2019-06-10 10:10:00,0.00039999999999995595
1142,6/10/2019,10:20:00 AM,0,8.5389,11.17,2019-06-10 10:20:00,0.0002000000000000668
1143,6/10/2019,10:30:00 AM,0,8.5387,11.172,2019-06-10 10:30:00,0.00030000000000001136
1144,6/10/2019,10:40:00 AM,0,8.5378,11.175,2019-06-10 10:40:00,9.999999999994457e-05
1145,6/10/2019,10:50:00 AM,0,8.5378,11.176,2019-06-10 10:50:00,0.0
1146,6/10/2019,11:00:00 AM,0,8.5379,11.176,2019-06-10 11:00:00,0.0
1147,6/10/2019,11:10:00 AM,0,8.5379,11.176,2019-06-10 11:10:00,9.999999999994457e-05
1148,6/10/2019,11:20:00 AM,0,8.5377,11.175,2019-06-10 11:20:00,0.0
1149,6/10/2019,11:30:00 AM,0,8.5368,11.175,2019-06-10 11:30:00,0.0002000000000000668
