,Date,Time,ms,LEVEL,TEMPERATURE,DT,Rate of Change
14,7/25/2018,02:50:00 pm,0,8.2729,11.518,2018-07-25 14:50:00,0.0010000000000001564
15,7/25/2018,03:00:00 pm,0,8.2719,11.508,2018-07-25 15:00:00,0.0005999999999998451
16,7/25/2018,03:10:00 pm,0,8.2723,11.502,2018-07-25 15:10:00,0.0005000000000000782
17,7/25/2018,03:20:00 pm,0,8.2712,11.497,2018-07-25 15:20:00,0.00030000000000001136
18,7/25/2018,03:30:00 pm,0,8.2709,11.494,2018-07-25 15:30:00,0.00019999999999988915
19,7/25/2018,03:40:00 pm,0,8.2698,11.492,2018-07-25 15:40:00,0.0002000000000000668
20,7/25/2018,03:50:00 pm,0,8.2696,11.49,2018-07-25 15:50:00,0.00039999999999995595
21,7/25/2018,04:00:00 pm,0,8.2697,11.486,2018-07-25 16:00:00,0.0002000000000000668
22,7/25/2018,04:10:00 pm,0,8.2687,11.484,2018-07-25 16:10:00,0.0002000000000000668
23,7/25/2018,04:20:00 pm,0,8.2688,11.482,2018-07-25 16:20:00,9.999999999994457e-05
24,7/25/2018,04:30:00 pm,0,8.2679,11.481,2018-07-25 16:30:00,9.999999999994457e-05
25,7/25/2018,04:40:00 pm,0,8.2671,11.48,2018-07-25 16:40:00,0.0002000000000000668
26,7/25/2018,04:50:00 pm,0,8.2674,11.478,2018-07-25 16:50:00,0.0
27,7/25/2018,05:00:00 pm,0,8.2668,11.478,2018-07-25 17:00:00,0.0
28,7/25/2018,05:10:00 pm,0,8.2669,11.478,2018-07-25 17:10:00,0.00019999999999988915
29,7/25/2018,05:20:00 pm,0,8.2671,11.476,2018-07-25 17:20:00,0.00010000000000012221
30,7/25/2018,05:30:00 pm,0,8.2668,11.475,2018-07-25 17:30:00,9.999999999994457e-05
31,7/25/2018,05:40:00 pm,0,8.2664,11.474,2018-07-25 17:40:00,0.0002000000000000668
32,7/25/2018,05:50:00 pm,0,8.2667,11.472,2018-07-25 17:50:00,0.00030000000000001136
33,7/25/2018,06:00:00 pm,0,8.2671,11.469,2018-07-25 18:00:00,0.00019999999999988915
34,7/25/2018,06:10:00 pm,0,8.2673,11.467,2018-07-25 18:10:00,0.00010000000000012221
35,7/25/2018,06:20:00 pm,0,8.2676,11.466,2018-07-25 18:20:00,0.00019999999999988915
36,7/25/2018,06:30:00 pm,0,8.2676,11.464,2018-07-25 18:30:00,0.0002000000000000668
37,7/25/2018,06:40:00 pm,0,8.2673,11.462,2018-07-25 18:40:00,0.0
38,7/25/2018,06:50:00 pm,0,8.2677,11.462,2018-07-25 18:50:00,0.00019999999999988915
39,7/25/2018,07:00:00 pm,0,8.2675,11.46,2018-07-25 19:00:00,0.00010000000000012221
40,7/25/2018,07:10:00 pm,0,8.2677,11.459,2018-07-25 19:10:00,9.999999999994457e-05
41,7/25/2018,07:20:00 pm,0,8.2678,11.458,2018-07-25 19:20:00,9.999999999994457e-05
42,7/25/2018,07:30:00 pm,0,8.2681,11.457,2018-07-25 19:30:00,0.0002000000000000668
43,7/25/2018,07:40:00 pm,0,8.2684,11.455,2018-07-25 19:40:00,0.0
44,7/25/2018,07:50:00 pm,0,8.2694,11.455,2018-07-25 19:50:00,9.999999999994457e-05
45,7/25/2018,08:00:00 pm,0,8.2691,11.454,2018-07-25 20:00:00,0.00010000000000012221
46,7/25/2018,08:10:00 pm,0,8.2701,11.453,2018-07-25 20:10:00,9.999999999994457e-05
47,7/25/2018,08:20:00 pm,0,8.271,11.452,2018-07-25 20:20:00,9.999999999994457e-05
48,7/25/2018,08:30:00 pm,0,8.2713,11.451,2018-07-25 20:30:00,0.0002000000000000668
49,7/25/2018,08:40:00 pm,0,8.2718,11.449,2018-07-25 20:40:00,9.999999999994457e-05
50,7/25/2018,08:50:00 pm,0,8.2729,11.448,2018-07-25 20:50:00,9.999999999994457e-05
51,7/25/2018,09:00:00 pm,0,8.2738,11.449,2018-07-25 21:00:00,0.0002000000000000668
52,7/25/2018,09:10:00 pm,0,8.2743,11.451,2018-07-25 21:10:00,0.00010000000000012221
53,7/25/2018,09:20:00 pm,0,8.275,11.45,2018-07-25 21:20:00,0.00019999999999988915
54,7/25/2018,09:30:00 pm,0,8.2757,11.448,2018-07-25 21:30:00,0.0
55,7/25/2018,09:40:00 pm,0,8.2762,11.448,2018-07-25 21:40:00,0.00010000000000012221
56,7/25/2018,09:50:00 pm,0,8.2772,11.447,2018-07-25 21:50:00,0.00019999999999988915
57,7/25/2018,10:00:00 pm,0,8.2775,11.445,2018-07-25 22:00:00,0.0002000000000000668
58,7/25/2018,10:10:00 pm,0,8.2778,11.443,2018-07-25 22:10:00,0.0002000000000000668
59,7/25/2018,10:20:00 pm,0,8.2781,11.445,2018-07-25 22:20:00,0.0
60,7/25/2018,10:30:00 pm,0,8.2781,11.445,2018-07-25 22:30:00,0.0002000000000000668
61,7/25/2018,10:40:00 pm,0,8.2785,11.443,2018-07-25 22:40:00,0.00019999999999988915
62,7/25/2018,10:50:00 pm,0,8.2784,11.441,2018-07-25 22:50:00,0.00010000000000012221
63,7/25/2018,11:00:00 pm,0,8.2786,11.44,2018-07-25 23:00:00,0.00030000000000001136
64,7/25/2018,11:10:00 pm,0,8.2792,11.443,2018-07-25 23:10:00,0.00010000000000012221
65,7/25/2018,11:20:00 pm,0,8.2789,11.444,2018-07-25 23:20:00,9.999999999994457e-05
66,7/25/2018,11:30:00 pm,0,8.279,11.445,2018-07-25 23:30:00,9.999999999994457e-05
67,7/25/2018,11:40:00 pm,0,8.2793,11.444,2018-07-25 23:40:00,0.0002000000000000668
68,7/25/2018,11:50:00 pm,0,8.2791,11.442,2018-07-25 23:50:00,9.999999999994457e-05
69,7/26/2018,12:00:00 am,0,8.2792,11.443,2018-07-26 00:00:00,0.0
70,7/26/2018,12:10:00 am,0,8.2791,11.443,2018-07-26 00:10:00,0.00019999999999988915
71,7/26/2018,12:20:00 am,0,8.2788,11.441,2018-07-26 00:20:00,0.0
72,7/26/2018,12:30:00 am,0,8.2789,11.441,2018-07-26 00:30:00,0.00010000000000012221
73,7/26/2018,12:40:00 am,0,8.2789,11.44,2018-07-26 00:40:00,0.00010000000000012221
74,7/26/2018,12:50:00 am,0,8.2789,11.441,2018-07-26 00:50:00,0.00019999999999988915
75,7/26/2018,01:00:00 am,0,8.2792,11.443,2018-07-26 01:00:00,0.0
76,7/26/2018,01:10:00 am,0,8.2793,11.443,2018-07-26 01:10:00,0.00010000000000012221
77,7/26/2018,01:20:00 am,0,8.2787,11.444,2018-07-26 01:20:00,0.0
78,7/26/2018,01:30:00 am,0,8.2786,11.444,2018-07-26 01:30:00,0.00010000000000012221
