,Date,Time,ms,LEVEL,TEMPERATURE,DT,Rate of Change
108,8/25/2018,08:30:00 am,0,8.5071,10.477,2018-08-25 08:30:00,0.001100000000000101
109,8/25/2018,08:40:00 am,0,8.5073,10.466,2018-08-25 08:40:00,0.0006999999999999674
110,8/25/2018,08:50:00 am,0,8.507,10.459,2018-08-25 08:50:00,0.00039999999999995595
111,8/25/2018,09:00:00 am,0,8.5075,10.455,2018-08-25 09:00:00,0.00030000000000001136
112,8/25/2018,09:10:00 am,0,8.5078,10.452,2018-08-25 09:10:00,0.0002000000000000668
113,8/25/2018,09:20:00 am,0,8.5079,10.45,2018-08-25 09:20:00,9.999999999994457e-05
114,8/25/2018,09:30:00 am,0,8.5087,10.449,2018-08-25 09:30:00,9.999999999994457e-05
115,8/25/2018,09:40:00 am,0,8.5096,10.448,2018-08-25 09:40:00,0.00010000000000012221
116,8/25/2018,09:50:00 am,0,8.5091,10.447,2018-08-25 09:50:00,9.999999999994457e-05
117,8/25/2018,10:00:00 am,0,8.509,10.446,2018-08-25 10:00:00,0.0
118,8/25/2018,10:10:00 am,0,8.5099,10.446,2018-08-25 10:10:00,9.999999999994457e-05
119,8/25/2018,10:20:00 am,0,8.5091,10.445,2018-08-25 10:20:00,9.999999999994457e-05
120,8/25/2018,10:30:00 am,0,8.5078,10.446,2018-08-25 10:30:00,9.999999999994457e-05
121,8/25/2018,10:40:00 am,0,8.5064,10.445,2018-08-25 10:40:00,0.0
122,8/25/2018,10:50:00 am,0,8.5053,10.445,2018-08-25 10:50:00,0.0
123,8/25/2018,11:00:00 am,0,8.5039,10.445,2018-08-25 11:00:00,9.999999999994457e-05
124,8/25/2018,11:10:00 am,0,8.5022,10.444,2018-08-25 11:10:00,0.0
125,8/25/2018,11:20:00 am,0,8.502,10.444,2018-08-25 11:20:00,0.0
126,8/25/2018,11:30:00 am,0,8.5,10.444,2018-08-25 11:30:00,0.00010000000000012221
127,8/25/2018,11:40:00 am,0,8.4981,10.443,2018-08-25 11:40:00,0.0
128,8/25/2018,11:50:00 am,0,8.4969,10.443,2018-08-25 11:50:00,0.0
129,8/25/2018,12:00:00 pm,0,8.4945,10.443,2018-08-25 12:00:00,0.0
130,8/25/2018,12:10:00 pm,0,8.4937,10.443,2018-08-25 12:10:00,0.0
131,8/25/2018,12:20:00 pm,0,8.4928,10.443,2018-08-25 12:20:00,0.0
132,8/25/2018,12:30:00 pm,0,8.4922,10.443,2018-08-25 12:30:00,0.0
133,8/25/2018,12:40:00 pm,0,8.4919,10.443,2018-08-25 12:40:00,9.999999999994457e-05
134,8/25/2018,12:50:00 pm,0,8.4898,10.442,2018-08-25 12:50:00,0.0
135,8/25/2018,01:00:00 pm,0,8.4894,10.442,2018-08-25 13:00:00,9.999999999994457e-05
136,8/25/2018,01:10:00 pm,0,8.4878,10.441,2018-08-25 13:10:00,0.0
137,8/25/2018,01:20:00 pm,0,8.4879,10.441,2018-08-25 13:20:00,0.00010000000000012221
138,8/25/2018,01:30:00 pm,0,8.4874,10.44,2018-08-25 13:30:00,0.0
139,8/25/2018,01:40:00 pm,0,8.4864,10.44,2018-08-25 13:40:00,0.0
140,8/25/2018,01:50:00 pm,0,8.4862,10.44,2018-08-25 13:50:00,0.0
141,8/25/2018,02:00:00 pm,0,8.4851,10.44,2018-08-25 14:00:00,9.999999999994457e-05
142,8/25/2018,02:10:00 pm,0,8.4844,10.439,2018-08-25 14:10:00,0.0
143,8/25/2018,02:20:00 pm,0,8.4832,10.439,2018-08-25 14:20:00,0.0
144,8/25/2018,02:30:00 pm,0,8.4823,10.439,2018-08-25 14:30:00,0.0
145,8/25/2018,02:40:00 pm,0,8.4809,10.439,2018-08-25 14:40:00,0.0
146,8/25/2018,02:50:00 pm,0,8.48,10.439,2018-08-25 14:50:00,9.999999999994457e-05
147,8/25/2018,03:00:00 pm,0,8.4796,10.438,2018-08-25 15:00:00,0.00010000000000012221
148,8/25/2018,03:10:00 pm,0,8.4792,10.437,2018-08-25 15:10:00,0.0
149,8/25/2018,03:20:00 pm,0,8.4795,10.437,2018-08-25 15:20:00,9.999999999994457e-05
150,8/25/2018,03:30:00 pm,0,8.4789,10.436,2018-08-25 15:30:00,0.0
151,8/25/2018,03:40:00 pm,0,8.4782,10.436,2018-08-25 15:40:00,9.999999999994457e-05
152,8/25/2018,03:50:00 pm,0,8.4781,10.435,2018-08-25 15:50:00,0.00010000000000012221
153,8/25/2018,04:00:00 pm,0,8.4774,10.434,2018-08-25 16:00:00,0.0
