,Date,Time,ms,LEVEL,TEMPERATURE,DT,Rate of Change
11415,8/20/2019,06:30:00 pm,0,8.3444,10.91,2019-08-20 18:30:00,0.0015000000000000568
11416,8/20/2019,06:40:00 pm,0,8.3453,10.895,2019-08-20 18:40:00,0.0009999999999999788
11417,8/20/2019,06:50:00 pm,0,8.3458,10.885,2019-08-20 18:50:00,0.0006999999999999674
11418,8/20/2019,07:00:00 pm,0,8.3465,10.878,2019-08-20 19:00:00,0.0005000000000000782
11419,8/20/2019,07:10:00 pm,0,8.3477,10.873,2019-08-20 19:10:00,0.00030000000000001136
11420,8/20/2019,07:20:00 pm,0,8.349,10.87,2019-08-20 19:20:00,0.00039999999999995595
11421,8/20/2019,07:30:00 pm,0,8.3503,10.866,2019-08-20 19:30:00,0.00019999999999988915
11422,8/20/2019,07:40:00 pm,0,8.3518,10.864,2019-08-20 19:40:00,0.0002000000000000668
11423,8/20/2019,07:50:00 pm,0,8.353,10.862,2019-08-20 19:50:00,0.0002000000000000668
11424,8/20/2019,08:00:00 pm,0,8.3546,10.86,2019-08-20 20:00:00,9.999999999994457e-05
11425,8/20/2019,08:10:00 pm,0,8.356,10.859,2019-08-20 20:10:00,9.999999999994457e-05
11426,8/20/2019,08:20:00 pm,0,8.3577,10.858,2019-08-20 20:20:00,0.00010000000000012221
11427,8/20/2019,08:30:00 pm,0,8.3574,10.857,2019-08-20 20:30:00,9.999999999994457e-05
11428,8/20/2019,08:40:00 pm,0,8.3594,10.856,2019-08-20 20:40:00,9.999999999994457e-05
11429,8/20/2019,08:50:00 pm,0,8.3603,10.855,2019-08-20 20:50:00,0.0
11430,8/20/2019,09:00:00 pm,0,8.3616,10.855,2019-08-20 21:00:00,0.00010000000000012221
11431,8/20/2019,09:10:00 pm,0,8.3633,10.854,2019-08-20 21:10:00,9.999999999994457e-05
11432,8/20/2019,09:20:00 pm,0,8.3645,10.853,2019-08-20 21:20:00,0.0
11433,8/20/2019,09:30:00 pm,0,8.3655,10.853,2019-08-20 21:30:00,0.0
11434,8/20/2019,09:40:00 pm,0,8.3662,10.853,2019-08-20 21:40:00,9.999999999994457e-05
11435,8/20/2019,09:50:00 pm,0,8.3674,10.852,2019-08-20 21:50:00,9.999999999994457e-05
11436,8/20/2019,10:00:00 pm,0,8.3681,10.851,2019-08-20 22:00:00,9.999999999994457e-05
11437,8/20/2019,10:10:00 pm,0,8.3694,10.852,2019-08-20 22:10:00,9.999999999994457e-05
11438,8/20/2019,10:20:00 pm,0,8.3701,10.851,2019-08-20 22:20:00,0.00010000000000012221
11439,8/20/2019,10:30:00 pm,0,8.3704,10.85,2019-08-20 22:30:00,0.0
11440,8/20/2019,10:40:00 pm,0,8.3717,10.85,2019-08-20 22:40:00,0.0
11441,8/20/2019,10:50:00 pm,0,8.3725,10.85,2019-08-20 22:50:00,0.0
11442,8/20/2019,11:00:00 pm,0,8.3735,10.85,2019-08-20 23:00:00,0.0
11443,8/20/2019,11:10:00 pm,0,8.3744,10.85,2019-08-20 23:10:00,0.0
11444,8/20/2019,11:20:00 pm,0,8.3746,10.85,2019-08-20 23:20:00,9.999999999994457e-05
11445,8/20/2019,11:30:00 pm,0,8.3752,10.849,2019-08-20 23:30:00,0.0
11446,8/20/2019,11:40:00 pm,0,8.376,10.849,2019-08-20 23:40:00,0.0
11447,8/20/2019,11:50:00 pm,0,8.3766,10.849,2019-08-20 23:50:00,0.0
11448,8/21/2019,12:00:00 am,0,8.3764,10.849,2019-08-21 00:00:00,0.0
11449,8/21/2019,12:10:00 am,0,8.3778,10.849,2019-08-21 00:10:00,9.999999999994457e-05
11450,8/21/2019,12:20:00 am,0,8.3772,10.848,2019-08-21 00:20:00,9.999999999994457e-05
11451,8/21/2019,12:30:00 am,0,8.3774,10.849,2019-08-21 00:30:00,9.999999999994457e-05
11452,8/21/2019,12:40:00 am,0,8.3776,10.848,2019-08-21 00:40:00,0.0
11453,8/21/2019,12:50:00 am,0,8.378,10.848,2019-08-21 00:50:00,0.0
11454,8/21/2019,01:00:00 am,0,8.3783,10.848,2019-08-21 01:00:00,0.00010000000000012221
11455,8/21/2019,01:10:00 am,0,8.379,10.847,2019-08-21 01:10:00,0.0
11456,8/21/2019,01:20:00 am,0,8.379,10.847,2019-08-21 01:20:00,0.0
11457,8/21/2019,01:30:00 am,0,8.3796,10.847,2019-08-21 01:30:00,0.0
11458,8/21/2019,01:40:00 am,0,8.3796,10.847,2019-08-21 01:40:00,0.0
11459,8/21/2019,01:50:00 am,0,8.3794,10.847,2019-08-21 01:50:00,0.0
11460,8/21/2019,02:00:00 am,0,8.3798,10.847,2019-08-21 02:00:00,0.0
11461,8/21/2019,02:10:00 am,0,8.3793,10.847,2019-08-21 02:10:00,9.999999999994457e-05
11462,8/21/2019,02:20:00 am,0,8.3789,10.846,2019-08-21 02:20:00,0.0
11463,8/21/2019,02:30:00 am,0,8.3783,10.846,2019-08-21 02:30:00,0.0
11464,8/21/2019,02:40:00 am,0,8.3783,10.846,2019-08-21 02:40:00,0.0
11465,8/21/2019,02:50:00 am,0,8.3781,10.846,2019-08-21 02:50:00,0.0
11466,8/21/2019,03:00:00 am,0,8.3779,10.846,2019-08-21 03:00:00,0.0
11467,8/21/2019,03:10:00 am,0,8.3784,10.846,2019-08-21 03:10:00,9.999999999994457e-05
11468,8/21/2019,03:20:00 am,0,8.3788,10.845,2019-08-21 03:20:00,9.999999999994457e-05
11469,8/21/2019,03:30:00 am,0,8.3802,10.846,2019-08-21 03:30:00,9.999999999994457e-05
11470,8/21/2019,03:40:00 am,0,8.38,10.845,2019-08-21 03:40:00,0.0
11471,8/21/2019,03:50:00 am,0,8.3798,10.845,2019-08-21 03:50:00,0.0
11472,8/21/2019,04:00:00 am,0,8.3795,10.845,2019-08-21 04:00:00,0.0
11473,8/21/2019,04:10:00 am,0,8.3794,10.845,2019-08-21 04:10:00,0.0
11474,8/21/2019,04:20:00 am,0,8.3797,10.845,2019-08-21 04:20:00,0.0
11475,8/21/2019,04:30:00 am,0,8.3803,10.845,2019-08-21 04:30:00,0.00010000000000012221
11476,8/21/2019,04:40:00 am,0,8.3809,10.844,2019-08-21 04:40:00,0.00010000000000012221
11477,8/21/2019,04:50:00 am,0,8.3817,10.845,2019-08-21 04:50:00,0.0
11478,8/21/2019,05:00:00 am,0,8.3809,10.845,2019-08-21 05:00:00,0.0
11479,8/21/2019,05:10:00 am,0,8.3809,10.845,2019-08-21 05:10:00,0.0
11480,8/21/2019,05:20:00 am,0,8.3804,10.845,2019-08-21 05:20:00,0.00010000000000012221
11481,8/21/2019,05:30:00 am,0,8.381,10.844,2019-08-21 05:30:00,0.0
11482,8/21/2019,05:40:00 am,0,8.3813,10.844,2019-08-21 05:40:00,0.0
11483,8/21/2019,05:50:00 am,0,8.382,10.844,2019-08-21 05:50:00,0.0
11484,8/21/2019,06:00:00 am,0,8.3831,10.844,2019-08-21 06:00:00,0.0
11485,8/21/2019,06:10:00 am,0,8.3838,10.844,2019-08-21 06:10:00,0.0
11486,8/21/2019,06:20:00 am,0,8.3837,10.844,2019-08-21 06:20:00,0.0
11487,8/21/2019,06:30:00 am,0,8.3841,10.844,2019-08-21 06:30:00,0.0
11488,8/21/2019,06:40:00 am,0,8.3852,10.844,2019-08-21 06:40:00,0.0
11489,8/21/2019,06:50:00 am,0,8.3866,10.844,2019-08-21 06:50:00,9.999999999994457e-05
11490,8/21/2019,07:00:00 am,0,8.3873,10.843,2019-08-21 07:00:00,0.0
11491,8/21/2019,07:10:00 am,0,8.3883,10.843,2019-08-21 07:10:00,0.0
11492,8/21/2019,07:20:00 am,0,8.3885,10.843,2019-08-21 07:20:00,0.0
11493,8/21/2019,07:30:00 am,0,8.3887,10.843,2019-08-21 07:30:00,0.0
11494,8/21/2019,07:40:00 am,0,8.3889,10.843,2019-08-21 07:40:00,0.0
11495,8/21/2019,07:50:00 am,0,8.3894,10.843,2019-08-21 07:50:00,0.0
11496,8/21/2019,08:00:00 am,0,8.3903,10.843,2019-08-21 08:00:00,0.0
11497,8/21/2019,08:10:00 am,0,8.3908,10.843,2019-08-21 08:10:00,0.0
11498,8/21/2019,08:20:00 am,0,8.3906,10.843,2019-08-21 08:20:00,0.0
11499,8/21/2019,08:30:00 am,0,8.3904,10.843,2019-08-21 08:30:00,0.0
11500,8/21/2019,08:40:00 am,0,8.3906,10.843,2019-08-21 08:40:00,0.0
11501,8/21/2019,08:50:00 am,0,8.3909,10.843,2019-08-21 08:50:00,0.0
11502,8/21/2019,09:00:00 am,0,8.3907,10.843,2019-08-21 09:00:00,0.0
11503,8/21/2019,09:10:00 am,0,8.3909,10.843,2019-08-21 09:10:00,9.999999999994457e-05
11504,8/21/2019,09:20:00 am,0,8.3909,10.844,2019-08-21 09:20:00,0.0
11505,8/21/2019,09:30:00 am,0,8.3901,10.844,2019-08-21 09:30:00,0.0002000000000000668
11506,8/21/2019,09:40:00 am,0,8.3889,10.846,2019-08-21 09:40:00,9.999999999994457e-05
11507,8/21/2019,09:50:00 am,0,8.3869,10.847,2019-08-21 09:50:00,0.00010000000000012221
11508,8/21/2019,10:00:00 am,0,8.3851,10.848,2019-08-21 10:00:00,0.00010000000000012221
11509,8/21/2019,10:10:00 am,0,8.3832,10.847,2019-08-21 10:10:00,0.00010000000000012221
11510,8/21/2019,10:20:00 am,0,8.3812,10.848,2019-08-21 10:20:00,9.999999999994457e-05
11511,8/21/2019,10:30:00 am,0,8.3787,10.849,2019-08-21 10:30:00,0.0
11512,8/21/2019,10:40:00 am,0,8.3763,10.849,2019-08-21 10:40:00,0.0
11513,8/21/2019,10:50:00 am,0,8.3736,10.849,2019-08-21 10:50:00,0.0
11514,8/21/2019,11:00:00 am,0,8.3704,10.849,2019-08-21 11:00:00,0.0
11515,8/21/2019,11:10:00 am,0,8.3667,10.849,2019-08-21 11:10:00,9.999999999994457e-05
11516,8/21/2019,11:20:00 am,0,8.3633,10.85,2019-08-21 11:20:00,0.0
11517,8/21/2019,11:30:00 am,0,8.3603,10.85,2019-08-21 11:30:00,0.0
11518,8/21/2019,11:40:00 am,0,8.3578,10.85,2019-08-21 11:40:00,0.0
11519,8/21/2019,11:50:00 am,0,8.3548,10.85,2019-08-21 11:50:00,9.999999999994457e-05
11520,8/21/2019,12:00:00 pm,0,8.3522,10.849,2019-08-21 12:00:00,0.0
11521,8/21/2019,12:10:00 pm,0,8.3499,10.849,2019-08-21 12:10:00,9.999999999994457e-05
11522,8/21/2019,12:20:00 pm,0,8.3467,10.85,2019-08-21 12:20:00,9.999999999994457e-05
11523,8/21/2019,12:30:00 pm,0,8.3433,10.849,2019-08-21 12:30:00,0.0
11524,8/21/2019,12:40:00 pm,0,8.3417,10.849,2019-08-21 12:40:00,0.0
11525,8/21/2019,12:50:00 pm,0,8.34,10.849,2019-08-21 12:50:00,0.0
11526,8/21/2019,01:00:00 pm,0,8.3393,10.849,2019-08-21 13:00:00,9.999999999994457e-05
