Serial_number:
2195853
Project ID:
SAGE-LHT-1
Location:
10
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
7/14/2024,08:30:00 am,0,8.3511,18.389
7/14/2024,08:30:10 am,0,8.3507,18.390
7/14/2024,08:30:20 am,0,8.3503,18.394
7/14/2024,08:30:30 am,0,8.3499,18.398
7/14/2024,08:30:40 am,0,8.3499,18.405
7/14/2024,08:30:50 am,0,8.3503,18.408
7/14/2024,08:31:00 am,0,8.3498,18.410
7/14/2024,08:31:10 am,0,8.3499,18.414
7/14/2024,08:31:20 am,0,8.3499,18.417
7/14/2024,08:31:30 am,0,8.3501,18.424
7/14/2024,08:31:40 am,0,8.3502,18.428
7/14/2024,08:31:50 am,0,8.3505,18.430
7/14/2024,08:32:00 am,0,8.3504,18.433
7/14/2024,08:32:10 am,0,8.3506,18.436
7/14/2024,08:32:20 am,0,8.3510,18.440
7/14/2024,08:32:30 am,0,8.3505,18.441
7/14/2024,08:32:40 am,0,8.3497,18.444
7/14/2024,08:32:50 am,0,8.3497,18.447
7/14/2024,08:33:00 am,0,8.3491,18.450
7/14/2024,08:33:10 am,0,8.3490,18.451
7/14/2024,08:33:20 am,0,8.3496,18.456
7/14/2024,08:33:30 am,0,8.3511,18.443
7/14/2024,08:33:40 am,0,8.3512,18.416
7/14/2024,08:33:50 am,0,8.3513,18.388
7/14/2024,08:34:00 am,0,8.3514,18.365
7/14/2024,08:34:10 am,0,8.3515,18.341
7/14/2024,08:34:20 am,0,8.3503,18.346
7/14/2024,08:34:30 am,0,8.3522,18.617
7/14/2024,08:34:40 am,0,8.3522,18.787
7/14/2024,08:34:50 am,0,8.3508,18.927
7/14/2024,08:35:00 am,0,8.3495,18.929
7/14/2024,08:35:10 am,0,8.3490,18.894
7/14/2024,08:35:20 am,0,8.3503,18.873
7/14/2024,08:35:30 am,0,8.3493,18.845
7/14/2024,08:35:40 am,0,8.3488,18.845
7/14/2024,08:35:50 am,0,8.3512,18.956
7/14/2024,08:36:00 am,0,8.3557,19.167
7/14/2024,08:36:10 am,0,8.3536,19.333
7/14/2024,08:36:20 am,0,8.3541,19.315
7/14/2024,08:36:30 am,0,8.3528,19.286
7/14/2024,08:36:40 am,0,8.3525,19.295
7/14/2024,08:36:50 am,0,8.3522,19.293
7/14/2024,08:37:00 am,0,8.3520,19.287
7/14/2024,08:37:10 am,0,8.3518,19.263
7/14/2024,08:37:20 am,0,8.3515,19.226
7/14/2024,08:37:30 am,0,8.3513,19.182
7/14/2024,08:37:40 am,0,8.3513,19.136
7/14/2024,08:37:50 am,0,8.3515,19.085
7/14/2024,08:38:00 am,0,8.3515,19.038
7/14/2024,08:38:10 am,0,8.3515,18.984
7/14/2024,08:38:20 am,0,8.3515,18.935
7/14/2024,08:38:30 am,0,8.3519,18.883
7/14/2024,08:38:40 am,0,8.3520,18.834
7/14/2024,08:38:50 am,0,8.3512,18.751
7/14/2024,08:39:00 am,0,8.3510,18.672
7/14/2024,08:39:10 am,0,8.3513,18.593
7/14/2024,08:39:20 am,0,8.3515,18.518
7/14/2024,08:39:30 am,0,8.3516,18.446
7/14/2024,08:39:40 am,0,8.3516,18.377
7/14/2024,08:39:50 am,0,8.3513,18.312
7/14/2024,08:40:00 am,0,8.3511,18.238
7/14/2024,08:40:10 am,0,8.5651,17.310
7/14/2024,08:40:20 am,0,8.4462,16.532
7/14/2024,08:40:30 am,0,8.3444,15.910
7/14/2024,08:40:40 am,0,8.3507,15.584
7/14/2024,08:40:50 am,0,8.3541,15.313
7/14/2024,08:41:00 am,0,8.3554,15.080
7/14/2024,08:41:10 am,0,8.5898,14.675
7/14/2024,08:41:20 am,0,8.5484,14.186
7/14/2024,08:41:30 am,0,8.5405,13.842
7/14/2024,08:41:40 am,0,8.5382,13.550
7/14/2024,08:41:50 am,0,8.5360,13.294
7/14/2024,08:42:00 am,0,8.5334,13.067
7/14/2024,08:42:10 am,0,8.5318,12.869
7/14/2024,08:42:20 am,0,8.5302,12.693
7/14/2024,08:42:30 am,0,8.5294,12.541
7/14/2024,08:42:40 am,0,8.5288,12.403
7/14/2024,08:42:50 am,0,8.5279,12.283
7/14/2024,08:43:00 am,0,8.5273,12.175
7/14/2024,08:43:10 am,0,8.5265,12.082
7/14/2024,08:43:20 am,0,8.5260,12.000
