Serial_number:
2092377
Project ID:
SAGE-LWT-1
Location:
5
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
6/2/2024,02:00:00 pm,0,8.1531,27.221
6/2/2024,02:10:00 pm,0,8.1530,27.440
6/2/2024,02:20:00 pm,0,8.1541,27.611
6/2/2024,02:30:00 pm,0,8.1538,27.751
6/2/2024,02:40:00 pm,0,8.1542,27.871
6/2/2024,02:50:00 pm,0,8.1553,27.975
6/2/2024,03:00:00 pm,0,8.1545,28.060
6/2/2024,03:10:00 pm,0,8.1550,28.122
6/2/2024,03:20:00 pm,0,8.1548,28.162
6/2/2024,03:30:00 pm,0,8.1544,28.179
6/2/2024,03:40:00 pm,0,8.1561,28.177
6/2/2024,03:50:00 pm,0,8.1552,28.156
6/2/2024,04:00:00 pm,0,8.1548,28.121
6/2/2024,04:10:00 pm,0,8.1553,28.074
6/2/2024,04:20:00 pm,0,8.1673,28.006
6/2/2024,04:30:00 pm,0,8.1865,27.909
6/2/2024,04:40:00 pm,0,8.1865,27.791
6/2/2024,04:50:00 pm,0,8.1892,27.646
6/2/2024,05:00:00 pm,0,8.1900,27.449
6/2/2024,05:10:00 pm,0,8.1904,27.156
6/2/2024,05:20:00 pm,0,8.2303,26.903
6/2/2024,05:30:00 pm,0,8.2338,26.458
6/2/2024,05:40:00 pm,0,8.2381,25.595
6/2/2024,05:50:00 pm,0,8.2405,24.897
6/2/2024,06:00:00 pm,0,8.8693,8.465
6/2/2024,06:10:00 pm,0,8.8678,7.118
6/2/2024,06:20:00 pm,0,8.8679,6.809
6/2/2024,06:30:00 pm,0,8.8688,6.665
6/2/2024,06:40:00 pm,0,8.8695,6.581
6/2/2024,06:50:00 pm,0,8.8712,6.527
6/2/2024,07:00:00 pm,0,8.8716,6.490
6/2/2024,07:10:00 pm,0,8.8723,6.462
6/2/2024,07:20:00 pm,0,8.8727,6.442
6/2/2024,07:30:00 pm,0,8.8726,6.427
6/2/2024,07:40:00 pm,0,8.8745,6.415
6/2/2024,07:50:00 pm,0,8.8773,6.406
6/2/2024,08:00:00 pm,0,8.8783,6.398
6/2/2024,08:10:00 pm,0,8.8764,6.391
6/2/2024,08:20:00 pm,0,8.8812,6.386
6/2/2024,08:30:00 pm,0,8.8834,6.382
6/2/2024,08:40:00 pm,0,8.8823,6.378
6/2/2024,08:50:00 pm,0,8.8832,6.375
6/2/2024,09:00:00 pm,0,8.8852,6.372
6/2/2024,09:10:00 pm,0,8.8862,6.370
6/2/2024,09:20:00 pm,0,8.8879,6.368
6/2/2024,09:30:00 pm,0,8.8884,6.366
6/2/2024,09:40:00 pm,0,8.8907,6.364
6/2/2024,09:50:00 pm,0,8.8914,6.363
6/2/2024,10:00:00 pm,0,8.8926,6.362
6/2/2024,10:10:00 pm,0,8.8936,6.361
6/2/2024,10:20:00 pm,0,8.8942,6.360
6/2/2024,10:30:00 pm,0,8.8941,6.359
6/2/2024,10:40:00 pm,0,8.8946,6.358
6/2/2024,10:50:00 pm,0,8.8935,6.357
6/2/2024,11:00:00 pm,0,8.8934,6.357
6/2/2024,11:10:00 pm,0,8.8942,6.356
6/2/2024,11:20:00 pm,0,8.8945,6.355
6/2/2024,11:30:00 pm,0,8.8949,6.355
6/2/2024,11:40:00 pm,0,8.8946,6.355
6/2/2024,11:50:00 pm,0,8.8941,6.354
6/3/2024,12:00:00 am,0,8.8934,6.355
6/3/2024,12:10:00 am,0,8.8924,6.354
6/3/2024,12:20:00 am,0,8.8922,6.354
6/3/2024,12:30:00 am,0,8.8901,6.354
6/3/2024,12:40:00 am,0,8.8892,6.354
6/3/2024,12:50:00 am,0,8.8869,6.353
6/3/2024,01:00:00 am,0,8.8860,6.353
6/3/2024,01:10:00 am,0,8.8856,6.353
6/3/2024,01:20:00 am,0,8.8844,6.353
6/3/2024,01:30:00 am,0,8.8847,6.353
6/3/2024,01:40:00 am,0,8.8842,6.353
6/3/2024,01:50:00 am,0,8.8845,6.353
6/3/2024,02:00:00 am,0,8.8831,6.354
6/3/2024,02:10:00 am,0,8.8826,6.353
6/3/2024,02:20:00 am,0,8.8821,6.353
6/3/2024,02:30:00 am,0,8.8819,6.353
6/3/2024,02:40:00 am,0,8.8825,6.353
6/3/2024,02:50:00 am,0,8.8810,6.354
6/3/2024,03:00:00 am,0,8.8809,6.354
6/3/2024,03:10:00 am,0,8.8808,6.354
6/3/2024,03:20:00 am,0,8.8806,6.354
6/3/2024,03:30:00 am,0,8.8802,6.354
6/3/2024,03:40:00 am,0,8.8798,6.354
6/3/2024,03:50:00 am,0,8.8792,6.354
6/3/2024,04:00:00 am,0,8.8780,6.355
6/3/2024,04:10:00 am,0,8.8782,6.355
6/3/2024,04:20:00 am,0,8.8780,6.355
6/3/2024,04:30:00 am,0,8.8778,6.355
6/3/2024,04:40:00 am,0,8.8790,6.355
6/3/2024,04:50:00 am,0,8.8782,6.356
6/3/2024,05:00:00 am,0,8.8768,6.356
6/3/2024,05:10:00 am,0,8.8789,6.356
6/3/2024,05:20:00 am,0,8.8758,6.356
6/3/2024,05:30:00 am,0,8.8752,6.357
6/3/2024,05:40:00 am,0,8.8757,6.357
6/3/2024,05:50:00 am,0,8.8768,6.357
6/3/2024,06:00:00 am,0,8.8757,6.357
6/3/2024,06:10:00 am,0,8.8771,6.357
6/3/2024,06:20:00 am,0,8.8768,6.358
6/3/2024,06:30:00 am,0,8.8779,6.358
6/3/2024,06:40:00 am,0,8.8773,6.358
6/3/2024,06:50:00 am,0,8.8777,6.359
6/3/2024,07:00:00 am,0,8.8784,6.359
6/3/2024,07:10:00 am,0,8.8781,6.359
6/3/2024,07:20:00 am,0,8.8782,6.360
6/3/2024,07:30:00 am,0,8.8777,6.360
6/3/2024,07:40:00 am,0,8.8772,6.360
6/3/2024,07:50:00 am,0,8.8780,6.361
6/3/2024,08:00:00 am,0,8.8800,6.361
6/3/2024,08:10:00 am,0,8.8812,6.362
6/3/2024,08:20:00 am,0,8.8817,6.362
6/3/2024,08:30:00 am,0,8.8828,6.362
6/3/2024,08:40:00 am,0,8.8818,6.362
6/3/2024,08:50:00 am,0,8.8837,6.362
6/3/2024,09:00:00 am,0,8.8831,6.363
6/3/2024,09:10:00 am,0,8.8824,6.363
6/3/2024,09:20:00 am,0,8.8821,6.364
6/3/2024,09:30:00 am,0,8.8808,6.364
6/3/2024,09:40:00 am,0,8.8799,6.365
6/3/2024,09:50:00 am,0,8.8794,6.365
6/3/2024,10:00:00 am,0,8.8787,6.365
6/3/2024,10:10:00 am,0,8.8767,6.365
6/3/2024,10:20:00 am,0,8.8784,6.366
6/3/2024,10:30:00 am,0,8.8800,6.366
6/3/2024,10:40:00 am,0,8.8801,6.366
6/3/2024,10:50:00 am,0,8.8800,6.366
6/3/2024,11:00:00 am,0,8.8827,6.367
6/3/2024,11:10:00 am,0,8.8830,6.368
6/3/2024,11:20:00 am,0,8.8820,6.367
6/3/2024,11:30:00 am,0,8.8821,6.368
6/3/2024,11:40:00 am,0,8.8803,6.368
6/3/2024,11:50:00 am,0,8.8807,6.368
6/3/2024,12:00:00 pm,0,8.8788,6.368
6/3/2024,12:10:00 pm,0,8.8796,6.369
6/3/2024,12:20:00 pm,0,8.8786,6.369
6/3/2024,12:30:00 pm,0,8.8778,6.370
6/3/2024,12:40:00 pm,0,8.8770,6.370
6/3/2024,12:50:00 pm,0,8.8768,6.370
6/3/2024,01:00:00 pm,0,8.8764,6.371
6/3/2024,01:10:00 pm,0,8.8745,6.372
6/3/2024,01:20:00 pm,0,8.8751,6.372
6/3/2024,01:30:00 pm,0,8.8744,6.372
6/3/2024,01:40:00 pm,0,8.8750,6.372
6/3/2024,01:50:00 pm,0,8.8755,6.372
6/3/2024,02:00:00 pm,0,8.8760,6.373
6/3/2024,02:10:00 pm,0,8.8747,6.373
6/3/2024,02:20:00 pm,0,8.8739,6.373
6/3/2024,02:30:00 pm,0,8.8727,6.374
6/3/2024,02:40:00 pm,0,8.8722,6.374
6/3/2024,02:50:00 pm,0,8.8709,6.374
6/3/2024,03:00:00 pm,0,8.8717,6.375
6/3/2024,03:10:00 pm,0,8.8708,6.375
6/3/2024,03:20:00 pm,0,8.8714,6.376
6/3/2024,03:30:00 pm,0,8.8715,6.376
6/3/2024,03:40:00 pm,0,8.8704,6.376
6/3/2024,03:50:00 pm,0,8.8701,6.376
6/3/2024,04:00:00 pm,0,8.8694,6.377
6/3/2024,04:10:00 pm,0,8.8691,6.377
6/3/2024,04:20:00 pm,0,8.8699,6.377
6/3/2024,04:30:00 pm,0,8.8715,6.377
6/3/2024,04:40:00 pm,0,8.8745,6.378
6/3/2024,04:50:00 pm,0,8.8747,6.378
6/3/2024,05:00:00 pm,0,8.8744,6.378
6/3/2024,05:10:00 pm,0,8.8756,6.379
6/3/2024,05:20:00 pm,0,8.8759,6.379
6/3/2024,05:30:00 pm,0,8.8756,6.380
6/3/2024,05:40:00 pm,0,8.8734,6.380
6/3/2024,05:50:00 pm,0,8.8723,6.380
6/3/2024,06:00:00 pm,0,8.8711,6.381
6/3/2024,06:10:00 pm,0,8.8699,6.381
6/3/2024,06:20:00 pm,0,8.8721,6.382
6/3/2024,06:30:00 pm,0,8.8764,6.382
6/3/2024,06:40:00 pm,0,8.8786,6.383
6/3/2024,06:50:00 pm,0,8.8802,6.383
6/3/2024,07:00:00 pm,0,8.8794,6.383
6/3/2024,07:10:00 pm,0,8.8786,6.383
6/3/2024,07:20:00 pm,0,8.8783,6.384
6/3/2024,07:30:00 pm,0,8.8788,6.384
6/3/2024,07:40:00 pm,0,8.8824,6.384
6/3/2024,07:50:00 pm,0,8.8840,6.385
6/3/2024,08:00:00 pm,0,8.8844,6.385
6/3/2024,08:10:00 pm,0,8.8853,6.385
6/3/2024,08:20:00 pm,0,8.8869,6.386
6/3/2024,08:30:00 pm,0,8.8876,6.386
6/3/2024,08:40:00 pm,0,8.8895,6.386
6/3/2024,08:50:00 pm,0,8.8895,6.387
6/3/2024,09:00:00 pm,0,8.8914,6.388
6/3/2024,09:10:00 pm,0,8.8939,6.388
6/3/2024,09:20:00 pm,0,8.8956,6.388
6/3/2024,09:30:00 pm,0,8.8969,6.388
6/3/2024,09:40:00 pm,0,8.8979,6.389
6/3/2024,09:50:00 pm,0,8.8991,6.389
6/3/2024,10:00:00 pm,0,8.9003,6.389
6/3/2024,10:10:00 pm,0,8.9014,6.390
6/3/2024,10:20:00 pm,0,8.9015,6.390
6/3/2024,10:30:00 pm,0,8.9023,6.390
6/3/2024,10:40:00 pm,0,8.9030,6.391
6/3/2024,10:50:00 pm,0,8.9047,6.391
6/3/2024,11:00:00 pm,0,8.9057,6.392
6/3/2024,11:10:00 pm,0,8.9067,6.392
6/3/2024,11:20:00 pm,0,8.9066,6.392
6/3/2024,11:30:00 pm,0,8.9063,6.393
6/3/2024,11:40:00 pm,0,8.9072,6.393
6/3/2024,11:50:00 pm,0,8.9074,6.394
6/4/2024,12:00:00 am,0,8.9075,6.394
6/4/2024,12:10:00 am,0,8.9095,6.395
6/4/2024,12:20:00 am,0,8.9083,6.395
6/4/2024,12:30:00 am,0,8.9088,6.395
6/4/2024,12:40:00 am,0,8.9098,6.396
6/4/2024,12:50:00 am,0,8.9089,6.396
6/4/2024,01:00:00 am,0,8.9096,6.396
6/4/2024,01:10:00 am,0,8.9107,6.397
6/4/2024,01:20:00 am,0,8.9114,6.398
6/4/2024,01:30:00 am,0,8.9124,6.398
6/4/2024,01:40:00 am,0,8.9121,6.398
6/4/2024,01:50:00 am,0,8.9124,6.399
6/4/2024,02:00:00 am,0,8.9122,6.399
6/4/2024,02:10:00 am,0,8.9143,6.399
6/4/2024,02:20:00 am,0,8.9154,6.400
6/4/2024,02:30:00 am,0,8.9163,6.400
6/4/2024,02:40:00 am,0,8.9159,6.401
6/4/2024,02:50:00 am,0,8.9152,6.401
6/4/2024,03:00:00 am,0,8.9158,6.401
6/4/2024,03:10:00 am,0,8.9164,6.402
6/4/2024,03:20:00 am,0,8.9182,6.402
