Serial_number:
2091337
Project ID:
ISEECI
Location:
Baro
LEVEL
UNIT: kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
8/24/2018,02:30:00 pm,0,80.4064,24.370
8/24/2018,02:40:00 pm,0,80.4006,23.930
8/24/2018,02:50:00 pm,0,80.3744,22.853
8/24/2018,03:00:00 pm,0,80.3607,21.561
8/24/2018,03:10:00 pm,0,80.3474,20.484
8/24/2018,03:20:00 pm,0,80.3417,19.583
8/24/2018,03:30:00 pm,0,80.3355,18.895
8/24/2018,03:40:00 pm,0,80.3292,18.283
8/24/2018,03:50:00 pm,0,80.3149,17.771
8/24/2018,04:00:00 pm,0,80.3208,17.395
8/24/2018,04:10:00 pm,0,80.3077,17.063
8/24/2018,04:20:00 pm,0,80.3026,16.820
8/24/2018,04:30:00 pm,0,80.3057,16.560
8/24/2018,04:40:00 pm,0,80.3025,16.287
8/24/2018,04:50:00 pm,0,80.3073,16.088
8/24/2018,05:00:00 pm,0,80.3063,15.871
8/24/2018,05:10:00 pm,0,80.3011,15.650
8/24/2018,05:20:00 pm,0,80.3035,15.480
8/24/2018,05:30:00 pm,0,80.3044,15.383
8/24/2018,05:40:00 pm,0,80.3054,15.285
8/24/2018,05:50:00 pm,0,80.3034,15.075
8/24/2018,06:00:00 pm,0,80.3087,14.842
8/24/2018,06:10:00 pm,0,80.3024,14.626
8/24/2018,06:20:00 pm,0,80.3059,14.420
8/24/2018,06:30:00 pm,0,80.3071,14.219
8/24/2018,06:40:00 pm,0,80.3127,14.012
8/24/2018,06:50:00 pm,0,80.3122,13.784
8/24/2018,07:00:00 pm,0,80.3109,13.552
8/24/2018,07:10:00 pm,0,80.3175,13.314
8/24/2018,07:20:00 pm,0,80.3167,13.060
8/24/2018,07:30:00 pm,0,80.3136,12.755
8/24/2018,07:40:00 pm,0,80.3236,12.403
8/24/2018,07:50:00 pm,0,80.3269,12.051
8/24/2018,08:00:00 pm,0,80.3211,11.716
8/24/2018,08:10:00 pm,0,80.3207,11.412
8/24/2018,08:20:00 pm,0,80.3220,11.138
8/24/2018,08:30:00 pm,0,80.3261,10.870
8/24/2018,08:40:00 pm,0,80.3399,10.639
8/24/2018,08:50:00 pm,0,80.3500,10.384
8/24/2018,09:00:00 pm,0,80.3575,10.126
8/24/2018,09:10:00 pm,0,80.3598,9.878
8/24/2018,09:20:00 pm,0,80.3624,9.642
8/24/2018,09:30:00 pm,0,80.3671,9.404
8/24/2018,09:40:00 pm,0,80.3598,9.198
8/24/2018,09:50:00 pm,0,80.3602,8.981
8/24/2018,10:00:00 pm,0,80.3618,8.759
8/24/2018,10:10:00 pm,0,80.3647,8.562
8/24/2018,10:20:00 pm,0,80.3620,8.371
8/24/2018,10:30:00 pm,0,80.3650,8.153
8/24/2018,10:40:00 pm,0,80.3578,7.957
8/24/2018,10:50:00 pm,0,80.3490,7.874
8/24/2018,11:00:00 pm,0,80.3429,7.739
8/24/2018,11:10:00 pm,0,80.3387,7.600
8/24/2018,11:20:00 pm,0,80.3451,7.474
8/24/2018,11:30:00 pm,0,80.3499,7.525
8/24/2018,11:40:00 pm,0,80.3488,7.392
8/24/2018,11:50:00 pm,0,80.3426,7.206
8/25/2018,12:00:00 am,0,80.3379,7.003
8/25/2018,12:10:00 am,0,80.3360,6.870
8/25/2018,12:20:00 am,0,80.3359,6.756
8/25/2018,12:30:00 am,0,80.3405,6.633
8/25/2018,12:40:00 am,0,80.3421,6.595
8/25/2018,12:50:00 am,0,80.3462,6.547
8/25/2018,01:00:00 am,0,80.3483,6.458
8/25/2018,01:10:00 am,0,80.3426,6.371
8/25/2018,01:20:00 am,0,80.3365,6.323
8/25/2018,01:30:00 am,0,80.3362,6.223
8/25/2018,01:40:00 am,0,80.3414,6.037
8/25/2018,01:50:00 am,0,80.3377,5.866
8/25/2018,02:00:00 am,0,80.3375,5.806
8/25/2018,02:10:00 am,0,80.3389,5.650
8/25/2018,02:20:00 am,0,80.3391,5.578
8/25/2018,02:30:00 am,0,80.3418,5.517
8/25/2018,02:40:00 am,0,80.3347,5.454
8/25/2018,02:50:00 am,0,80.3448,5.361
8/25/2018,03:00:00 am,0,80.3461,5.227
8/25/2018,03:10:00 am,0,80.3389,5.245
8/25/2018,03:20:00 am,0,80.3393,5.200
8/25/2018,03:30:00 am,0,80.3347,5.127
8/25/2018,03:40:00 am,0,80.3334,4.990
8/25/2018,03:50:00 am,0,80.3308,4.943
8/25/2018,04:00:00 am,0,80.3267,4.919
8/25/2018,04:10:00 am,0,80.3285,4.820
8/25/2018,04:20:00 am,0,80.3243,4.777
8/25/2018,04:30:00 am,0,80.3256,4.738
8/25/2018,04:40:00 am,0,80.3168,4.650
8/25/2018,04:50:00 am,0,80.3219,4.585
8/25/2018,05:00:00 am,0,80.3201,4.481
8/25/2018,05:10:00 am,0,80.3335,4.375
8/25/2018,05:20:00 am,0,80.3360,4.298
8/25/2018,05:30:00 am,0,80.3397,4.236
8/25/2018,05:40:00 am,0,80.3372,4.183
8/25/2018,05:50:00 am,0,80.3449,4.136
8/25/2018,06:00:00 am,0,80.3559,4.088
8/25/2018,06:10:00 am,0,80.3535,4.038
8/25/2018,06:20:00 am,0,80.3578,3.984
8/25/2018,06:30:00 am,0,80.3585,3.939
8/25/2018,06:40:00 am,0,80.3633,3.905
8/25/2018,06:50:00 am,0,80.3702,3.883
8/25/2018,07:00:00 am,0,80.3663,3.882
8/25/2018,07:10:00 am,0,80.3608,3.886
8/25/2018,07:20:00 am,0,80.3626,3.907
8/25/2018,07:30:00 am,0,80.3738,3.962
8/25/2018,07:40:00 am,0,80.3767,4.044
8/25/2018,07:50:00 am,0,80.3769,4.146
8/25/2018,08:00:00 am,0,80.3828,4.297
8/25/2018,08:10:00 am,0,80.3847,4.414
8/25/2018,08:20:00 am,0,80.3889,4.546
8/25/2018,08:30:00 am,0,80.3934,4.692
8/25/2018,08:40:00 am,0,80.3892,5.126
8/25/2018,08:50:00 am,0,80.3932,5.555
8/25/2018,09:00:00 am,0,80.4039,6.040
8/25/2018,09:10:00 am,0,80.4113,6.423
8/25/2018,09:20:00 am,0,80.4122,6.774
8/25/2018,09:30:00 am,0,80.4251,7.137
8/25/2018,09:40:00 am,0,80.4364,7.502
8/25/2018,09:50:00 am,0,80.4440,7.965
8/25/2018,10:00:00 am,0,80.4611,8.954
8/25/2018,10:10:00 am,0,80.4871,9.969
8/25/2018,10:20:00 am,0,80.4987,10.897
8/25/2018,10:30:00 am,0,80.5111,11.734
8/25/2018,10:40:00 am,0,80.5130,12.515
8/25/2018,10:50:00 am,0,80.5247,13.221
8/25/2018,11:00:00 am,0,80.5254,13.937
8/25/2018,11:10:00 am,0,80.5318,14.581
8/25/2018,11:20:00 am,0,80.5460,15.314
8/25/2018,11:30:00 am,0,80.5440,15.940
8/25/2018,11:40:00 am,0,80.5432,16.554
8/25/2018,11:50:00 am,0,80.5449,17.195
8/25/2018,12:00:00 pm,0,80.5386,17.870
8/25/2018,12:10:00 pm,0,80.5393,18.588
8/25/2018,12:20:00 pm,0,80.5370,19.231
8/25/2018,12:30:00 pm,0,80.5385,19.776
8/25/2018,12:40:00 pm,0,80.5328,20.367
8/25/2018,12:50:00 pm,0,80.5256,21.044
8/25/2018,01:00:00 pm,0,80.5247,21.582
8/25/2018,01:10:00 pm,0,80.5117,21.885
8/25/2018,01:20:00 pm,0,80.5178,22.367
8/25/2018,01:30:00 pm,0,80.5231,22.811
8/25/2018,01:40:00 pm,0,80.5232,23.157
8/25/2018,01:50:00 pm,0,80.5217,23.378
8/25/2018,02:00:00 pm,0,80.5121,23.436
8/25/2018,02:10:00 pm,0,80.5092,23.536
8/25/2018,02:20:00 pm,0,80.5042,23.604
8/25/2018,02:30:00 pm,0,80.5001,23.505
8/25/2018,02:40:00 pm,0,80.4821,23.255
8/25/2018,02:50:00 pm,0,80.4681,22.455
8/25/2018,03:00:00 pm,0,80.4608,21.279
8/25/2018,03:10:00 pm,0,80.4522,20.236
8/25/2018,03:20:00 pm,0,80.4554,19.388
8/25/2018,03:30:00 pm,0,80.4421,18.702
8/25/2018,03:40:00 pm,0,80.4444,18.117
8/25/2018,03:50:00 pm,0,80.4433,17.619
8/25/2018,04:00:00 pm,0,80.4348,17.216
8/25/2018,04:10:00 pm,0,80.4309,16.882
8/25/2018,04:20:00 pm,0,80.4254,16.636
8/25/2018,04:30:00 pm,0,80.4355,16.405
8/25/2018,04:40:00 pm,0,80.4278,16.176
8/25/2018,04:50:00 pm,0,80.4312,15.991
8/25/2018,05:00:00 pm,0,80.4387,15.773
8/25/2018,05:10:00 pm,0,80.4346,15.546
8/25/2018,05:20:00 pm,0,80.4264,15.375
8/25/2018,05:30:00 pm,0,80.4318,15.252
8/25/2018,05:40:00 pm,0,80.4316,15.136
