Serial_number:
2092350
Project ID:
ISEECI
Location:
6
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
7/17/2018,05:00:00 pm,0,8.2812,12.047
7/17/2018,05:10:00 pm,0,8.2801,11.418
7/17/2018,05:20:00 pm,0,8.2793,11.022
7/17/2018,05:30:00 pm,0,8.2788,10.772
7/17/2018,05:40:00 pm,0,8.2791,10.610
7/17/2018,05:50:00 pm,0,8.2783,10.506
7/17/2018,06:00:00 pm,0,8.2783,10.436
7/17/2018,06:10:00 pm,0,8.2786,10.389
7/17/2018,06:20:00 pm,0,8.2788,10.355
7/17/2018,06:30:00 pm,0,8.2793,10.331
7/17/2018,06:40:00 pm,0,8.2794,10.313
7/17/2018,06:50:00 pm,0,8.2799,10.299
7/17/2018,07:00:00 pm,0,8.2802,10.288
7/17/2018,07:10:00 pm,0,8.2805,10.278
7/17/2018,07:20:00 pm,0,8.2816,10.271
7/17/2018,07:30:00 pm,0,8.2825,10.264
7/17/2018,07:40:00 pm,0,8.2832,10.258
7/17/2018,07:50:00 pm,0,8.2842,10.254
7/17/2018,08:00:00 pm,0,8.2846,10.249
7/17/2018,08:10:00 pm,0,8.2856,10.246
7/17/2018,08:20:00 pm,0,8.2866,10.242
7/17/2018,08:30:00 pm,0,8.2873,10.239
7/17/2018,08:40:00 pm,0,8.2876,10.236
7/17/2018,08:50:00 pm,0,8.2881,10.234
7/17/2018,09:00:00 pm,0,8.2883,10.232
7/17/2018,09:10:00 pm,0,8.2887,10.230
7/17/2018,09:20:00 pm,0,8.2889,10.228
7/17/2018,09:30:00 pm,0,8.2904,10.226
7/17/2018,09:40:00 pm,0,8.2907,10.225
7/17/2018,09:50:00 pm,0,8.2912,10.223
7/17/2018,10:00:00 pm,0,8.2919,10.221
7/17/2018,10:10:00 pm,0,8.2927,10.220
7/17/2018,10:20:00 pm,0,8.2928,10.219
7/17/2018,10:30:00 pm,0,8.2931,10.218
7/17/2018,10:40:00 pm,0,8.2926,10.217
7/17/2018,10:50:00 pm,0,8.2927,10.216
7/17/2018,11:00:00 pm,0,8.2930,10.216
7/17/2018,11:10:00 pm,0,8.2941,10.215
7/17/2018,11:20:00 pm,0,8.2944,10.214
7/17/2018,11:30:00 pm,0,8.2945,10.213
7/17/2018,11:40:00 pm,0,8.2958,10.213
7/17/2018,11:50:00 pm,0,8.2967,10.212
7/18/2018,12:00:00 am,0,8.2971,10.212
7/18/2018,12:10:00 am,0,8.2971,10.211
7/18/2018,12:20:00 am,0,8.2973,10.211
7/18/2018,12:30:00 am,0,8.2973,10.210
7/18/2018,12:40:00 am,0,8.2974,10.210
7/18/2018,12:50:00 am,0,8.2973,10.210
7/18/2018,01:00:00 am,0,8.2970,10.209
