Serial_number:
2092352
Project ID:
ISEECI
Location:
2
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
9/29/2018,02:00:00 pm,0,8.2725,9.546
9/29/2018,02:10:00 pm,0,8.2682,9.464
9/29/2018,02:20:00 pm,0,8.2646,9.414
9/29/2018,02:30:00 pm,0,8.2639,9.381
9/29/2018,02:40:00 pm,0,8.2621,9.359
9/29/2018,02:50:00 pm,0,8.2597,9.344
9/29/2018,03:00:00 pm,0,8.2595,9.333
9/29/2018,03:10:00 pm,0,8.2585,9.324
9/29/2018,03:20:00 pm,0,8.2594,9.317
9/29/2018,03:30:00 pm,0,8.2575,9.311
9/29/2018,03:40:00 pm,0,8.2550,9.307
9/29/2018,03:50:00 pm,0,8.2529,9.303
9/29/2018,04:00:00 pm,0,8.2512,9.300
9/29/2018,04:10:00 pm,0,8.2493,9.297
9/29/2018,04:20:00 pm,0,8.2482,9.294
9/29/2018,04:30:00 pm,0,8.2478,9.292
9/29/2018,04:40:00 pm,0,8.2478,9.290
9/29/2018,04:50:00 pm,0,8.2457,9.289
9/29/2018,05:00:00 pm,0,8.2438,9.287
9/29/2018,05:10:00 pm,0,8.2429,9.286
9/29/2018,05:20:00 pm,0,8.2444,9.284
9/29/2018,05:30:00 pm,0,8.2439,9.283
9/29/2018,05:40:00 pm,0,8.2453,9.282
9/29/2018,05:50:00 pm,0,8.2449,9.282
9/29/2018,06:00:00 pm,0,8.2446,9.280
9/29/2018,06:10:00 pm,0,8.2454,9.279
9/29/2018,06:20:00 pm,0,8.2467,9.279
9/29/2018,06:30:00 pm,0,8.2470,9.278
9/29/2018,06:40:00 pm,0,8.2474,9.277
9/29/2018,06:50:00 pm,0,8.2478,9.277
9/29/2018,07:00:00 pm,0,8.2482,9.276
9/29/2018,07:10:00 pm,0,8.2484,9.276
9/29/2018,07:20:00 pm,0,8.2497,9.275
9/29/2018,07:30:00 pm,0,8.2499,9.274
9/29/2018,07:40:00 pm,0,8.2507,9.274
9/29/2018,07:50:00 pm,0,8.2509,9.274
9/29/2018,08:00:00 pm,0,8.2512,9.273
9/29/2018,08:10:00 pm,0,8.2517,9.273
9/29/2018,08:20:00 pm,0,8.2528,9.272
9/29/2018,08:30:00 pm,0,8.2527,9.272
9/29/2018,08:40:00 pm,0,8.2536,9.272
9/29/2018,08:50:00 pm,0,8.2545,9.271
9/29/2018,09:00:00 pm,0,8.2546,9.271
9/29/2018,09:10:00 pm,0,8.2546,9.271
9/29/2018,09:20:00 pm,0,8.2554,9.270
9/29/2018,09:30:00 pm,0,8.2555,9.270
9/29/2018,09:40:00 pm,0,8.2555,9.270
9/29/2018,09:50:00 pm,0,8.2553,9.269
9/29/2018,10:00:00 pm,0,8.2568,9.269
9/29/2018,10:10:00 pm,0,8.2578,9.269
9/29/2018,10:20:00 pm,0,8.2581,9.269
9/29/2018,10:30:00 pm,0,8.2596,9.268
9/29/2018,10:40:00 pm,0,8.2596,9.268
9/29/2018,10:50:00 pm,0,8.2604,9.268
9/29/2018,11:00:00 pm,0,8.2610,9.268
9/29/2018,11:10:00 pm,0,8.2613,9.268
9/29/2018,11:20:00 pm,0,8.2623,9.267
9/29/2018,11:30:00 pm,0,8.2628,9.267
9/29/2018,11:40:00 pm,0,8.2631,9.267
9/29/2018,11:50:00 pm,0,8.2633,9.267
9/30/2018,12:00:00 am,0,8.2640,9.266
9/30/2018,12:10:00 am,0,8.2653,9.266
9/30/2018,12:20:00 am,0,8.2672,9.266
9/30/2018,12:30:00 am,0,8.2685,9.266
9/30/2018,12:40:00 am,0,8.2700,9.266
9/30/2018,12:50:00 am,0,8.2719,9.266
9/30/2018,01:00:00 am,0,8.2735,9.265
9/30/2018,01:10:00 am,0,8.2743,9.265
9/30/2018,01:20:00 am,0,8.2753,9.265
9/30/2018,01:30:00 am,0,8.2768,9.265
9/30/2018,01:40:00 am,0,8.2768,9.265
9/30/2018,01:50:00 am,0,8.2783,9.265
9/30/2018,02:00:00 am,0,8.2788,9.264
9/30/2018,02:10:00 am,0,8.2804,9.264
9/30/2018,02:20:00 am,0,8.2812,9.264
9/30/2018,02:30:00 am,0,8.2807,9.264
9/30/2018,02:40:00 am,0,8.2814,9.264
9/30/2018,02:50:00 am,0,8.2820,9.264
9/30/2018,03:00:00 am,0,8.2828,9.263
9/30/2018,03:10:00 am,0,8.2828,9.263
9/30/2018,03:20:00 am,0,8.2831,9.263
9/30/2018,03:30:00 am,0,8.2827,9.263
9/30/2018,03:40:00 am,0,8.2823,9.262
9/30/2018,03:50:00 am,0,8.2838,9.263
9/30/2018,04:00:00 am,0,8.2856,9.262
9/30/2018,04:10:00 am,0,8.2850,9.262
9/30/2018,04:20:00 am,0,8.2864,9.262
9/30/2018,04:30:00 am,0,8.2865,9.262
9/30/2018,04:40:00 am,0,8.2857,9.262
9/30/2018,04:50:00 am,0,8.2867,9.262
9/30/2018,05:00:00 am,0,8.2870,9.262
9/30/2018,05:10:00 am,0,8.2869,9.261
9/30/2018,05:20:00 am,0,8.2881,9.261
9/30/2018,05:30:00 am,0,8.2881,9.261
9/30/2018,05:40:00 am,0,8.2897,9.261
9/30/2018,05:50:00 am,0,8.2911,9.261
9/30/2018,06:00:00 am,0,8.2924,9.261
9/30/2018,06:10:00 am,0,8.2935,9.261
9/30/2018,06:20:00 am,0,8.2953,9.261
9/30/2018,06:30:00 am,0,8.2966,9.260
9/30/2018,06:40:00 am,0,8.2982,9.260
9/30/2018,06:50:00 am,0,8.2994,9.260
9/30/2018,07:00:00 am,0,8.3001,9.260
9/30/2018,07:10:00 am,0,8.3013,9.260
9/30/2018,07:20:00 am,0,8.3029,9.259
9/30/2018,07:30:00 am,0,8.3038,9.260
9/30/2018,07:40:00 am,0,8.3051,9.260
9/30/2018,07:50:00 am,0,8.3060,9.259
9/30/2018,08:00:00 am,0,8.3071,9.259
9/30/2018,08:10:00 am,0,8.3080,9.259
9/30/2018,08:20:00 am,0,8.3088,9.259
9/30/2018,08:30:00 am,0,8.3095,9.259
9/30/2018,08:40:00 am,0,8.3097,9.259
9/30/2018,08:50:00 am,0,8.3109,9.259
9/30/2018,09:00:00 am,0,8.3107,9.259
9/30/2018,09:10:00 am,0,8.3118,9.259
9/30/2018,09:20:00 am,0,8.3124,9.259
9/30/2018,09:30:00 am,0,8.3138,9.258
9/30/2018,09:40:00 am,0,8.3141,9.258
9/30/2018,09:50:00 am,0,8.3143,9.258
9/30/2018,10:00:00 am,0,8.3147,9.258
9/30/2018,10:10:00 am,0,8.3142,9.258
9/30/2018,10:20:00 am,0,8.3140,9.258
9/30/2018,10:30:00 am,0,8.3147,9.258
9/30/2018,10:40:00 am,0,8.3146,9.258
9/30/2018,10:50:00 am,0,8.3142,9.258
9/30/2018,11:00:00 am,0,8.3139,9.258
9/30/2018,11:10:00 am,0,8.3133,9.258
9/30/2018,11:20:00 am,0,8.3126,9.258
9/30/2018,11:30:00 am,0,8.3119,9.257
9/30/2018,11:40:00 am,0,8.3121,9.258
9/30/2018,11:50:00 am,0,8.3110,9.257
9/30/2018,12:00:00 pm,0,8.3105,9.258
9/30/2018,12:10:00 pm,0,8.3110,9.258
9/30/2018,12:20:00 pm,0,8.3096,9.258
9/30/2018,12:30:00 pm,0,8.3080,9.258
9/30/2018,12:40:00 pm,0,8.3080,9.258
9/30/2018,12:50:00 pm,0,8.3066,9.257
9/30/2018,01:00:00 pm,0,8.3049,9.258
9/30/2018,01:10:00 pm,0,8.3030,9.258
9/30/2018,01:20:00 pm,0,8.3014,9.258
9/30/2018,01:30:00 pm,0,8.2992,9.258
9/30/2018,01:40:00 pm,0,8.2976,9.258
9/30/2018,01:50:00 pm,0,8.2967,9.258
9/30/2018,02:00:00 pm,0,8.2955,9.258
9/30/2018,02:10:00 pm,0,8.2931,9.258
9/30/2018,02:20:00 pm,0,8.2912,9.258
9/30/2018,02:30:00 pm,0,8.2902,9.258
9/30/2018,02:40:00 pm,0,8.2891,9.258
9/30/2018,02:50:00 pm,0,8.2879,9.258
9/30/2018,03:00:00 pm,0,8.2861,9.258
9/30/2018,03:10:00 pm,0,8.2842,9.258
9/30/2018,03:20:00 pm,0,8.2829,9.258
9/30/2018,03:30:00 pm,0,8.2811,9.258
9/30/2018,03:40:00 pm,0,8.2797,9.258
9/30/2018,03:50:00 pm,0,8.2791,9.258
9/30/2018,04:00:00 pm,0,8.2800,9.258
9/30/2018,04:10:00 pm,0,8.2795,9.258
9/30/2018,04:20:00 pm,0,8.2785,9.258
9/30/2018,04:30:00 pm,0,8.2777,9.257
9/30/2018,04:40:00 pm,0,8.2762,9.258
9/30/2018,04:50:00 pm,0,8.2755,9.257
9/30/2018,05:00:00 pm,0,8.2748,9.257
9/30/2018,05:10:00 pm,0,8.2741,9.257
9/30/2018,05:20:00 pm,0,8.2739,9.257
