Serial_number:
2092161
Project ID:
ISEECI
Location:
3
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
6/5/2021,02:00:00 pm,0,9.1527,6.255
6/5/2021,02:10:00 pm,0,9.1510,6.249
6/5/2021,02:20:00 pm,0,9.1492,6.244
6/5/2021,02:30:00 pm,0,9.1482,6.241
6/5/2021,02:40:00 pm,0,9.1474,6.239
6/5/2021,02:50:00 pm,0,9.1474,6.237
6/5/2021,03:00:00 pm,0,9.1463,6.234
6/5/2021,03:10:00 pm,0,9.1451,6.233
6/5/2021,03:20:00 pm,0,9.1449,6.233
6/5/2021,03:30:00 pm,0,9.1446,6.232
6/5/2021,03:40:00 pm,0,9.1447,6.232
6/5/2021,03:50:00 pm,0,9.1429,6.231
6/5/2021,04:00:00 pm,0,9.1428,6.231
6/5/2021,04:10:00 pm,0,9.1424,6.231
6/5/2021,04:20:00 pm,0,9.1420,6.232
6/5/2021,04:30:00 pm,0,9.1416,6.231
6/5/2021,04:40:00 pm,0,9.1420,6.232
6/5/2021,04:50:00 pm,0,9.1419,6.232
6/5/2021,05:00:00 pm,0,9.1420,6.233
6/5/2021,05:10:00 pm,0,9.1421,6.234
6/5/2021,05:20:00 pm,0,9.1424,6.234
6/5/2021,05:30:00 pm,0,9.1417,6.235
6/5/2021,05:40:00 pm,0,9.1419,6.236
6/5/2021,05:50:00 pm,0,9.1418,6.236
6/5/2021,06:00:00 pm,0,9.1411,6.237
6/5/2021,06:10:00 pm,0,9.1406,6.238
6/5/2021,06:20:00 pm,0,9.1409,6.239
6/5/2021,06:30:00 pm,0,9.1403,6.240
6/5/2021,06:40:00 pm,0,9.1406,6.241
6/5/2021,06:50:00 pm,0,9.1409,6.242
6/5/2021,07:00:00 pm,0,9.1405,6.243
6/5/2021,07:10:00 pm,0,9.1409,6.244
6/5/2021,07:20:00 pm,0,9.1409,6.245
6/5/2021,07:30:00 pm,0,9.1412,6.246
6/5/2021,07:40:00 pm,0,9.1417,6.247
6/5/2021,07:50:00 pm,0,9.1421,6.248
6/5/2021,08:00:00 pm,0,9.1425,6.249
6/5/2021,08:10:00 pm,0,9.1426,6.249
6/5/2021,08:20:00 pm,0,9.1434,6.251
6/5/2021,08:30:00 pm,0,9.1429,6.252
6/5/2021,08:40:00 pm,0,9.1433,6.253
6/5/2021,08:50:00 pm,0,9.1439,6.254
6/5/2021,09:00:00 pm,0,9.1446,6.256
6/5/2021,09:10:00 pm,0,9.1458,6.256
6/5/2021,09:20:00 pm,0,9.1470,6.258
6/5/2021,09:30:00 pm,0,9.1482,6.259
6/5/2021,09:40:00 pm,0,9.1490,6.260
6/5/2021,09:50:00 pm,0,9.1502,6.261
6/5/2021,10:00:00 pm,0,9.1512,6.262
6/5/2021,10:10:00 pm,0,9.1525,6.264
6/5/2021,10:20:00 pm,0,9.1532,6.265
6/5/2021,10:30:00 pm,0,9.1539,6.266
6/5/2021,10:40:00 pm,0,9.1546,6.267
6/5/2021,10:50:00 pm,0,9.1544,6.269
6/5/2021,11:00:00 pm,0,9.1544,6.270
6/5/2021,11:10:00 pm,0,9.1547,6.271
6/5/2021,11:20:00 pm,0,9.1547,6.272
6/5/2021,11:30:00 pm,0,9.1554,6.273
6/5/2021,11:40:00 pm,0,9.1553,6.274
6/5/2021,11:50:00 pm,0,9.1556,6.276
6/6/2021,12:00:00 am,0,9.1559,6.277
6/6/2021,12:10:00 am,0,9.1560,6.278
6/6/2021,12:20:00 am,0,9.1556,6.280
6/6/2021,12:30:00 am,0,9.1554,6.281
6/6/2021,12:40:00 am,0,9.1553,6.282
6/6/2021,12:50:00 am,0,9.1555,6.283
6/6/2021,01:00:00 am,0,9.1552,6.284
6/6/2021,01:10:00 am,0,9.1548,6.286
6/6/2021,01:20:00 am,0,9.1551,6.287
6/6/2021,01:30:00 am,0,9.1550,6.289
6/6/2021,01:40:00 am,0,9.1551,6.290
6/6/2021,01:50:00 am,0,9.1545,6.291
6/6/2021,02:00:00 am,0,9.1540,6.293
6/6/2021,02:10:00 am,0,9.1536,6.294
6/6/2021,02:20:00 am,0,9.1533,6.295
6/6/2021,02:30:00 am,0,9.1530,6.297
6/6/2021,02:40:00 am,0,9.1532,6.298
6/6/2021,02:50:00 am,0,9.1527,6.299
6/6/2021,03:00:00 am,0,9.1525,6.301
6/6/2021,03:10:00 am,0,9.1519,6.302
6/6/2021,03:20:00 am,0,9.1515,6.303
6/6/2021,03:30:00 am,0,9.1509,6.304
6/6/2021,03:40:00 am,0,9.1506,6.306
6/6/2021,03:50:00 am,0,9.1502,6.307
6/6/2021,04:00:00 am,0,9.1495,6.308
6/6/2021,04:10:00 am,0,9.1497,6.309
6/6/2021,04:20:00 am,0,9.1495,6.311
6/6/2021,04:30:00 am,0,9.1495,6.312
6/6/2021,04:40:00 am,0,9.1495,6.314
6/6/2021,04:50:00 am,0,9.1494,6.315
6/6/2021,05:00:00 am,0,9.1493,6.316
6/6/2021,05:10:00 am,0,9.1492,6.317
6/6/2021,05:20:00 am,0,9.1492,6.319
6/6/2021,05:30:00 am,0,9.1494,6.320
6/6/2021,05:40:00 am,0,9.1492,6.321
6/6/2021,05:50:00 am,0,9.1490,6.323
6/6/2021,06:00:00 am,0,9.1487,6.324
6/6/2021,06:10:00 am,0,9.1487,6.325
6/6/2021,06:20:00 am,0,9.1491,6.327
6/6/2021,06:30:00 am,0,9.1492,6.328
6/6/2021,06:40:00 am,0,9.1487,6.329
6/6/2021,06:50:00 am,0,9.1480,6.331
6/6/2021,07:00:00 am,0,9.1473,6.332
6/6/2021,07:10:00 am,0,9.1469,6.333
6/6/2021,07:20:00 am,0,9.1455,6.334
6/6/2021,07:30:00 am,0,9.1447,6.336
6/6/2021,07:40:00 am,0,9.1446,6.337
6/6/2021,07:50:00 am,0,9.1434,6.338
6/6/2021,08:00:00 am,0,9.1429,6.340
6/6/2021,08:10:00 am,0,9.1428,6.341
6/6/2021,08:20:00 am,0,9.1427,6.342
6/6/2021,08:30:00 am,0,9.1425,6.344
6/6/2021,08:40:00 am,0,9.1419,6.344
6/6/2021,08:50:00 am,0,9.1414,6.346
6/6/2021,09:00:00 am,0,9.1410,6.347
6/6/2021,09:10:00 am,0,9.1408,6.349
6/6/2021,09:20:00 am,0,9.1412,6.350
6/6/2021,09:30:00 am,0,9.1404,6.352
6/6/2021,09:40:00 am,0,9.1408,6.353
6/6/2021,09:50:00 am,0,9.1390,6.354
6/6/2021,10:00:00 am,0,9.1388,6.355
6/6/2021,10:10:00 am,0,9.1382,6.357
6/6/2021,10:20:00 am,0,9.1372,6.358
6/6/2021,10:30:00 am,0,9.1360,6.359
6/6/2021,10:40:00 am,0,9.1343,6.361
6/6/2021,10:50:00 am,0,9.1328,6.362
6/6/2021,11:00:00 am,0,9.1311,6.363
6/6/2021,11:10:00 am,0,9.1305,6.365
6/6/2021,11:20:00 am,0,9.1288,6.366
6/6/2021,11:30:00 am,0,9.1267,6.367
6/6/2021,11:40:00 am,0,9.1264,6.368
6/6/2021,11:50:00 am,0,9.1260,6.369
6/6/2021,12:00:00 pm,0,9.1241,6.371
6/6/2021,12:10:00 pm,0,9.1231,6.372
6/6/2021,12:20:00 pm,0,9.1207,6.374
6/6/2021,12:30:00 pm,0,9.1186,6.375
6/6/2021,12:40:00 pm,0,9.1169,6.376
6/6/2021,12:50:00 pm,0,9.1141,6.377
6/6/2021,01:00:00 pm,0,9.1114,6.378
6/6/2021,01:10:00 pm,0,9.1101,6.380
6/6/2021,01:20:00 pm,0,9.1083,6.382
6/6/2021,01:30:00 pm,0,9.1060,6.382
6/6/2021,01:40:00 pm,0,9.1052,6.384
6/6/2021,01:50:00 pm,0,9.1036,6.385
6/6/2021,02:00:00 pm,0,9.1005,6.386
6/6/2021,02:10:00 pm,0,9.0994,6.388
6/6/2021,02:20:00 pm,0,9.0980,6.388
6/6/2021,02:30:00 pm,0,9.0965,6.390
6/6/2021,02:40:00 pm,0,9.0963,6.391
6/6/2021,02:50:00 pm,0,9.0951,6.392
6/6/2021,03:00:00 pm,0,9.0957,6.394
6/6/2021,03:10:00 pm,0,9.0964,6.396
6/6/2021,03:20:00 pm,0,9.0965,6.397
6/6/2021,03:30:00 pm,0,9.0959,6.398
6/6/2021,03:40:00 pm,0,9.0961,6.400
6/6/2021,03:50:00 pm,0,9.0966,6.400
6/6/2021,04:00:00 pm,0,9.0967,6.402
6/6/2021,04:10:00 pm,0,9.0964,6.403
6/6/2021,04:20:00 pm,0,9.0960,6.404
6/6/2021,04:30:00 pm,0,9.0956,6.405
6/6/2021,04:40:00 pm,0,9.0954,6.407
6/6/2021,04:50:00 pm,0,9.0955,6.408
6/6/2021,05:00:00 pm,0,9.0954,6.409
6/6/2021,05:10:00 pm,0,9.0959,6.410
6/6/2021,05:20:00 pm,0,9.0959,6.411
6/6/2021,05:30:00 pm,0,9.0959,6.413
6/6/2021,05:40:00 pm,0,9.0957,6.414
6/6/2021,05:50:00 pm,0,9.0955,6.416
6/6/2021,06:00:00 pm,0,9.0959,6.417
6/6/2021,06:10:00 pm,0,9.0963,6.418
6/6/2021,06:20:00 pm,0,9.0966,6.419
