,DT,baro LEVEL,Date,Time,ms,TEMPERATURE,logger LEVEL,Compensated Level
0,2018-09-23 12:40:00,8.166366436799999,9/23/2018,12:40:00 pm,0,8.238,9.135,0.9686335632000009
1,2018-09-23 12:50:00,8.1662338732,9/23/2018,12:50:00 pm,0,8.255,9.133,0.9667661267999996
2,2018-09-23 13:00:00,8.1700782176,9/23/2018,01:00:00 pm,0,8.264,9.1353,0.9652217824000004
3,2018-09-23 13:10:00,8.169639737999999,9/23/2018,01:10:00 pm,0,8.269,9.1348,0.9651602620000013
4,2018-09-23 13:20:00,8.1705982748,9/23/2018,01:20:00 pm,0,8.272,9.1355,0.9649017252000007
5,2018-09-23 13:30:00,8.1710061628,9/23/2018,01:30:00 pm,0,8.275,9.134,0.9629938372000009
6,2018-09-23 13:40:00,8.1684772572,9/23/2018,01:40:00 pm,0,8.276,9.1336,0.9651227428000002
7,2018-09-23 13:50:00,8.169537766,9/23/2018,01:50:00 pm,0,8.277,9.1319,0.9623622340000004
8,2018-09-23 14:00:00,8.1716485864,9/23/2018,02:00:00 pm,0,8.277,9.1319,0.9602514136
9,2018-09-23 14:10:00,8.1707818244,9/23/2018,02:10:00 pm,0,8.278,9.1296,0.9588181755999994
10,2018-09-23 14:20:00,8.1685996236,9/23/2018,02:20:00 pm,0,8.278,9.127,0.9584003764000002
11,2018-09-23 14:30:00,8.169537766,9/23/2018,02:30:00 pm,0,8.278,9.127,0.9574622340000012
12,2018-09-23 14:40:00,8.1669272828,9/23/2018,02:40:00 pm,0,8.278,9.1256,0.9586727172000007
13,2018-09-23 14:50:00,8.166988466,9/23/2018,02:50:00 pm,0,8.277,9.1246,0.9576115339999998
14,2018-09-23 15:00:00,8.166356239599999,9/23/2018,03:00:00 pm,0,8.277,9.1238,0.9574437604000003
15,2018-09-23 15:10:00,8.1678654252,9/23/2018,03:10:00 pm,0,8.277,9.1227,0.9548345747999996
16,2018-09-23 15:20:00,8.167549312,9/23/2018,03:20:00 pm,0,8.276,9.1224,0.9548506880000005
17,2018-09-23 15:30:00,8.1661115068,9/23/2018,03:30:00 pm,0,8.276,9.1214,0.9552884931999994
18,2018-09-23 15:40:00,8.1632358964,9/23/2018,03:40:00 pm,0,8.275,9.1197,0.9564641036000001
19,2018-09-23 15:50:00,8.163388854399999,9/23/2018,03:50:00 pm,0,8.275,9.1198,0.9564111456000006
20,2018-09-23 16:00:00,8.1628280084,9/23/2018,04:00:00 pm,0,8.275,9.1188,0.9559719916000002
21,2018-09-23 16:10:00,8.1624915008,9/23/2018,04:10:00 pm,0,8.273,9.1174,0.9549084992000001
22,2018-09-23 16:20:00,8.164592123999999,9/23/2018,04:20:00 pm,0,8.273,9.1185,0.9539078760000006
23,2018-09-23 16:30:00,8.162777022399998,9/23/2018,04:30:00 pm,0,8.273,9.1165,0.9537229776000018
24,2018-09-23 16:40:00,8.163552009599998,9/23/2018,04:40:00 pm,0,8.272,9.1178,0.9542479904000025
25,2018-09-23 16:50:00,8.1655200692,9/23/2018,04:50:00 pm,0,8.272,9.1178,0.9522799308000014
26,2018-09-23 17:00:00,8.1654486888,9/23/2018,05:00:00 pm,0,8.271,9.1182,0.9527513112000001
27,2018-09-23 17:10:00,8.164989814799998,9/23/2018,05:10:00 pm,0,8.271,9.1183,0.9533101852000012
28,2018-09-23 17:20:00,8.16515297,9/23/2018,05:20:00 pm,0,8.27,9.1182,0.9530470300000005
29,2018-09-23 17:30:00,8.1654079,9/23/2018,05:30:00 pm,0,8.27,9.1184,0.9529920999999995
30,2018-09-23 17:40:00,8.1651733644,9/23/2018,05:40:00 pm,0,8.269,9.119,0.9538266356000005
31,2018-09-23 17:50:00,8.166346042399999,9/23/2018,05:50:00 pm,0,8.268,9.1196,0.9532539576000012
32,2018-09-23 18:00:00,8.1652855336,9/23/2018,06:00:00 pm,0,8.268,9.1203,0.9550144663999998
33,2018-09-23 18:10:00,8.16515297,9/23/2018,06:10:00 pm,0,8.267,9.1206,0.9554470300000002
34,2018-09-23 18:20:00,8.1654180972,9/23/2018,06:20:00 pm,0,8.266,9.1204,0.9549819028000002
35,2018-09-23 18:30:00,8.1656322384,9/23/2018,06:30:00 pm,0,8.266,9.1208,0.9551677615999985
36,2018-09-23 18:40:00,8.166366436799999,9/23/2018,06:40:00 pm,0,8.265,9.1221,0.9557335632000008
37,2018-09-23 18:50:00,8.1662032816,9/23/2018,06:50:00 pm,0,8.265,9.1226,0.9563967184000006
38,2018-09-23 19:00:00,8.1667233388,9/23/2018,07:00:00 pm,0,8.264,9.1239,0.9571766612000001
39,2018-09-23 19:10:00,8.1681305524,9/23/2018,07:10:00 pm,0,8.263,9.125,0.9568694476000008
40,2018-09-23 19:20:00,8.1684976516,9/23/2018,07:20:00 pm,0,8.263,9.1258,0.9573023484000007
41,2018-09-23 19:30:00,8.1696499352,9/23/2018,07:30:00 pm,0,8.262,9.1274,0.957750064799999
42,2018-09-23 19:40:00,8.169680526799999,9/23/2018,07:40:00 pm,0,8.261,9.1279,0.9582194732000016
43,2018-09-23 19:50:00,8.170414725199999,9/23/2018,07:50:00 pm,0,8.261,9.1292,0.9587852748000021
44,2018-09-23 20:00:00,8.1716077976,9/23/2018,08:00:00 pm,0,8.26,9.1309,0.9592922024000003
45,2018-09-23 20:10:00,8.1721482492,9/23/2018,08:10:00 pm,0,8.26,9.1313,0.9591517508000003
46,2018-09-23 20:20:00,8.172240023999999,9/23/2018,08:20:00 pm,0,8.259,9.1324,0.9601599760000017
47,2018-09-23 20:30:00,8.172760081199998,9/23/2018,08:30:00 pm,0,8.258,9.1333,0.9605399188000021
48,2018-09-23 20:40:00,8.173973548,9/23/2018,08:40:00 pm,0,8.258,9.1349,0.9609264520000007
49,2018-09-23 20:50:00,8.1749320848,9/23/2018,08:50:00 pm,0,8.257,9.1361,0.9611679152000008
50,2018-09-23 21:00:00,8.175125831599999,9/23/2018,09:00:00 pm,0,8.256,9.1364,0.961274168400001
51,2018-09-23 21:10:00,8.1753399728,9/23/2018,09:10:00 pm,0,8.256,9.1375,0.9621600271999995
52,2018-09-23 21:20:00,8.1763596928,9/23/2018,09:20:00 pm,0,8.255,9.1384,0.9620403072000006
53,2018-09-23 21:30:00,8.175880424399999,9/23/2018,09:30:00 pm,0,8.254,9.1388,0.9629195756000009
54,2018-09-23 21:40:00,8.1770734968,9/23/2018,09:40:00 pm,0,8.254,9.1399,0.9628265032000005
55,2018-09-23 21:50:00,8.178052427999999,9/23/2018,09:50:00 pm,0,8.253,9.1409,0.9628475720000012
56,2018-09-23 22:00:00,8.179378064,9/23/2018,10:00:00 pm,0,8.253,9.1426,0.9632219360000001
57,2018-09-23 22:10:00,8.1792149088,9/23/2018,10:10:00 pm,0,8.252,9.1432,0.9639850911999996
58,2018-09-23 22:20:00,8.179123134,9/23/2018,10:20:00 pm,0,8.252,9.1437,0.9645768660000016
59,2018-09-23 22:30:00,8.180703699999999,9/23/2018,10:30:00 pm,0,8.251,9.1446,0.9638963000000018
60,2018-09-23 22:40:00,8.179785952,9/23/2018,10:40:00 pm,0,8.25,9.1447,0.9649140480000007
61,2018-09-23 22:50:00,8.1790415564,9/23/2018,10:50:00 pm,0,8.25,9.1441,0.9650584436000003
62,2018-09-23 23:00:00,8.1786336684,9/23/2018,11:00:00 pm,0,8.249,9.144,0.9653663316000003
63,2018-09-23 23:10:00,8.179000767599998,9/23/2018,11:10:00 pm,0,8.249,9.1451,0.9660992324000013
64,2018-09-23 23:20:00,8.1786846544,9/23/2018,11:20:00 pm,0,8.248,9.145,0.9663153456
65,2018-09-23 23:30:00,8.178174794399999,9/23/2018,11:30:00 pm,0,8.247,9.1448,0.9666252056000015
66,2018-09-23 23:40:00,8.1787254432,9/23/2018,11:40:00 pm,0,8.247,9.1455,0.9667745568000008
67,2018-09-23 23:50:00,8.1786438656,9/23/2018,11:50:00 pm,0,8.246,9.1456,0.9669561344000002
68,2018-09-24 00:00:00,8.1779912448,9/24/2018,12:00:00 am,0,8.246,9.1449,0.9669087552000004
69,2018-09-24 00:10:00,8.17687975,9/24/2018,12:10:00 am,0,8.245,9.1436,0.9667202499999998
70,2018-09-24 00:20:00,8.17764454,9/24/2018,12:20:00 am,0,8.244,9.1451,0.96745546
71,2018-09-24 00:30:00,8.1780320336,9/24/2018,12:30:00 am,0,8.244,9.1452,0.9671679664000017
72,2018-09-24 00:40:00,8.178134005599999,9/24/2018,12:40:00 am,0,8.243,9.1455,0.9673659944000015
73,2018-09-24 00:50:00,8.1782359776,9/24/2018,12:50:00 am,0,8.243,9.146,0.9677640224000008
74,2018-09-24 01:00:00,8.178776429200001,9/24/2018,01:00:00 am,0,8.241,9.1466,0.9678235707999985
75,2018-09-24 01:10:00,8.1792455004,9/24/2018,01:10:00 am,0,8.241,9.1475,0.9682544996000004
76,2018-09-24 01:20:00,8.179979698799999,9/24/2018,01:20:00 am,0,8.241,9.148,0.968020301200001
77,2018-09-24 01:30:00,8.1798165436,9/24/2018,01:30:00 am,0,8.24,9.1485,0.9686834564000009
78,2018-09-24 01:40:00,8.1800816708,9/24/2018,01:40:00 am,0,8.24,9.1491,0.9690183292000007
79,2018-09-24 01:50:00,8.1807750804,9/24/2018,01:50:00 am,0,8.239,9.1492,0.9684249196000003
80,2018-09-24 02:00:00,8.1804283756,9/24/2018,02:00:00 am,0,8.238,9.1495,0.9690716243999997
81,2018-09-24 02:10:00,8.1799083184,9/24/2018,02:10:00 am,0,8.238,9.1498,0.9698916816
82,2018-09-24 02:20:00,8.179898121199999,9/24/2018,02:20:00 am,0,8.237,9.1494,0.9695018788000009
83,2018-09-24 02:30:00,8.180051079199998,9/24/2018,02:30:00 am,0,8.236,9.1495,0.9694489208000014
84,2018-09-24 02:40:00,8.179378064,9/24/2018,02:40:00 am,0,8.236,9.1491,0.9697219360000009
85,2018-09-24 02:50:00,8.1789497816,9/24/2018,02:50:00 am,0,8.235,9.149,0.970050218399999
86,2018-09-24 03:00:00,8.1790619508,9/24/2018,03:00:00 am,0,8.235,9.1491,0.9700380492000011
87,2018-09-24 03:10:00,8.1786744572,9/24/2018,03:10:00 am,0,8.234,9.1489,0.9702255427999997
88,2018-09-24 03:20:00,8.179959304399999,9/24/2018,03:20:00 am,0,8.233,9.1499,0.9699406956000018
89,2018-09-24 03:30:00,8.179928712799999,9/24/2018,03:30:00 am,0,8.233,9.15,0.9700712872000015
90,2018-09-24 03:40:00,8.179531021999999,9/24/2018,03:40:00 am,0,8.232,9.15,0.9704689780000013
91,2018-09-24 03:50:00,8.1790313592,9/24/2018,03:50:00 am,0,8.232,9.1492,0.9701686408000008
92,2018-09-24 04:00:00,8.179163922799999,9/24/2018,04:00:00 am,0,8.231,9.1492,0.9700360772000014
93,2018-09-24 04:10:00,8.1792455004,9/24/2018,04:10:00 am,0,8.231,9.1496,0.9703544995999991
94,2018-09-24 04:20:00,8.1782257804,9/24/2018,04:20:00 am,0,8.23,9.1491,0.9708742196000006
95,2018-09-24 04:30:00,8.1778586812,9/24/2018,04:30:00 am,0,8.229,9.1493,0.9714413188000002
96,2018-09-24 04:40:00,8.1778178924,9/24/2018,04:40:00 am,0,8.229,9.1489,0.9710821075999991
97,2018-09-24 04:50:00,8.1779198644,9/24/2018,04:50:00 am,0,8.228,9.1491,0.9711801356000009
98,2018-09-24 05:00:00,8.178052427999999,9/24/2018,05:00:00 am,0,8.228,9.1492,0.9711475720000013
99,2018-09-24 05:10:00,8.1776547372,9/24/2018,05:10:00 am,0,8.227,9.149,0.9713452627999999
100,2018-09-24 05:20:00,8.177746511999999,9/24/2018,05:20:00 am,0,8.226,9.1493,0.9715534880000014
101,2018-09-24 05:30:00,8.1779912448,9/24/2018,05:30:00 am,0,8.226,9.1494,0.9714087552000006
102,2018-09-24 05:40:00,8.1772978352,9/24/2018,05:40:00 am,0,8.225,9.1494,0.9721021648000008
103,2018-09-24 05:50:00,8.176726792,9/24/2018,05:50:00 am,0,8.224,9.1484,0.9716732080000003
104,2018-09-24 06:00:00,8.176624819999999,9/24/2018,06:00:00 am,0,8.224,9.1485,0.9718751800000014
105,2018-09-24 06:10:00,8.176349495599998,9/24/2018,06:10:00 am,0,8.224,9.1486,0.9722505044000016
106,2018-09-24 06:20:00,8.1771040884,9/24/2018,06:20:00 am,0,8.223,9.149,0.971895911599999
107,2018-09-24 06:30:00,8.177185666,9/24/2018,06:30:00 am,0,8.222,9.1495,0.972314334
108,2018-09-24 06:40:00,8.177053102399999,9/24/2018,06:40:00 am,0,8.222,9.1489,0.9718468976000008
109,2018-09-24 06:50:00,8.1770632996,9/24/2018,06:50:00 am,0,8.221,9.1494,0.9723367003999996
110,2018-09-24 07:00:00,8.1775119764,9/24/2018,07:00:00 am,0,8.221,9.1497,0.9721880235999993
111,2018-09-24 07:10:00,8.178062625199999,9/24/2018,07:10:00 am,0,8.22,9.1509,0.972837374800001
112,2018-09-24 07:20:00,8.1783787384,9/24/2018,07:20:00 am,0,8.219,9.1514,0.9730212616000014
113,2018-09-24 07:30:00,8.1782971608,9/24/2018,07:30:00 am,0,8.219,9.1514,0.973102839200001
114,2018-09-24 07:40:00,8.178715246,9/24/2018,07:40:00 am,0,8.218,9.1521,0.9733847540000014
115,2018-09-24 07:50:00,8.1794596416,9/24/2018,07:50:00 am,0,8.217,9.1532,0.9737403584000006
116,2018-09-24 08:00:00,8.179276091999998,9/24/2018,08:00:00 am,0,8.217,9.1538,0.9745239080000019
117,2018-09-24 08:10:00,8.1794392472,9/24/2018,08:10:00 am,0,8.216,9.1539,0.9744607528000007
118,2018-09-24 08:20:00,8.1790517536,9/24/2018,08:20:00 am,0,8.216,9.1542,0.9751482463999999
119,2018-09-24 08:30:00,8.1772570464,9/24/2018,08:30:00 am,0,8.215,9.1534,0.9761429536000001
120,2018-09-24 08:40:00,8.177032707999999,9/24/2018,08:40:00 am,0,8.215,9.1526,0.9755672920000009
