,well_id,Date,Time,ms,DT,raw_LEVEL_m,TEMPERATURE,Rate of Change
0,EER-1,7/27/2018,03:00:00 pm,0,2018-07-27 15:00:00,8.4341,10.301,0.021000000000000085
1,EER-1,7/27/2018,03:10:00 pm,0,2018-07-27 15:10:00,8.4387,10.091,0.011499999999999844
2,EER-1,7/27/2018,03:20:00 pm,0,2018-07-27 15:20:00,8.4407,9.976,0.0071000000000001505
3,EER-1,7/27/2018,03:30:00 pm,0,2018-07-27 15:30:00,8.4405,9.905,0.004800000000000004
4,EER-1,7/27/2018,03:40:00 pm,0,2018-07-27 15:40:00,8.4389,9.857,0.003399999999999892
5,EER-1,7/27/2018,03:50:00 pm,0,2018-07-27 15:50:00,8.4374,9.823,0.002400000000000091
6,EER-1,7/27/2018,04:00:00 pm,0,2018-07-27 16:00:00,8.4356,9.799,0.0019000000000000128
7,EER-1,7/27/2018,04:10:00 pm,0,2018-07-27 16:10:00,8.434,9.78,0.0014999999999998793
8,EER-1,7/27/2018,04:20:00 pm,0,2018-07-27 16:20:00,8.4322,9.765,0.001100000000000101
9,EER-1,7/27/2018,04:30:00 pm,0,2018-07-27 16:30:00,8.4305,9.754,0.0009999999999999788
10,EER-1,7/27/2018,04:40:00 pm,0,2018-07-27 16:40:00,8.4292,9.744,0.0007999999999999119
11,EER-1,7/27/2018,04:50:00 pm,0,2018-07-27 16:50:00,8.4281,9.736,0.0006000000000000227
12,EER-1,7/27/2018,05:00:00 pm,0,2018-07-27 17:00:00,8.4278,9.73,0.0005000000000000782
13,EER-1,7/27/2018,05:10:00 pm,0,2018-07-27 17:10:00,8.4272,9.725,0.0004999999999999005
14,EER-1,7/27/2018,05:20:00 pm,0,2018-07-27 17:20:00,8.4273,9.72,0.0004000000000001336
15,EER-1,7/27/2018,05:30:00 pm,0,2018-07-27 17:30:00,8.4278,9.716,0.0004999999999999005
16,EER-1,7/27/2018,05:40:00 pm,0,2018-07-27 17:40:00,8.4278,9.711,0.0002000000000000668
17,EER-1,7/27/2018,05:50:00 pm,0,2018-07-27 17:50:00,8.429,9.709,0.00039999999999995595
18,EER-1,7/27/2018,06:00:00 pm,0,2018-07-27 18:00:00,8.4298,9.705,0.00030000000000001136
19,EER-1,7/27/2018,06:10:00 pm,0,2018-07-27 18:10:00,8.4312,9.702,0.0002000000000000668
20,EER-1,7/27/2018,06:20:00 pm,0,2018-07-27 18:20:00,8.4328,9.7,0.00030000000000001136
21,EER-1,7/27/2018,06:30:00 pm,0,2018-07-27 18:30:00,8.4349,9.697,0.00019999999999988915
22,EER-1,7/27/2018,06:40:00 pm,0,2018-07-27 18:40:00,8.4371,9.695,0.0002000000000000668
23,EER-1,7/27/2018,06:50:00 pm,0,2018-07-27 18:50:00,8.4396,9.693,0.00019999999999988915
24,EER-1,7/27/2018,07:00:00 pm,0,2018-07-27 19:00:00,8.4428,9.691,0.0002000000000000668
25,EER-1,7/27/2018,07:10:00 pm,0,2018-07-27 19:10:00,8.4462,9.689,0.00030000000000001136
26,EER-1,7/27/2018,07:20:00 pm,0,2018-07-27 19:20:00,8.4498,9.686,0.0002000000000000668
27,EER-1,7/27/2018,07:30:00 pm,0,2018-07-27 19:30:00,8.4538,9.684,0.00019999999999988915
28,EER-1,7/27/2018,07:40:00 pm,0,2018-07-27 19:40:00,8.4581,9.682,0.00010000000000012221
29,EER-1,7/27/2018,07:50:00 pm,0,2018-07-27 19:50:00,8.4622,9.681,9.999999999994457e-05
30,EER-1,7/27/2018,08:00:00 pm,0,2018-07-27 20:00:00,8.4673,9.68,0.00019999999999988915
31,EER-1,7/27/2018,08:10:00 pm,0,2018-07-27 20:10:00,8.4718,9.678,0.00010000000000012221
32,EER-1,7/27/2018,08:20:00 pm,0,2018-07-27 20:20:00,8.4773,9.677,9.999999999994457e-05
33,EER-1,7/27/2018,08:30:00 pm,0,2018-07-27 20:30:00,8.482,9.676,0.0002000000000000668
34,EER-1,7/27/2018,08:40:00 pm,0,2018-07-27 20:40:00,8.4872,9.674,0.0
35,EER-1,7/27/2018,08:50:00 pm,0,2018-07-27 20:50:00,8.4923,9.674,9.999999999994457e-05
36,EER-1,7/27/2018,09:00:00 pm,0,2018-07-27 21:00:00,8.4973,9.673,9.999999999994457e-05
37,EER-1,7/27/2018,09:10:00 pm,0,2018-07-27 21:10:00,8.5015,9.672,0.00010000000000012221
38,EER-1,7/27/2018,09:20:00 pm,0,2018-07-27 21:20:00,8.5062,9.671,9.999999999994457e-05
39,EER-1,7/27/2018,09:30:00 pm,0,2018-07-27 21:30:00,8.5107,9.67,0.0
40,EER-1,7/27/2018,09:40:00 pm,0,2018-07-27 21:40:00,8.5147,9.67,9.999999999994457e-05
41,EER-1,7/27/2018,09:50:00 pm,0,2018-07-27 21:50:00,8.5184,9.669,0.0
42,EER-1,7/27/2018,10:00:00 pm,0,2018-07-27 22:00:00,8.5219,9.669,0.0
43,EER-1,7/27/2018,10:10:00 pm,0,2018-07-27 22:10:00,8.5253,9.669,0.00010000000000012221
44,EER-1,7/27/2018,10:20:00 pm,0,2018-07-27 22:20:00,8.5285,9.668,0.0
45,EER-1,7/27/2018,10:30:00 pm,0,2018-07-27 22:30:00,8.5316,9.668,9.999999999994457e-05
46,EER-1,7/27/2018,10:40:00 pm,0,2018-07-27 22:40:00,8.5348,9.667,0.0
47,EER-1,7/27/2018,10:50:00 pm,0,2018-07-27 22:50:00,8.5375,9.667,0.0
48,EER-1,7/27/2018,11:00:00 pm,0,2018-07-27 23:00:00,8.5398,9.667,0.0
49,EER-1,7/27/2018,11:10:00 pm,0,2018-07-27 23:10:00,8.542,9.667,0.0
50,EER-1,7/27/2018,11:20:00 pm,0,2018-07-27 23:20:00,8.5442,9.667,0.0
51,EER-1,7/27/2018,11:30:00 pm,0,2018-07-27 23:30:00,8.5461,9.667,9.999999999994457e-05
52,EER-1,7/27/2018,11:40:00 pm,0,2018-07-27 23:40:00,8.5479,9.666,0.0
