,well_id,Date,Time,ms,DT,raw_LEVEL_m,TEMPERATURE,Rate of Change
5,EHT-XA5S,6/2/19,12:50:00 PM,0,2019-06-02 12:50:00,9.3485,4.585,0.0004999999999999894
6,EHT-XA5S,6/2/19,1:00:00 PM,0,2019-06-02 13:00:00,9.3491,4.58,0.00040000000000004474
7,EHT-XA5S,6/2/19,1:10:00 PM,0,2019-06-02 13:10:00,9.3486,4.576,0.00039999999999995595
8,EHT-XA5S,6/2/19,1:20:00 PM,0,2019-06-02 13:20:00,9.3473,4.572,0.00030000000000001136
9,EHT-XA5S,6/2/19,1:30:00 PM,0,2019-06-02 13:30:00,9.3477,4.569,0.00019999999999997797
10,EHT-XA5S,6/2/19,1:40:00 PM,0,2019-06-02 13:40:00,9.3472,4.567,0.00019999999999997797
11,EHT-XA5S,6/2/19,1:50:00 PM,0,2019-06-02 13:50:00,9.3465,4.565,0.0002000000000000668
12,EHT-XA5S,6/2/19,2:00:00 PM,0,2019-06-02 14:00:00,9.3467,4.563,0.00019999999999997797
13,EHT-XA5S,6/2/19,2:10:00 PM,0,2019-06-02 14:10:00,9.3525,4.561,0.00019999999999997797
14,EHT-XA5S,6/2/19,2:20:00 PM,0,2019-06-02 14:20:00,9.3611,4.559,0.00019999999999997797
15,EHT-XA5S,6/2/19,2:30:00 PM,0,2019-06-02 14:30:00,9.3649,4.557,0.0001000000000000334
16,EHT-XA5S,6/2/19,2:40:00 PM,0,2019-06-02 14:40:00,9.3642,4.556,0.0
17,EHT-XA5S,6/2/19,2:50:00 PM,0,2019-06-02 14:50:00,9.3631,4.556,0.0001000000000000334
18,EHT-XA5S,6/2/19,3:00:00 PM,0,2019-06-02 15:00:00,9.3616,4.555,9.999999999994457e-05
19,EHT-XA5S,6/2/19,3:10:00 PM,0,2019-06-02 15:10:00,9.3594,4.554,0.0
20,EHT-XA5S,6/2/19,3:20:00 PM,0,2019-06-02 15:20:00,9.3568,4.554,0.0
21,EHT-XA5S,6/2/19,3:30:00 PM,0,2019-06-02 15:30:00,9.3544,4.554,0.0001000000000000334
22,EHT-XA5S,6/2/19,3:40:00 PM,0,2019-06-02 15:40:00,9.3527,4.553,0.0
23,EHT-XA5S,6/2/19,3:50:00 PM,0,2019-06-02 15:50:00,9.3494,4.553,0.0
24,EHT-XA5S,6/2/19,4:00:00 PM,0,2019-06-02 16:00:00,9.3478,4.553,0.0
25,EHT-XA5S,6/2/19,4:10:00 PM,0,2019-06-02 16:10:00,9.3463,4.553,0.0
26,EHT-XA5S,6/2/19,4:20:00 PM,0,2019-06-02 16:20:00,9.3445,4.553,0.0
27,EHT-XA5S,6/2/19,4:30:00 PM,0,2019-06-02 16:30:00,9.3439,4.553,0.0
28,EHT-XA5S,6/2/19,4:40:00 PM,0,2019-06-02 16:40:00,9.3455,4.553,0.0
29,EHT-XA5S,6/2/19,4:50:00 PM,0,2019-06-02 16:50:00,9.3479,4.553,0.0001000000000000334
30,EHT-XA5S,6/2/19,5:00:00 PM,0,2019-06-02 17:00:00,9.3503,4.552,0.0
31,EHT-XA5S,6/2/19,5:10:00 PM,0,2019-06-02 17:10:00,9.351,4.552,0.0
32,EHT-XA5S,6/2/19,5:20:00 PM,0,2019-06-02 17:20:00,9.35,4.552,0.0
33,EHT-XA5S,6/2/19,5:30:00 PM,0,2019-06-02 17:30:00,9.3497,4.552,0.0
34,EHT-XA5S,6/2/19,5:40:00 PM,0,2019-06-02 17:40:00,9.3487,4.552,0.0
35,EHT-XA5S,6/2/19,5:50:00 PM,0,2019-06-02 17:50:00,9.3489,4.552,0.0
36,EHT-XA5S,6/2/19,6:00:00 PM,0,2019-06-02 18:00:00,9.349,4.552,0.0001000000000000334
37,EHT-XA5S,6/2/19,6:10:00 PM,0,2019-06-02 18:10:00,9.3484,4.553,0.0
38,EHT-XA5S,6/2/19,6:20:00 PM,0,2019-06-02 18:20:00,9.3514,4.553,0.0
39,EHT-XA5S,6/2/19,6:30:00 PM,0,2019-06-02 18:30:00,9.3515,4.553,0.0001000000000000334
40,EHT-XA5S,6/2/19,6:40:00 PM,0,2019-06-02 18:40:00,9.3495,4.552,0.0
41,EHT-XA5S,6/2/19,6:50:00 PM,0,2019-06-02 18:50:00,9.3501,4.552,0.0001000000000000334
42,EHT-XA5S,6/2/19,7:00:00 PM,0,2019-06-02 19:00:00,9.3508,4.553,0.0
43,EHT-XA5S,6/2/19,7:10:00 PM,0,2019-06-02 19:10:00,9.3523,4.553,0.0001000000000000334
44,EHT-XA5S,6/2/19,7:20:00 PM,0,2019-06-02 19:20:00,9.3533,4.552,0.0001000000000000334
45,EHT-XA5S,6/2/19,7:30:00 PM,0,2019-06-02 19:30:00,9.3541,4.553,0.0
46,EHT-XA5S,6/2/19,7:40:00 PM,0,2019-06-02 19:40:00,9.3548,4.553,0.0
47,EHT-XA5S,6/2/19,7:50:00 PM,0,2019-06-02 19:50:00,9.3552,4.553,0.0
48,EHT-XA5S,6/2/19,8:00:00 PM,0,2019-06-02 20:00:00,9.3562,4.553,0.0
49,EHT-XA5S,6/2/19,8:10:00 PM,0,2019-06-02 20:10:00,9.358,4.553,0.0001000000000000334
50,EHT-XA5S,6/2/19,8:20:00 PM,0,2019-06-02 20:20:00,9.3591,4.554,0.0
51,EHT-XA5S,6/2/19,8:30:00 PM,0,2019-06-02 20:30:00,9.3594,4.554,0.0
52,EHT-XA5S,6/2/19,8:40:00 PM,0,2019-06-02 20:40:00,9.3596,4.554,0.0
53,EHT-XA5S,6/2/19,8:50:00 PM,0,2019-06-02 20:50:00,9.3613,4.554,9.999999999994457e-05
54,EHT-XA5S,6/2/19,9:00:00 PM,0,2019-06-02 21:00:00,9.3609,4.555,0.0
55,EHT-XA5S,6/2/19,9:10:00 PM,0,2019-06-02 21:10:00,9.3615,4.555,0.0
56,EHT-XA5S,6/2/19,9:20:00 PM,0,2019-06-02 21:20:00,9.3626,4.555,0.0
57,EHT-XA5S,6/2/19,9:30:00 PM,0,2019-06-02 21:30:00,9.3636,4.555,0.0
58,EHT-XA5S,6/2/19,9:40:00 PM,0,2019-06-02 21:40:00,9.3646,4.555,0.0001000000000000334
59,EHT-XA5S,6/2/19,9:50:00 PM,0,2019-06-02 21:50:00,9.3654,4.556,0.0
60,EHT-XA5S,6/2/19,10:00:00 PM,0,2019-06-02 22:00:00,9.3656,4.556,0.0
61,EHT-XA5S,6/2/19,10:10:00 PM,0,2019-06-02 22:10:00,9.3673,4.556,0.0
62,EHT-XA5S,6/2/19,10:20:00 PM,0,2019-06-02 22:20:00,9.367,4.556,0.0
63,EHT-XA5S,6/2/19,10:30:00 PM,0,2019-06-02 22:30:00,9.3667,4.556,0.0001000000000000334
64,EHT-XA5S,6/2/19,10:40:00 PM,0,2019-06-02 22:40:00,9.3682,4.557,0.0
65,EHT-XA5S,6/2/19,10:50:00 PM,0,2019-06-02 22:50:00,9.3692,4.557,0.0
66,EHT-XA5S,6/2/19,11:00:00 PM,0,2019-06-02 23:00:00,9.3689,4.557,0.0
