,well_id,Date,Time,ms,DT,raw_LEVEL_m,TEMPERATURE,Rate of Change
0,EWR-1,7/17/2018,05:00:00 pm,0,2018-07-17 17:00:00,8.4015,10.113,0.00259999999999998
1,EWR-1,7/17/2018,05:10:00 pm,0,2018-07-17 17:10:00,8.4018,10.087,0.0019999999999999575
2,EWR-1,7/17/2018,05:20:00 pm,0,2018-07-17 17:20:00,8.4012,10.067,0.001699999999999946
3,EWR-1,7/17/2018,05:30:00 pm,0,2018-07-17 17:30:00,8.4006,10.05,0.00129999999999999
4,EWR-1,7/17/2018,05:40:00 pm,0,2018-07-17 17:40:00,8.4016,10.037,0.0012000000000000454
5,EWR-1,7/17/2018,05:50:00 pm,0,2018-07-17 17:50:00,8.4024,10.025,0.0008000000000000895
6,EWR-1,7/17/2018,06:00:00 pm,0,2018-07-17 18:00:00,8.403,10.017,0.0009000000000000341
7,EWR-1,7/17/2018,06:10:00 pm,0,2018-07-17 18:10:00,8.4039,10.008,0.0005999999999998451
8,EWR-1,7/17/2018,06:20:00 pm,0,2018-07-17 18:20:00,8.4054,10.002,0.0006000000000000227
9,EWR-1,7/17/2018,06:30:00 pm,0,2018-07-17 18:30:00,8.4071,9.996,0.0006000000000000227
10,EWR-1,7/17/2018,06:40:00 pm,0,2018-07-17 18:40:00,8.4083,9.99,0.00039999999999995595
11,EWR-1,7/17/2018,06:50:00 pm,0,2018-07-17 18:50:00,8.4105,9.986,0.0004000000000001336
12,EWR-1,7/17/2018,07:00:00 pm,0,2018-07-17 19:00:00,8.4124,9.982,0.00030000000000001136
13,EWR-1,7/17/2018,07:10:00 pm,0,2018-07-17 19:10:00,8.4152,9.979,0.00039999999999995595
14,EWR-1,7/17/2018,07:20:00 pm,0,2018-07-17 19:20:00,8.4182,9.975,0.00019999999999988915
15,EWR-1,7/17/2018,07:30:00 pm,0,2018-07-17 19:30:00,8.4211,9.973,0.00030000000000001136
16,EWR-1,7/17/2018,07:40:00 pm,0,2018-07-17 19:40:00,8.4238,9.97,0.0002000000000000668
17,EWR-1,7/17/2018,07:50:00 pm,0,2018-07-17 19:50:00,8.4272,9.968,0.0002000000000000668
18,EWR-1,7/17/2018,08:00:00 pm,0,2018-07-17 20:00:00,8.4297,9.966,9.999999999994457e-05
19,EWR-1,7/17/2018,08:10:00 pm,0,2018-07-17 20:10:00,8.4323,9.965,0.0002000000000000668
20,EWR-1,7/17/2018,08:20:00 pm,0,2018-07-17 20:20:00,8.4351,9.963,9.999999999994457e-05
21,EWR-1,7/17/2018,08:30:00 pm,0,2018-07-17 20:30:00,8.4373,9.962,9.999999999994457e-05
22,EWR-1,7/17/2018,08:40:00 pm,0,2018-07-17 20:40:00,8.4394,9.961,0.0002000000000000668
23,EWR-1,7/17/2018,08:50:00 pm,0,2018-07-17 20:50:00,8.4412,9.959,9.999999999994457e-05
24,EWR-1,7/17/2018,09:00:00 pm,0,2018-07-17 21:00:00,8.4428,9.958,9.999999999994457e-05
25,EWR-1,7/17/2018,09:10:00 pm,0,2018-07-17 21:10:00,8.4442,9.957,0.0
26,EWR-1,7/17/2018,09:20:00 pm,0,2018-07-17 21:20:00,8.4456,9.957,0.0
27,EWR-1,7/17/2018,09:30:00 pm,0,2018-07-17 21:30:00,8.4474,9.957,0.00010000000000012221
28,EWR-1,7/17/2018,09:40:00 pm,0,2018-07-17 21:40:00,8.4492,9.956,9.999999999994457e-05
29,EWR-1,7/17/2018,09:50:00 pm,0,2018-07-17 21:50:00,8.4507,9.955,0.0
30,EWR-1,7/17/2018,10:00:00 pm,0,2018-07-17 22:00:00,8.4523,9.955,0.0
31,EWR-1,7/17/2018,10:10:00 pm,0,2018-07-17 22:10:00,8.454,9.955,0.0
32,EWR-1,7/17/2018,10:20:00 pm,0,2018-07-17 22:20:00,8.4552,9.955,0.0
33,EWR-1,7/17/2018,10:30:00 pm,0,2018-07-17 22:30:00,8.4563,9.955,0.0
34,EWR-1,7/17/2018,10:40:00 pm,0,2018-07-17 22:40:00,8.4567,9.955,0.0
35,EWR-1,7/17/2018,10:50:00 pm,0,2018-07-17 22:50:00,8.4578,9.955,0.0
36,EWR-1,7/17/2018,11:00:00 pm,0,2018-07-17 23:00:00,8.4584,9.955,0.0
37,EWR-1,7/17/2018,11:10:00 pm,0,2018-07-17 23:10:00,8.4596,9.955,9.999999999994457e-05
38,EWR-1,7/17/2018,11:20:00 pm,0,2018-07-17 23:20:00,8.461,9.956,0.0
39,EWR-1,7/17/2018,11:30:00 pm,0,2018-07-17 23:30:00,8.462,9.956,0.0
40,EWR-1,7/17/2018,11:40:00 pm,0,2018-07-17 23:40:00,8.4626,9.956,0.0
41,EWR-1,7/17/2018,11:50:00 pm,0,2018-07-17 23:50:00,8.4644,9.956,0.0
42,EWR-1,7/18/2018,12:00:00 am,0,2018-07-18 00:00:00,8.4659,9.956,0.00010000000000012221
43,EWR-1,7/18/2018,12:10:00 am,0,2018-07-18 00:10:00,8.4663,9.957,9.999999999994457e-05
44,EWR-1,7/18/2018,12:20:00 am,0,2018-07-18 00:20:00,8.4668,9.958,0.0
45,EWR-1,7/18/2018,12:30:00 am,0,2018-07-18 00:30:00,8.4676,9.958,0.0
46,EWR-1,7/18/2018,12:40:00 am,0,2018-07-18 00:40:00,8.4681,9.958,9.999999999994457e-05
47,EWR-1,7/18/2018,12:50:00 am,0,2018-07-18 00:50:00,8.4686,9.959,0.0
48,EWR-1,7/18/2018,01:00:00 am,0,2018-07-18 01:00:00,8.4689,9.959,0.00010000000000012221
49,EWR-1,7/18/2018,01:10:00 am,0,2018-07-18 01:10:00,8.4685,9.96,0.0
50,EWR-1,7/18/2018,01:20:00 am,0,2018-07-18 01:20:00,8.4688,9.96,9.999999999994457e-05
51,EWR-1,7/18/2018,01:30:00 am,0,2018-07-18 01:30:00,8.4691,9.961,0.0
52,EWR-1,7/18/2018,01:40:00 am,0,2018-07-18 01:40:00,8.4697,9.961,9.999999999994457e-05
53,EWR-1,7/18/2018,01:50:00 am,0,2018-07-18 01:50:00,8.4699,9.962,9.999999999994457e-05
54,EWR-1,7/18/2018,02:00:00 am,0,2018-07-18 02:00:00,8.471,9.963,0.0
55,EWR-1,7/18/2018,02:10:00 am,0,2018-07-18 02:10:00,8.4704,9.963,0.0
56,EWR-1,7/18/2018,02:20:00 am,0,2018-07-18 02:20:00,8.4712,9.963,0.00010000000000012221
57,EWR-1,7/18/2018,02:30:00 am,0,2018-07-18 02:30:00,8.4716,9.964,9.999999999994457e-05
58,EWR-1,7/18/2018,02:40:00 am,0,2018-07-18 02:40:00,8.4714,9.965,0.0
59,EWR-1,7/18/2018,02:50:00 am,0,2018-07-18 02:50:00,8.4718,9.965,0.0
60,EWR-1,7/18/2018,03:00:00 am,0,2018-07-18 03:00:00,8.4721,9.965,9.999999999994457e-05
61,EWR-1,7/18/2018,03:10:00 am,0,2018-07-18 03:10:00,8.4726,9.966,0.00010000000000012221
62,EWR-1,7/18/2018,03:20:00 am,0,2018-07-18 03:20:00,8.4726,9.967,0.0
63,EWR-1,7/18/2018,03:30:00 am,0,2018-07-18 03:30:00,8.4723,9.967,9.999999999994457e-05
64,EWR-1,7/18/2018,03:40:00 am,0,2018-07-18 03:40:00,8.4721,9.968,0.0
65,EWR-1,7/18/2018,03:50:00 am,0,2018-07-18 03:50:00,8.4721,9.968,9.999999999994457e-05
66,EWR-1,7/18/2018,04:00:00 am,0,2018-07-18 04:00:00,8.4725,9.969,0.0
67,EWR-1,7/18/2018,04:10:00 am,0,2018-07-18 04:10:00,8.4733,9.969,0.0
68,EWR-1,7/18/2018,04:20:00 am,0,2018-07-18 04:20:00,8.4735,9.969,0.00010000000000012221
69,EWR-1,7/18/2018,04:30:00 am,0,2018-07-18 04:30:00,8.4743,9.97,0.0
70,EWR-1,7/18/2018,04:40:00 am,0,2018-07-18 04:40:00,8.4743,9.97,9.999999999994457e-05
71,EWR-1,7/18/2018,04:50:00 am,0,2018-07-18 04:50:00,8.4747,9.971,0.0
72,EWR-1,7/18/2018,05:00:00 am,0,2018-07-18 05:00:00,8.4749,9.971,0.0
73,EWR-1,7/18/2018,05:10:00 am,0,2018-07-18 05:10:00,8.4751,9.971,0.0
74,EWR-1,7/18/2018,05:20:00 am,0,2018-07-18 05:20:00,8.476,9.971,0.0
75,EWR-1,7/18/2018,05:30:00 am,0,2018-07-18 05:30:00,8.4766,9.971,9.999999999994457e-05
76,EWR-1,7/18/2018,05:40:00 am,0,2018-07-18 05:40:00,8.4772,9.972,0.0
77,EWR-1,7/18/2018,05:50:00 am,0,2018-07-18 05:50:00,8.4777,9.972,0.0
78,EWR-1,7/18/2018,06:00:00 am,0,2018-07-18 06:00:00,8.4777,9.972,0.0
79,EWR-1,7/18/2018,06:10:00 am,0,2018-07-18 06:10:00,8.4784,9.972,0.0
80,EWR-1,7/18/2018,06:20:00 am,0,2018-07-18 06:20:00,8.4796,9.972,0.0
81,EWR-1,7/18/2018,06:30:00 am,0,2018-07-18 06:30:00,8.4798,9.972,0.0
82,EWR-1,7/18/2018,06:40:00 am,0,2018-07-18 06:40:00,8.48,9.972,0.0
83,EWR-1,7/18/2018,06:50:00 am,0,2018-07-18 06:50:00,8.4802,9.972,0.0
84,EWR-1,7/18/2018,07:00:00 am,0,2018-07-18 07:00:00,8.4806,9.972,0.0
85,EWR-1,7/18/2018,07:10:00 am,0,2018-07-18 07:10:00,8.4813,9.972,0.0
86,EWR-1,7/18/2018,07:20:00 am,0,2018-07-18 07:20:00,8.4816,9.972,0.0
87,EWR-1,7/18/2018,07:30:00 am,0,2018-07-18 07:30:00,8.4816,9.972,0.0
88,EWR-1,7/18/2018,07:40:00 am,0,2018-07-18 07:40:00,8.4813,9.972,0.0
89,EWR-1,7/18/2018,07:50:00 am,0,2018-07-18 07:50:00,8.4812,9.972,9.999999999994457e-05
90,EWR-1,7/18/2018,08:00:00 am,0,2018-07-18 08:00:00,8.4811,9.971,0.0
91,EWR-1,7/18/2018,08:10:00 am,0,2018-07-18 08:10:00,8.4808,9.971,0.0
92,EWR-1,7/18/2018,08:20:00 am,0,2018-07-18 08:20:00,8.4814,9.971,9.999999999994457e-05
93,EWR-1,7/18/2018,08:30:00 am,0,2018-07-18 08:30:00,8.4816,9.97,0.0
94,EWR-1,7/18/2018,08:40:00 am,0,2018-07-18 08:40:00,8.4822,9.97,0.00010000000000012221
95,EWR-1,7/18/2018,08:50:00 am,0,2018-07-18 08:50:00,8.4828,9.969,0.0
96,EWR-1,7/18/2018,09:00:00 am,0,2018-07-18 09:00:00,8.4831,9.969,0.0
97,EWR-1,7/18/2018,09:10:00 am,0,2018-07-18 09:10:00,8.483,9.969,9.999999999994457e-05
98,EWR-1,7/18/2018,09:20:00 am,0,2018-07-18 09:20:00,8.4824,9.968,9.999999999994457e-05
99,EWR-1,7/18/2018,09:30:00 am,0,2018-07-18 09:30:00,8.4805,9.967,0.0
100,EWR-1,7/18/2018,09:40:00 am,0,2018-07-18 09:40:00,8.4788,9.967,0.00010000000000012221
101,EWR-1,7/18/2018,09:50:00 am,0,2018-07-18 09:50:00,8.4766,9.966,9.999999999994457e-05
102,EWR-1,7/18/2018,10:00:00 am,0,2018-07-18 10:00:00,8.4749,9.965,0.0
103,EWR-1,7/18/2018,10:10:00 am,0,2018-07-18 10:10:00,8.4731,9.965,9.999999999994457e-05
104,EWR-1,7/18/2018,10:20:00 am,0,2018-07-18 10:20:00,8.4707,9.964,0.00010000000000012221
105,EWR-1,7/18/2018,10:30:00 am,0,2018-07-18 10:30:00,8.4677,9.963,0.0
106,EWR-1,7/18/2018,10:40:00 am,0,2018-07-18 10:40:00,8.4649,9.963,9.999999999994457e-05
107,EWR-1,7/18/2018,10:50:00 am,0,2018-07-18 10:50:00,8.4623,9.962,9.999999999994457e-05
108,EWR-1,7/18/2018,11:00:00 am,0,2018-07-18 11:00:00,8.4596,9.961,9.999999999994457e-05
109,EWR-1,7/18/2018,11:10:00 am,0,2018-07-18 11:10:00,8.4568,9.96,0.00010000000000012221
110,EWR-1,7/18/2018,11:20:00 am,0,2018-07-18 11:20:00,8.4545,9.959,9.999999999994457e-05
111,EWR-1,7/18/2018,11:30:00 am,0,2018-07-18 11:30:00,8.4521,9.958,9.999999999994457e-05
112,EWR-1,7/18/2018,11:40:00 am,0,2018-07-18 11:40:00,8.449,9.957,0.0
113,EWR-1,7/18/2018,11:50:00 am,0,2018-07-18 11:50:00,8.447,9.957,0.00010000000000012221
114,EWR-1,7/18/2018,12:00:00 pm,0,2018-07-18 12:00:00,8.4436,9.956,0.00019999999999988915
115,EWR-1,7/18/2018,12:10:00 pm,0,2018-07-18 12:10:00,8.4412,9.954,0.0
116,EWR-1,7/18/2018,12:20:00 pm,0,2018-07-18 12:20:00,8.4392,9.954,0.0002000000000000668
117,EWR-1,7/18/2018,12:30:00 pm,0,2018-07-18 12:30:00,8.4366,9.952,9.999999999994457e-05
118,EWR-1,7/18/2018,12:40:00 pm,0,2018-07-18 12:40:00,8.434,9.951,0.00010000000000012221
119,EWR-1,7/18/2018,12:50:00 pm,0,2018-07-18 12:50:00,8.4316,9.95,9.999999999994457e-05
120,EWR-1,7/18/2018,01:00:00 pm,0,2018-07-18 13:00:00,8.4292,9.949,9.999999999994457e-05
121,EWR-1,7/18/2018,01:10:00 pm,0,2018-07-18 13:10:00,8.4274,9.948,0.0002000000000000668
122,EWR-1,7/18/2018,01:20:00 pm,0,2018-07-18 13:20:00,8.4262,9.946,9.999999999994457e-05
123,EWR-1,7/18/2018,01:30:00 pm,0,2018-07-18 13:30:00,8.4246,9.945,9.999999999994457e-05
124,EWR-1,7/18/2018,01:40:00 pm,0,2018-07-18 13:40:00,8.4229,9.944,0.00010000000000012221
125,EWR-1,7/18/2018,01:50:00 pm,0,2018-07-18 13:50:00,8.4205,9.943,9.999999999994457e-05
126,EWR-1,7/18/2018,02:00:00 pm,0,2018-07-18 14:00:00,8.4189,9.942,9.999999999994457e-05
127,EWR-1,7/18/2018,02:10:00 pm,0,2018-07-18 14:10:00,8.4176,9.941,0.00010000000000012221
128,EWR-1,7/18/2018,02:20:00 pm,0,2018-07-18 14:20:00,8.4166,9.94,0.00019999999999988915
129,EWR-1,7/18/2018,02:30:00 pm,0,2018-07-18 14:30:00,8.415,9.938,0.00010000000000012221
130,EWR-1,7/18/2018,02:40:00 pm,0,2018-07-18 14:40:00,8.4138,9.937,9.999999999994457e-05
131,EWR-1,7/18/2018,02:50:00 pm,0,2018-07-18 14:50:00,8.4123,9.936,9.999999999994457e-05
132,EWR-1,7/18/2018,03:00:00 pm,0,2018-07-18 15:00:00,8.4109,9.935,0.0002000000000000668
133,EWR-1,7/18/2018,03:10:00 pm,0,2018-07-18 15:10:00,8.4095,9.933,9.999999999994457e-05
134,EWR-1,7/18/2018,03:20:00 pm,0,2018-07-18 15:20:00,8.408,9.932,0.00010000000000012221
135,EWR-1,7/18/2018,03:30:00 pm,0,2018-07-18 15:30:00,8.4067,9.931,9.999999999994457e-05
136,EWR-1,7/18/2018,03:40:00 pm,0,2018-07-18 15:40:00,8.4057,9.93,9.999999999994457e-05
137,EWR-1,7/18/2018,03:50:00 pm,0,2018-07-18 15:50:00,8.4056,9.929,9.999999999994457e-05
138,EWR-1,7/18/2018,04:00:00 pm,0,2018-07-18 16:00:00,8.4045,9.928,0.00010000000000012221
139,EWR-1,7/18/2018,04:10:00 pm,0,2018-07-18 16:10:00,8.4043,9.927,9.999999999994457e-05
140,EWR-1,7/18/2018,04:20:00 pm,0,2018-07-18 16:20:00,8.4036,9.926,9.999999999994457e-05
141,EWR-1,7/18/2018,04:30:00 pm,0,2018-07-18 16:30:00,8.403,9.925,0.00010000000000012221
142,EWR-1,7/18/2018,04:40:00 pm,0,2018-07-18 16:40:00,8.4025,9.924,9.999999999994457e-05
143,EWR-1,7/18/2018,04:50:00 pm,0,2018-07-18 16:50:00,8.4024,9.923,9.999999999994457e-05
144,EWR-1,7/18/2018,05:00:00 pm,0,2018-07-18 17:00:00,8.4016,9.922,0.00010000000000012221
145,EWR-1,7/18/2018,05:10:00 pm,0,2018-07-18 17:10:00,8.4017,9.921,9.999999999994457e-05
146,EWR-1,7/18/2018,05:20:00 pm,0,2018-07-18 17:20:00,8.4013,9.92,9.999999999994457e-05
147,EWR-1,7/18/2018,05:30:00 pm,0,2018-07-18 17:30:00,8.4016,9.919,0.00010000000000012221
148,EWR-1,7/18/2018,05:40:00 pm,0,2018-07-18 17:40:00,8.4011,9.918,9.999999999994457e-05
149,EWR-1,7/18/2018,05:50:00 pm,0,2018-07-18 17:50:00,8.4013,9.917,9.999999999994457e-05
150,EWR-1,7/18/2018,06:00:00 pm,0,2018-07-18 18:00:00,8.4014,9.916,0.00010000000000012221
151,EWR-1,7/18/2018,06:10:00 pm,0,2018-07-18 18:10:00,8.4017,9.915,9.999999999994457e-05
152,EWR-1,7/18/2018,06:20:00 pm,0,2018-07-18 18:20:00,8.4028,9.914,9.999999999994457e-05
153,EWR-1,7/18/2018,06:30:00 pm,0,2018-07-18 18:30:00,8.4038,9.913,0.0
154,EWR-1,7/18/2018,06:40:00 pm,0,2018-07-18 18:40:00,8.4052,9.913,9.999999999994457e-05
155,EWR-1,7/18/2018,06:50:00 pm,0,2018-07-18 18:50:00,8.4066,9.912,0.0
156,EWR-1,7/18/2018,07:00:00 pm,0,2018-07-18 19:00:00,8.4089,9.912,0.00010000000000012221
157,EWR-1,7/18/2018,07:10:00 pm,0,2018-07-18 19:10:00,8.4109,9.911,9.999999999994457e-05
158,EWR-1,7/18/2018,07:20:00 pm,0,2018-07-18 19:20:00,8.414,9.91,0.0
159,EWR-1,7/18/2018,07:30:00 pm,0,2018-07-18 19:30:00,8.4168,9.91,9.999999999994457e-05
160,EWR-1,7/18/2018,07:40:00 pm,0,2018-07-18 19:40:00,8.4193,9.909,0.0
161,EWR-1,7/18/2018,07:50:00 pm,0,2018-07-18 19:50:00,8.4219,9.909,0.00010000000000012221
162,EWR-1,7/18/2018,08:00:00 pm,0,2018-07-18 20:00:00,8.4239,9.908,0.0
163,EWR-1,7/18/2018,08:10:00 pm,0,2018-07-18 20:10:00,8.4264,9.908,0.0
164,EWR-1,7/18/2018,08:20:00 pm,0,2018-07-18 20:20:00,8.4283,9.908,9.999999999994457e-05
165,EWR-1,7/18/2018,08:30:00 pm,0,2018-07-18 20:30:00,8.4303,9.907,0.0
166,EWR-1,7/18/2018,08:40:00 pm,0,2018-07-18 20:40:00,8.432,9.907,0.0
167,EWR-1,7/18/2018,08:50:00 pm,0,2018-07-18 20:50:00,8.4338,9.907,0.0
168,EWR-1,7/18/2018,09:00:00 pm,0,2018-07-18 21:00:00,8.4365,9.907,0.0
169,EWR-1,7/18/2018,09:10:00 pm,0,2018-07-18 21:10:00,8.4388,9.907,9.999999999994457e-05
170,EWR-1,7/18/2018,09:20:00 pm,0,2018-07-18 21:20:00,8.4409,9.906,9.999999999994457e-05
171,EWR-1,7/18/2018,09:30:00 pm,0,2018-07-18 21:30:00,8.4427,9.907,0.0
172,EWR-1,7/18/2018,09:40:00 pm,0,2018-07-18 21:40:00,8.4441,9.907,0.0
173,EWR-1,7/18/2018,09:50:00 pm,0,2018-07-18 21:50:00,8.446,9.907,0.0
174,EWR-1,7/18/2018,10:00:00 pm,0,2018-07-18 22:00:00,8.4474,9.907,0.0
175,EWR-1,7/18/2018,10:10:00 pm,0,2018-07-18 22:10:00,8.4486,9.907,0.0
176,EWR-1,7/18/2018,10:20:00 pm,0,2018-07-18 22:20:00,8.4495,9.907,0.0
177,EWR-1,7/18/2018,10:30:00 pm,0,2018-07-18 22:30:00,8.4509,9.907,0.0
178,EWR-1,7/18/2018,10:40:00 pm,0,2018-07-18 22:40:00,8.4516,9.907,9.999999999994457e-05
179,EWR-1,7/18/2018,10:50:00 pm,0,2018-07-18 22:50:00,8.4522,9.908,0.0
180,EWR-1,7/18/2018,11:00:00 pm,0,2018-07-18 23:00:00,8.4528,9.908,0.00010000000000012221
181,EWR-1,7/18/2018,11:10:00 pm,0,2018-07-18 23:10:00,8.4537,9.909,0.0
182,EWR-1,7/18/2018,11:20:00 pm,0,2018-07-18 23:20:00,8.4545,9.909,0.0
183,EWR-1,7/18/2018,11:30:00 pm,0,2018-07-18 23:30:00,8.4546,9.909,0.0
184,EWR-1,7/18/2018,11:40:00 pm,0,2018-07-18 23:40:00,8.4559,9.909,9.999999999994457e-05
185,EWR-1,7/18/2018,11:50:00 pm,0,2018-07-18 23:50:00,8.4572,9.91,9.999999999994457e-05
186,EWR-1,7/19/2018,12:00:00 am,0,2018-07-19 00:00:00,8.4572,9.911,0.0
187,EWR-1,7/19/2018,12:10:00 am,0,2018-07-19 00:10:00,8.458,9.911,0.00010000000000012221
188,EWR-1,7/19/2018,12:20:00 am,0,2018-07-19 00:20:00,8.4588,9.912,0.0
189,EWR-1,7/19/2018,12:30:00 am,0,2018-07-19 00:30:00,8.4595,9.912,9.999999999994457e-05
190,EWR-1,7/19/2018,12:40:00 am,0,2018-07-19 00:40:00,8.4595,9.913,0.0
191,EWR-1,7/19/2018,12:50:00 am,0,2018-07-19 00:50:00,8.4599,9.913,9.999999999994457e-05
192,EWR-1,7/19/2018,01:00:00 am,0,2018-07-19 01:00:00,8.46,9.914,9.999999999994457e-05
193,EWR-1,7/19/2018,01:10:00 am,0,2018-07-19 01:10:00,8.4604,9.915,0.0
194,EWR-1,7/19/2018,01:20:00 am,0,2018-07-19 01:20:00,8.4603,9.915,0.00010000000000012221
195,EWR-1,7/19/2018,01:30:00 am,0,2018-07-19 01:30:00,8.4605,9.916,9.999999999994457e-05
196,EWR-1,7/19/2018,01:40:00 am,0,2018-07-19 01:40:00,8.4604,9.917,0.0
197,EWR-1,7/19/2018,01:50:00 am,0,2018-07-19 01:50:00,8.4608,9.917,9.999999999994457e-05
198,EWR-1,7/19/2018,02:00:00 am,0,2018-07-19 02:00:00,8.4609,9.918,0.0
199,EWR-1,7/19/2018,02:10:00 am,0,2018-07-19 02:10:00,8.4609,9.918,0.00010000000000012221
200,EWR-1,7/19/2018,02:20:00 am,0,2018-07-19 02:20:00,8.4603,9.919,0.0
201,EWR-1,7/19/2018,02:30:00 am,0,2018-07-19 02:30:00,8.4608,9.919,9.999999999994457e-05
202,EWR-1,7/19/2018,02:40:00 am,0,2018-07-19 02:40:00,8.4613,9.92,9.999999999994457e-05
203,EWR-1,7/19/2018,02:50:00 am,0,2018-07-19 02:50:00,8.4614,9.921,0.0
204,EWR-1,7/19/2018,03:00:00 am,0,2018-07-19 03:00:00,8.4614,9.921,0.00010000000000012221
205,EWR-1,7/19/2018,03:10:00 am,0,2018-07-19 03:10:00,8.4619,9.922,0.0
206,EWR-1,7/19/2018,03:20:00 am,0,2018-07-19 03:20:00,8.4616,9.922,9.999999999994457e-05
207,EWR-1,7/19/2018,03:30:00 am,0,2018-07-19 03:30:00,8.4619,9.923,0.0
208,EWR-1,7/19/2018,03:40:00 am,0,2018-07-19 03:40:00,8.462,9.923,9.999999999994457e-05
