,well_id,Date,Time,ms,DT,raw_LEVEL_m,TEMPERATURE,Rate of Change
13,EWT-1,6/2/2024,01:40:00 pm,0,2024-06-02 13:40:00,8.9986,2.984,0.0021999999999999797
14,EWT-1,6/2/2024,01:50:00 pm,0,2024-06-02 13:50:00,8.9984,2.962,0.0016000000000000014
15,EWT-1,6/2/2024,02:00:00 pm,0,2024-06-02 14:00:00,8.9969,2.946,0.001200000000000001
16,EWT-1,6/2/2024,02:10:00 pm,0,2024-06-02 14:10:00,8.9968,2.934,0.001000000000000023
17,EWT-1,6/2/2024,02:20:00 pm,0,2024-06-02 14:20:00,8.9977,2.924,0.0008000000000000007
18,EWT-1,6/2/2024,02:30:00 pm,0,2024-06-02 14:30:00,8.9978,2.916,0.0007000000000000117
19,EWT-1,6/2/2024,02:40:00 pm,0,2024-06-02 14:40:00,8.9981,2.909,0.0004999999999999894
20,EWT-1,6/2/2024,02:50:00 pm,0,2024-06-02 14:50:00,8.9981,2.904,0.0004999999999999894
21,EWT-1,6/2/2024,03:00:00 pm,0,2024-06-02 15:00:00,8.9995,2.899,0.00030000000000001136
22,EWT-1,6/2/2024,03:10:00 pm,0,2024-06-02 15:10:00,8.9993,2.896,0.00040000000000000034
23,EWT-1,6/2/2024,03:20:00 pm,0,2024-06-02 15:20:00,8.9981,2.892,0.00019999999999997797
24,EWT-1,6/2/2024,03:30:00 pm,0,2024-06-02 15:30:00,8.9983,2.89,0.00030000000000001136
25,EWT-1,6/2/2024,03:40:00 pm,0,2024-06-02 15:40:00,8.9989,2.887,0.00020000000000002237
26,EWT-1,6/2/2024,03:50:00 pm,0,2024-06-02 15:50:00,8.9982,2.885,9.999999999998899e-05
27,EWT-1,6/2/2024,04:00:00 pm,0,2024-06-02 16:00:00,8.9982,2.884,9.999999999998899e-05
28,EWT-1,6/2/2024,04:10:00 pm,0,2024-06-02 16:10:00,8.9974,2.883,0.00020000000000002237
29,EWT-1,6/2/2024,04:20:00 pm,0,2024-06-02 16:20:00,8.9975,2.881,9.999999999998899e-05
30,EWT-1,6/2/2024,04:30:00 pm,0,2024-06-02 16:30:00,8.9973,2.88,9.999999999998899e-05
31,EWT-1,6/2/2024,04:40:00 pm,0,2024-06-02 16:40:00,8.9966,2.879,9.999999999998899e-05
32,EWT-1,6/2/2024,04:50:00 pm,0,2024-06-02 16:50:00,8.9971,2.878,0.0001000000000000334
33,EWT-1,6/2/2024,05:00:00 pm,0,2024-06-02 17:00:00,8.9973,2.877,9.999999999998899e-05
34,EWT-1,6/2/2024,05:10:00 pm,0,2024-06-02 17:10:00,8.9978,2.876,9.999999999998899e-05
35,EWT-1,6/2/2024,05:20:00 pm,0,2024-06-02 17:20:00,8.9968,2.875,0.0
36,EWT-1,6/2/2024,05:30:00 pm,0,2024-06-02 17:30:00,8.9962,2.875,9.999999999998899e-05
