,well_id,Date,Time,ms,DT,raw_LEVEL_m,TEMPERATURE,Rate of Change
0,KEF-1,7/14/2024,05:00:00 pm,0,2024-07-14 17:00:00,9.1431,9.364,0.00010000000000012221
1,KEF-1,7/14/2024,05:10:00 pm,0,2024-07-14 17:10:00,9.1432,9.363,0.0
2,KEF-1,7/14/2024,05:20:00 pm,0,2024-07-14 17:20:00,9.1425,9.363,9.999999999994457e-05
3,KEF-1,7/14/2024,05:30:00 pm,0,2024-07-14 17:30:00,9.1421,9.362,0.0
4,KEF-1,7/14/2024,05:40:00 pm,0,2024-07-14 17:40:00,9.1436,9.362,9.999999999994457e-05
5,KEF-1,7/14/2024,05:50:00 pm,0,2024-07-14 17:50:00,9.1439,9.363,0.0
6,KEF-1,7/14/2024,06:00:00 pm,0,2024-07-14 18:00:00,9.1438,9.363,0.0
7,KEF-1,7/14/2024,06:10:00 pm,0,2024-07-14 18:10:00,9.1438,9.363,0.0
8,KEF-1,7/14/2024,06:20:00 pm,0,2024-07-14 18:20:00,9.1435,9.363,0.0
9,KEF-1,7/14/2024,06:30:00 pm,0,2024-07-14 18:30:00,9.1433,9.363,0.0
10,KEF-1,7/14/2024,06:40:00 pm,0,2024-07-14 18:40:00,9.1437,9.363,0.0
11,KEF-1,7/14/2024,06:50:00 pm,0,2024-07-14 18:50:00,9.1437,9.363,0.0
12,KEF-1,7/14/2024,07:00:00 pm,0,2024-07-14 19:00:00,9.143,9.363,0.0
13,KEF-1,7/14/2024,07:10:00 pm,0,2024-07-14 19:10:00,9.1425,9.363,0.0
14,KEF-1,7/14/2024,07:20:00 pm,0,2024-07-14 19:20:00,9.1432,9.363,0.00010000000000012221
15,KEF-1,7/14/2024,07:30:00 pm,0,2024-07-14 19:30:00,9.1443,9.364,0.0
16,KEF-1,7/14/2024,07:40:00 pm,0,2024-07-14 19:40:00,9.1441,9.364,0.0
17,KEF-1,7/14/2024,07:50:00 pm,0,2024-07-14 19:50:00,9.1442,9.364,0.0
18,KEF-1,7/14/2024,08:00:00 pm,0,2024-07-14 20:00:00,9.1436,9.364,9.999999999994457e-05
19,KEF-1,7/14/2024,08:10:00 pm,0,2024-07-14 20:10:00,9.143,9.365,0.0
20,KEF-1,7/14/2024,08:20:00 pm,0,2024-07-14 20:20:00,9.1431,9.365,9.999999999994457e-05
21,KEF-1,7/14/2024,08:30:00 pm,0,2024-07-14 20:30:00,9.1431,9.366,0.0
