,Date,Time,ms,DT,raw_LEVEL_m,TEMPERATURE,Rate of Change
0,8/24/2018,02:30:00 pm,0,2018-08-24 14:30:00,8.2018,21.235,0.49549999999999983
1,8/24/2018,02:40:00 pm,0,2018-08-24 14:40:00,8.1996,16.28,0.24060000000000006
2,8/24/2018,02:50:00 pm,0,2018-08-24 14:50:00,8.1878,13.874,0.1348000000000001
3,8/24/2018,03:00:00 pm,0,2018-08-24 15:00:00,8.1907,12.526,0.07970000000000006
4,8/24/2018,03:10:00 pm,0,2018-08-24 15:10:00,8.1585,11.729,0.04799999999999986
5,8/24/2018,03:20:00 pm,0,2018-08-24 15:20:00,8.1848,11.249,0.029400000000000048
6,8/24/2018,03:30:00 pm,0,2018-08-24 15:30:00,8.1683,10.955,0.018299999999999983
7,8/24/2018,03:40:00 pm,0,2018-08-24 15:40:00,8.16,10.772,0.011400000000000077
8,8/24/2018,03:50:00 pm,0,2018-08-24 15:50:00,8.1883,10.658,0.007399999999999985
9,8/24/2018,04:00:00 pm,0,2018-08-24 16:00:00,8.1848,10.584,0.004999999999999893
10,8/24/2018,04:10:00 pm,0,2018-08-24 16:10:00,8.1765,10.534,0.0035000000000000144
11,8/24/2018,04:20:00 pm,0,2018-08-24 16:20:00,8.1719,10.499,0.0025000000000000356
12,8/24/2018,04:30:00 pm,0,2018-08-24 16:30:00,8.1686,10.474,0.0018000000000000683
13,8/24/2018,04:40:00 pm,0,2018-08-24 16:40:00,8.1662,10.456,0.0014999999999998793
14,8/24/2018,04:50:00 pm,0,2018-08-24 16:50:00,8.1647,10.441,0.001100000000000101
15,8/24/2018,05:00:00 pm,0,2018-08-24 17:00:00,8.1627,10.43,0.0009999999999999788
16,8/24/2018,05:10:00 pm,0,2018-08-24 17:10:00,8.1609,10.42,0.0007999999999999119
17,8/24/2018,05:20:00 pm,0,2018-08-24 17:20:00,8.1596,10.412,0.0006000000000000227
18,8/24/2018,05:30:00 pm,0,2018-08-24 17:30:00,8.1582,10.406,0.0006000000000000227
19,8/24/2018,05:40:00 pm,0,2018-08-24 17:40:00,8.1602,10.4,0.0005000000000000782
20,8/24/2018,05:50:00 pm,0,2018-08-24 17:50:00,8.1879,10.395,0.0004999999999999005
21,8/24/2018,06:00:00 pm,0,2018-08-24 18:00:00,8.1842,10.39,0.0004000000000001336
22,8/24/2018,06:10:00 pm,0,2018-08-24 18:10:00,8.1808,10.386,0.00039999999999995595
23,8/24/2018,06:20:00 pm,0,2018-08-24 18:20:00,8.1788,10.382,0.00030000000000001136
24,8/24/2018,06:30:00 pm,0,2018-08-24 18:30:00,8.1768,10.379,0.00030000000000001136
25,8/24/2018,06:40:00 pm,0,2018-08-24 18:40:00,8.1755,10.376,0.00039999999999995595
26,8/24/2018,06:50:00 pm,0,2018-08-24 18:50:00,8.1743,10.372,0.0002000000000000668
27,8/24/2018,07:00:00 pm,0,2018-08-24 19:00:00,8.173,10.37,0.0002999999999998337
28,8/24/2018,07:10:00 pm,0,2018-08-24 19:10:00,8.1721,10.367,0.00030000000000001136
29,8/24/2018,07:20:00 pm,0,2018-08-24 19:20:00,8.1715,10.364,0.0002000000000000668
30,8/24/2018,07:30:00 pm,0,2018-08-24 19:30:00,8.1713,10.362,0.00030000000000001136
31,8/24/2018,07:40:00 pm,0,2018-08-24 19:40:00,8.1706,10.359,0.0002000000000000668
32,8/24/2018,07:50:00 pm,0,2018-08-24 19:50:00,8.1699,10.357,0.00019999999999988915
33,8/24/2018,08:00:00 pm,0,2018-08-24 20:00:00,8.1689,10.355,0.0002000000000000668
34,8/24/2018,08:10:00 pm,0,2018-08-24 20:10:00,8.1682,10.353,0.00019999999999988915
35,8/24/2018,08:20:00 pm,0,2018-08-24 20:20:00,8.1677,10.351,0.0002000000000000668
36,8/24/2018,08:30:00 pm,0,2018-08-24 20:30:00,8.167,10.349,0.0002000000000000668
37,8/24/2018,08:40:00 pm,0,2018-08-24 20:40:00,8.1665,10.347,0.00019999999999988915
38,8/24/2018,08:50:00 pm,0,2018-08-24 20:50:00,8.1663,10.345,0.0002000000000000668
39,8/24/2018,09:00:00 pm,0,2018-08-24 21:00:00,8.1696,10.343,0.0002000000000000668
40,8/24/2018,09:10:00 pm,0,2018-08-24 21:10:00,8.1972,10.341,9.999999999994457e-05
41,8/24/2018,09:20:00 pm,0,2018-08-24 21:20:00,8.1954,10.34,0.0002000000000000668
42,8/24/2018,09:30:00 pm,0,2018-08-24 21:30:00,8.1937,10.338,0.00019999999999988915
43,8/24/2018,09:40:00 pm,0,2018-08-24 21:40:00,8.1915,10.336,9.999999999994457e-05
44,8/24/2018,09:50:00 pm,0,2018-08-24 21:50:00,8.1899,10.335,0.0002000000000000668
45,8/24/2018,10:00:00 pm,0,2018-08-24 22:00:00,8.1883,10.333,0.0002000000000000668
46,8/24/2018,10:10:00 pm,0,2018-08-24 22:10:00,8.1863,10.331,9.999999999994457e-05
47,8/24/2018,10:20:00 pm,0,2018-08-24 22:20:00,8.1852,10.33,9.999999999994457e-05
48,8/24/2018,10:30:00 pm,0,2018-08-24 22:30:00,8.1835,10.329,0.00010000000000012221
49,8/24/2018,10:40:00 pm,0,2018-08-24 22:40:00,8.1817,10.328,0.00019999999999988915
50,8/24/2018,10:50:00 pm,0,2018-08-24 22:50:00,8.18,10.326,0.00010000000000012221
51,8/24/2018,11:00:00 pm,0,2018-08-24 23:00:00,8.1784,10.325,0.00019999999999988915
52,8/24/2018,11:10:00 pm,0,2018-08-24 23:10:00,8.1768,10.323,0.00010000000000012221
53,8/24/2018,11:20:00 pm,0,2018-08-24 23:20:00,8.1759,10.322,9.999999999994457e-05
54,8/24/2018,11:30:00 pm,0,2018-08-24 23:30:00,8.175,10.321,9.999999999994457e-05
55,8/24/2018,11:40:00 pm,0,2018-08-24 23:40:00,8.1741,10.32,9.999999999994457e-05
56,8/24/2018,11:50:00 pm,0,2018-08-24 23:50:00,8.1729,10.319,0.00010000000000012221
57,8/25/2018,12:00:00 am,0,2018-08-25 00:00:00,8.1721,10.318,9.999999999994457e-05
