well_id,Date,Time,ms,DT,raw_Level_m,TEMPERATURE,Rate of Change
KHF-1,5/26/2025,08:00:00 pm,0,2025-05-26 20:00:00,9.6157,4.38,0.00019999999999997797
KHF-1,5/26/2025,08:10:00 pm,0,2025-05-26 20:10:00,9.618,4.382,0.0001000000000000334
KHF-1,5/26/2025,08:20:00 pm,0,2025-05-26 20:20:00,9.6184,4.383,0.00019999999999997797
KHF-1,5/26/2025,08:30:00 pm,0,2025-05-26 20:30:00,9.6198,4.381,9.999999999994457e-05
KHF-1,5/26/2025,08:40:00 pm,0,2025-05-26 20:40:00,9.6206,4.382,0.0
KHF-1,5/26/2025,08:50:00 pm,0,2025-05-26 20:50:00,9.6225,4.382,0.0001000000000000334
KHF-1,5/26/2025,09:00:00 pm,0,2025-05-26 21:00:00,9.6246,4.383,0.0001000000000000334
KHF-1,5/26/2025,09:10:00 pm,0,2025-05-26 21:10:00,9.6267,4.382,0.0
KHF-1,5/26/2025,09:20:00 pm,0,2025-05-26 21:20:00,9.6288,4.382,0.00030000000000001136
KHF-1,5/26/2025,09:30:00 pm,0,2025-05-26 21:30:00,9.6306,4.385,0.0
KHF-1,5/26/2025,09:40:00 pm,0,2025-05-26 21:40:00,9.6331,4.385,0.0
KHF-1,5/26/2025,09:50:00 pm,0,2025-05-26 21:50:00,9.6345,4.385,0.0
KHF-1,5/26/2025,10:00:00 pm,0,2025-05-26 22:00:00,9.6363,4.385,0.00019999999999997797
KHF-1,5/26/2025,10:10:00 pm,0,2025-05-26 22:10:00,9.6368,4.387,0.0
KHF-1,5/26/2025,10:20:00 pm,0,2025-05-26 22:20:00,9.6372,4.387,9.999999999994457e-05
KHF-1,5/26/2025,10:30:00 pm,0,2025-05-26 22:30:00,9.6363,4.386,9.999999999994457e-05
KHF-1,5/26/2025,10:40:00 pm,0,2025-05-26 22:40:00,9.6365,4.387,0.0
KHF-1,5/26/2025,10:50:00 pm,0,2025-05-26 22:50:00,9.6366,4.387,0.0001000000000000334
KHF-1,5/26/2025,11:00:00 pm,0,2025-05-26 23:00:00,9.6366,4.388,0.0
KHF-1,5/26/2025,11:10:00 pm,0,2025-05-26 23:10:00,9.6386,4.388,0.00019999999999997797
