,Date,Time,ms,DT,raw_LEVEL_m,TEMPERATURE,Rate of Change
45,7/3/2021,07:30:00 pm,0,2021-07-03 19:30:00,8.189,21.68,1.0409
46,7/3/2021,07:40:00 pm,0,2021-07-03 19:40:00,8.3613,11.271,0.11690000000000005
47,7/3/2021,07:50:00 pm,0,2021-07-03 19:50:00,8.3503,10.102,0.017600000000000015
48,7/3/2021,08:00:00 pm,0,2021-07-03 20:00:00,8.3502,9.926,0.008200000000000074
49,7/3/2021,08:10:00 pm,0,2021-07-03 20:10:00,8.3511,9.844,0.00519999999999996
50,7/3/2021,08:20:00 pm,0,2021-07-03 20:20:00,8.3532,9.792,0.0028999999999999916
51,7/3/2021,08:30:00 pm,0,2021-07-03 20:30:00,8.354,9.763,0.0019000000000000128
52,7/3/2021,08:40:00 pm,0,2021-07-03 20:40:00,8.3554,9.744,0.0012000000000000454
53,7/3/2021,08:50:00 pm,0,2021-07-03 20:50:00,8.3567,9.732,0.0009999999999999788
54,7/3/2021,09:00:00 pm,0,2021-07-03 21:00:00,8.3582,9.722,0.0006999999999999674
55,7/3/2021,09:10:00 pm,0,2021-07-03 21:10:00,8.3592,9.715,0.00039999999999995595
56,7/3/2021,09:20:00 pm,0,2021-07-03 21:20:00,8.3604,9.711,0.0005000000000000782
57,7/3/2021,09:30:00 pm,0,2021-07-03 21:30:00,8.3623,9.706,0.00019999999999988915
58,7/3/2021,09:40:00 pm,0,2021-07-03 21:40:00,8.3642,9.704,0.0002000000000000668
59,7/3/2021,09:50:00 pm,0,2021-07-03 21:50:00,8.3657,9.702,0.00030000000000001136
60,7/3/2021,10:00:00 pm,0,2021-07-03 22:00:00,8.367,9.699,9.999999999994457e-05
61,7/3/2021,10:10:00 pm,0,2021-07-03 22:10:00,8.3695,9.698,0.0002000000000000668
62,7/3/2021,10:20:00 pm,0,2021-07-03 22:20:00,8.3712,9.696,9.999999999994457e-05
63,7/3/2021,10:30:00 pm,0,2021-07-03 22:30:00,8.373,9.695,0.0
64,7/3/2021,10:40:00 pm,0,2021-07-03 22:40:00,8.3749,9.695,9.999999999994457e-05
65,7/3/2021,10:50:00 pm,0,2021-07-03 22:50:00,8.3752,9.694,0.0
66,7/3/2021,11:00:00 pm,0,2021-07-03 23:00:00,8.3759,9.694,0.00010000000000012221
67,7/3/2021,11:10:00 pm,0,2021-07-03 23:10:00,8.3762,9.693,0.0
68,7/3/2021,11:20:00 pm,0,2021-07-03 23:20:00,8.3772,9.693,0.0
69,7/3/2021,11:30:00 pm,0,2021-07-03 23:30:00,8.3782,9.693,0.0
70,7/3/2021,11:40:00 pm,0,2021-07-03 23:40:00,8.3788,9.693,0.0
71,7/3/2021,11:50:00 pm,0,2021-07-03 23:50:00,8.3793,9.693,9.999999999994457e-05
72,7/4/2021,12:00:00 am,0,2021-07-04 00:00:00,8.3794,9.692,0.0
73,7/4/2021,12:10:00 am,0,2021-07-04 00:10:00,8.38,9.692,9.999999999994457e-05
74,7/4/2021,12:20:00 am,0,2021-07-04 00:20:00,8.3802,9.693,9.999999999994457e-05
75,7/4/2021,12:30:00 am,0,2021-07-04 00:30:00,8.3811,9.692,9.999999999994457e-05
76,7/4/2021,12:40:00 am,0,2021-07-04 00:40:00,8.3812,9.693,0.0
77,7/4/2021,12:50:00 am,0,2021-07-04 00:50:00,8.3818,9.693,0.0
78,7/4/2021,01:00:00 am,0,2021-07-04 01:00:00,8.3829,9.693,0.0
79,7/4/2021,01:10:00 am,0,2021-07-04 01:10:00,8.3831,9.693,0.0
80,7/4/2021,01:20:00 am,0,2021-07-04 01:20:00,8.3837,9.693,0.0
81,7/4/2021,01:30:00 am,0,2021-07-04 01:30:00,8.3835,9.693,0.00010000000000012221
82,7/4/2021,01:40:00 am,0,2021-07-04 01:40:00,8.384,9.694,9.999999999994457e-05
83,7/4/2021,01:50:00 am,0,2021-07-04 01:50:00,8.3847,9.695,0.0
84,7/4/2021,02:00:00 am,0,2021-07-04 02:00:00,8.3847,9.695,0.0
85,7/4/2021,02:10:00 am,0,2021-07-04 02:10:00,8.3854,9.695,0.0
86,7/4/2021,02:20:00 am,0,2021-07-04 02:20:00,8.3861,9.695,0.0
87,7/4/2021,02:30:00 am,0,2021-07-04 02:30:00,8.3855,9.695,9.999999999994457e-05
88,7/4/2021,02:40:00 am,0,2021-07-04 02:40:00,8.3836,9.696,0.0
89,7/4/2021,02:50:00 am,0,2021-07-04 02:50:00,8.3848,9.696,9.999999999994457e-05
90,7/4/2021,03:00:00 am,0,2021-07-04 03:00:00,8.3858,9.697,0.0
91,7/4/2021,03:10:00 am,0,2021-07-04 03:10:00,8.3857,9.697,0.0
92,7/4/2021,03:20:00 am,0,2021-07-04 03:20:00,8.3863,9.697,0.00010000000000012221
93,7/4/2021,03:30:00 am,0,2021-07-04 03:30:00,8.3882,9.698,0.0
94,7/4/2021,03:40:00 am,0,2021-07-04 03:40:00,8.3886,9.698,9.999999999994457e-05
95,7/4/2021,03:50:00 am,0,2021-07-04 03:50:00,8.3887,9.699,0.0
96,7/4/2021,04:00:00 am,0,2021-07-04 04:00:00,8.3887,9.699,9.999999999994457e-05
97,7/4/2021,04:10:00 am,0,2021-07-04 04:10:00,8.3874,9.7,0.0
98,7/4/2021,04:20:00 am,0,2021-07-04 04:20:00,8.3862,9.7,0.00010000000000012221
99,7/4/2021,04:30:00 am,0,2021-07-04 04:30:00,8.3849,9.701,0.0
100,7/4/2021,04:40:00 am,0,2021-07-04 04:40:00,8.3841,9.701,9.999999999994457e-05
101,7/4/2021,04:50:00 am,0,2021-07-04 04:50:00,8.3863,9.702,0.0
102,7/4/2021,05:00:00 am,0,2021-07-04 05:00:00,8.387,9.702,9.999999999994457e-05
103,7/4/2021,05:10:00 am,0,2021-07-04 05:10:00,8.3889,9.703,0.0
104,7/4/2021,05:20:00 am,0,2021-07-04 05:20:00,8.3895,9.703,0.00010000000000012221
105,7/4/2021,05:30:00 am,0,2021-07-04 05:30:00,8.3898,9.704,0.0
106,7/4/2021,05:40:00 am,0,2021-07-04 05:40:00,8.3908,9.704,9.999999999994457e-05
107,7/4/2021,05:50:00 am,0,2021-07-04 05:50:00,8.3911,9.705,0.0
108,7/4/2021,06:00:00 am,0,2021-07-04 06:00:00,8.3914,9.705,9.999999999994457e-05
109,7/4/2021,06:10:00 am,0,2021-07-04 06:10:00,8.3911,9.706,0.0
110,7/4/2021,06:20:00 am,0,2021-07-04 06:20:00,8.3912,9.706,0.00010000000000012221
111,7/4/2021,06:30:00 am,0,2021-07-04 06:30:00,8.391,9.707,0.0
112,7/4/2021,06:40:00 am,0,2021-07-04 06:40:00,8.3911,9.707,9.999999999994457e-05
113,7/4/2021,06:50:00 am,0,2021-07-04 06:50:00,8.3913,9.708,0.0
114,7/4/2021,07:00:00 am,0,2021-07-04 07:00:00,8.3913,9.708,9.999999999994457e-05
115,7/4/2021,07:10:00 am,0,2021-07-04 07:10:00,8.391,9.709,0.0
116,7/4/2021,07:20:00 am,0,2021-07-04 07:20:00,8.3912,9.709,0.00010000000000012221
117,7/4/2021,07:30:00 am,0,2021-07-04 07:30:00,8.3918,9.71,0.0
118,7/4/2021,07:40:00 am,0,2021-07-04 07:40:00,8.3922,9.71,9.999999999994457e-05
119,7/4/2021,07:50:00 am,0,2021-07-04 07:50:00,8.3928,9.711,0.0
120,7/4/2021,08:00:00 am,0,2021-07-04 08:00:00,8.3931,9.711,9.999999999994457e-05
121,7/4/2021,08:10:00 am,0,2021-07-04 08:10:00,8.3933,9.712,0.0
122,7/4/2021,08:20:00 am,0,2021-07-04 08:20:00,8.3937,9.712,9.999999999994457e-05
123,7/4/2021,08:30:00 am,0,2021-07-04 08:30:00,8.3944,9.713,0.0
124,7/4/2021,08:40:00 am,0,2021-07-04 08:40:00,8.3948,9.713,0.00010000000000012221
125,7/4/2021,08:50:00 am,0,2021-07-04 08:50:00,8.3952,9.714,0.0
126,7/4/2021,09:00:00 am,0,2021-07-04 09:00:00,8.3951,9.714,9.999999999994457e-05
127,7/4/2021,09:10:00 am,0,2021-07-04 09:10:00,8.395,9.715,9.999999999994457e-05
