well_id,Date,Time,ms,DT,raw_Level_m,TEMPERATURE,Rate of Change
KWT-1,6/18/2025,12:00:00 pm,0,2025-06-18 12:00:00,8.1729,32.652,2.3328
KWT-1,6/18/2025,12:10:00 pm,0,2025-06-18 12:10:00,8.9527,9.324,0.08840000000000003
KWT-1,6/18/2025,12:20:00 pm,0,2025-06-18 12:20:00,8.9468,8.44,0.028099999999999882
KWT-1,6/18/2025,12:30:00 pm,0,2025-06-18 12:30:00,8.9451,8.159,0.013700000000000045
KWT-1,6/18/2025,12:40:00 pm,0,2025-06-18 12:40:00,8.9451,8.022,0.008100000000000041
KWT-1,6/18/2025,12:50:00 pm,0,2025-06-18 12:50:00,8.9449,7.941,0.00519999999999996
KWT-1,6/18/2025,01:00:00 pm,0,2025-06-18 13:00:00,8.9452,7.889,0.0035000000000000144
KWT-1,6/18/2025,01:10:00 pm,0,2025-06-18 13:10:00,8.9457,7.854,0.0022999999999999687
KWT-1,6/18/2025,01:20:00 pm,0,2025-06-18 13:20:00,8.9452,7.831,0.0019000000000000128
KWT-1,6/18/2025,01:30:00 pm,0,2025-06-18 13:30:00,8.9451,7.812,0.0014000000000000234
KWT-1,6/18/2025,01:40:00 pm,0,2025-06-18 13:40:00,8.9454,7.798,0.0009000000000000341
KWT-1,6/18/2025,01:50:00 pm,0,2025-06-18 13:50:00,8.9451,7.789,0.0008000000000000007
KWT-1,6/18/2025,02:00:00 pm,0,2025-06-18 14:00:00,8.9453,7.781,0.0008000000000000007
KWT-1,6/18/2025,02:10:00 pm,0,2025-06-18 14:10:00,8.9452,7.773,0.0005999999999999339
KWT-1,6/18/2025,02:20:00 pm,0,2025-06-18 14:20:00,8.9448,7.767,0.00030000000000001136
KWT-1,6/18/2025,02:30:00 pm,0,2025-06-18 14:30:00,8.9447,7.764,0.00030000000000001136
KWT-1,6/18/2025,02:40:00 pm,0,2025-06-18 14:40:00,8.9444,7.761,0.00030000000000001136
KWT-1,6/18/2025,02:50:00 pm,0,2025-06-18 14:50:00,8.9441,7.758,0.0004999999999999894
KWT-1,6/18/2025,03:00:00 pm,0,2025-06-18 15:00:00,8.9437,7.753,0.0001000000000000334
KWT-1,6/18/2025,03:10:00 pm,0,2025-06-18 15:10:00,8.943,7.752,9.999999999994457e-05
KWT-1,6/18/2025,03:20:00 pm,0,2025-06-18 15:20:00,8.9423,7.751,0.0001000000000000334
KWT-1,6/18/2025,03:30:00 pm,0,2025-06-18 15:30:00,8.942,7.75,0.00019999999999997797
KWT-1,6/18/2025,03:40:00 pm,0,2025-06-18 15:40:00,8.9416,7.748,0.0
KWT-1,6/18/2025,03:50:00 pm,0,2025-06-18 15:50:00,8.9409,7.748,0.00030000000000001136
KWT-1,6/18/2025,04:00:00 pm,0,2025-06-18 16:00:00,8.9405,7.745,0.00019999999999997797
KWT-1,6/18/2025,04:10:00 pm,0,2025-06-18 16:10:00,8.9401,7.743,0.0
KWT-1,6/18/2025,04:20:00 pm,0,2025-06-18 16:20:00,8.9397,7.743,0.0
KWT-1,6/18/2025,04:30:00 pm,0,2025-06-18 16:30:00,8.9394,7.743,0.00030000000000001136
KWT-1,6/18/2025,04:40:00 pm,0,2025-06-18 16:40:00,8.9388,7.74,0.00019999999999997797
KWT-1,6/18/2025,04:50:00 pm,0,2025-06-18 16:50:00,8.9387,7.742,0.00019999999999997797
KWT-1,6/18/2025,05:00:00 pm,0,2025-06-18 17:00:00,8.9377,7.74,0.0001000000000000334
KWT-1,6/18/2025,05:10:00 pm,0,2025-06-18 17:10:00,8.9373,7.739,0.0001000000000000334
KWT-1,6/18/2025,05:20:00 pm,0,2025-06-18 17:20:00,8.9375,7.74,0.0001000000000000334
KWT-1,6/18/2025,05:30:00 pm,0,2025-06-18 17:30:00,8.9366,7.739,0.0
KWT-1,6/18/2025,05:40:00 pm,0,2025-06-18 17:40:00,8.9365,7.739,0.00019999999999997797
KWT-1,6/18/2025,05:50:00 pm,0,2025-06-18 17:50:00,8.9358,7.737,0.0
KWT-1,6/18/2025,06:00:00 pm,0,2025-06-18 18:00:00,8.9355,7.737,0.0
KWT-1,6/18/2025,06:10:00 pm,0,2025-06-18 18:10:00,8.9351,7.737,0.00030000000000001136
KWT-1,6/18/2025,06:20:00 pm,0,2025-06-18 18:20:00,8.9349,7.74,0.00030000000000001136
KWT-1,6/18/2025,06:30:00 pm,0,2025-06-18 18:30:00,8.9343,7.737,0.0
KWT-1,6/18/2025,06:40:00 pm,0,2025-06-18 18:40:00,8.9342,7.737,0.0
KWT-1,6/18/2025,06:50:00 pm,0,2025-06-18 18:50:00,8.934,7.737,0.0001000000000000334
KWT-1,6/18/2025,07:00:00 pm,0,2025-06-18 19:00:00,8.9338,7.736,0.0
KWT-1,6/18/2025,07:10:00 pm,0,2025-06-18 19:10:00,8.9336,7.736,0.0001000000000000334
KWT-1,6/18/2025,07:20:00 pm,0,2025-06-18 19:20:00,8.9336,7.737,0.0
KWT-1,6/18/2025,07:30:00 pm,0,2025-06-18 19:30:00,8.9331,7.737,0.0001000000000000334
KWT-1,6/18/2025,07:40:00 pm,0,2025-06-18 19:40:00,8.9331,7.738,0.00030000000000001136
KWT-1,6/18/2025,07:50:00 pm,0,2025-06-18 19:50:00,8.9329,7.735,0.00019999999999997797
