,well_id,front_cutoff,back_cutoff
0,EEF-1,0,8
0,EEF-1,3,0
0,EEF-1,0,0
0,EEF-1,1,0
0,EEF-1,0,0
0,EEF-1,0,0
0,EEF-1,0,192
0,EEF-XA3S,2,22
0,EER-1,0,0
0,EER-1,0,23
0,EER-1,0,137
0,EER-1,2,0
0,EER-1,0,0
0,EER-1,0,0
0,EET-1,0,5
0,EET-1,1,0
0,EET-1,0,1
0,EET-2,1,0
0,EET-2,7,0
0,EFF-XA2S,0,7
0,EHR-1,1,27
0,EHR-1,0,134
0,EHR-1,3,0
0,EHR-1,0,188
0,EHT-XA5S,0,7
0,EHT-XA5S,0,0
0,EHT-XA5S,12,0
0,EHT-XA5S,7,1
0,EWR-1,0,8
0,EWR-1,1,23
0,EWR-1,0,1
0,EWR-1,0,135
0,EWT-1,0,0
0,EWT-1,0,0
0,EWT-1,15,1
0,EWT-1,0,0
0,EWT-1,8,2
0,EWT-1,0,191
0,KEF-1,6,0
0,KEF-1,0,0
0,KEF-1,0,0
0,KEF-1,79,125
0,KEF-1,151,0
0,KEF-1,0,0
0,KEF-1,0,91
0,KEF-1,16,0
0,KEF-1,0,208
0,KER-1,0,1
0,KER-1,0,0
0,KER-1,5,0
0,KET-1,122,0
0,KET-1,0,0
0,KET-1,0,0
0,KET-1,10,0
0,KET-1,0,0
0,KFR-XE1S,0,0
0,KFR-XE1S,0,0
0,KHF-1,0,0
0,KHF-1,150,0
0,KHF-1,0,0
0,KHF-1,0,0
0,KHF-1,0,91
0,KHF-1,17,0
0,KHF-1,0,208
0,KHR-1,0,0
0,KHR-1,0,0
0,KHR-1,0,1
0,KHT-XE4S,0,0
0,KHT-XE5S,0,1
0,KHT-XE5S,0,0
0,KHT-XE5S,144,8
0,KHT-XE5S,0,1
0,KHT-XE5S,0,1
0,KHT-XE5S,0,0
0,KHT-XE5S,10,0
0,KHT-XE5S,0,211
0,KWF-1,1,0
0,KWF-1,0,0
0,KWF-1,0,0
0,KWR-1,8,1
0,KWR-1,3,0
0,KWR-1,0,0
0,KWR-1,0,0
0,KWR-1,0,127
0,KWT-1,4,1
0,KWT-1,0,0
0,KWT-1,0,1
0,KWT-1,0,0
0,KWT-1,13,0
0,KWT-1,13,0
0,KWT-1,3852,0
0,LET-1,26,1
0,LET-1,0,198
0,LHT-1,0,2
0,LHT-1,22,1
0,LHT-1,0,198
0,LWT-1,23,1
0,LWT-1,0,198
