,DT,baro LEVEL,Date,Time,ms,TEMPERATURE,logger LEVEL,Compensated Level
0,2018-08-25 08:40:00,8.1974475024,8/25/2018,08:40:00 am,0,8.537,8.1826,-0.014847502399998547
1,2018-08-25 08:50:00,8.197855390399999,8/25/2018,08:50:00 am,0,8.549,8.1785,-0.01935539039999945
2,2018-08-25 09:00:00,8.1989464908,8/25/2018,09:00:00 am,0,8.554,8.1757,-0.0232464907999983
3,2018-08-25 09:10:00,8.199701083599999,8/25/2018,09:10:00 am,0,8.556,8.1739,-0.02580108359999933
4,2018-08-25 09:20:00,8.199792858399999,8/25/2018,09:20:00 am,0,8.557,8.173,-0.026792858399998565
5,2018-08-25 09:30:00,8.2011082972,8/25/2018,09:30:00 am,0,8.557,8.1723,-0.028808297199999444
6,2018-08-25 09:40:00,8.2022605808,8/25/2018,09:40:00 am,0,8.557,8.1714,-0.030860580800000648
7,2018-08-25 09:50:00,8.203035567999999,8/25/2018,09:50:00 am,0,8.556,8.1711,-0.03193556799999975
8,2018-08-25 10:00:00,8.2047792892,8/25/2018,10:00:00 am,0,8.556,8.1707,-0.03407928919999925
9,2018-08-25 10:10:00,8.207430561199999,8/25/2018,10:10:00 am,0,8.555,8.1713,-0.03613056119999847
10,2018-08-25 10:20:00,8.208613436399999,8/25/2018,10:20:00 am,0,8.555,8.1707,-0.037913436399998446
11,2018-08-25 10:30:00,8.2098778892,8/25/2018,10:30:00 am,0,8.554,8.1708,-0.03907788919999966
12,2018-08-25 10:40:00,8.210071636,8/25/2018,10:40:00 am,0,8.554,8.1707,-0.039371636000000265
13,2018-08-25 10:50:00,8.2112647084,8/25/2018,10:50:00 am,0,8.554,8.1705,-0.04076470839999935
14,2018-08-25 11:00:00,8.2113360888,8/25/2018,11:00:00 am,0,8.554,8.1704,-0.04093608879999877
15,2018-08-25 11:10:00,8.2119887096,8/25/2018,11:10:00 am,0,8.553,8.1702,-0.04178870960000047
16,2018-08-25 11:20:00,8.213436712,8/25/2018,11:20:00 am,0,8.554,8.1732,-0.04023671200000045
17,2018-08-25 11:30:00,8.213232768,8/25/2018,11:30:00 am,0,8.553,8.1731,-0.04013276799999943
18,2018-08-25 11:40:00,8.2131511904,8/25/2018,11:40:00 am,0,8.553,8.1727,-0.04045119039999889
19,2018-08-25 11:50:00,8.213324542799999,8/25/2018,11:50:00 am,0,8.553,8.1729,-0.04042454279999852
20,2018-08-25 12:00:00,8.2126821192,8/25/2018,12:00:00 pm,0,8.553,8.1718,-0.040882119200000844
21,2018-08-25 12:10:00,8.2127534996,8/25/2018,12:10:00 pm,0,8.553,8.1725,-0.04025349960000035
22,2018-08-25 12:20:00,8.212518964000001,8/25/2018,12:20:00 pm,0,8.553,8.1732,-0.039318964000001344
23,2018-08-25 12:30:00,8.212671922,8/25/2018,12:30:00 pm,0,8.553,8.1885,-0.024171922000000734
24,2018-08-25 12:40:00,8.2120906816,8/25/2018,12:40:00 pm,0,8.553,8.1856,-0.026490681599998567
25,2018-08-25 12:50:00,8.2113564832,8/25/2018,12:50:00 pm,0,8.553,8.183,-0.028356483199999616
26,2018-08-25 13:00:00,8.2112647084,8/25/2018,01:00:00 pm,0,8.553,8.181,-0.030264708400000728
27,2018-08-25 13:10:00,8.2099390724,8/25/2018,01:10:00 pm,0,8.552,8.1796,-0.030339072399998557
28,2018-08-25 13:20:00,8.210561101599998,8/25/2018,01:20:00 pm,0,8.552,8.1786,-0.03196110159999854
29,2018-08-25 13:30:00,8.211101553199999,8/25/2018,01:30:00 pm,0,8.552,8.1778,-0.03330155319999939
30,2018-08-25 13:40:00,8.211111750399999,8/25/2018,01:40:00 pm,0,8.551,8.1773,-0.033811750399998175
31,2018-08-25 13:50:00,8.2109587924,8/25/2018,01:50:00 pm,0,8.551,8.1765,-0.03445879239999883
32,2018-08-25 14:00:00,8.209979861199999,8/25/2018,02:00:00 pm,0,8.551,8.1761,-0.033879861199999084
33,2018-08-25 14:10:00,8.2096841424,8/25/2018,02:10:00 pm,0,8.551,8.1758,-0.03388414239999982
34,2018-08-25 14:20:00,8.2091742824,8/25/2018,02:20:00 pm,0,8.55,8.175,-0.034174282399998646
35,2018-08-25 14:30:00,8.2087561972,8/25/2018,02:30:00 pm,0,8.549,8.1745,-0.034256197199999505
36,2018-08-25 14:40:00,8.2069207012,8/25/2018,02:40:00 pm,0,8.548,8.174,-0.032920701200000124
37,2018-08-25 14:50:00,8.2054930932,8/25/2018,02:50:00 pm,0,8.548,8.1735,-0.03199309319999877
38,2018-08-25 15:00:00,8.2047486976,8/25/2018,03:00:00 pm,0,8.547,8.173,-0.03174869759999943
39,2018-08-25 15:10:00,8.2038717384,8/25/2018,03:10:00 pm,0,8.546,8.1726,-0.03127173840000097
40,2018-08-25 15:20:00,8.204198048799999,8/25/2018,03:20:00 pm,0,8.546,8.1725,-0.03169804879999916
41,2018-08-25 15:30:00,8.2028418212,8/25/2018,03:30:00 pm,0,8.545,8.1722,-0.030641821199999697
42,2018-08-25 15:40:00,8.2030763568,8/25/2018,03:40:00 pm,0,8.545,8.1718,-0.03127635680000118
43,2018-08-25 15:50:00,8.2029641876,8/25/2018,03:50:00 pm,0,8.544,8.1712,-0.03176418759999855
44,2018-08-25 16:00:00,8.2020974256,8/25/2018,04:00:00 pm,0,8.543,8.1711,-0.03099742560000074
45,2018-08-25 16:10:00,8.201699734799998,8/25/2018,04:10:00 pm,0,8.543,8.1706,-0.031099734799997947
46,2018-08-25 16:20:00,8.2011388888,8/25/2018,04:20:00 pm,0,8.543,8.1703,-0.030838888799999964
47,2018-08-25 16:30:00,8.202168806,8/25/2018,04:30:00 pm,0,8.542,8.1698,-0.03236880599999914
48,2018-08-25 16:40:00,8.2013836216,8/25/2018,04:40:00 pm,0,8.542,8.17,-0.031383621599999856
49,2018-08-25 16:50:00,8.2017303264,8/25/2018,04:50:00 pm,0,8.541,8.1702,-0.03153032640000042
50,2018-08-25 17:00:00,8.2024951164,8/25/2018,05:00:00 pm,0,8.54,8.1699,-0.03259511639999957
51,2018-08-25 17:10:00,8.2020770312,8/25/2018,05:10:00 pm,0,8.54,8.1696,-0.03247703119999912
52,2018-08-25 17:20:00,8.201240860799999,8/25/2018,05:20:00 pm,0,8.539,8.1693,-0.031940860799998916
53,2018-08-25 17:30:00,8.2017915096,8/25/2018,05:30:00 pm,0,8.539,8.1692,-0.03259150959999957
54,2018-08-25 17:40:00,8.2017711152,8/25/2018,05:40:00 pm,0,8.538,8.1684,-0.03337111519999958
