Serial_number:
2091337
Project ID:
ISEECI
Location:
Baro
LEVEL
UNIT: kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
7/25/2018,12:30:00 pm,0,81.1616,37.108
7/25/2018,12:40:00 pm,0,81.1629,36.659
7/25/2018,12:50:00 pm,0,81.1464,36.056
7/25/2018,01:00:00 pm,0,81.1449,35.990
7/25/2018,01:10:00 pm,0,81.1359,35.851
7/25/2018,01:20:00 pm,0,81.1374,35.648
7/25/2018,01:30:00 pm,0,81.1289,35.441
7/25/2018,01:40:00 pm,0,81.1222,35.615
7/25/2018,01:50:00 pm,0,81.1332,35.665
7/25/2018,02:00:00 pm,0,81.1165,35.426
7/25/2018,02:10:00 pm,0,81.1094,35.364
7/25/2018,02:20:00 pm,0,81.0964,35.441
7/25/2018,02:30:00 pm,0,81.0986,35.171
7/25/2018,02:40:00 pm,0,81.1078,33.913
7/25/2018,02:50:00 pm,0,81.1144,30.764
7/25/2018,03:00:00 pm,0,81.1080,27.799
7/25/2018,03:10:00 pm,0,81.1005,26.048
7/25/2018,03:20:00 pm,0,81.0907,25.114
7/25/2018,03:30:00 pm,0,81.0814,24.249
7/25/2018,03:40:00 pm,0,81.0730,23.723
7/25/2018,03:50:00 pm,0,81.0645,23.413
7/25/2018,04:00:00 pm,0,81.0617,23.125
7/25/2018,04:10:00 pm,0,81.0630,22.954
7/25/2018,04:20:00 pm,0,81.0626,22.911
7/25/2018,04:30:00 pm,0,81.0560,22.872
7/25/2018,04:40:00 pm,0,81.0528,22.894
7/25/2018,04:50:00 pm,0,81.0506,23.027
7/25/2018,05:00:00 pm,0,81.0362,23.549
7/25/2018,05:10:00 pm,0,81.0381,23.988
7/25/2018,05:20:00 pm,0,81.0464,23.963
7/25/2018,05:30:00 pm,0,81.0481,23.634
7/25/2018,05:40:00 pm,0,81.0413,23.360
7/25/2018,05:50:00 pm,0,81.0433,23.260
7/25/2018,06:00:00 pm,0,81.0463,23.206
7/25/2018,06:10:00 pm,0,81.0510,22.839
7/25/2018,06:20:00 pm,0,81.0526,22.326
7/25/2018,06:30:00 pm,0,81.0469,21.979
7/25/2018,06:40:00 pm,0,81.0545,21.578
7/25/2018,06:50:00 pm,0,81.0585,21.086
7/25/2018,07:00:00 pm,0,81.0577,20.788
7/25/2018,07:10:00 pm,0,81.0648,20.279
7/25/2018,07:20:00 pm,0,81.0652,19.752
7/25/2018,07:30:00 pm,0,81.0698,19.233
7/25/2018,07:40:00 pm,0,81.0763,18.654
7/25/2018,07:50:00 pm,0,81.0880,18.012
7/25/2018,08:00:00 pm,0,81.0940,17.341
7/25/2018,08:10:00 pm,0,81.0997,16.661
7/25/2018,08:20:00 pm,0,81.1078,15.998
7/25/2018,08:30:00 pm,0,81.1137,15.374
7/25/2018,08:40:00 pm,0,81.1218,14.815
7/25/2018,08:50:00 pm,0,81.1332,14.325
7/25/2018,09:00:00 pm,0,81.1413,13.873
7/25/2018,09:10:00 pm,0,81.1489,13.449
7/25/2018,09:20:00 pm,0,81.1541,13.047
7/25/2018,09:30:00 pm,0,81.1635,12.678
7/25/2018,09:40:00 pm,0,81.1673,12.361
