,Date,Time,ms,DT,raw_LEVEL_m,TEMPERATURE,Rate of Change
0,6/2/19,12:00:00 PM,0,2019-06-02 12:00:00,9.3452,4.631,0.00129999999999999
1,6/2/19,12:10:00 PM,0,2019-06-02 12:10:00,9.346,4.618,0.001100000000000012
2,6/2/19,12:20:00 PM,0,2019-06-02 12:20:00,9.3471,4.607,0.0009000000000000341
3,6/2/19,12:30:00 PM,0,2019-06-02 12:30:00,9.3484,4.598,0.0006999999999999674
4,6/2/19,12:40:00 PM,0,2019-06-02 12:40:00,9.3481,4.591,0.0006000000000000227
5,6/2/19,12:50:00 PM,0,2019-06-02 12:50:00,9.3485,4.585,0.0004999999999999894
6,6/2/19,1:00:00 PM,0,2019-06-02 13:00:00,9.3491,4.58,0.00039999999999995595
7,6/2/19,1:10:00 PM,0,2019-06-02 13:10:00,9.3486,4.5760000000000005,0.00040000000000004474
8,6/2/19,1:20:00 PM,0,2019-06-02 13:20:00,9.3473,4.572,0.00030000000000001136
9,6/2/19,1:30:00 PM,0,2019-06-02 13:30:00,9.3477,4.569,0.00019999999999997797
10,6/2/19,1:40:00 PM,0,2019-06-02 13:40:00,9.3472,4.567,0.00019999999999997797
11,6/2/19,1:50:00 PM,0,2019-06-02 13:50:00,9.3465,4.565,0.0002000000000000668
12,6/2/19,2:00:00 PM,0,2019-06-02 14:00:00,9.3467,4.563,0.00019999999999997797
13,6/2/19,2:10:00 PM,0,2019-06-02 14:10:00,9.3525,4.561,0.00019999999999997797
14,6/2/19,2:20:00 PM,0,2019-06-02 14:20:00,9.3611,4.559,0.0002000000000000668
15,6/2/19,2:30:00 PM,0,2019-06-02 14:30:00,9.3649,4.5569999999999995,9.999999999994457e-05
16,6/2/19,2:40:00 PM,0,2019-06-02 14:40:00,9.3642,4.556,0.0
17,6/2/19,2:50:00 PM,0,2019-06-02 14:50:00,9.3631,4.556,0.0001000000000000334
18,6/2/19,3:00:00 PM,0,2019-06-02 15:00:00,9.3616,4.555,0.0001000000000000334
19,6/2/19,3:10:00 PM,0,2019-06-02 15:10:00,9.3594,4.553999999999999,0.0
20,6/2/19,3:20:00 PM,0,2019-06-02 15:20:00,9.3568,4.553999999999999,0.0
21,6/2/19,3:30:00 PM,0,2019-06-02 15:30:00,9.3544,4.553999999999999,9.999999999994457e-05
22,6/2/19,3:40:00 PM,0,2019-06-02 15:40:00,9.3527,4.553,0.0
23,6/2/19,3:50:00 PM,0,2019-06-02 15:50:00,9.3494,4.553,0.0
24,6/2/19,4:00:00 PM,0,2019-06-02 16:00:00,9.3478,4.553,0.0
25,6/2/19,4:10:00 PM,0,2019-06-02 16:10:00,9.3463,4.553,0.0
26,6/2/19,4:20:00 PM,0,2019-06-02 16:20:00,9.3445,4.553,0.0
27,6/2/19,4:30:00 PM,0,2019-06-02 16:30:00,9.3439,4.553,0.0
28,6/2/19,4:40:00 PM,0,2019-06-02 16:40:00,9.3455,4.553,0.0
29,6/2/19,4:50:00 PM,0,2019-06-02 16:50:00,9.3479,4.553,0.0001000000000000334
30,6/2/19,5:00:00 PM,0,2019-06-02 17:00:00,9.3503,4.552,0.0
31,6/2/19,5:10:00 PM,0,2019-06-02 17:10:00,9.351,4.552,0.0
32,6/2/19,5:20:00 PM,0,2019-06-02 17:20:00,9.35,4.552,0.0
33,6/2/19,5:30:00 PM,0,2019-06-02 17:30:00,9.3497,4.552,0.0
34,6/2/19,5:40:00 PM,0,2019-06-02 17:40:00,9.3487,4.552,0.0
35,6/2/19,5:50:00 PM,0,2019-06-02 17:50:00,9.3489,4.552,0.0
36,6/2/19,6:00:00 PM,0,2019-06-02 18:00:00,9.349,4.552,0.0001000000000000334
37,6/2/19,6:10:00 PM,0,2019-06-02 18:10:00,9.3484,4.553,0.0
38,6/2/19,6:20:00 PM,0,2019-06-02 18:20:00,9.3514,4.553,0.0
39,6/2/19,6:30:00 PM,0,2019-06-02 18:30:00,9.3515,4.553,0.0001000000000000334
40,6/2/19,6:40:00 PM,0,2019-06-02 18:40:00,9.3495,4.552,0.0
41,6/2/19,6:50:00 PM,0,2019-06-02 18:50:00,9.3501,4.552,0.0001000000000000334
42,6/2/19,7:00:00 PM,0,2019-06-02 19:00:00,9.3508,4.553,0.0
43,6/2/19,7:10:00 PM,0,2019-06-02 19:10:00,9.3523,4.553,0.0001000000000000334
44,6/2/19,7:20:00 PM,0,2019-06-02 19:20:00,9.3533,4.552,0.0001000000000000334
45,6/2/19,7:30:00 PM,0,2019-06-02 19:30:00,9.3541,4.553,0.0
46,6/2/19,7:40:00 PM,0,2019-06-02 19:40:00,9.3548,4.553,0.0
47,6/2/19,7:50:00 PM,0,2019-06-02 19:50:00,9.3552,4.553,0.0
48,6/2/19,8:00:00 PM,0,2019-06-02 20:00:00,9.3562,4.553,0.0
49,6/2/19,8:10:00 PM,0,2019-06-02 20:10:00,9.357999999999999,4.553,9.999999999994457e-05
50,6/2/19,8:20:00 PM,0,2019-06-02 20:20:00,9.3591,4.553999999999999,0.0
51,6/2/19,8:30:00 PM,0,2019-06-02 20:30:00,9.3594,4.553999999999999,0.0
52,6/2/19,8:40:00 PM,0,2019-06-02 20:40:00,9.3596,4.553999999999999,0.0
53,6/2/19,8:50:00 PM,0,2019-06-02 20:50:00,9.3613,4.553999999999999,0.0001000000000000334
54,6/2/19,9:00:00 PM,0,2019-06-02 21:00:00,9.3609,4.555,0.0
55,6/2/19,9:10:00 PM,0,2019-06-02 21:10:00,9.3615,4.555,0.0
56,6/2/19,9:20:00 PM,0,2019-06-02 21:20:00,9.3626,4.555,0.0
57,6/2/19,9:30:00 PM,0,2019-06-02 21:30:00,9.3636,4.555,0.0
58,6/2/19,9:40:00 PM,0,2019-06-02 21:40:00,9.3646,4.555,0.0001000000000000334
59,6/2/19,9:50:00 PM,0,2019-06-02 21:50:00,9.3654,4.556,0.0
60,6/2/19,10:00:00 PM,0,2019-06-02 22:00:00,9.3656,4.556,0.0
61,6/2/19,10:10:00 PM,0,2019-06-02 22:10:00,9.3673,4.556,0.0
62,6/2/19,10:20:00 PM,0,2019-06-02 22:20:00,9.367,4.556,0.0
63,6/2/19,10:30:00 PM,0,2019-06-02 22:30:00,9.3667,4.556,9.999999999994457e-05
64,6/2/19,10:40:00 PM,0,2019-06-02 22:40:00,9.3682,4.5569999999999995,0.0
65,6/2/19,10:50:00 PM,0,2019-06-02 22:50:00,9.3692,4.5569999999999995,0.0
66,6/2/19,11:00:00 PM,0,2019-06-02 23:00:00,9.3689,4.5569999999999995,0.0
67,6/2/19,11:10:00 PM,0,2019-06-02 23:10:00,9.3692,4.5569999999999995,0.0
68,6/2/19,11:20:00 PM,0,2019-06-02 23:20:00,9.3695,4.5569999999999995,0.0001000000000000334
69,6/2/19,11:30:00 PM,0,2019-06-02 23:30:00,9.3707,4.558,0.0
70,6/2/19,11:40:00 PM,0,2019-06-02 23:40:00,9.3708,4.558,0.0
71,6/2/19,11:50:00 PM,0,2019-06-02 23:50:00,9.3714,4.558,0.0001000000000000334
72,6/3/19,12:00:00 AM,0,2019-06-03 00:00:00,9.3714,4.559,0.0
73,6/3/19,12:10:00 AM,0,2019-06-03 00:10:00,9.3704,4.559,0.0
74,6/3/19,12:20:00 AM,0,2019-06-03 00:20:00,9.3706,4.559,0.0
75,6/3/19,12:30:00 AM,0,2019-06-03 00:30:00,9.3715,4.559,9.999999999994457e-05
76,6/3/19,12:40:00 AM,0,2019-06-03 00:40:00,9.3709,4.56,0.0
77,6/3/19,12:50:00 AM,0,2019-06-03 00:50:00,9.3701,4.56,0.0
