,Date,Time,ms,DT,raw_LEVEL_m,TEMPERATURE,Rate of Change
0,6/2/2019,12:00:00 PM,0,2019-06-02 12:00:00,9.1649,3.8989999999999996,0.0011999999999999567
1,6/2/2019,12:10:00 PM,0,2019-06-02 12:10:00,9.1654,3.887,0.0008000000000000451
2,6/2/2019,12:20:00 PM,0,2019-06-02 12:20:00,9.1663,3.8789999999999996,0.0006999999999999674
3,6/2/2019,12:30:00 PM,0,2019-06-02 12:30:00,9.1671,3.872,0.0005999999999999784
4,6/2/2019,12:40:00 PM,0,2019-06-02 12:40:00,9.1663,3.866,0.00040000000000000034
5,6/2/2019,12:50:00 PM,0,2019-06-02 12:50:00,9.1661,3.862,0.00040000000000000034
6,6/2/2019,1:00:00 PM,0,2019-06-02 13:00:00,9.1663,3.858,0.00019999999999997797
7,6/2/2019,1:10:00 PM,0,2019-06-02 13:10:00,9.1656,3.8560000000000003,0.00030000000000001136
8,6/2/2019,1:20:00 PM,0,2019-06-02 13:20:00,9.1641,3.853,0.00019999999999997797
9,6/2/2019,1:30:00 PM,0,2019-06-02 13:30:00,9.1642,3.8510000000000004,0.0002000000000000668
10,6/2/2019,1:40:00 PM,0,2019-06-02 13:40:00,9.1638,3.8489999999999998,9.999999999994457e-05
11,6/2/2019,1:50:00 PM,0,2019-06-02 13:50:00,9.1632,3.8480000000000003,0.00020000000000002237
12,6/2/2019,2:00:00 PM,0,2019-06-02 14:00:00,9.1635,3.846,9.999999999998899e-05
13,6/2/2019,2:10:00 PM,0,2019-06-02 14:10:00,9.1716,3.845,0.0
14,6/2/2019,2:20:00 PM,0,2019-06-02 14:20:00,9.1887,3.845,0.00020000000000002237
15,6/2/2019,2:30:00 PM,0,2019-06-02 14:30:00,9.1909,3.843,9.999999999998899e-05
16,6/2/2019,2:40:00 PM,0,2019-06-02 14:40:00,9.1942,3.842,9.999999999998899e-05
17,6/2/2019,2:50:00 PM,0,2019-06-02 14:50:00,9.1917,3.841,0.0
18,6/2/2019,3:00:00 PM,0,2019-06-02 15:00:00,9.1915,3.841,0.0001000000000000334
19,6/2/2019,3:10:00 PM,0,2019-06-02 15:10:00,9.1893,3.84,0.0
20,6/2/2019,3:20:00 PM,0,2019-06-02 15:20:00,9.187000000000001,3.84,9.999999999998899e-05
21,6/2/2019,3:30:00 PM,0,2019-06-02 15:30:00,9.1852,3.839,0.0
22,6/2/2019,3:40:00 PM,0,2019-06-02 15:40:00,9.1835,3.839,0.0
23,6/2/2019,3:50:00 PM,0,2019-06-02 15:50:00,9.1801,3.839,0.0
24,6/2/2019,4:00:00 PM,0,2019-06-02 16:00:00,9.1779,3.839,0.0
25,6/2/2019,4:10:00 PM,0,2019-06-02 16:10:00,9.1762,3.839,0.0
26,6/2/2019,4:20:00 PM,0,2019-06-02 16:20:00,9.1744,3.839,9.999999999998899e-05
27,6/2/2019,4:30:00 PM,0,2019-06-02 16:30:00,9.1731,3.84,0.0
28,6/2/2019,4:40:00 PM,0,2019-06-02 16:40:00,9.1741,3.84,0.0
29,6/2/2019,4:50:00 PM,0,2019-06-02 16:50:00,9.1769,3.84,0.0
30,6/2/2019,5:00:00 PM,0,2019-06-02 17:00:00,9.1778,3.84,0.0
31,6/2/2019,5:10:00 PM,0,2019-06-02 17:10:00,9.1777,3.84,0.0
32,6/2/2019,5:20:00 PM,0,2019-06-02 17:20:00,9.1764,3.84,0.0001000000000000334
33,6/2/2019,5:30:00 PM,0,2019-06-02 17:30:00,9.1762,3.841,0.0001000000000000334
34,6/2/2019,5:40:00 PM,0,2019-06-02 17:40:00,9.1753,3.84,0.0
35,6/2/2019,5:50:00 PM,0,2019-06-02 17:50:00,9.1753,3.84,0.0001000000000000334
36,6/2/2019,6:00:00 PM,0,2019-06-02 18:00:00,9.1751,3.841,0.0
37,6/2/2019,6:10:00 PM,0,2019-06-02 18:10:00,9.1749,3.841,0.0
38,6/2/2019,6:20:00 PM,0,2019-06-02 18:20:00,9.1773,3.841,9.999999999998899e-05
39,6/2/2019,6:30:00 PM,0,2019-06-02 18:30:00,9.1773,3.842,0.0
40,6/2/2019,6:40:00 PM,0,2019-06-02 18:40:00,9.1756,3.842,9.999999999998899e-05
41,6/2/2019,6:50:00 PM,0,2019-06-02 18:50:00,9.1757,3.843,0.0
42,6/2/2019,7:00:00 PM,0,2019-06-02 19:00:00,9.176,3.843,0.0
