,Date,Time,ms,DT,raw_LEVEL_m,TEMPERATURE,Rate of Change
3084,6/27/2021,12:00:00 am,0,2021-06-27 00:00:00,8.4336,8.986,0.0
3085,6/27/2021,12:10:00 am,0,2021-06-27 00:10:00,8.434,8.986,0.0
3086,6/27/2021,12:20:00 am,0,2021-06-27 00:20:00,8.4342,8.986,0.0
3087,6/27/2021,12:30:00 am,0,2021-06-27 00:30:00,8.4351,8.986,9.999999999994457e-05
3088,6/27/2021,12:40:00 am,0,2021-06-27 00:40:00,8.4354,8.987,0.0
3089,6/27/2021,12:50:00 am,0,2021-06-27 00:50:00,8.4354,8.987,0.0
3090,6/27/2021,01:00:00 am,0,2021-06-27 01:00:00,8.4353,8.987,9.999999999994457e-05
3091,6/27/2021,01:10:00 am,0,2021-06-27 01:10:00,8.4353,8.988,0.0
3092,6/27/2021,01:20:00 am,0,2021-06-27 01:20:00,8.4359,8.988,0.00010000000000012221
3093,6/27/2021,01:30:00 am,0,2021-06-27 01:30:00,8.4362,8.989,0.0
3094,6/27/2021,01:40:00 am,0,2021-06-27 01:40:00,8.4365,8.989,0.0
3095,6/27/2021,01:50:00 am,0,2021-06-27 01:50:00,8.4367,8.989,0.0
3096,6/27/2021,02:00:00 am,0,2021-06-27 02:00:00,8.4371,8.989,9.999999999994457e-05
3097,6/27/2021,02:10:00 am,0,2021-06-27 02:10:00,8.4377,8.99,0.0
3098,6/27/2021,02:20:00 am,0,2021-06-27 02:20:00,8.4379,8.99,9.999999999994457e-05
3099,6/27/2021,02:30:00 am,0,2021-06-27 02:30:00,8.4387,8.991,0.0
3100,6/27/2021,02:40:00 am,0,2021-06-27 02:40:00,8.4389,8.991,0.00010000000000012221
3101,6/27/2021,02:50:00 am,0,2021-06-27 02:50:00,8.439,8.992,0.0
3102,6/27/2021,03:00:00 am,0,2021-06-27 03:00:00,8.4393,8.992,0.0
3103,6/27/2021,03:10:00 am,0,2021-06-27 03:10:00,8.4396,8.992,9.999999999994457e-05
3104,6/27/2021,03:20:00 am,0,2021-06-27 03:20:00,8.4402,8.993,0.0
3105,6/27/2021,03:30:00 am,0,2021-06-27 03:30:00,8.4408,8.993,0.0
3106,6/27/2021,03:40:00 am,0,2021-06-27 03:40:00,8.4414,8.993,0.0
3107,6/27/2021,03:50:00 am,0,2021-06-27 03:50:00,8.4417,8.993,9.999999999994457e-05
3108,6/27/2021,04:00:00 am,0,2021-06-27 04:00:00,8.4418,8.994,9.999999999994457e-05
3109,6/27/2021,04:10:00 am,0,2021-06-27 04:10:00,8.4416,8.995,0.0
3110,6/27/2021,04:20:00 am,0,2021-06-27 04:20:00,8.4415,8.995,0.0
3111,6/27/2021,04:30:00 am,0,2021-06-27 04:30:00,8.4416,8.995,0.00010000000000012221
3112,6/27/2021,04:40:00 am,0,2021-06-27 04:40:00,8.4422,8.996,0.0
3113,6/27/2021,04:50:00 am,0,2021-06-27 04:50:00,8.443,8.996,0.0
3114,6/27/2021,05:00:00 am,0,2021-06-27 05:00:00,8.4436,8.996,9.999999999994457e-05
3115,6/27/2021,05:10:00 am,0,2021-06-27 05:10:00,8.4446,8.997,0.0
3116,6/27/2021,05:20:00 am,0,2021-06-27 05:20:00,8.445,8.997,9.999999999994457e-05
3117,6/27/2021,05:30:00 am,0,2021-06-27 05:30:00,8.4455,8.998,0.0
3118,6/27/2021,05:40:00 am,0,2021-06-27 05:40:00,8.4459,8.998,0.0
3119,6/27/2021,05:50:00 am,0,2021-06-27 05:50:00,8.4463,8.998,0.00010000000000012221
3120,6/27/2021,06:00:00 am,0,2021-06-27 06:00:00,8.4464,8.999,0.0
3121,6/27/2021,06:10:00 am,0,2021-06-27 06:10:00,8.447,8.999,0.0
3122,6/27/2021,06:20:00 am,0,2021-06-27 06:20:00,8.4478,8.999,9.999999999994457e-05
3123,6/27/2021,06:30:00 am,0,2021-06-27 06:30:00,8.448,9.0,0.0
3124,6/27/2021,06:40:00 am,0,2021-06-27 06:40:00,8.448,9.0,9.999999999994457e-05
3125,6/27/2021,06:50:00 am,0,2021-06-27 06:50:00,8.4488,9.001,0.00010000000000012221
3126,6/27/2021,07:00:00 am,0,2021-06-27 07:00:00,8.4491,9.002,0.0
