,Date,Time,ms,DT,raw_LEVEL_m,TEMPERATURE,Rate of Change
0,8/24/2018,02:30:00 pm,0,2018-08-24 14:30:00,8.1838,17.785999999999998,0.23539999999999975
1,8/24/2018,02:40:00 pm,0,2018-08-24 14:40:00,8.182,15.432,0.13620000000000002
2,8/24/2018,02:50:00 pm,0,2018-08-24 14:50:00,8.1809,14.07,0.08590000000000017
3,8/24/2018,03:00:00 pm,0,2018-08-24 15:00:00,8.1796,13.210999999999999,0.056199999999999764
4,8/24/2018,03:10:00 pm,0,2018-08-24 15:10:00,8.1788,12.649000000000001,0.03740000000000006
5,8/24/2018,03:20:00 pm,0,2018-08-24 15:20:00,8.1778,12.275,0.025099999999999945
6,8/24/2018,03:30:00 pm,0,2018-08-24 15:30:00,8.1775,12.024000000000001,0.016900000000000047
7,8/24/2018,03:40:00 pm,0,2018-08-24 15:40:00,8.1771,11.855,0.01150000000000002
8,8/24/2018,03:50:00 pm,0,2018-08-24 15:50:00,8.1759,11.74,0.007799999999999941
9,8/24/2018,04:00:00 pm,0,2018-08-24 16:00:00,8.1753,11.662,0.005499999999999972
10,8/24/2018,04:10:00 pm,0,2018-08-24 16:10:00,8.1749,11.607000000000001,0.0038000000000000256
11,8/24/2018,04:20:00 pm,0,2018-08-24 16:20:00,8.1754,11.569,0.0028000000000002246
12,8/24/2018,04:30:00 pm,0,2018-08-24 16:30:00,8.175,11.540999999999999,0.002099999999999902
13,8/24/2018,04:40:00 pm,0,2018-08-24 16:40:00,8.175,11.52,0.0014999999999998793
14,8/24/2018,04:50:00 pm,0,2018-08-24 16:50:00,8.1755,11.505,0.00129999999999999
15,8/24/2018,05:00:00 pm,0,2018-08-24 17:00:00,8.1756,11.492,0.0009999999999999788
16,8/24/2018,05:10:00 pm,0,2018-08-24 17:10:00,8.1747,11.482000000000001,0.0009000000000002117
17,8/24/2018,05:20:00 pm,0,2018-08-24 17:20:00,8.1751,11.472999999999999,0.0006999999999999674
18,8/24/2018,05:30:00 pm,0,2018-08-24 17:30:00,8.1749,11.466,0.0005999999999998451
19,8/24/2018,05:40:00 pm,0,2018-08-24 17:40:00,8.1755,11.46,0.0005000000000000782
20,8/24/2018,05:50:00 pm,0,2018-08-24 17:50:00,8.1754,11.455,0.0005000000000000782
21,8/24/2018,06:00:00 pm,0,2018-08-24 18:00:00,8.1757,11.45,0.00039999999999995595
22,8/24/2018,06:10:00 pm,0,2018-08-24 18:10:00,8.176,11.446,0.00039999999999995595
23,8/24/2018,06:20:00 pm,0,2018-08-24 18:20:00,8.1762,11.442,0.0004000000000001336
24,8/24/2018,06:30:00 pm,0,2018-08-24 18:30:00,8.1762,11.437999999999999,0.0002999999999998337
25,8/24/2018,06:40:00 pm,0,2018-08-24 18:40:00,8.1765,11.435,0.0004000000000001336
26,8/24/2018,06:50:00 pm,0,2018-08-24 18:50:00,8.1767,11.431,0.00030000000000001136
27,8/24/2018,07:00:00 pm,0,2018-08-24 19:00:00,8.1769,11.427999999999999,0.0002999999999998337
28,8/24/2018,07:10:00 pm,0,2018-08-24 19:10:00,8.1777,11.425,0.0002000000000000668
29,8/24/2018,07:20:00 pm,0,2018-08-24 19:20:00,8.1781,11.423,0.00030000000000001136
30,8/24/2018,07:30:00 pm,0,2018-08-24 19:30:00,8.178,11.42,0.00030000000000001136
31,8/24/2018,07:40:00 pm,0,2018-08-24 19:40:00,8.1794,11.417,0.0002999999999998337
32,8/24/2018,07:50:00 pm,0,2018-08-24 19:50:00,8.1801,11.414000000000001,0.0002000000000000668
33,8/24/2018,08:00:00 pm,0,2018-08-24 20:00:00,8.1796,11.412,0.0002000000000000668
34,8/24/2018,08:10:00 pm,0,2018-08-24 20:10:00,8.1799,11.41,0.0002000000000000668
35,8/24/2018,08:20:00 pm,0,2018-08-24 20:20:00,8.1805,11.408,0.0002000000000000668
36,8/24/2018,08:30:00 pm,0,2018-08-24 20:30:00,8.1807,11.405999999999999,0.00030000000000001136
37,8/24/2018,08:40:00 pm,0,2018-08-24 20:40:00,8.1819,11.402999999999999,0.00019999999999988915
38,8/24/2018,08:50:00 pm,0,2018-08-24 20:50:00,8.1829,11.401,9.999999999994457e-05
39,8/24/2018,09:00:00 pm,0,2018-08-24 21:00:00,8.1838,11.4,0.0002000000000000668
40,8/24/2018,09:10:00 pm,0,2018-08-24 21:10:00,8.1842,11.398,0.0002000000000000668
41,8/24/2018,09:20:00 pm,0,2018-08-24 21:20:00,8.1847,11.395999999999999,0.00019999999999988915
42,8/24/2018,09:30:00 pm,0,2018-08-24 21:30:00,8.1846,11.394,0.00019999999999988915
43,8/24/2018,09:40:00 pm,0,2018-08-24 21:40:00,8.1845,11.392000000000001,0.00010000000000029985
44,8/24/2018,09:50:00 pm,0,2018-08-24 21:50:00,8.1841,11.390999999999998,0.00019999999999971153
45,8/24/2018,10:00:00 pm,0,2018-08-24 22:00:00,8.1842,11.389000000000001,0.0002000000000000668
46,8/24/2018,10:10:00 pm,0,2018-08-24 22:10:00,8.1843,11.387,0.00010000000000012221
47,8/24/2018,10:20:00 pm,0,2018-08-24 22:20:00,8.1845,11.386,0.00019999999999988915
48,8/24/2018,10:30:00 pm,0,2018-08-24 22:30:00,8.1847,11.384,0.00010000000000012221
49,8/24/2018,10:40:00 pm,0,2018-08-24 22:40:00,8.1838,11.383,0.0002000000000000668
50,8/24/2018,10:50:00 pm,0,2018-08-24 22:50:00,8.1836,11.380999999999998,9.999999999976694e-05
51,8/24/2018,11:00:00 pm,0,2018-08-24 23:00:00,8.1833,11.38,9.999999999994457e-05
52,8/24/2018,11:10:00 pm,0,2018-08-24 23:10:00,8.1833,11.379000000000001,0.0002000000000000668
53,8/24/2018,11:20:00 pm,0,2018-08-24 23:20:00,8.1832,11.377,0.00010000000000012221
54,8/24/2018,11:30:00 pm,0,2018-08-24 23:30:00,8.1834,11.376,9.999999999994457e-05
55,8/24/2018,11:40:00 pm,0,2018-08-24 23:40:00,8.1834,11.375,0.0002000000000000668
56,8/24/2018,11:50:00 pm,0,2018-08-24 23:50:00,8.1827,11.373,9.999999999994457e-05
57,8/25/2018,12:00:00 am,0,2018-08-25 00:00:00,8.1822,11.372,0.00010000000000012221
58,8/25/2018,12:10:00 am,0,2018-08-25 00:10:00,8.1817,11.370999999999999,9.999999999994457e-05
59,8/25/2018,12:20:00 am,0,2018-08-25 00:20:00,8.1821,11.37,9.999999999976694e-05
60,8/25/2018,12:30:00 am,0,2018-08-25 00:30:00,8.1822,11.369000000000002,0.0002000000000000668
61,8/25/2018,12:40:00 am,0,2018-08-25 00:40:00,8.1831,11.367,0.00010000000000012221
62,8/25/2018,12:50:00 am,0,2018-08-25 00:50:00,8.183,11.366,9.999999999994457e-05
63,8/25/2018,01:00:00 am,0,2018-08-25 01:00:00,8.1834,11.365,9.999999999994457e-05
64,8/25/2018,01:10:00 am,0,2018-08-25 01:10:00,8.1831,11.364,0.00010000000000012221
65,8/25/2018,01:20:00 am,0,2018-08-25 01:20:00,8.1825,11.363,9.999999999994457e-05
66,8/25/2018,01:30:00 am,0,2018-08-25 01:30:00,8.1824,11.362,0.00010000000000012221
67,8/25/2018,01:40:00 am,0,2018-08-25 01:40:00,8.1824,11.360999999999999,9.999999999994457e-05
68,8/25/2018,01:50:00 am,0,2018-08-25 01:50:00,8.1821,11.36,9.999999999976694e-05
69,8/25/2018,02:00:00 am,0,2018-08-25 02:00:00,8.1818,11.359000000000002,0.00010000000000029985
70,8/25/2018,02:10:00 am,0,2018-08-25 02:10:00,8.1818,11.357999999999999,9.999999999976694e-05
71,8/25/2018,02:20:00 am,0,2018-08-25 02:20:00,8.1819,11.357000000000001,0.00010000000000012221
72,8/25/2018,02:30:00 am,0,2018-08-25 02:30:00,8.1823,11.356,9.999999999994457e-05
73,8/25/2018,02:40:00 am,0,2018-08-25 02:40:00,8.1819,11.355,9.999999999994457e-05
74,8/25/2018,02:50:00 am,0,2018-08-25 02:50:00,8.1822,11.354000000000001,0.0
75,8/25/2018,03:00:00 am,0,2018-08-25 03:00:00,8.1825,11.354000000000001,0.00010000000000012221
76,8/25/2018,03:10:00 am,0,2018-08-25 03:10:00,8.1821,11.353,9.999999999994457e-05
77,8/25/2018,03:20:00 am,0,2018-08-25 03:20:00,8.1823,11.352,0.00010000000000012221
78,8/25/2018,03:30:00 am,0,2018-08-25 03:30:00,8.1823,11.350999999999999,0.0
79,8/25/2018,03:40:00 am,0,2018-08-25 03:40:00,8.1813,11.350999999999999,9.999999999994457e-05
80,8/25/2018,03:50:00 am,0,2018-08-25 03:50:00,8.1815,11.35,9.999999999994457e-05
81,8/25/2018,04:00:00 am,0,2018-08-25 04:00:00,8.1809,11.349,0.0
82,8/25/2018,04:10:00 am,0,2018-08-25 04:10:00,8.1813,11.349,0.00010000000000012221
83,8/25/2018,04:20:00 am,0,2018-08-25 04:20:00,8.1809,11.347999999999999,9.999999999976694e-05
84,8/25/2018,04:30:00 am,0,2018-08-25 04:30:00,8.1807,11.347000000000001,0.0
85,8/25/2018,04:40:00 am,0,2018-08-25 04:40:00,8.1802,11.347000000000001,0.00010000000000029985
86,8/25/2018,04:50:00 am,0,2018-08-25 04:50:00,8.1802,11.345999999999998,9.999999999976694e-05
87,8/25/2018,05:00:00 am,0,2018-08-25 05:00:00,8.1807,11.345,0.0
88,8/25/2018,05:10:00 am,0,2018-08-25 05:10:00,8.1816,11.345,9.999999999994457e-05
89,8/25/2018,05:20:00 am,0,2018-08-25 05:20:00,8.1816,11.344000000000001,0.0
90,8/25/2018,05:30:00 am,0,2018-08-25 05:30:00,8.182,11.344000000000001,0.00010000000000012221
91,8/25/2018,05:40:00 am,0,2018-08-25 05:40:00,8.1823,11.343,9.999999999994457e-05
92,8/25/2018,05:50:00 am,0,2018-08-25 05:50:00,8.1831,11.342,0.0
93,8/25/2018,06:00:00 am,0,2018-08-25 06:00:00,8.184,11.342,0.0
94,8/25/2018,06:10:00 am,0,2018-08-25 06:10:00,8.184,11.342,0.00010000000000012221
95,8/25/2018,06:20:00 am,0,2018-08-25 06:20:00,8.1845,11.341,0.0
96,8/25/2018,06:30:00 am,0,2018-08-25 06:30:00,8.1849,11.341,9.999999999994457e-05
97,8/25/2018,06:40:00 am,0,2018-08-25 06:40:00,8.1852,11.34,0.0
98,8/25/2018,06:50:00 am,0,2018-08-25 06:50:00,8.1852,11.34,9.999999999994457e-05
99,8/25/2018,07:00:00 am,0,2018-08-25 07:00:00,8.1845,11.339,0.020999999999999908
100,8/25/2018,07:10:00 am,0,2018-08-25 07:10:00,8.1845,11.129000000000001,0.009799999999999897
101,8/25/2018,07:20:00 am,0,2018-08-25 07:20:00,8.1849,11.227,0.004399999999999871
102,8/25/2018,07:30:00 am,0,2018-08-25 07:30:00,8.1855,11.270999999999999,0.002200000000000024
103,8/25/2018,07:40:00 am,0,2018-08-25 07:40:00,8.1857,11.293,0.0012000000000000454
104,8/25/2018,07:50:00 am,0,2018-08-25 07:50:00,8.1853,11.305,0.0007999999999999119
105,8/25/2018,08:00:00 am,0,2018-08-25 08:00:00,8.1862,11.312999999999999,0.0005000000000000782
106,8/25/2018,08:10:00 am,0,2018-08-25 08:10:00,8.1862,11.318,0.0002000000000000668
107,8/25/2018,08:20:00 am,0,2018-08-25 08:20:00,8.1863,11.32,0.00030000000000001136
108,8/25/2018,08:30:00 am,0,2018-08-25 08:30:00,8.1864,11.323,0.00010000000000012221
109,8/25/2018,08:40:00 am,0,2018-08-25 08:40:00,8.1858,11.324000000000002,0.00019999999999971153
110,8/25/2018,08:50:00 am,0,2018-08-25 08:50:00,8.1857,11.325999999999999,0.00010000000000012221
