,Date,Time,ms,DT,raw_LEVEL_m,TEMPERATURE,Rate of Change
0,8/24/2018,02:30:00 pm,0,2018-08-24 14:30:00,8.4749,10.743,0.006200000000000117
1,8/24/2018,02:40:00 pm,0,2018-08-24 14:40:00,8.4727,10.681,0.0038999999999997925
2,8/24/2018,02:50:00 pm,0,2018-08-24 14:50:00,8.4691,10.642000000000001,0.002800000000000047
3,8/24/2018,03:00:00 pm,0,2018-08-24 15:00:00,8.4669,10.614,0.0019000000000000128
4,8/24/2018,03:10:00 pm,0,2018-08-24 15:10:00,8.465,10.595,0.0014000000000001123
5,8/24/2018,03:20:00 pm,0,2018-08-24 15:20:00,8.4634,10.581,0.0009999999999999788
6,8/24/2018,03:30:00 pm,0,2018-08-24 15:30:00,8.4625,10.571,0.0008999999999998564
7,8/24/2018,03:40:00 pm,0,2018-08-24 15:40:00,8.4611,10.562000000000001,0.0006000000000002004
8,8/24/2018,03:50:00 pm,0,2018-08-24 15:50:00,8.4601,10.556,0.0005000000000000782
9,8/24/2018,04:00:00 pm,0,2018-08-24 16:00:00,8.4598,10.550999999999998,0.0005999999999998451
10,8/24/2018,04:10:00 pm,0,2018-08-24 16:10:00,8.4591,10.545,0.00030000000000001136
11,8/24/2018,04:20:00 pm,0,2018-08-24 16:20:00,8.4588,10.542,0.0004999999999999005
12,8/24/2018,04:30:00 pm,0,2018-08-24 16:30:00,8.459,10.537,0.00030000000000001136
13,8/24/2018,04:40:00 pm,0,2018-08-24 16:40:00,8.4592,10.534,0.000300000000000189
14,8/24/2018,04:50:00 pm,0,2018-08-24 16:50:00,8.4606,10.530999999999999,0.00030000000000001136
15,8/24/2018,05:00:00 pm,0,2018-08-24 17:00:00,8.4606,10.527999999999999,0.00019999999999988915
16,8/24/2018,05:10:00 pm,0,2018-08-24 17:10:00,8.4607,10.526,0.00030000000000001136
17,8/24/2018,05:20:00 pm,0,2018-08-24 17:20:00,8.4614,10.523,0.0002000000000000668
18,8/24/2018,05:30:00 pm,0,2018-08-24 17:30:00,8.4618,10.520999999999999,0.00019999999999988915
19,8/24/2018,05:40:00 pm,0,2018-08-24 17:40:00,8.4626,10.519,0.000300000000000189
20,8/24/2018,05:50:00 pm,0,2018-08-24 17:50:00,8.4637,10.515999999999998,9.999999999976694e-05
21,8/24/2018,06:00:00 pm,0,2018-08-24 18:00:00,8.4642,10.515,0.0002000000000000668
22,8/24/2018,06:10:00 pm,0,2018-08-24 18:10:00,8.4652,10.513,0.0002000000000000668
23,8/24/2018,06:20:00 pm,0,2018-08-24 18:20:00,8.4665,10.511,0.00019999999999988915
24,8/24/2018,06:30:00 pm,0,2018-08-24 18:30:00,8.4676,10.509,0.00010000000000012221
25,8/24/2018,06:40:00 pm,0,2018-08-24 18:40:00,8.4691,10.508,0.0002000000000000668
26,8/24/2018,06:50:00 pm,0,2018-08-24 18:50:00,8.4701,10.505999999999998,0.00019999999999971153
27,8/24/2018,07:00:00 pm,0,2018-08-24 19:00:00,8.4719,10.504000000000001,0.00010000000000012221
