,Date,Time,ms,DT,raw_LEVEL_m,TEMPERATURE,Rate of Change
2464,6/19/2019,02:40:00 pm,0,2019-06-19 14:40:00,8.9882,8.623,0.00010000000000012221
2465,6/19/2019,02:50:00 pm,0,2019-06-19 14:50:00,8.987,8.624,9.999999999994457e-05
2466,6/19/2019,03:00:00 pm,0,2019-06-19 15:00:00,8.9865,8.625,0.0
2467,6/19/2019,03:10:00 pm,0,2019-06-19 15:10:00,8.9868,8.625,0.0002000000000000668
2468,6/19/2019,03:20:00 pm,0,2019-06-19 15:20:00,8.9865,8.627,9.999999999994457e-05
2469,6/19/2019,03:30:00 pm,0,2019-06-19 15:30:00,8.986,8.628,0.0
2470,6/19/2019,03:40:00 pm,0,2019-06-19 15:40:00,8.9861,8.628,9.999999999994457e-05
2471,6/19/2019,03:50:00 pm,0,2019-06-19 15:50:00,8.9849,8.629,0.00010000000000012221
2472,6/19/2019,04:00:00 pm,0,2019-06-19 16:00:00,8.9851,8.63,9.999999999994457e-05
2473,6/19/2019,04:10:00 pm,0,2019-06-19 16:10:00,8.9848,8.631,9.999999999994457e-05
2474,6/19/2019,04:20:00 pm,0,2019-06-19 16:20:00,8.9843,8.632,9.999999999994457e-05
2475,6/19/2019,04:30:00 pm,0,2019-06-19 16:30:00,8.9836,8.633,0.00010000000000012221
2476,6/19/2019,04:40:00 pm,0,2019-06-19 16:40:00,8.9832,8.634,9.999999999994457e-05
2477,6/19/2019,04:50:00 pm,0,2019-06-19 16:50:00,8.9826,8.635,0.0002000000000000668
2478,6/19/2019,05:00:00 pm,0,2019-06-19 17:00:00,8.982,8.637,9.999999999994457e-05
2479,6/19/2019,05:10:00 pm,0,2019-06-19 17:10:00,8.9815,8.638,9.999999999994457e-05
2480,6/19/2019,05:20:00 pm,0,2019-06-19 17:20:00,8.9811,8.639,0.0
2481,6/19/2019,05:30:00 pm,0,2019-06-19 17:30:00,8.9803,8.639,0.0002000000000000668
2482,6/19/2019,05:40:00 pm,0,2019-06-19 17:40:00,8.9804,8.641,0.00010000000000012221
2483,6/19/2019,05:50:00 pm,0,2019-06-19 17:50:00,8.9792,8.642000000000001,0.0
2484,6/19/2019,06:00:00 pm,0,2019-06-19 18:00:00,8.9788,8.642000000000001,9.999999999976694e-05
2485,6/19/2019,06:10:00 pm,0,2019-06-19 18:10:00,8.9781,8.642999999999999,0.0
2486,6/19/2019,06:20:00 pm,0,2019-06-19 18:20:00,8.9778,8.642999999999999,0.0002000000000000668
2487,6/19/2019,06:30:00 pm,0,2019-06-19 18:30:00,8.9781,8.645,0.00010000000000012221
2488,6/19/2019,06:40:00 pm,0,2019-06-19 18:40:00,8.9781,8.646,9.999999999994457e-05
2489,6/19/2019,06:50:00 pm,0,2019-06-19 18:50:00,8.9792,8.647,0.0
2490,6/19/2019,07:00:00 pm,0,2019-06-19 19:00:00,8.9786,8.647,0.00019999999999988915
2491,6/19/2019,07:10:00 pm,0,2019-06-19 19:10:00,8.9788,8.649,0.0
2492,6/19/2019,07:20:00 pm,0,2019-06-19 19:20:00,8.9787,8.649,0.0002000000000000668
2493,6/19/2019,07:30:00 pm,0,2019-06-19 19:30:00,8.9782,8.651,0.0
2494,6/19/2019,07:40:00 pm,0,2019-06-19 19:40:00,8.9782,8.651,0.0
2495,6/19/2019,07:50:00 pm,0,2019-06-19 19:50:00,8.9786,8.651,0.00010000000000012221
2496,6/19/2019,08:00:00 pm,0,2019-06-19 20:00:00,8.9789,8.652000000000001,0.00019999999999988915
2497,6/19/2019,08:10:00 pm,0,2019-06-19 20:10:00,8.979,8.654,0.0
2498,6/19/2019,08:20:00 pm,0,2019-06-19 20:20:00,8.9796,8.654,9.999999999994457e-05
2499,6/19/2019,08:30:00 pm,0,2019-06-19 20:30:00,8.9793,8.655,0.00010000000000012221
2500,6/19/2019,08:40:00 pm,0,2019-06-19 20:40:00,8.9796,8.656,9.999999999994457e-05
2501,6/19/2019,08:50:00 pm,0,2019-06-19 20:50:00,8.9797,8.657,9.999999999994457e-05
2502,6/19/2019,09:00:00 pm,0,2019-06-19 21:00:00,8.9795,8.658,0.0
2503,6/19/2019,09:10:00 pm,0,2019-06-19 21:10:00,8.9794,8.658,9.999999999994457e-05
2504,6/19/2019,09:20:00 pm,0,2019-06-19 21:20:00,8.98,8.658999999999999,0.00010000000000012221
2505,6/19/2019,09:30:00 pm,0,2019-06-19 21:30:00,8.9809,8.66,9.999999999994457e-05
2506,6/19/2019,09:40:00 pm,0,2019-06-19 21:40:00,8.9821,8.661,0.0
2507,6/19/2019,09:50:00 pm,0,2019-06-19 21:50:00,8.9827,8.661,0.00010000000000012221
2508,6/19/2019,10:00:00 pm,0,2019-06-19 22:00:00,8.983,8.662,9.999999999994457e-05
2509,6/19/2019,10:10:00 pm,0,2019-06-19 22:10:00,8.9834,8.663,9.999999999994457e-05
2510,6/19/2019,10:20:00 pm,0,2019-06-19 22:20:00,8.984,8.664,9.999999999994457e-05
2511,6/19/2019,10:30:00 pm,0,2019-06-19 22:30:00,8.9837,8.665,0.0
2512,6/19/2019,10:40:00 pm,0,2019-06-19 22:40:00,8.9841,8.665,0.00010000000000012221
2513,6/19/2019,10:50:00 pm,0,2019-06-19 22:50:00,8.984,8.666,9.999999999994457e-05
2514,6/19/2019,11:00:00 pm,0,2019-06-19 23:00:00,8.9841,8.667,9.999999999994457e-05
2515,6/19/2019,11:10:00 pm,0,2019-06-19 23:10:00,8.9838,8.668,0.00010000000000012221
2516,6/19/2019,11:20:00 pm,0,2019-06-19 23:20:00,8.9833,8.669,9.999999999994457e-05
2517,6/19/2019,11:30:00 pm,0,2019-06-19 23:30:00,8.9828,8.67,9.999999999994457e-05
2518,6/19/2019,11:40:00 pm,0,2019-06-19 23:40:00,8.9829,8.671,0.00010000000000012221
2519,6/19/2019,11:50:00 pm,0,2019-06-19 23:50:00,8.9829,8.672,9.999999999994457e-05
2520,6/20/2019,12:00:00 am,0,2019-06-20 00:00:00,8.9824,8.673,9.999999999994457e-05
2521,6/20/2019,12:10:00 am,0,2019-06-20 00:10:00,8.9821,8.674,0.0
2522,6/20/2019,12:20:00 am,0,2019-06-20 00:20:00,8.9815,8.674,0.00010000000000012221
2523,6/20/2019,12:30:00 am,0,2019-06-20 00:30:00,8.9805,8.675,9.999999999994457e-05
2524,6/20/2019,12:40:00 am,0,2019-06-20 00:40:00,8.9799,8.676,0.00019999999999988915
2525,6/20/2019,12:50:00 am,0,2019-06-20 00:50:00,8.9788,8.677999999999999,0.0
2526,6/20/2019,01:00:00 am,0,2019-06-20 01:00:00,8.9783,8.677999999999999,0.00010000000000012221
2527,6/20/2019,01:10:00 am,0,2019-06-20 01:10:00,8.9777,8.679,0.0002000000000000668
2528,6/20/2019,01:20:00 am,0,2019-06-20 01:20:00,8.9769,8.681000000000001,0.0
2529,6/20/2019,01:30:00 am,0,2019-06-20 01:30:00,8.9765,8.681000000000001,9.999999999994457e-05
2530,6/20/2019,01:40:00 am,0,2019-06-20 01:40:00,8.9758,8.682,9.999999999994457e-05
2531,6/20/2019,01:50:00 am,0,2019-06-20 01:50:00,8.9754,8.683,0.0002000000000000668
2532,6/20/2019,02:00:00 am,0,2019-06-20 02:00:00,8.9752,8.685,9.999999999994457e-05
2533,6/20/2019,02:10:00 am,0,2019-06-20 02:10:00,8.9745,8.686,0.00010000000000012221
2534,6/20/2019,02:20:00 am,0,2019-06-20 02:20:00,8.9736,8.687000000000001,9.999999999976694e-05
2535,6/20/2019,02:30:00 am,0,2019-06-20 02:30:00,8.9725,8.687999999999999,0.0002000000000000668
2536,6/20/2019,02:40:00 am,0,2019-06-20 02:40:00,8.9727,8.69,0.00010000000000012221
2537,6/20/2019,02:50:00 am,0,2019-06-20 02:50:00,8.9722,8.691,9.999999999994457e-05
2538,6/20/2019,03:00:00 am,0,2019-06-20 03:00:00,8.9717,8.692,9.999999999994457e-05
2539,6/20/2019,03:10:00 am,0,2019-06-20 03:10:00,8.9715,8.693,0.0002000000000000668
2540,6/20/2019,03:20:00 am,0,2019-06-20 03:20:00,8.9712,8.695,9.999999999994457e-05
2541,6/20/2019,03:30:00 am,0,2019-06-20 03:30:00,8.9708,8.696,0.00010000000000012221
2542,6/20/2019,03:40:00 am,0,2019-06-20 03:40:00,8.9693,8.697000000000001,0.00019999999999988915
2543,6/20/2019,03:50:00 am,0,2019-06-20 03:50:00,8.9688,8.699,9.999999999994457e-05
2544,6/20/2019,04:00:00 am,0,2019-06-20 04:00:00,8.9688,8.7,0.00010000000000012221
2545,6/20/2019,04:10:00 am,0,2019-06-20 04:10:00,8.9681,8.701,0.00019999999999988915
2546,6/20/2019,04:20:00 am,0,2019-06-20 04:20:00,8.9675,8.703,0.00010000000000012221
2547,6/20/2019,04:30:00 am,0,2019-06-20 04:30:00,8.967,8.704,9.999999999994457e-05
2548,6/20/2019,04:40:00 am,0,2019-06-20 04:40:00,8.9664,8.705,0.0002000000000000668
2549,6/20/2019,04:50:00 am,0,2019-06-20 04:50:00,8.9665,8.707,9.999999999994457e-05
2550,6/20/2019,05:00:00 am,0,2019-06-20 05:00:00,8.9662,8.708,0.0002000000000000668
2551,6/20/2019,05:10:00 am,0,2019-06-20 05:10:00,8.9657,8.71,9.999999999994457e-05
2552,6/20/2019,05:20:00 am,0,2019-06-20 05:20:00,8.9654,8.711,0.00019999999999988915
2553,6/20/2019,05:30:00 am,0,2019-06-20 05:30:00,8.9646,8.713,0.00010000000000012221
2554,6/20/2019,05:40:00 am,0,2019-06-20 05:40:00,8.9642,8.714,0.0002000000000000668
2555,6/20/2019,05:50:00 am,0,2019-06-20 05:50:00,8.9622,8.716000000000001,0.00019999999999988915
2556,6/20/2019,06:00:00 am,0,2019-06-20 06:00:00,8.9623,8.718,9.999999999994457e-05
2557,6/20/2019,06:10:00 am,0,2019-06-20 06:10:00,8.9617,8.719,0.0002000000000000668
2558,6/20/2019,06:20:00 am,0,2019-06-20 06:20:00,8.9607,8.721,0.00030000000000001136
2559,6/20/2019,06:30:00 am,0,2019-06-20 06:30:00,8.9603,8.724,9.999999999994457e-05
2560,6/20/2019,06:40:00 am,0,2019-06-20 06:40:00,8.9588,8.725,0.0002000000000000668
2561,6/20/2019,06:50:00 am,0,2019-06-20 06:50:00,8.9595,8.727,0.00019999999999988915
2562,6/20/2019,07:00:00 am,0,2019-06-20 07:00:00,8.9594,8.729,0.00010000000000012221
2563,6/20/2019,07:10:00 am,0,2019-06-20 07:10:00,8.9575,8.73,0.0002000000000000668
2564,6/20/2019,07:20:00 am,0,2019-06-20 07:20:00,8.9544,8.732000000000001,0.0002999999999998337
2565,6/20/2019,07:30:00 am,0,2019-06-20 07:30:00,8.9545,8.735,0.0002000000000000668
2566,6/20/2019,07:40:00 am,0,2019-06-20 07:40:00,8.954,8.737,0.00019999999999988915
2567,6/20/2019,07:50:00 am,0,2019-06-20 07:50:00,8.9538,8.738999999999999,0.0002000000000000668
2568,6/20/2019,08:00:00 am,0,2019-06-20 08:00:00,8.9535,8.741,0.0002000000000000668
2569,6/20/2019,08:10:00 am,0,2019-06-20 08:10:00,8.953,8.743,0.00019999999999988915
2570,6/20/2019,08:20:00 am,0,2019-06-20 08:20:00,8.9538,8.745,0.0002000000000000668
2571,6/20/2019,08:30:00 am,0,2019-06-20 08:30:00,8.9527,8.747,0.00030000000000001136
2572,6/20/2019,08:40:00 am,0,2019-06-20 08:40:00,8.9535,8.75,0.00030000000000001136
2573,6/20/2019,08:50:00 am,0,2019-06-20 08:50:00,8.953,8.753,0.00030000000000001136
2574,6/20/2019,09:00:00 am,0,2019-06-20 09:00:00,8.9523,8.756,0.00019999999999988915
2575,6/20/2019,09:10:00 am,0,2019-06-20 09:10:00,8.9517,8.758,0.0002000000000000668
2576,6/20/2019,09:20:00 am,0,2019-06-20 09:20:00,8.9527,8.76,0.0002000000000000668
2577,6/20/2019,09:30:00 am,0,2019-06-20 09:30:00,8.9524,8.762,0.00019999999999988915
2578,6/20/2019,09:40:00 am,0,2019-06-20 09:40:00,8.951,8.764,0.0002000000000000668
2579,6/20/2019,09:50:00 am,0,2019-06-20 09:50:00,8.9507,8.766,0.00019999999999988915
2580,6/20/2019,10:00:00 am,0,2019-06-20 10:00:00,8.9491,8.767999999999999,0.0002000000000000668
2581,6/20/2019,10:10:00 am,0,2019-06-20 10:10:00,8.9475,8.77,0.0002000000000000668
2582,6/20/2019,10:20:00 am,0,2019-06-20 10:20:00,8.9463,8.772,0.00019999999999988915
2583,6/20/2019,10:30:00 am,0,2019-06-20 10:30:00,8.9464,8.774,0.00010000000000012221
2584,6/20/2019,10:40:00 am,0,2019-06-20 10:40:00,8.945,8.775,0.0002000000000000668
2585,6/20/2019,10:50:00 am,0,2019-06-20 10:50:00,8.9447,8.777000000000001,9.999999999976694e-05
2586,6/20/2019,11:00:00 am,0,2019-06-20 11:00:00,8.9428,8.777999999999999,0.0002000000000000668
2587,6/20/2019,11:10:00 am,0,2019-06-20 11:10:00,8.9416,8.78,0.0002000000000000668
2588,6/20/2019,11:20:00 am,0,2019-06-20 11:20:00,8.9419,8.782,9.999999999994457e-05
2589,6/20/2019,11:30:00 am,0,2019-06-20 11:30:00,8.9426,8.783,9.999999999994457e-05
2590,6/20/2019,11:40:00 am,0,2019-06-20 11:40:00,8.9419,8.783999999999999,0.0002000000000000668
2591,6/20/2019,11:50:00 am,0,2019-06-20 11:50:00,8.9416,8.786,0.0002000000000000668
2592,6/20/2019,12:00:00 pm,0,2019-06-20 12:00:00,8.9411,8.788,0.00019999999999988915
2593,6/20/2019,12:10:00 pm,0,2019-06-20 12:10:00,8.9407,8.79,0.00010000000000012221
2594,6/20/2019,12:20:00 pm,0,2019-06-20 12:20:00,8.9411,8.791,0.00019999999999988915
2595,6/20/2019,12:30:00 pm,0,2019-06-20 12:30:00,8.9403,8.793,0.00010000000000012221
2596,6/20/2019,12:40:00 pm,0,2019-06-20 12:40:00,8.9407,8.794,9.999999999994457e-05
2597,6/20/2019,12:50:00 pm,0,2019-06-20 12:50:00,8.9388,8.795,0.0002000000000000668
2598,6/20/2019,01:00:00 pm,0,2019-06-20 13:00:00,8.938,8.797,9.999999999994457e-05
2599,6/20/2019,01:10:00 pm,0,2019-06-20 13:10:00,8.9368,8.798,9.999999999994457e-05
2600,6/20/2019,01:20:00 pm,0,2019-06-20 13:20:00,8.9366,8.799,0.0002000000000000668
2601,6/20/2019,01:30:00 pm,0,2019-06-20 13:30:00,8.9378,8.801,9.999999999994457e-05
2602,6/20/2019,01:40:00 pm,0,2019-06-20 13:40:00,8.9373,8.802,9.999999999994457e-05
2603,6/20/2019,01:50:00 pm,0,2019-06-20 13:50:00,8.9371,8.802999999999999,0.0002000000000000668
2604,6/20/2019,02:00:00 pm,0,2019-06-20 14:00:00,8.9373,8.805,0.00010000000000012221
2605,6/20/2019,02:10:00 pm,0,2019-06-20 14:10:00,8.9375,8.806000000000001,9.999999999994457e-05
2606,6/20/2019,02:20:00 pm,0,2019-06-20 14:20:00,8.9375,8.807,0.00019999999999988915
2607,6/20/2019,02:30:00 pm,0,2019-06-20 14:30:00,8.9375,8.809,0.00010000000000012221
2608,6/20/2019,02:40:00 pm,0,2019-06-20 14:40:00,8.9371,8.81,9.999999999994457e-05
2609,6/20/2019,02:50:00 pm,0,2019-06-20 14:50:00,8.9365,8.811,0.00010000000000012221
2610,6/20/2019,03:00:00 pm,0,2019-06-20 15:00:00,8.9356,8.812000000000001,9.999999999976694e-05
2611,6/20/2019,03:10:00 pm,0,2019-06-20 15:10:00,8.9359,8.812999999999999,0.0002000000000000668
2612,6/20/2019,03:20:00 pm,0,2019-06-20 15:20:00,8.9352,8.815,0.00010000000000012221
2613,6/20/2019,03:30:00 pm,0,2019-06-20 15:30:00,8.9346,8.816,0.00019999999999988915
2614,6/20/2019,03:40:00 pm,0,2019-06-20 15:40:00,8.934,8.818,0.0
2615,6/20/2019,03:50:00 pm,0,2019-06-20 15:50:00,8.9337,8.818,0.0002000000000000668
2616,6/20/2019,04:00:00 pm,0,2019-06-20 16:00:00,8.934,8.82,9.999999999994457e-05
2617,6/20/2019,04:10:00 pm,0,2019-06-20 16:10:00,8.9333,8.821,0.0002000000000000668
2618,6/20/2019,04:20:00 pm,0,2019-06-20 16:20:00,8.9331,8.823,9.999999999994457e-05
2619,6/20/2019,04:30:00 pm,0,2019-06-20 16:30:00,8.9326,8.824,0.0002000000000000668
2620,6/20/2019,04:40:00 pm,0,2019-06-20 16:40:00,8.9329,8.826,9.999999999994457e-05
2621,6/20/2019,04:50:00 pm,0,2019-06-20 16:50:00,8.933,8.827,0.0002000000000000668
2622,6/20/2019,05:00:00 pm,0,2019-06-20 17:00:00,8.934,8.829,0.00019999999999988915
2623,6/20/2019,05:10:00 pm,0,2019-06-20 17:10:00,8.9333,8.831,0.00010000000000012221
2624,6/20/2019,05:20:00 pm,0,2019-06-20 17:20:00,8.9326,8.832,0.00019999999999988915
2625,6/20/2019,05:30:00 pm,0,2019-06-20 17:30:00,8.9317,8.834,0.00010000000000012221
2626,6/20/2019,05:40:00 pm,0,2019-06-20 17:40:00,8.9324,8.835,9.999999999994457e-05
2627,6/20/2019,05:50:00 pm,0,2019-06-20 17:50:00,8.9321,8.836,9.999999999994457e-05
2628,6/20/2019,06:00:00 pm,0,2019-06-20 18:00:00,8.9314,8.837,9.999999999994457e-05
2629,6/20/2019,06:10:00 pm,0,2019-06-20 18:10:00,8.9327,8.838,0.0002000000000000668
2630,6/20/2019,06:20:00 pm,0,2019-06-20 18:20:00,8.9331,8.84,0.00010000000000012221
2631,6/20/2019,06:30:00 pm,0,2019-06-20 18:30:00,8.9326,8.841000000000001,9.999999999994457e-05
2632,6/20/2019,06:40:00 pm,0,2019-06-20 18:40:00,8.9327,8.842,9.999999999994457e-05
2633,6/20/2019,06:50:00 pm,0,2019-06-20 18:50:00,8.9325,8.843,9.999999999994457e-05
2634,6/20/2019,07:00:00 pm,0,2019-06-20 19:00:00,8.9327,8.844,0.00010000000000012221
2635,6/20/2019,07:10:00 pm,0,2019-06-20 19:10:00,8.9331,8.845,0.0002000000000000668
2636,6/20/2019,07:20:00 pm,0,2019-06-20 19:20:00,8.9329,8.847000000000001,9.999999999976694e-05
2637,6/20/2019,07:30:00 pm,0,2019-06-20 19:30:00,8.9335,8.847999999999999,0.00010000000000012221
2638,6/20/2019,07:40:00 pm,0,2019-06-20 19:40:00,8.9334,8.849,9.999999999994457e-05
2639,6/20/2019,07:50:00 pm,0,2019-06-20 19:50:00,8.9333,8.85,0.00010000000000012221
2640,6/20/2019,08:00:00 pm,0,2019-06-20 20:00:00,8.9336,8.851,9.999999999994457e-05
2641,6/20/2019,08:10:00 pm,0,2019-06-20 20:10:00,8.9346,8.852,9.999999999994457e-05
2642,6/20/2019,08:20:00 pm,0,2019-06-20 20:20:00,8.9356,8.853,0.0002000000000000668
2643,6/20/2019,08:30:00 pm,0,2019-06-20 20:30:00,8.9365,8.855,9.999999999994457e-05
2644,6/20/2019,08:40:00 pm,0,2019-06-20 20:40:00,8.9369,8.856,0.00010000000000012221
2645,6/20/2019,08:50:00 pm,0,2019-06-20 20:50:00,8.9375,8.857000000000001,9.999999999976694e-05
2646,6/20/2019,09:00:00 pm,0,2019-06-20 21:00:00,8.938,8.857999999999999,0.0002000000000000668
2647,6/20/2019,09:10:00 pm,0,2019-06-20 21:10:00,8.939,8.86,0.0
2648,6/20/2019,09:20:00 pm,0,2019-06-20 21:20:00,8.9398,8.86,0.0002000000000000668
2649,6/20/2019,09:30:00 pm,0,2019-06-20 21:30:00,8.9413,8.862,9.999999999994457e-05
