well_id,2018_141,2018_154,2018_167,2018_180,2018_193,2018_206,2018_219,2018_232,2018_245,2018_258,2018_271,2018_284,2018_297,2018_310,2018_323,2019_141,2019_154,2019_167,2019_180,2019_193,2019_206,2019_219,2019_232,2019_245,2019_258,2019_271,2019_284,2019_297,2019_310,2019_323,2021_141,2021_154,2021_167,2021_180,2021_193,2021_206,2021_219,2021_232,2021_245,2021_258,2021_271,2021_284,2021_297,2021_310,2021_323,2024_141,2024_154,2024_167,2024_180,2024_193,2024_206,2024_219,2024_232,2024_245,2024_258,2024_271,2024_284,2024_297,2024_310,2024_323,2025_141,2025_154,2025_167,2025_180,2025_193,2025_206,2025_219,2025_232,2025_245,2025_258,2025_271,2025_284,2025_297,2025_310,2025_323
EEF-1,,4.7887,1.1903,4.577,20.54374444178097,24.891127041031588,9.61034837022095,3.962471721494497,0.5452549302034131,1.2868703029917348,0.6979877573848393,0.4743680305211153,-0.9844181842111157,-2.2842493263865764,-5.030234186159321,,-2.0,1.6503,,18.0503,49.017,56.1503,39.4837,20.017,1.717,4.12034382545307,3.5817543850561333,4.479596235571702,,,13.1594,38.153,69.0394,76.33456594007308,79.02509578568502,78.85723849598877,78.73812981408796,79.67040590205694,83.7714,,83.4666,,,,7.673,1.245,2.155,21.155,48.995,78.11689640198637,81.36770038671874,75.54798999235116,72.09767292920448,40.248483152863145,33.90147300804448,19.15143486895216,15.803687119496006,11.371763864261272,9.908256404715516,,,,,,,,,,,,,,,,
EEF-2,,,,,,,,,,,,,,,,,,,,81.6833,112.71518620837668,122.40067891585798,131.61079663297974,142.1574336736319,135.86448220364733,132.7479102451369,,92.95,,,92.5252,115.4868,134.8924,135.6036,,,,,,,,,,,-3.0601,-18.15,24.48853493544644,58.64697342962627,87.28018205683807,107.1706861953981,,,,,,,,,,,32.57748972984067,56.896992253814844,85.9948232394581,107.5316696968469,136.62855971505138,140.54659232526677,140.0681511057217,140.47457197289395,140.25277138198584,141.20339106219677,141.134134128327,141.91946372169716,129.36267990958785,72.41,
EEF-XA3S,,3.384,4.8657,20.9523,51.7773,77.5773,,,,,,,,,15.7773,,-0.0893,3.6107,,6.444,40.044,63.7107,,,22.4773,,18.544,13.4107,,,15.5224,39.6016,86.744,,,,,,,,,,,,3.8672,1.1788,1.7287,5.6988,38.6188,96.6288,,,,,,,,87.5888,18.1888,,,,,,,,,,,,,,,,
EER-1,,17.2537,29.3187,38.3146,42.07513181824835,41.334088578428336,41.29289947020102,41.35714985140282,39.51212114838607,37.25854118248465,31.806896465909524,26.945261731029145,24.534206391350065,23.623172366902022,22.602662160350587,,2.6104,14.0104,,33.0187,37.9104,39.0437,39.2771,39.1104,24.9437,,23.7771,22.2771,,,28.7317,37.7741,40.5173,41.08801192824724,,46.5117,48.2389,44.2765,43.7685,41.14953264089588,38.53176973193887,31.11136264013963,17.11493996204177,15.869545243293505,17.000183389752497,-9.0,16.64,27.41,34.31,38.58,42.04,39.29,38.89,36.45,,30.35,25.138168128574577,20.93484991257454,20.421160375885762,,19.905264706007735,25.81356869882266,31.714060891635697,33.637712090085486,37.60821651527256,37.608510335941,38.986259848933535,38.48728585851835,29.442445727842447,29.19129894309552,25.916697962925692,22.010648462969826,18.180459184598035,19.165,
EER-XB4S,,,,,39.2,,,,,,,,,,,,,,,26.1333,,,,,,,,24.8,,,17.7912,27.1384,38.924,43.0896,,53.148,,,,,50.7096,41.4367,,,-18.1752,5.745,11.225,25.865,34.395,47.395,,,,,,38.055,39.065,28.605,25.555,,,,,,,,,,,,,,,,
EET-1,,8.9092,48.2792,85.9558,88.5433,,88.9433,,,,,,,,71.51,,-1.89,27.4767,,,87.61,87.61,,,,,,84.0433,,,45.4612,50.2364,83.9676,,89.66395507876246,89.2596363995313,,,,,,,,,13.1524,5.1675,32.7975,59.7275,,,,,,,,,,,81.9775,,33.28102345438397,47.58757803483541,75.49882690576577,88.1257385036384,86.78650056461011,87.0601174827694,86.59286485288833,86.96264117881653,86.78329924396257,87.69509888116791,87.67514745325994,88.46182491605929,84.84578424011177,82.8875,
EFF-XA2N,,11.4342,18.7367,27.3092,32.575,32.8417,38.7083,35.0083,,32.9417,25.4417,,,,10.375,,,7.7083,,20.0417,28.575,31.875,31.9083,31.9417,17.4083,,13.775,11.075,,,13.0358,22.383,29.2918,32.6446,,37.0134,37.623,36.5054,37.623,,30.9174,26.345,,,12.0198,3.485,9.585,19.745,25.735,30.305,32.445,31.835,32.445,30.005,,21.165,20.355,14.765,9.275,,,,,,,,,,,,,,,,
EFF-XA2S,,10.1705,19.6955,39.8038,51.8022,,,,,,,,,,31.9688,,,16.9355,,21.1688,46.7355,,,,,,44.3022,34.4355,,,34.4755,50.4267,58.3515,,,,,,,,,,,,14.0634,4.6137,11.6238,30.8238,43.0237,,,,,,,,,,41.3938,,,,,,,,,,,,,,,,
EFR-XB1S,,34.4473,40.1623,43.4432,45.5373,44.0373,45.6373,45.504,,46.6373,46.404,,,,44.9373,,,,,35.2707,41.004,,,,,,,45.604,,,45.3496,47.6864,48.296,49.5152,,50.2264,51.1408,52.1568,50.836,,50.2264,47.7407,,,41.692,16.305,27.785,36.015,40.685,43.735,45.765,45.765,46.075,46.475,,45.875,45.465,44.855,43.735,,,,,,,,,,,,,,,,
EFR-XB2S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.8408,44.9368,,,,57.1288,56.824,,,,,,,,33.0496,18.245,,,,,48.725,,,,,,,42.935,,,,,,,,,,,,,,,,,
EFR-XB3S,,,,,,,,,,,,,,,,,,,,50.7,55.2833,,,,,,,50.35,,,39.2276,50.81,64.7292,,,,,,,,,,,,26.7308,18.295,27.235,44.915,57.715,,,,,,,,,56.595,48.365,,,,,,,,,,,,,,,,
EFT-XC3S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.44,13.5,46.92,62.16,75.58,57.59,88.68,,88.99,,71.92,80.95,62.88,58.2,,,,,,,,,,,,,,,,
EFT-XC4S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.185,12.505,36.375,72.855,,,,,,,,,,61.275,,,,,,,,,,,,,,,,
EHF-XA5S,,-1.1533,35.6767,67.215,105.0958,,,,,,,,,,22.3625,,-2.5843254569010865,1.6451412083959278,36.08526420364662,65.49101116770213,90.54558350283675,109.73356842403753,112.14506924966659,111.64994028102672,,,,42.8625,,,,84.39384664992482,98.23701931023304,111.57548011720732,,,,,,,,,,,1.2715,-28.8188,22.42082725206047,58.15642642791773,90.54174357174222,116.41823552300454,,,,,,,,,83.3212,,27.59819025681599,53.67929203753017,86.25504601451522,111.63470671747191,126.76975226286088,128.24362081783556,127.61034747539696,127.94006989156657,126.80312341136423,127.46590526415332,127.58434442365102,122.83678565539775,51.367781048940074,29.5812,
EHF-XB7S,,,,,,,,,,,,,,,,,,,,4.5167,3.55,5.85,5.6167,5.1167,3.2833,,3.45,3.45,,,-11.6356,11.834,24.4324,53.5916,,78.2804,85.5956,90.1676,96.8732,,81.0236,20.12,,,11.4276,1.835,2.855,13.925,28.555,70.015,76.515,78.955,,24.295,,12.205,10.375,4.375,3.365,,,,,,,,,,,,,,,,
EHR-1,,29.555,44.3717,59.1883,66.4083,65.54693608674567,67.22179563244731,67.17582355111512,62.175961442473,59.31246550149212,57.427278455544666,52.98536380794975,44.77112530235627,41.323897090653105,39.195526882629004,,4.4417,8.8083,,36.4083,54.1417,61.1083,62.9083,62.775,50.4417,,42.0083,40.0417,,,45.5542,55.003,60.2862,58.22047975045247,,63.639,65.0614,60.1846,60.7942,,60.2862,58.051,,,29.3998,7.755,26.045,43.425,54.195,60.77985942328196,64.57442955455278,63.38163475637813,64.76582962192396,59.6923729428492,60.54953459199268,56.35995802744408,52.3751464631769,45.6352262573244,41.08195089718928,,27.686967377471806,34.045465129189765,47.870309495803255,56.61588392493275,63.85736800313536,64.68031547597076,67.61299785327734,67.71600252757855,57.54004349862635,56.34459241511319,51.10491504331271,42.31900104440581,34.8275386351259,35.495,
EHR-XB1N,,,,,65.85,64.2833,,,,,,,,,,,,,,51.05,59.45,,,63.75,,,,46.8833,,,56.1092,66.6756,71.0444,73.178,,79.782,76.5308,71.146,71.4508,,67.6916,,,,44.0188,30.815,41.385,52.965,58.445,68.305,69.625,67.695,68.205,66.475,,62.925,62.815,54.995,43.925,,,,,,,,,,,,,,,,
EHR-XB2N,,,,,25.75,25.15,,,,,,,,,,,,,,16.95,24.6167,,,21.55,,,,15.95,,,18.1756,23.8652,28.742,28.9452,,33.1108,34.9396,31.9932,34.1268,,34.0252,27.3867,,,21.3252,7.39,12.07,19.08,22.84,24.87,27.61,26.6,25.99,23.75,,21.52,20.6,17.96,15.73,,,,,,36.45,,,,,,,,21.21,,
EHT-XB5S,,19.2967,64.4875,89.9933,109.85,124.75,,,,,,,,,43.9167,,-24.15,,,,,,,,,,,,,,38.9196,60.9668,92.7676,120.5044,,,,,,,,,,,-1.0702,10.68,40.85,74.99,100.59,,,,,,,,,125.89,78.55,,,,,,,,,,,,,,,,
EHT-XB6S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.7124,38.1876,75.5764,98.538,,128.6116,,,,,,,,,15.226,18.59,23.88,48.16,83.52,122.12,,,,,,,,,14.33,,,,,,,,,,,,,,,,
EHT-XC5S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.915,,89.395,113.5758,,117.1318,,,,,,,,,66.3318,,51.395,,85.435,,110.425,,115.305,114.695,,106.565,101.285,95.895,82.385,,,54.345,,,104.935,,,,,98.535,,,85.435,80.255,
EHT-XC6S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
