well_id,2018_146,2018_160,2018_174,2018_188,2018_202,2018_216,2018_230,2018_244,2018_258,2018_272,2018_286,2018_300,2018_314,2019_146,2019_160,2019_174,2019_188,2019_202,2019_216,2019_230,2019_244,2019_258,2019_272,2019_286,2019_300,2019_314,2021_146,2021_160,2021_174,2021_188,2021_202,2021_216,2021_230,2021_244,2021_258,2021_272,2021_286,2021_300,2021_314,2024_146,2024_160,2024_174,2024_188,2024_202,2024_216,2024_230,2024_244,2024_258,2024_272,2024_286,2024_300,2024_314,2025_146,2025_160,2025_174,2025_188,2025_202,2025_216,2025_230,2025_244,2025_258,2025_272,2025_286,2025_300,2025_314
EEF-1,4.7887,,1.1903,4.577,23.526747833662018,14.661621761193075,4.743440637468572,0.5579381648444829,1.2230264323859377,0.66744796920591,0.21090162459573447,-1.1646672965785692,-3.4385176375687,,-2.0,1.6503,18.0503,49.017,56.1503,39.4837,20.017,1.717,4.058197837920708,3.6953068366032022,5.017,,13.1594,38.153,69.0394,78.38146545755959,79.05668374592922,78.76689911846826,79.36866696386676,,83.7714,83.4666,,,7.673,1.245,2.155,21.155,48.995,78.99700049312999,80.28269110579568,71.86560784199848,44.114956994494655,34.21029636461274,19.054307434184114,15.146948604931865,11.210350915176003,9.434729897125703,,,,,,,,,,,,,
EEF-2,,,,,,,,,,,,,,,,,81.6833,109.88224428847563,119.25493242570643,129.78354533921572,140.80212039504775,136.79945306951794,132.7479102451369,,92.95,,92.5252,115.4868,134.8924,135.6036,,,,,,,,,-3.0601,-18.15,36.06294907154888,73.35072420121988,100.43217606310934,131.23,,,,,,,,,41.88656407625341,69.97756737036916,97.57172515403296,124.82933465181092,141.20561831076367,140.0790512963283,140.38201246833216,140.27775999401288,141.15670409134844,141.18222070191726,141.72105264103766,122.1648276512727,
EEF-XA3S,3.384,,4.8657,20.9523,64.6773,,,,,,,,,,-0.0893,3.6107,6.444,40.044,63.7107,,,22.4773,18.544,,13.4107,,15.5224,39.6016,86.744,,,,,,,,,,3.8672,1.1788,1.7287,5.6988,38.6188,96.6288,,,,,,,87.5888,18.1888,,,,,,,,,,,,,
EER-1,17.2537,,29.3187,38.3146,41.95870452080796,40.947429682587405,41.40494451669696,39.577787998620295,37.3632253084197,31.472635037066592,26.566540257480998,24.225841135035534,23.259937286322646,,2.6104,14.0104,33.0187,37.9104,39.0437,39.2771,39.1104,24.9437,23.7771,,22.2771,,28.7317,37.7741,40.5173,41.08801192824724,46.5117,48.2389,44.2765,,41.33660173797474,38.378303304546684,30.191962602695373,15.095084580040263,16.40370737199431,-9.0,16.64,27.41,34.31,38.58,42.04,39.09,,36.45,30.35,24.58778412251646,20.833963162483162,20.24862306813181,22.284867100755328,28.685845524827165,32.532234506574135,36.63034720062938,37.63367765514592,38.354564318678285,39.81192939045783,29.645311561239517,29.29024166663652,25.71469721555686,21.511419109459315,18.11673703218248,
EER-XB4S,,,,,39.2,,,,,,,,,,,,26.1333,,,,,,,,24.8,,17.7912,27.1384,38.924,43.0896,53.148,,,,,50.7096,41.4367,,-18.1752,5.745,11.225,25.865,34.395,47.395,,,,,38.055,39.065,28.605,25.555,,,,,,,,,,,,,
EET-1,8.9092,,48.2792,85.9558,88.5433,88.9433,,,,,,,,,-1.89,27.4767,,87.61,87.61,,,,,,84.0433,,45.4612,50.2364,83.9676,89.5526235837549,89.67567145041936,,,,,,,,13.1524,5.1675,32.7975,59.7275,,,,,,,,,,81.9775,38.89726015752143,57.400966192557135,86.24726383706682,87.30528035103033,87.19174492730973,86.59791804134522,86.87033020651181,86.80880041611432,87.64594650262944,87.72416157703942,88.26812438527023,84.265958928196,
EFF-XA2N,11.4342,,18.7367,27.3092,32.70835,38.7083,35.0083,,32.9417,25.4417,,,,,,7.7083,20.0417,28.575,31.875,31.9083,31.9417,17.4083,13.775,,11.075,,13.0358,22.383,29.2918,32.6446,37.0134,37.623,36.5054,,37.623,30.9174,26.345,,12.0198,3.485,9.585,19.745,25.735,30.305,32.445,32.14,,30.005,21.165,20.355,14.765,9.275,,,,,,,,,,,,,
EFF-XA2S,10.1705,,19.6955,39.8038,51.8022,,,,,,,,,,,16.9355,21.1688,46.7355,,,,,44.3022,,34.4355,,34.4755,50.4267,58.3515,,,,,,,,,,14.0634,4.6137,11.6238,30.8238,43.0237,,,,,,,,,41.3938,,,,,,,,,,,,,
EFR-XB1S,34.4473,,40.1623,43.4432,44.7873,45.6373,45.504,,46.6373,46.404,,,,,,,35.2707,41.004,,,,,,,45.604,,45.3496,47.6864,48.296,49.5152,50.2264,51.1408,52.1568,,50.836,50.2264,47.7407,,41.692,16.305,27.785,36.015,40.685,43.735,45.765,45.92,,46.475,45.875,45.465,44.855,43.735,,,,,,,,,,,,,
EFR-XB2S,,,,,,,,,,,,,,,,,,,,,,,,,,,38.8408,44.9368,,,57.1288,56.824,,,,,,,33.0496,18.245,,,,,48.725,,,,,,42.935,,,,,,,,,,,,,,
