well_id,initial_dataset,m_to_mainChannel,m_to_nearChannel,m_HAND,elevation_m,TWI
EEF-1,1,236.13,59.82,,1942.706913,6.649643421
EER-1,1,23.1,23.1,,1932.419089,4.585671902
EET-1,1,110.53,83.96,,1938.272643,4.87132597
EET-2,,,,,1934.249246,0.935570061
EFF-XA1N,,,,,1928.46654,1.487321019
EFF-XA2N,1,16.85,16.85,,1928.075515,1000
EFF-XB7S,,,,,1941.351944,4.819525242
EFF-XB8S,,,,,1945.071572,5.926590443
EFR-XB1S,1,5.48,5.48,,1932.39232,3.968951941
EFR-XB2N,,,,,1932.642745,2.117554426
EFR-XB2S,,,,,,
EFR-XB3N,,,,,1932.799429,4.491606712
EFR-XB3S,,,,,1932.18852,5.663083077
EHF-XA3S,1,24.2,24.2,,1930.664849,2.928317547
EHR-1,1,5.25,5.25,,1933.12673,3.220953226
EHR-XB1N,,,,,1932.004143,4.743049622
EHT-XA5S,1,82.78,82.78,,1933.390367,4.082355976
EHT-XB4S,,,,,1933.014185,6.591173172
EHT-XB5S,,,,,1935.649046,11.13164139
EHT-XC6S,,,,,1940.998075,6.033369541
EWF-XA2S,1,15.85,15.85,,1929.065618,1.993174076
EWR-1,1,8.69,40.4,,1931.740478,14.79967213
EWR-XB4N,,,,,1932.937735,2.798899889
EWT-1,1,106.13,52.86,,1934.389444,1000
KEF-1,1,44.48,4.14,,1972.774384,7.276851654
KER-1,1,6.16,6.16,,1978.102356,2.343956471
KER-XD5N,,,,,1976.617185,3.323937893
KER-XE3S,,,,,1981.922625,3.836265326
KET-1,,,,,1985.19972,7.947902679
KFF-XD5S,,,,,1978.025051,3.017054558
KFF-XD6S,1,74.59,55.51,,1978.742138,1000
KFF-XE8S,1,328.78,19.55,,1990.202406,1.684611201
KFR-XE1S,1,1,1,,1981.6826,1.814484716
KFR-XE2S,1,13.4,6.87,,1982.028595,3.717416048
KFT-XD8S,,,,,1989.640713,1.527668953
KHF-1,1,44.16,44.16,,1972.741766,3.958337784
KHF-XD4S,,,,,1977.33931,3.574450493
KHF-XE7S,,,,,1988.008166,4.137153149
KHR-1,,,,,1976.441191,7.754057407
KHR-XD1N,,,,,1976.264068,1000
KHR-XD1S,,,,,1976.254737,2.482955456
KHR-XD2N,1,3.3,3.3,,1976.288888,1000
KHR-XE2N,,,,,1981.801697,4.086019516
KHT-XA6S,,,,,1934.126941,5.505410671
KHT-XD3S,,,,,,
KHT-XD6N,1,139.29,37.85,,1977.161449,4.290657997
KHT-XE4S,1,32.62,20.5,,1982.493684,4.157944679
KHT-XE5S,1,97.04,12.63,,1984.484357,3.583367348
KHT-XE6S,1,177.58,42.54,,1985.781846,2.713354826
KRH-XD1S,,,,,,
KWF-1,1,71.67,3.26,,1973.10197,4.846029759
KWR-1,1,5.64,5.64,,1969.476847,3.172770739
KWR-XE1N,1,2.5,2.5,,1981.72556,2.251657963
KWT-1,1,302.06,32.94,,1989.333941,5.965369225
LET-1,,,,,1889.808848,3.357249737
LHT-1,,,,,1889.809817,3.890123844
LWT-1,,,,,1890.091957,1.505825758
