1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: A6000000817D7E41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Sat Aug 23 09:10:01 PDT 2025
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sat Aug 23 22:20:01 PDT 2025
Total Mission Samples:  4175
Total Device Samples:  20853
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
8/23/25, 10:20:01 PM,%RH,88.401
8/23/25, 10:30:01 PM,%RH,86.805
8/23/25, 10:40:01 PM,%RH,88.401
8/23/25, 10:50:01 PM,%RH,89.986
8/23/25, 11:00:01 PM,%RH,91.56
8/23/25, 11:10:01 PM,%RH,91.012
8/23/25, 11:20:01 PM,%RH,93.196
8/23/25, 11:30:01 PM,%RH,89.433
8/23/25, 11:40:01 PM,%RH,91.012
8/23/25, 11:50:01 PM,%RH,91.487
8/24/25, 12:00:01 AM,%RH,93.123
8/24/25, 12:10:01 AM,%RH,93.052
8/24/25, 12:20:01 AM,%RH,94.675
8/24/25, 12:30:01 AM,%RH,96.217
8/24/25, 12:40:01 AM,%RH,97.153
8/24/25, 12:50:01 AM,%RH,98.805
8/24/25, 1:00:01 AM,%RH,98.805
8/24/25, 1:10:01 AM,%RH,98.343
8/24/25, 1:20:01 AM,%RH,96.75
8/24/25, 1:30:01 AM,%RH,96.75
8/24/25, 1:40:01 AM,%RH,96.151
8/24/25, 1:50:01 AM,%RH,97.748
8/24/25, 2:00:01 AM,%RH,96.684
8/24/25, 2:10:01 AM,%RH,97.217
8/24/25, 2:20:01 AM,%RH,97.684
8/24/25, 2:30:01 AM,%RH,98.805
8/24/25, 2:40:01 AM,%RH,98.805
8/24/25, 2:50:01 AM,%RH,98.805
8/24/25, 3:00:01 AM,%RH,98.277
8/24/25, 3:10:01 AM,%RH,98.871
8/24/25, 3:20:01 AM,%RH,96.217
8/24/25, 3:30:01 AM,%RH,96.75
8/24/25, 3:40:01 AM,%RH,98.343
8/24/25, 3:50:01 AM,%RH,96.684
8/24/25, 4:00:01 AM,%RH,98.214
8/24/25, 4:10:01 AM,%RH,99.269
8/24/25, 4:20:01 AM,%RH,99.794
8/24/25, 4:30:01 AM,%RH,99.794
8/24/25, 4:40:01 AM,%RH,99.208
8/24/25, 4:50:01 AM,%RH,99.733
8/24/25, 5:00:01 AM,%RH,100
8/24/25, 5:10:01 AM,%RH,100
8/24/25, 5:20:01 AM,%RH,100
8/24/25, 5:30:01 AM,%RH,100
8/24/25, 5:40:01 AM,%RH,100
8/24/25, 5:50:01 AM,%RH,100
8/24/25, 6:00:01 AM,%RH,100
8/24/25, 6:10:01 AM,%RH,100
8/24/25, 6:20:01 AM,%RH,100
8/24/25, 6:30:01 AM,%RH,100
8/24/25, 6:40:01 AM,%RH,100
8/24/25, 6:50:01 AM,%RH,100
8/24/25, 7:00:01 AM,%RH,100
8/24/25, 7:10:01 AM,%RH,100
8/24/25, 7:20:01 AM,%RH,100
8/24/25, 7:30:01 AM,%RH,100
8/24/25, 7:40:01 AM,%RH,100
8/24/25, 7:50:01 AM,%RH,100
8/24/25, 8:00:01 AM,%RH,100
8/24/25, 8:10:01 AM,%RH,90.615
8/24/25, 8:20:01 AM,%RH,78.211
8/24/25, 8:30:01 AM,%RH,64.297
8/24/25, 8:40:01 AM,%RH,61.213
8/24/25, 8:50:01 AM,%RH,61.213
8/24/25, 9:00:01 AM,%RH,54.745
8/24/25, 9:10:01 AM,%RH,54.179
8/24/25, 9:20:01 AM,%RH,55.522
8/24/25, 9:30:01 AM,%RH,49.012
