1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: A400000081779741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Thu Jun 19 13:35:01 PDT 2025
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Jun 29 05:55:01 PDT 2025
Total Mission Samples:  5490
Total Device Samples:  12831
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/29/25, 5:55:01 AM,%RH,100
6/29/25, 6:05:01 AM,%RH,100
6/29/25, 6:15:01 AM,%RH,100
6/29/25, 6:25:01 AM,%RH,100
6/29/25, 6:35:01 AM,%RH,100
6/29/25, 6:45:01 AM,%RH,97.468
6/29/25, 6:55:01 AM,%RH,82.45
6/29/25, 7:05:01 AM,%RH,84.037
6/29/25, 7:15:01 AM,%RH,90.235
6/29/25, 7:25:01 AM,%RH,62.278
6/29/25, 7:35:01 AM,%RH,58.488
6/29/25, 7:45:01 AM,%RH,50.763
6/29/25, 7:55:01 AM,%RH,51.555
6/29/25, 8:05:01 AM,%RH,50.31
6/29/25, 8:15:01 AM,%RH,45.641
6/29/25, 8:25:01 AM,%RH,43.059
6/29/25, 8:35:01 AM,%RH,43.845
6/29/25, 8:45:01 AM,%RH,40.565
6/29/25, 8:55:01 AM,%RH,38.537
6/29/25, 9:05:01 AM,%RH,36.55
6/29/25, 9:15:01 AM,%RH,34.494
6/29/25, 9:25:01 AM,%RH,27.351
6/29/25, 9:35:01 AM,%RH,30.283
6/29/25, 9:45:01 AM,%RH,33.954
6/29/25, 9:55:01 AM,%RH,28.073
6/29/25, 10:05:01 AM,%RH,36.015
6/29/25, 10:15:01 AM,%RH,31.712
6/29/25, 10:25:01 AM,%RH,28.127
6/29/25, 10:35:01 AM,%RH,26.012
6/29/25, 10:45:01 AM,%RH,26.121
6/29/25, 10:55:01 AM,%RH,26.737
6/29/25, 11:05:01 AM,%RH,27.515
6/29/25, 11:15:01 AM,%RH,26.846
6/29/25, 11:25:01 AM,%RH,26.792
6/29/25, 11:35:01 AM,%RH,26.846
6/29/25, 11:45:01 AM,%RH,26.176
6/29/25, 11:55:01 AM,%RH,27.625
6/29/25, 12:05:01 PM,%RH,31.277
6/29/25, 12:15:01 PM,%RH,25.558
6/29/25, 12:25:01 PM,%RH,23.989
6/29/25, 12:35:01 PM,%RH,25.449
6/29/25, 12:45:01 PM,%RH,27.681
6/29/25, 12:55:01 PM,%RH,24.044
6/29/25, 1:05:01 PM,%RH,20.419
6/29/25, 1:15:01 PM,%RH,24.829
6/29/25, 1:25:01 PM,%RH,27.012
6/29/25, 1:35:01 PM,%RH,21.212
6/29/25, 1:45:01 PM,%RH,24.098
6/29/25, 1:55:01 PM,%RH,27.123
6/29/25, 2:05:01 PM,%RH,22.057
6/29/25, 2:15:01 PM,%RH,25.835
6/29/25, 2:25:01 PM,%RH,22.164
6/29/25, 2:35:01 PM,%RH,19.89
6/29/25, 2:45:01 PM,%RH,20.791
6/29/25, 2:55:01 PM,%RH,22.111
6/29/25, 3:05:01 PM,%RH,19.942
6/29/25, 3:15:01 PM,%RH,25.891
6/29/25, 3:25:01 PM,%RH,25.104
