1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: A400000081779741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Sun Jul 27 16:31:01 PDT 2025
Mission Sample Count:  3886
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sun Jul 27 16:31:01 PDT 2025
Total Mission Samples:  3886
Total Device Samples:  16717
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
7/27/25, 4:31:01 PM,%RH,34.42
7/27/25, 4:41:01 PM,%RH,32.205
7/27/25, 4:51:01 PM,%RH,32.368
7/27/25, 5:01:01 PM,%RH,30.998
7/27/25, 5:11:01 PM,%RH,33.787
7/27/25, 5:21:01 PM,%RH,35.144
7/27/25, 5:31:01 PM,%RH,40.254
7/27/25, 5:41:01 PM,%RH,35.632
7/27/25, 5:51:01 PM,%RH,32.861
7/27/25, 6:01:01 PM,%RH,36.281
7/27/25, 6:11:01 PM,%RH,37.474
7/27/25, 6:21:01 PM,%RH,36.877
7/27/25, 6:31:01 PM,%RH,36.826
7/27/25, 6:41:01 PM,%RH,41.585
7/27/25, 6:51:01 PM,%RH,47.404
7/27/25, 7:01:01 PM,%RH,53.271
7/27/25, 7:11:01 PM,%RH,62.303
7/27/25, 7:21:01 PM,%RH,65.465
7/27/25, 7:31:01 PM,%RH,67.947
7/27/25, 7:41:01 PM,%RH,72.631
7/27/25, 7:51:01 PM,%RH,78.393
7/27/25, 8:01:01 PM,%RH,82.289
7/27/25, 8:11:01 PM,%RH,83.927
7/27/25, 8:21:01 PM,%RH,87.793
7/27/25, 8:31:01 PM,%RH,91.036
7/27/25, 8:41:01 PM,%RH,93.146
7/27/25, 8:51:01 PM,%RH,94.637
7/27/25, 9:01:01 PM,%RH,95.234
7/27/25, 9:11:01 PM,%RH,95.172
7/27/25, 9:21:01 PM,%RH,93.561
7/27/25, 9:31:01 PM,%RH,95.113
7/27/25, 9:41:01 PM,%RH,97.184
7/27/25, 9:51:01 PM,%RH,97.184
7/27/25, 10:01:01 PM,%RH,98.762
7/27/25, 10:11:01 PM,%RH,98.184
7/27/25, 10:21:01 PM,%RH,98.184
7/27/25, 10:31:01 PM,%RH,96.6
7/27/25, 10:41:01 PM,%RH,97.079
7/27/25, 10:51:01 PM,%RH,97.607
7/27/25, 11:01:01 PM,%RH,98.658
7/27/25, 11:11:01 PM,%RH,99.133
7/27/25, 11:21:01 PM,%RH,100
7/27/25, 11:31:01 PM,%RH,100
7/27/25, 11:41:01 PM,%RH,100
7/27/25, 11:51:01 PM,%RH,100
7/28/25, 12:01:01 AM,%RH,100
7/28/25, 12:11:01 AM,%RH,100
7/28/25, 12:21:01 AM,%RH,100
7/28/25, 12:31:01 AM,%RH,100
7/28/25, 12:41:01 AM,%RH,100
7/28/25, 12:51:01 AM,%RH,100
7/28/25, 1:01:01 AM,%RH,100
7/28/25, 1:11:01 AM,%RH,100
7/28/25, 1:21:01 AM,%RH,100
7/28/25, 1:31:01 AM,%RH,100
7/28/25, 1:41:01 AM,%RH,100
7/28/25, 1:51:01 AM,%RH,100
7/28/25, 2:01:01 AM,%RH,100
7/28/25, 2:11:01 AM,%RH,100
7/28/25, 2:21:01 AM,%RH,100
7/28/25, 2:31:01 AM,%RH,100
7/28/25, 2:41:01 AM,%RH,100
7/28/25, 2:51:01 AM,%RH,100
7/28/25, 3:01:01 AM,%RH,100
7/28/25, 3:11:01 AM,%RH,100
7/28/25, 3:21:01 AM,%RH,100
7/28/25, 3:31:01 AM,%RH,100
7/28/25, 3:41:01 AM,%RH,100
7/28/25, 3:51:01 AM,%RH,100
7/28/25, 4:01:01 AM,%RH,100
7/28/25, 4:11:01 AM,%RH,100
7/28/25, 4:21:01 AM,%RH,100
7/28/25, 4:31:01 AM,%RH,100
7/28/25, 4:41:01 AM,%RH,100
7/28/25, 4:51:01 AM,%RH,100
7/28/25, 5:01:01 AM,%RH,100
7/28/25, 5:11:01 AM,%RH,100
7/28/25, 5:21:01 AM,%RH,100
