1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: F500000081709741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Thu Jun 19 13:40:01 PDT 2025
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Jun 29 06:20:01 PDT 2025
Total Mission Samples:  5492
Total Device Samples:  12678
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/29/25, 6:20:01 AM,C,3.031
6/29/25, 6:30:01 AM,C,4.035
6/29/25, 6:40:01 AM,C,4.536
6/29/25, 6:50:01 AM,C,4.536
6/29/25, 7:00:01 AM,C,5.539
6/29/25, 7:10:01 AM,C,6.041
6/29/25, 7:20:01 AM,C,7.545
6/29/25, 7:30:01 AM,C,9.049
6/29/25, 7:40:01 AM,C,17.564
6/29/25, 7:50:01 AM,C,21.567
6/29/25, 8:00:01 AM,C,22.068
6/29/25, 8:10:01 AM,C,23.068
6/29/25, 8:20:01 AM,C,24.068
6/29/25, 8:30:01 AM,C,25.068
6/29/25, 8:40:01 AM,C,27.068
6/29/25, 8:50:01 AM,C,27.068
6/29/25, 9:00:01 AM,C,28.068
6/29/25, 9:10:01 AM,C,29.567
6/29/25, 9:20:01 AM,C,29.567
6/29/25, 9:30:01 AM,C,29.067
6/29/25, 9:40:01 AM,C,29.567
6/29/25, 9:50:01 AM,C,28.567
6/29/25, 10:00:01 AM,C,29.067
6/29/25, 10:10:01 AM,C,29.567
6/29/25, 10:20:01 AM,C,29.067
6/29/25, 10:30:01 AM,C,28.567
6/29/25, 10:40:01 AM,C,29.567
6/29/25, 10:50:01 AM,C,29.567
6/29/25, 11:00:01 AM,C,30.066
6/29/25, 11:10:01 AM,C,31.066
6/29/25, 11:20:01 AM,C,31.066
6/29/25, 11:30:01 AM,C,31.565
6/29/25, 11:40:01 AM,C,32.065
6/29/25, 11:50:01 AM,C,32.564
6/29/25, 12:00:01 PM,C,32.564
6/29/25, 12:10:01 PM,C,34.062
6/29/25, 12:20:01 PM,C,33.063
6/29/25, 12:30:01 PM,C,33.063
6/29/25, 12:40:01 PM,C,33.563
6/29/25, 12:50:01 PM,C,32.065
6/29/25, 1:00:01 PM,C,34.062
6/29/25, 1:10:01 PM,C,33.063
6/29/25, 1:20:01 PM,C,33.563
6/29/25, 1:30:01 PM,C,34.561
6/29/25, 1:40:01 PM,C,34.561
6/29/25, 1:50:01 PM,C,33.563
6/29/25, 2:00:01 PM,C,34.561
6/29/25, 2:10:01 PM,C,31.565
6/29/25, 2:20:01 PM,C,35.061
6/29/25, 2:30:01 PM,C,36.558
6/29/25, 2:40:01 PM,C,36.558
6/29/25, 2:50:01 PM,C,34.062
6/29/25, 3:00:01 PM,C,34.062
6/29/25, 3:10:01 PM,C,36.558
6/29/25, 3:20:01 PM,C,35.56
6/29/25, 3:30:01 PM,C,36.558
6/29/25, 3:40:01 PM,C,30.066
6/29/25, 3:50:01 PM,C,29.067
6/29/25, 4:00:01 PM,C,36.558
6/29/25, 4:10:01 PM,C,35.56
6/29/25, 4:20:01 PM,C,35.56
6/29/25, 4:30:01 PM,C,35.061
6/29/25, 4:40:01 PM,C,29.067
6/29/25, 4:50:01 PM,C,24.568
6/29/25, 5:00:01 PM,C,29.567
6/29/25, 5:10:01 PM,C,35.56
6/29/25, 5:20:01 PM,C,30.066
6/29/25, 5:30:01 PM,C,34.561
6/29/25, 5:40:01 PM,C,34.561
6/29/25, 5:50:01 PM,C,34.561
6/29/25, 6:00:01 PM,C,34.561
6/29/25, 6:10:01 PM,C,33.563
6/29/25, 6:20:01 PM,C,33.063
6/29/25, 6:30:01 PM,C,32.564
6/29/25, 6:40:01 PM,C,31.565
6/29/25, 6:50:01 PM,C,29.567
6/29/25, 7:00:01 PM,C,28.068
6/29/25, 7:10:01 PM,C,23.068
6/29/25, 7:20:01 PM,C,22.068
6/29/25, 7:30:01 PM,C,21.067
6/29/25, 7:40:01 PM,C,21.567
6/29/25, 7:50:01 PM,C,19.566
6/29/25, 8:00:01 PM,C,18.565
6/29/25, 8:10:01 PM,C,17.564
6/29/25, 8:20:01 PM,C,16.563
6/29/25, 8:30:01 PM,C,15.561
6/29/25, 8:40:01 PM,C,14.56
6/29/25, 8:50:01 PM,C,14.059
6/29/25, 9:00:01 PM,C,13.558
6/29/25, 9:10:01 PM,C,13.057
6/29/25, 9:20:01 PM,C,12.055
6/29/25, 9:30:01 PM,C,12.055
6/29/25, 9:40:01 PM,C,11.554
6/29/25, 9:50:01 PM,C,11.554
6/29/25, 10:00:01 PM,C,10.552
6/29/25, 10:10:01 PM,C,10.051
6/29/25, 10:20:01 PM,C,10.051
6/29/25, 10:30:01 PM,C,10.051
6/29/25, 10:40:01 PM,C,9.55
6/29/25, 10:50:01 PM,C,9.049
6/29/25, 11:00:01 PM,C,9.049
6/29/25, 11:10:01 PM,C,9.049
6/29/25, 11:20:01 PM,C,8.548
6/29/25, 11:30:01 PM,C,8.548
6/29/25, 11:40:01 PM,C,8.548
6/29/25, 11:50:01 PM,C,8.046
