1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: F500000081709741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Sun Jul 27 16:54:01 PDT 2025
Mission Sample Count:  3846
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sun Jul 27 16:54:01 PDT 2025
Total Mission Samples:  3846
Total Device Samples:  16524
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
7/27/25, 4:54:01 PM,%RH,35.412
7/27/25, 5:04:01 PM,%RH,27.877
7/27/25, 5:14:01 PM,%RH,32.014
7/27/25, 5:24:01 PM,%RH,27.714
7/27/25, 5:34:01 PM,%RH,37.136
7/27/25, 5:44:01 PM,%RH,29.763
7/27/25, 5:54:01 PM,%RH,30.515
7/27/25, 6:04:01 PM,%RH,32.437
7/27/25, 6:14:01 PM,%RH,31.103
7/27/25, 6:24:01 PM,%RH,30.515
7/27/25, 6:34:01 PM,%RH,30.407
7/27/25, 6:44:01 PM,%RH,35.087
7/27/25, 6:54:01 PM,%RH,37.465
7/27/25, 7:04:01 PM,%RH,49.808
7/27/25, 7:14:01 PM,%RH,53.617
7/27/25, 7:24:01 PM,%RH,51.034
7/27/25, 7:34:01 PM,%RH,54.194
7/27/25, 7:44:01 PM,%RH,60.477
7/27/25, 7:54:01 PM,%RH,68.156
7/27/25, 8:04:01 PM,%RH,72.756
7/27/25, 8:14:01 PM,%RH,77.744
7/27/25, 8:24:01 PM,%RH,79.355
7/27/25, 8:34:01 PM,%RH,85.268
7/27/25, 8:44:01 PM,%RH,86.281
7/27/25, 8:54:01 PM,%RH,88.357
7/27/25, 9:04:01 PM,%RH,87.889
7/27/25, 9:14:01 PM,%RH,89.356
7/27/25, 9:24:01 PM,%RH,89.356
7/27/25, 9:34:01 PM,%RH,90.351
7/27/25, 9:44:01 PM,%RH,91.342
7/27/25, 9:54:01 PM,%RH,93.421
7/27/25, 10:04:01 PM,%RH,93.421
7/27/25, 10:14:01 PM,%RH,93.421
7/27/25, 10:24:01 PM,%RH,93.366
