1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: B000000081740241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Mon Oct 20 14:41:01 PDT 2025
Mission Sample Count:  2191
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Mon Oct 20 14:41:01 PDT 2025
Total Mission Samples:  2191
Total Device Samples:  27376
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/20/25, 2:41:01 PM,%RH,38.837
10/20/25, 2:51:01 PM,%RH,35.758
10/20/25, 3:01:01 PM,%RH,33.601
10/20/25, 3:11:01 PM,%RH,35.104
10/20/25, 3:21:01 PM,%RH,34.353
10/20/25, 3:31:01 PM,%RH,34.256
10/20/25, 3:41:01 PM,%RH,34.304
10/20/25, 3:51:01 PM,%RH,32.748
10/20/25, 4:01:01 PM,%RH,34.256
10/20/25, 4:11:01 PM,%RH,33.406
10/20/25, 4:21:01 PM,%RH,39.134
10/20/25, 4:31:01 PM,%RH,39.093
10/20/25, 4:41:01 PM,%RH,39.134
10/20/25, 4:51:01 PM,%RH,37.684
10/20/25, 5:01:01 PM,%RH,44.237
10/20/25, 5:11:01 PM,%RH,45.634
10/20/25, 5:21:01 PM,%RH,55.616
10/20/25, 5:31:01 PM,%RH,70.009
10/20/25, 5:41:01 PM,%RH,73.842
10/20/25, 5:51:01 PM,%RH,82.066
10/20/25, 6:01:01 PM,%RH,84.549
10/20/25, 6:11:01 PM,%RH,88.256
10/20/25, 6:21:01 PM,%RH,90.073
10/20/25, 6:31:01 PM,%RH,93.102
10/20/25, 6:41:01 PM,%RH,92.46
10/20/25, 6:51:01 PM,%RH,94.864
10/20/25, 7:01:01 PM,%RH,96.023
10/20/25, 7:11:01 PM,%RH,96.023
10/20/25, 7:21:01 PM,%RH,96.626
10/20/25, 7:31:01 PM,%RH,97.807
10/20/25, 7:41:01 PM,%RH,97.791
10/20/25, 7:51:01 PM,%RH,98.376
10/20/25, 8:01:01 PM,%RH,99.569
10/20/25, 8:11:01 PM,%RH,100
10/20/25, 8:21:01 PM,%RH,99.559
10/20/25, 8:31:01 PM,%RH,100
10/20/25, 8:41:01 PM,%RH,100
10/20/25, 8:51:01 PM,%RH,100
10/20/25, 9:01:01 PM,%RH,100
10/20/25, 9:11:01 PM,%RH,100
10/20/25, 9:21:01 PM,%RH,100
10/20/25, 9:31:01 PM,%RH,100
10/20/25, 9:41:01 PM,%RH,100
10/20/25, 9:51:01 PM,%RH,100
10/20/25, 10:01:01 PM,%RH,100
10/20/25, 10:11:01 PM,%RH,100
10/20/25, 10:21:01 PM,%RH,100
10/20/25, 10:31:01 PM,%RH,100
10/20/25, 10:41:01 PM,%RH,100
10/20/25, 10:51:01 PM,%RH,100
10/20/25, 11:01:01 PM,%RH,100
10/20/25, 11:11:01 PM,%RH,100
10/20/25, 11:21:01 PM,%RH,100
10/20/25, 11:31:01 PM,%RH,100
10/20/25, 11:41:01 PM,%RH,100
10/20/25, 11:51:01 PM,%RH,100
10/21/25, 12:01:01 AM,%RH,100
10/21/25, 12:11:01 AM,%RH,100
10/21/25, 12:21:01 AM,%RH,100
10/21/25, 12:31:01 AM,%RH,100
10/21/25, 12:41:01 AM,%RH,100
10/21/25, 12:51:01 AM,%RH,100
10/21/25, 1:01:01 AM,%RH,100
10/21/25, 1:11:01 AM,%RH,100
10/21/25, 1:21:01 AM,%RH,100
10/21/25, 1:31:01 AM,%RH,100
10/21/25, 1:41:01 AM,%RH,100
10/21/25, 1:51:01 AM,%RH,100
10/21/25, 2:01:01 AM,%RH,100
10/21/25, 2:11:01 AM,%RH,100
10/21/25, 2:21:01 AM,%RH,100
10/21/25, 2:31:01 AM,%RH,100
10/21/25, 2:41:01 AM,%RH,100
10/21/25, 2:51:01 AM,%RH,100
10/21/25, 3:01:01 AM,%RH,100
10/21/25, 3:11:01 AM,%RH,100
10/21/25, 3:21:01 AM,%RH,100
10/21/25, 3:31:01 AM,%RH,100
10/21/25, 3:41:01 AM,%RH,100
10/21/25, 3:51:01 AM,%RH,100
10/21/25, 4:01:01 AM,%RH,100
10/21/25, 4:11:01 AM,%RH,100
10/21/25, 4:21:01 AM,%RH,100
10/21/25, 4:31:01 AM,%RH,100
10/21/25, 4:41:01 AM,%RH,100
10/21/25, 4:51:01 AM,%RH,100
10/21/25, 5:01:01 AM,%RH,100
10/21/25, 5:11:01 AM,%RH,100
10/21/25, 5:21:01 AM,%RH,100
10/21/25, 5:31:01 AM,%RH,100
10/21/25, 5:41:01 AM,%RH,100
10/21/25, 5:51:01 AM,%RH,100
10/21/25, 6:01:01 AM,%RH,100
10/21/25, 6:11:01 AM,%RH,100
10/21/25, 6:21:01 AM,%RH,100
10/21/25, 6:31:01 AM,%RH,100
10/21/25, 6:41:01 AM,%RH,100
10/21/25, 6:51:01 AM,%RH,100
10/21/25, 7:01:01 AM,%RH,100
10/21/25, 7:11:01 AM,%RH,100
10/21/25, 7:21:01 AM,%RH,100
10/21/25, 7:31:01 AM,%RH,100
10/21/25, 7:41:01 AM,%RH,100
10/21/25, 7:51:01 AM,%RH,100
10/21/25, 8:01:01 AM,%RH,100
10/21/25, 8:11:01 AM,%RH,100
10/21/25, 8:21:01 AM,%RH,100
10/21/25, 8:31:01 AM,%RH,100
10/21/25, 8:41:01 AM,%RH,100
10/21/25, 8:51:01 AM,%RH,100
10/21/25, 9:01:01 AM,%RH,100
10/21/25, 9:11:01 AM,%RH,100
10/21/25, 9:21:01 AM,%RH,100
10/21/25, 9:31:01 AM,%RH,100
10/21/25, 9:41:01 AM,%RH,99.739
10/21/25, 9:51:01 AM,%RH,90.333
10/21/25, 10:01:01 AM,%RH,84.904
10/21/25, 10:11:01 AM,%RH,84.396
10/21/25, 10:21:01 AM,%RH,77.655
10/21/25, 10:31:01 AM,%RH,73.247
10/21/25, 10:41:01 AM,%RH,70.687
10/21/25, 10:51:01 AM,%RH,75.713
10/21/25, 11:01:01 AM,%RH,82.503
10/21/25, 11:11:01 AM,%RH,72.008
10/21/25, 11:21:01 AM,%RH,53.188
10/21/25, 11:31:01 AM,%RH,44.685
10/21/25, 11:41:01 AM,%RH,40.415
10/21/25, 11:51:01 AM,%RH,38.142
10/21/25, 12:01:01 PM,%RH,33.7
10/21/25, 12:11:01 PM,%RH,32.344
10/21/25, 12:21:01 PM,%RH,33.048
10/21/25, 12:31:01 PM,%RH,29.258
10/21/25, 12:41:01 PM,%RH,24.713
10/21/25, 12:51:01 PM,%RH,24.766
10/21/25, 1:01:01 PM,%RH,23.995
10/21/25, 1:11:01 PM,%RH,23.169
10/21/25, 1:21:01 PM,%RH,24.819
