1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: B000000081740241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Mon Oct 20 14:41:01 PDT 2025
Mission Sample Count:  2191
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Mon Oct 20 14:41:01 PDT 2025
Total Mission Samples:  2191
Total Device Samples:  27376
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/20/25, 2:41:01 PM,C,22.075
10/20/25, 2:51:01 PM,C,21.074
10/20/25, 3:01:01 PM,C,22.075
10/20/25, 3:11:01 PM,C,22.075
10/20/25, 3:21:01 PM,C,22.075
10/20/25, 3:31:01 PM,C,21.074
10/20/25, 3:41:01 PM,C,21.575
10/20/25, 3:51:01 PM,C,21.074
10/20/25, 4:01:01 PM,C,21.074
10/20/25, 4:11:01 PM,C,20.074
10/20/25, 4:21:01 PM,C,17.071
10/20/25, 4:31:01 PM,C,16.57
10/20/25, 4:41:01 PM,C,17.071
10/20/25, 4:51:01 PM,C,17.571
10/20/25, 5:01:01 PM,C,16.069
10/20/25, 5:11:01 PM,C,15.068
10/20/25, 5:21:01 PM,C,12.063
10/20/25, 5:31:01 PM,C,8.054
10/20/25, 5:41:01 PM,C,7.052
10/20/25, 5:51:01 PM,C,5.548
10/20/25, 6:01:01 PM,C,5.046
10/20/25, 6:11:01 PM,C,4.545
10/20/25, 6:21:01 PM,C,4.044
10/20/25, 6:31:01 PM,C,3.542
10/20/25, 6:41:01 PM,C,3.041
10/20/25, 6:51:01 PM,C,2.539
10/20/25, 7:01:01 PM,C,1.536
10/20/25, 7:11:01 PM,C,1.536
10/20/25, 7:21:01 PM,C,1.536
10/20/25, 7:31:01 PM,C,1.034
10/20/25, 7:41:01 PM,C,0.533
10/20/25, 7:51:01 PM,C,0.031
10/20/25, 8:01:01 PM,C,0.031
10/20/25, 8:11:01 PM,C,0.031
10/20/25, 8:21:01 PM,C,-0.471
10/20/25, 8:31:01 PM,C,-0.471
10/20/25, 8:41:01 PM,C,-0.471
10/20/25, 8:51:01 PM,C,-0.973
10/20/25, 9:01:01 PM,C,-0.973
10/20/25, 9:11:01 PM,C,-0.973
10/20/25, 9:21:01 PM,C,-1.474
10/20/25, 9:31:01 PM,C,-1.474
10/20/25, 9:41:01 PM,C,-1.474
10/20/25, 9:51:01 PM,C,-1.474
10/20/25, 10:01:01 PM,C,-1.976
10/20/25, 10:11:01 PM,C,-1.474
10/20/25, 10:21:01 PM,C,-2.478
10/20/25, 10:31:01 PM,C,-1.976
10/20/25, 10:41:01 PM,C,-2.478
10/20/25, 10:51:01 PM,C,-2.478
10/20/25, 11:01:01 PM,C,-1.976
10/20/25, 11:11:01 PM,C,-2.478
10/20/25, 11:21:01 PM,C,-1.976
10/20/25, 11:31:01 PM,C,-2.478
10/20/25, 11:41:01 PM,C,-2.478
10/20/25, 11:51:01 PM,C,-2.98
10/21/25, 12:01:01 AM,C,-2.478
10/21/25, 12:11:01 AM,C,-3.482
10/21/25, 12:21:01 AM,C,-2.98
10/21/25, 12:31:01 AM,C,-2.478
10/21/25, 12:41:01 AM,C,-2.98
10/21/25, 12:51:01 AM,C,-2.478
10/21/25, 1:01:01 AM,C,-3.482
10/21/25, 1:11:01 AM,C,-2.98
10/21/25, 1:21:01 AM,C,-3.482
10/21/25, 1:31:01 AM,C,-3.482
10/21/25, 1:41:01 AM,C,-2.98
10/21/25, 1:51:01 AM,C,-2.478
10/21/25, 2:01:01 AM,C,-3.482
10/21/25, 2:11:01 AM,C,-2.98
10/21/25, 2:21:01 AM,C,-3.482
10/21/25, 2:31:01 AM,C,-3.482
10/21/25, 2:41:01 AM,C,-3.482
10/21/25, 2:51:01 AM,C,-3.984
10/21/25, 3:01:01 AM,C,-3.482
10/21/25, 3:11:01 AM,C,-3.482
10/21/25, 3:21:01 AM,C,-2.98
10/21/25, 3:31:01 AM,C,-3.984
10/21/25, 3:41:01 AM,C,-3.482
