1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: AC000000816F9A41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Thu Jun 19 13:35:01 PDT 2025
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Jun 29 05:45:01 PDT 2025
Total Mission Samples:  5489
Total Device Samples:  12664
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/29/25, 5:45:01 AM,%RH,100
6/29/25, 5:55:01 AM,%RH,100
6/29/25, 6:05:01 AM,%RH,100
6/29/25, 6:15:01 AM,%RH,100
6/29/25, 6:25:01 AM,%RH,99.35
6/29/25, 6:35:01 AM,%RH,91.911
6/29/25, 6:45:01 AM,%RH,93.96
6/29/25, 6:55:01 AM,%RH,92.001
6/29/25, 7:05:01 AM,%RH,87.876
6/29/25, 7:15:01 AM,%RH,89.505
6/29/25, 7:25:01 AM,%RH,90.601
6/29/25, 7:35:01 AM,%RH,88.624
6/29/25, 7:45:01 AM,%RH,89.732
6/29/25, 7:55:01 AM,%RH,89.859
6/29/25, 8:05:01 AM,%RH,89.472
6/29/25, 8:15:01 AM,%RH,84.909
6/29/25, 8:25:01 AM,%RH,78.479
6/29/25, 8:35:01 AM,%RH,76.145
6/29/25, 8:45:01 AM,%RH,72.652
6/29/25, 8:55:01 AM,%RH,68.514
6/29/25, 9:05:01 AM,%RH,60.574
6/29/25, 9:15:01 AM,%RH,53.717
6/29/25, 9:25:01 AM,%RH,49.309
6/29/25, 9:35:01 AM,%RH,41.459
6/29/25, 9:45:01 AM,%RH,40.255
6/29/25, 9:55:01 AM,%RH,35.063
6/29/25, 10:05:01 AM,%RH,34.64
6/29/25, 10:15:01 AM,%RH,32.568
6/29/25, 10:25:01 AM,%RH,28.54
6/29/25, 10:35:01 AM,%RH,27.076
6/29/25, 10:45:01 AM,%RH,30.109
6/29/25, 10:55:01 AM,%RH,31.507
6/29/25, 11:05:01 AM,%RH,30.109
6/29/25, 11:15:01 AM,%RH,32.203
6/29/25, 11:25:01 AM,%RH,28.055
6/29/25, 11:35:01 AM,%RH,27.294
6/29/25, 11:45:01 AM,%RH,27.348
6/29/25, 11:55:01 AM,%RH,28.76
6/29/25, 12:05:01 PM,%RH,26.695
6/29/25, 12:15:01 PM,%RH,33.184
6/29/25, 12:25:01 PM,%RH,23.899
6/29/25, 12:35:01 PM,%RH,26.695
6/29/25, 12:45:01 PM,%RH,30.921
6/29/25, 12:55:01 PM,%RH,26.095
6/29/25, 1:05:01 PM,%RH,23.236
6/29/25, 1:15:01 PM,%RH,23.29
6/29/25, 1:25:01 PM,%RH,23.236
6/29/25, 1:35:01 PM,%RH,24.007
6/29/25, 1:45:01 PM,%RH,26.75
6/29/25, 1:55:01 PM,%RH,25.383
6/29/25, 2:05:01 PM,%RH,29.745
6/29/25, 2:15:01 PM,%RH,27.515
6/29/25, 2:25:01 PM,%RH,23.399
6/29/25, 2:35:01 PM,%RH,21.234
6/29/25, 2:45:01 PM,%RH,19.106
