1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: AC000000816F9A41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Thu Jun 19 13:35:01 PDT 2025
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Jun 29 05:45:01 PDT 2025
Total Mission Samples:  5489
Total Device Samples:  12664
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/29/25, 5:45:01 AM,C,3.094
6/29/25, 5:55:01 AM,C,3.094
6/29/25, 6:05:01 AM,C,3.596
6/29/25, 6:15:01 AM,C,3.596
6/29/25, 6:25:01 AM,C,4.097
6/29/25, 6:35:01 AM,C,5.602
6/29/25, 6:45:01 AM,C,5.602
6/29/25, 6:55:01 AM,C,6.605
6/29/25, 7:05:01 AM,C,7.106
6/29/25, 7:15:01 AM,C,7.607
6/29/25, 7:25:01 AM,C,8.109
6/29/25, 7:35:01 AM,C,9.111
6/29/25, 7:45:01 AM,C,9.613
6/29/25, 7:55:01 AM,C,10.615
6/29/25, 8:05:01 AM,C,11.617
6/29/25, 8:15:01 AM,C,13.12
6/29/25, 8:25:01 AM,C,14.122
6/29/25, 8:35:01 AM,C,15.123
6/29/25, 8:45:01 AM,C,16.125
6/29/25, 8:55:01 AM,C,17.126
6/29/25, 9:05:01 AM,C,17.627
6/29/25, 9:15:01 AM,C,19.128
6/29/25, 9:25:01 AM,C,20.629
6/29/25, 9:35:01 AM,C,21.63
6/29/25, 9:45:01 AM,C,23.131
6/29/25, 9:55:01 AM,C,25.631
6/29/25, 10:05:01 AM,C,28.13
6/29/25, 10:15:01 AM,C,28.13
6/29/25, 10:25:01 AM,C,29.629
6/29/25, 10:35:01 AM,C,29.13
6/29/25, 10:45:01 AM,C,31.128
6/29/25, 10:55:01 AM,C,31.128
6/29/25, 11:05:01 AM,C,31.128
6/29/25, 11:15:01 AM,C,31.128
6/29/25, 11:25:01 AM,C,31.628
6/29/25, 11:35:01 AM,C,31.128
6/29/25, 11:45:01 AM,C,31.628
6/29/25, 11:55:01 AM,C,31.628
6/29/25, 12:05:01 PM,C,32.127
6/29/25, 12:15:01 PM,C,33.625
6/29/25, 12:25:01 PM,C,32.627
6/29/25, 12:35:01 PM,C,32.127
6/29/25, 12:45:01 PM,C,32.127
6/29/25, 12:55:01 PM,C,33.126
6/29/25, 1:05:01 PM,C,33.126
6/29/25, 1:15:01 PM,C,33.625
6/29/25, 1:25:01 PM,C,33.126
6/29/25, 1:35:01 PM,C,33.625
6/29/25, 1:45:01 PM,C,32.627
