1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: AC000000816F9A41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Sun Jul 27 16:19:01 PDT 2025
Mission Sample Count:  3887
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sun Jul 27 16:19:01 PDT 2025
Total Mission Samples:  3887
Total Device Samples:  16551
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
7/27/25, 4:19:01 PM,C,29.629
7/27/25, 4:29:01 PM,C,25.131
7/27/25, 4:39:01 PM,C,24.631
7/27/25, 4:49:01 PM,C,24.631
7/27/25, 4:59:01 PM,C,23.631
7/27/25, 5:09:01 PM,C,24.131
7/27/25, 5:19:01 PM,C,24.131
7/27/25, 5:29:01 PM,C,21.63
7/27/25, 5:39:01 PM,C,20.129
7/27/25, 5:49:01 PM,C,21.13
7/27/25, 5:59:01 PM,C,20.129
7/27/25, 6:09:01 PM,C,19.128
7/27/25, 6:19:01 PM,C,20.129
7/27/25, 6:29:01 PM,C,20.629
7/27/25, 6:39:01 PM,C,19.629
7/27/25, 6:49:01 PM,C,19.128
7/27/25, 6:59:01 PM,C,17.627
7/27/25, 7:09:01 PM,C,16.625
7/27/25, 7:19:01 PM,C,15.624
7/27/25, 7:29:01 PM,C,15.123
7/27/25, 7:39:01 PM,C,14.622
7/27/25, 7:49:01 PM,C,13.621
7/27/25, 7:59:01 PM,C,13.12
7/27/25, 8:09:01 PM,C,12.118
7/27/25, 8:19:01 PM,C,11.617
7/27/25, 8:29:01 PM,C,11.116
7/27/25, 8:39:01 PM,C,10.615
7/27/25, 8:49:01 PM,C,10.114
7/27/25, 8:59:01 PM,C,10.114
7/27/25, 9:09:01 PM,C,10.114
7/27/25, 9:19:01 PM,C,10.114
7/27/25, 9:29:01 PM,C,9.613
7/27/25, 9:39:01 PM,C,9.111
7/27/25, 9:49:01 PM,C,9.111
7/27/25, 9:59:01 PM,C,8.61
7/27/25, 10:09:01 PM,C,8.61
7/27/25, 10:19:01 PM,C,8.61
7/27/25, 10:29:01 PM,C,8.109
7/27/25, 10:39:01 PM,C,8.109
7/27/25, 10:49:01 PM,C,7.607
7/27/25, 10:59:01 PM,C,7.607
7/27/25, 11:09:01 PM,C,7.607
7/27/25, 11:19:01 PM,C,7.106
7/27/25, 11:29:01 PM,C,6.605
7/27/25, 11:39:01 PM,C,6.103
7/27/25, 11:49:01 PM,C,6.103
7/27/25, 11:59:01 PM,C,6.103
7/28/25, 12:09:01 AM,C,5.602
7/28/25, 12:19:01 AM,C,5.602
7/28/25, 12:29:01 AM,C,5.602
7/28/25, 12:39:01 AM,C,5.1
7/28/25, 12:49:01 AM,C,5.1
7/28/25, 12:59:01 AM,C,5.1
7/28/25, 1:09:01 AM,C,4.599
7/28/25, 1:19:01 AM,C,4.599
7/28/25, 1:29:01 AM,C,4.599
7/28/25, 1:39:01 AM,C,4.097
7/28/25, 1:49:01 AM,C,4.097
7/28/25, 1:59:01 AM,C,4.097
7/28/25, 2:09:01 AM,C,3.596
7/28/25, 2:19:01 AM,C,3.596
7/28/25, 2:29:01 AM,C,3.596
7/28/25, 2:39:01 AM,C,3.094
7/28/25, 2:49:01 AM,C,3.094
7/28/25, 2:59:01 AM,C,3.094
7/28/25, 3:09:01 AM,C,3.094
7/28/25, 3:19:01 AM,C,2.592
7/28/25, 3:29:01 AM,C,2.592
7/28/25, 3:39:01 AM,C,2.592
7/28/25, 3:49:01 AM,C,2.592
7/28/25, 3:59:01 AM,C,2.592
