1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: AC000000816F9A41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Sat Aug 23 16:06:01 PDT 2025
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Aug 24 03:06:01 PDT 2025
Total Mission Samples:  4162
Total Device Samples:  20713
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
8/24/25, 3:06:01 AM,%RH,98.5
8/24/25, 3:16:01 AM,%RH,98.5
8/24/25, 3:26:01 AM,%RH,98.993
8/24/25, 3:36:01 AM,%RH,99.912
8/24/25, 3:46:01 AM,%RH,97.941
8/24/25, 3:56:01 AM,%RH,97.941
8/24/25, 4:06:01 AM,%RH,98.93
8/24/25, 4:16:01 AM,%RH,98.869
8/24/25, 4:26:01 AM,%RH,99.851
8/24/25, 4:36:01 AM,%RH,98.376
8/24/25, 4:46:01 AM,%RH,99.361
8/24/25, 4:56:01 AM,%RH,99.303
8/24/25, 5:06:01 AM,%RH,98.811
8/24/25, 5:16:01 AM,%RH,100
8/24/25, 5:26:01 AM,%RH,100
8/24/25, 5:36:01 AM,%RH,100
8/24/25, 5:46:01 AM,%RH,100
8/24/25, 5:56:01 AM,%RH,100
8/24/25, 6:06:01 AM,%RH,100
8/24/25, 6:16:01 AM,%RH,100
8/24/25, 6:26:01 AM,%RH,100
8/24/25, 6:36:01 AM,%RH,99.684
8/24/25, 6:46:01 AM,%RH,100
8/24/25, 6:56:01 AM,%RH,100
8/24/25, 7:06:01 AM,%RH,99.737
8/24/25, 7:16:01 AM,%RH,100
8/24/25, 7:26:01 AM,%RH,100
8/24/25, 7:36:01 AM,%RH,99.793
8/24/25, 7:46:01 AM,%RH,98.376
8/24/25, 7:56:01 AM,%RH,98.005
8/24/25, 8:06:01 AM,%RH,96.143
8/24/25, 8:16:01 AM,%RH,92.805
8/24/25, 8:26:01 AM,%RH,90.455
8/24/25, 8:36:01 AM,%RH,86.355
8/24/25, 8:46:01 AM,%RH,83.622
8/24/25, 8:56:01 AM,%RH,77.432
8/24/25, 9:06:01 AM,%RH,72.776
8/24/25, 9:16:01 AM,%RH,69.839
8/24/25, 9:26:01 AM,%RH,66.865
8/24/25, 9:36:01 AM,%RH,62.624
8/24/25, 9:46:01 AM,%RH,68.772
8/24/25, 9:56:01 AM,%RH,63.313
8/24/25, 10:06:01 AM,%RH,52.758
8/24/25, 10:16:01 AM,%RH,57.798
8/24/25, 10:26:01 AM,%RH,43.286
8/24/25, 10:36:01 AM,%RH,41.549
8/24/25, 10:46:01 AM,%RH,39.471
8/24/25, 10:56:01 AM,%RH,45.887
8/24/25, 11:06:01 AM,%RH,48.268
8/24/25, 11:16:01 AM,%RH,52.758
8/24/25, 11:26:01 AM,%RH,55.227
8/24/25, 11:36:01 AM,%RH,55.269
