1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: AC000000816F9A41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Sun Sep 21 13:43:01 PDT 2025
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Sep 22 05:13:01 PDT 2025
Total Mission Samples:  4189
Total Device Samples:  24902
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
9/22/25, 5:13:01 AM,%RH,100
9/22/25, 5:23:01 AM,%RH,100
9/22/25, 5:33:01 AM,%RH,100
9/22/25, 5:43:01 AM,%RH,100
9/22/25, 5:53:01 AM,%RH,100
9/22/25, 6:03:01 AM,%RH,100
9/22/25, 6:13:01 AM,%RH,100
9/22/25, 6:23:01 AM,%RH,100
9/22/25, 6:33:01 AM,%RH,100
9/22/25, 6:43:01 AM,%RH,100
9/22/25, 6:53:01 AM,%RH,100
9/22/25, 7:03:01 AM,%RH,100
9/22/25, 7:13:01 AM,%RH,100
9/22/25, 7:23:01 AM,%RH,100
9/22/25, 7:33:01 AM,%RH,100
9/22/25, 7:43:01 AM,%RH,100
9/22/25, 7:53:01 AM,%RH,100
9/22/25, 8:03:01 AM,%RH,100
9/22/25, 8:13:01 AM,%RH,100
9/22/25, 8:23:01 AM,%RH,100
9/22/25, 8:33:01 AM,%RH,100
9/22/25, 8:43:01 AM,%RH,100
9/22/25, 8:53:01 AM,%RH,100
9/22/25, 9:03:01 AM,%RH,100
9/22/25, 9:13:01 AM,%RH,100
9/22/25, 9:23:01 AM,%RH,84.608
9/22/25, 9:33:01 AM,%RH,77.891
9/22/25, 9:43:01 AM,%RH,64.369
9/22/25, 9:53:01 AM,%RH,57.567
9/22/25, 10:03:01 AM,%RH,53.87
9/22/25, 10:13:01 AM,%RH,48.132
9/22/25, 10:23:01 AM,%RH,45.593
9/22/25, 10:33:01 AM,%RH,45.593
9/22/25, 10:43:01 AM,%RH,45.593
9/22/25, 10:53:01 AM,%RH,41.075
9/22/25, 11:03:01 AM,%RH,43.083
9/22/25, 11:13:01 AM,%RH,41.125
9/22/25, 11:23:01 AM,%RH,42.415
9/22/25, 11:33:01 AM,%RH,40.452
9/22/25, 11:43:01 AM,%RH,39.728
9/22/25, 11:53:01 AM,%RH,36.485
9/22/25, 12:03:01 PM,%RH,37.745
9/22/25, 12:13:01 PM,%RH,33.791
9/22/25, 12:23:01 PM,%RH,35.168
9/22/25, 12:33:01 PM,%RH,33.048
9/22/25, 12:43:01 PM,%RH,35.168
9/22/25, 12:53:01 PM,%RH,34.586
9/22/25, 1:03:01 PM,%RH,30.373
9/22/25, 1:13:01 PM,%RH,27.567
9/22/25, 1:23:01 PM,%RH,28.324
9/22/25, 1:33:01 PM,%RH,32.568
9/22/25, 1:43:01 PM,%RH,28.271
9/22/25, 1:53:01 PM,%RH,29.674
9/22/25, 2:03:01 PM,%RH,35.853
9/22/25, 2:13:01 PM,%RH,35.96
9/22/25, 2:23:01 PM,%RH,33.153
9/22/25, 2:33:01 PM,%RH,28.867
9/22/25, 2:43:01 PM,%RH,34.96
9/22/25, 2:53:01 PM,%RH,36.718
9/22/25, 3:03:01 PM,%RH,37.353
9/22/25, 3:13:01 PM,%RH,39.391
9/22/25, 3:23:01 PM,%RH,40.021
9/22/25, 3:33:01 PM,%RH,41.995
9/22/25, 3:43:01 PM,%RH,38.667
9/22/25, 3:53:01 PM,%RH,36.034
9/22/25, 4:03:01 PM,%RH,32.639
9/22/25, 4:13:01 PM,%RH,36.671
9/22/25, 4:23:01 PM,%RH,34.613
9/22/25, 4:33:01 PM,%RH,35.301
9/22/25, 4:43:01 PM,%RH,34.518
9/22/25, 4:53:01 PM,%RH,37.214
9/22/25, 5:03:01 PM,%RH,35.846
9/22/25, 5:13:01 PM,%RH,36.485
9/22/25, 5:23:01 PM,%RH,35.112
9/22/25, 5:33:01 PM,%RH,36.44
9/22/25, 5:43:01 PM,%RH,39.08
9/22/25, 5:53:01 PM,%RH,36.395
9/22/25, 6:03:01 PM,%RH,43.085
9/22/25, 6:13:01 PM,%RH,52.815
9/22/25, 6:23:01 PM,%RH,63.388
9/22/25, 6:33:01 PM,%RH,70.262
9/22/25, 6:43:01 PM,%RH,73.579
9/22/25, 6:53:01 PM,%RH,77.473
9/22/25, 7:03:01 PM,%RH,81.223
9/22/25, 7:13:01 PM,%RH,81.707
9/22/25, 7:23:01 PM,%RH,86.506
9/22/25, 7:33:01 PM,%RH,86.448
9/22/25, 7:43:01 PM,%RH,85.857
9/22/25, 7:53:01 PM,%RH,87.399
9/22/25, 8:03:01 PM,%RH,90.497
9/22/25, 8:13:01 PM,%RH,90.448
9/22/25, 8:23:01 PM,%RH,88.88
9/22/25, 8:33:01 PM,%RH,89.927
9/22/25, 8:43:01 PM,%RH,91.438
9/22/25, 8:53:01 PM,%RH,91.394
9/22/25, 9:03:01 PM,%RH,91.394
9/22/25, 9:13:01 PM,%RH,92.384
9/22/25, 9:23:01 PM,%RH,91.352
9/22/25, 9:33:01 PM,%RH,92.384
9/22/25, 9:43:01 PM,%RH,93.37
9/22/25, 9:53:01 PM,%RH,92.345
9/22/25, 10:03:01 PM,%RH,92.859
9/22/25, 10:13:01 PM,%RH,92.822
9/22/25, 10:23:01 PM,%RH,93.845
9/22/25, 10:33:01 PM,%RH,94.353
9/22/25, 10:43:01 PM,%RH,95.837
9/22/25, 10:53:01 PM,%RH,96.811
9/22/25, 11:03:01 PM,%RH,97.808
9/22/25, 11:13:01 PM,%RH,97.31
9/22/25, 11:23:01 PM,%RH,96.784
9/22/25, 11:33:01 PM,%RH,96.282
9/22/25, 11:43:01 PM,%RH,97.782
9/22/25, 11:53:01 PM,%RH,97.284
9/23/25, 12:03:01 AM,%RH,96.282
9/23/25, 12:13:01 AM,%RH,96.759
9/23/25, 12:23:01 AM,%RH,97.259
9/23/25, 12:33:01 AM,%RH,97.259
9/23/25, 12:43:01 AM,%RH,98.254
9/23/25, 12:53:01 AM,%RH,98.254
9/23/25, 1:03:01 AM,%RH,98.749
9/23/25, 1:13:01 AM,%RH,98.728
9/23/25, 1:23:01 AM,%RH,98.728
9/23/25, 1:33:01 AM,%RH,99.696
9/23/25, 1:43:01 AM,%RH,99.696
9/23/25, 1:53:01 AM,%RH,99.204
9/23/25, 2:03:01 AM,%RH,100
9/23/25, 2:13:01 AM,%RH,99.696
9/23/25, 2:23:01 AM,%RH,100
9/23/25, 2:33:01 AM,%RH,99.696
9/23/25, 2:43:01 AM,%RH,100
9/23/25, 2:53:01 AM,%RH,100
9/23/25, 3:03:01 AM,%RH,100
9/23/25, 3:13:01 AM,%RH,100
9/23/25, 3:23:01 AM,%RH,100
9/23/25, 3:33:01 AM,%RH,99.669
9/23/25, 3:43:01 AM,%RH,100
9/23/25, 3:53:01 AM,%RH,100
9/23/25, 4:03:01 AM,%RH,100
9/23/25, 4:13:01 AM,%RH,100
9/23/25, 4:23:01 AM,%RH,100
9/23/25, 4:33:01 AM,%RH,100
9/23/25, 4:43:01 AM,%RH,100
9/23/25, 4:53:01 AM,%RH,100
9/23/25, 5:03:01 AM,%RH,100
9/23/25, 5:13:01 AM,%RH,100
9/23/25, 5:23:01 AM,%RH,100
9/23/25, 5:33:01 AM,%RH,100
9/23/25, 5:43:01 AM,%RH,100
9/23/25, 5:53:01 AM,%RH,100
9/23/25, 6:03:01 AM,%RH,100
9/23/25, 6:13:01 AM,%RH,100
9/23/25, 6:23:01 AM,%RH,100
9/23/25, 6:33:01 AM,%RH,100
9/23/25, 6:43:01 AM,%RH,100
9/23/25, 6:53:01 AM,%RH,100
9/23/25, 7:03:01 AM,%RH,100
9/23/25, 7:13:01 AM,%RH,100
9/23/25, 7:23:01 AM,%RH,100
9/23/25, 7:33:01 AM,%RH,100
9/23/25, 7:43:01 AM,%RH,100
9/23/25, 7:53:01 AM,%RH,100
9/23/25, 8:03:01 AM,%RH,100
9/23/25, 8:13:01 AM,%RH,100
9/23/25, 8:23:01 AM,%RH,100
9/23/25, 8:33:01 AM,%RH,100
9/23/25, 8:43:01 AM,%RH,100
9/23/25, 8:53:01 AM,%RH,100
9/23/25, 9:03:01 AM,%RH,100
9/23/25, 9:13:01 AM,%RH,87.892
9/23/25, 9:23:01 AM,%RH,78.4
9/23/25, 9:33:01 AM,%RH,72.623
9/23/25, 9:43:01 AM,%RH,53.189
9/23/25, 9:53:01 AM,%RH,40.88
9/23/25, 10:03:01 AM,%RH,35.545
9/23/25, 10:13:01 AM,%RH,30.705
9/23/25, 10:23:01 AM,%RH,30.808
9/23/25, 10:33:01 AM,%RH,28.658
9/23/25, 10:43:01 AM,%RH,31.609
9/23/25, 10:53:01 AM,%RH,27.461
9/23/25, 11:03:01 AM,%RH,28.165
9/23/25, 11:13:01 AM,%RH,26.808
9/23/25, 11:23:01 AM,%RH,26.1
9/23/25, 11:33:01 AM,%RH,26.1
9/23/25, 11:43:01 AM,%RH,29.728
9/23/25, 11:53:01 AM,%RH,27.62
9/23/25, 12:03:01 PM,%RH,26.914
9/23/25, 12:13:01 PM,%RH,26.154
9/23/25, 12:23:01 PM,%RH,25.551
9/23/25, 12:33:01 PM,%RH,24.074
9/23/25, 12:43:01 PM,%RH,24.128
9/23/25, 12:53:01 PM,%RH,23.467
9/23/25, 1:03:01 PM,%RH,23.467
9/23/25, 1:13:01 PM,%RH,22.805
9/23/25, 1:23:01 PM,%RH,22.751
9/23/25, 1:33:01 PM,%RH,22.805
9/23/25, 1:43:01 PM,%RH,23.414
9/23/25, 1:53:01 PM,%RH,24.128
9/23/25, 2:03:01 PM,%RH,21.98
9/23/25, 2:13:01 PM,%RH,23.467
9/23/25, 2:23:01 PM,%RH,22.034
9/23/25, 2:33:01 PM,%RH,24.787
9/23/25, 2:43:01 PM,%RH,22.377
9/23/25, 2:53:01 PM,%RH,26.387
9/23/25, 3:03:01 PM,%RH,24.968
9/23/25, 3:13:01 PM,%RH,29.854
9/23/25, 3:23:01 PM,%RH,27.645
9/23/25, 3:33:01 PM,%RH,26.232
9/23/25, 3:43:01 PM,%RH,26.991
9/23/25, 3:53:01 PM,%RH,24.916
9/23/25, 4:03:01 PM,%RH,24.968
9/23/25, 4:13:01 PM,%RH,24.863
9/23/25, 4:23:01 PM,%RH,27.697
9/23/25, 4:33:01 PM,%RH,25.574
9/23/25, 4:43:01 PM,%RH,26.18
9/23/25, 4:53:01 PM,%RH,28.299
9/23/25, 5:03:01 PM,%RH,28.952
9/23/25, 5:13:01 PM,%RH,28.952
9/23/25, 5:23:01 PM,%RH,28.952
9/23/25, 5:33:01 PM,%RH,28.902
9/23/25, 5:43:01 PM,%RH,28.198
9/23/25, 5:53:01 PM,%RH,34.377
9/23/25, 6:03:01 PM,%RH,31.603
9/23/25, 6:13:01 PM,%RH,33.547
9/23/25, 6:23:01 PM,%RH,50.217
9/23/25, 6:33:01 PM,%RH,57.207
9/23/25, 6:43:01 PM,%RH,64.884
9/23/25, 6:53:01 PM,%RH,66.524
9/23/25, 7:03:01 PM,%RH,71.717
9/23/25, 7:13:01 PM,%RH,74.515
9/23/25, 7:23:01 PM,%RH,78.33
9/23/25, 7:33:01 PM,%RH,78.827
9/23/25, 7:43:01 PM,%RH,82.075
9/23/25, 7:53:01 PM,%RH,81.472
9/23/25, 8:03:01 PM,%RH,85.75
9/23/25, 8:13:01 PM,%RH,86.234
9/23/25, 8:23:01 PM,%RH,86.185
9/23/25, 8:33:01 PM,%RH,86.185
9/23/25, 8:43:01 PM,%RH,88.261
9/23/25, 8:53:01 PM,%RH,86.672
9/23/25, 9:03:01 PM,%RH,88.218
9/23/25, 9:13:01 PM,%RH,89.229
9/23/25, 9:23:01 PM,%RH,90.274
9/23/25, 9:33:01 PM,%RH,90.236
9/23/25, 9:43:01 PM,%RH,89.19
9/23/25, 9:53:01 PM,%RH,90.757
9/23/25, 10:03:01 PM,%RH,91.758
9/23/25, 10:13:01 PM,%RH,92.756
9/23/25, 10:23:01 PM,%RH,93.78
9/23/25, 10:33:01 PM,%RH,93.269
9/23/25, 10:43:01 PM,%RH,93.239
9/23/25, 10:53:01 PM,%RH,93.751
9/23/25, 11:03:01 PM,%RH,94.742
9/23/25, 11:13:01 PM,%RH,93.724
9/23/25, 11:23:01 PM,%RH,92.699
9/23/25, 11:33:01 PM,%RH,91.667
9/23/25, 11:43:01 PM,%RH,91.667
9/23/25, 11:53:01 PM,%RH,91.149
9/24/25, 12:03:01 AM,%RH,93.724
9/24/25, 12:13:01 AM,%RH,92.674
9/24/25, 12:23:01 AM,%RH,92.674
9/24/25, 12:33:01 AM,%RH,92.674
9/24/25, 12:43:01 AM,%RH,93.699
9/24/25, 12:53:01 AM,%RH,92.674
9/24/25, 1:03:01 AM,%RH,93.187
9/24/25, 1:13:01 AM,%RH,94.697
9/24/25, 1:23:01 AM,%RH,93.677
9/24/25, 1:33:01 AM,%RH,94.188
9/24/25, 1:43:01 AM,%RH,93.677
9/24/25, 1:53:01 AM,%RH,94.678
9/24/25, 2:03:01 AM,%RH,94.678
9/24/25, 2:13:01 AM,%RH,95.692
9/24/25, 2:23:01 AM,%RH,95.186
9/24/25, 2:33:01 AM,%RH,95.692
9/24/25, 2:43:01 AM,%RH,96.7
9/24/25, 2:53:01 AM,%RH,95.692
9/24/25, 3:03:01 AM,%RH,96.7
9/24/25, 3:13:01 AM,%RH,94.678
9/24/25, 3:23:01 AM,%RH,95.677
9/24/25, 3:33:01 AM,%RH,96.685
9/24/25, 3:43:01 AM,%RH,96.685
9/24/25, 3:53:01 AM,%RH,98.184
9/24/25, 4:03:01 AM,%RH,97.186
9/24/25, 4:13:01 AM,%RH,97.686
9/24/25, 4:23:01 AM,%RH,98.67
9/24/25, 4:33:01 AM,%RH,98.173
9/24/25, 4:43:01 AM,%RH,98.173
9/24/25, 4:53:01 AM,%RH,98.67
9/24/25, 5:03:01 AM,%RH,99.165
9/24/25, 5:13:01 AM,%RH,98.67
9/24/25, 5:23:01 AM,%RH,99.165
9/24/25, 5:33:01 AM,%RH,99.165
9/24/25, 5:43:01 AM,%RH,99.165
9/24/25, 5:53:01 AM,%RH,99.165
9/24/25, 6:03:01 AM,%RH,100
9/24/25, 6:13:01 AM,%RH,99.651
9/24/25, 6:23:01 AM,%RH,99.651
9/24/25, 6:33:01 AM,%RH,100
9/24/25, 6:43:01 AM,%RH,99.651
9/24/25, 6:53:01 AM,%RH,99.651
9/24/25, 7:03:01 AM,%RH,99.157
9/24/25, 7:13:01 AM,%RH,99.157
9/24/25, 7:23:01 AM,%RH,99.659
9/24/25, 7:33:01 AM,%RH,99.165
9/24/25, 7:43:01 AM,%RH,99.176
9/24/25, 7:53:01 AM,%RH,98.198
9/24/25, 8:03:01 AM,%RH,97.717
9/24/25, 8:13:01 AM,%RH,97.259
9/24/25, 8:23:01 AM,%RH,95.275
9/24/25, 8:33:01 AM,%RH,94.32
9/24/25, 8:43:01 AM,%RH,94.389
9/24/25, 8:53:01 AM,%RH,91.954
9/24/25, 9:03:01 AM,%RH,89.035
9/24/25, 9:13:01 AM,%RH,72.729
9/24/25, 9:23:01 AM,%RH,70.492
9/24/25, 9:33:01 AM,%RH,64.235
9/24/25, 9:43:01 AM,%RH,52.547
9/24/25, 9:53:01 AM,%RH,33.431
9/24/25, 10:03:01 AM,%RH,32.148
9/24/25, 10:13:01 AM,%RH,30.163
9/24/25, 10:23:01 AM,%RH,32.251
9/24/25, 10:33:01 AM,%RH,27.408
9/24/25, 10:43:01 AM,%RH,23.36
9/24/25, 10:53:01 AM,%RH,24.128
9/24/25, 11:03:01 AM,%RH,22.698
9/24/25, 11:13:01 AM,%RH,22.751
9/24/25, 11:23:01 AM,%RH,24.181
9/24/25, 11:33:01 AM,%RH,22.751
9/24/25, 11:43:01 AM,%RH,22.751
9/24/25, 11:53:01 AM,%RH,22.141
9/24/25, 12:03:01 PM,%RH,23.521
9/24/25, 12:13:01 PM,%RH,19.924
9/24/25, 12:23:01 PM,%RH,19.977
9/24/25, 12:33:01 PM,%RH,18.58
9/24/25, 12:43:01 PM,%RH,20.86
9/24/25, 12:53:01 PM,%RH,24.505
9/24/25, 1:03:01 PM,%RH,20.19
9/24/25, 1:13:01 PM,%RH,18.01
9/24/25, 1:23:01 PM,%RH,18.01
9/24/25, 1:33:01 PM,%RH,18.685
9/24/25, 1:43:01 PM,%RH,17.28
9/24/25, 1:53:01 PM,%RH,18.01
9/24/25, 2:03:01 PM,%RH,18.685
9/24/25, 2:13:01 PM,%RH,18.633
9/24/25, 2:23:01 PM,%RH,24.021
9/24/25, 2:33:01 PM,%RH,27.355
9/24/25, 2:43:01 PM,%RH,28.554
9/24/25, 2:53:01 PM,%RH,27.748
9/24/25, 3:03:01 PM,%RH,25.126
9/24/25, 3:13:01 PM,%RH,23.04
9/24/25, 3:23:01 PM,%RH,23.755
9/24/25, 3:33:01 PM,%RH,23.04
9/24/25, 3:43:01 PM,%RH,21.659
9/24/25, 3:53:01 PM,%RH,26.387
9/24/25, 4:03:01 PM,%RH,34.613
9/24/25, 4:13:01 PM,%RH,29.154
9/24/25, 4:23:01 PM,%RH,34.071
9/24/25, 4:33:01 PM,%RH,40.207
9/24/25, 4:43:01 PM,%RH,34.859
9/24/25, 4:53:01 PM,%RH,32.79
9/24/25, 5:03:01 PM,%RH,36.083
