1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: A6000000817D7E41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Sun Sep 21 08:52:01 PDT 2025
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Sep 22 04:12:01 PDT 2025
Total Mission Samples:  4212
Total Device Samples:  25065
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
9/22/25, 4:12:01 AM,%RH,100
9/22/25, 4:22:01 AM,%RH,100
9/22/25, 4:32:01 AM,%RH,100
9/22/25, 4:42:01 AM,%RH,100
9/22/25, 4:52:01 AM,%RH,100
9/22/25, 5:02:01 AM,%RH,100
9/22/25, 5:12:01 AM,%RH,100
9/22/25, 5:22:01 AM,%RH,100
9/22/25, 5:32:01 AM,%RH,100
9/22/25, 5:42:01 AM,%RH,100
9/22/25, 5:52:01 AM,%RH,100
9/22/25, 6:02:01 AM,%RH,100
9/22/25, 6:12:01 AM,%RH,100
9/22/25, 6:22:01 AM,%RH,100
9/22/25, 6:32:01 AM,%RH,100
9/22/25, 6:42:01 AM,%RH,100
9/22/25, 6:52:01 AM,%RH,100
9/22/25, 7:02:01 AM,%RH,100
9/22/25, 7:12:01 AM,%RH,100
9/22/25, 7:22:01 AM,%RH,100
9/22/25, 7:32:01 AM,%RH,100
9/22/25, 7:42:01 AM,%RH,100
9/22/25, 7:52:01 AM,%RH,100
9/22/25, 8:02:01 AM,%RH,100
9/22/25, 8:12:01 AM,%RH,100
9/22/25, 8:22:01 AM,%RH,100
9/22/25, 8:32:01 AM,%RH,100
9/22/25, 8:42:01 AM,%RH,100
9/22/25, 8:52:01 AM,%RH,100
9/22/25, 9:02:01 AM,%RH,100
9/22/25, 9:12:01 AM,%RH,100
9/22/25, 9:22:01 AM,%RH,78.747
9/22/25, 9:32:01 AM,%RH,68.508
9/22/25, 9:42:01 AM,%RH,60.998
9/22/25, 9:52:01 AM,%RH,55.278
9/22/25, 10:02:01 AM,%RH,54.705
9/22/25, 10:12:01 AM,%RH,48.169
9/22/25, 10:22:01 AM,%RH,46.257
9/22/25, 10:32:01 AM,%RH,44.916
9/22/25, 10:42:01 AM,%RH,41.682
9/22/25, 10:52:01 AM,%RH,40.321
9/22/25, 11:02:01 AM,%RH,39.055
9/22/25, 11:12:01 AM,%RH,37.683
9/22/25, 11:22:01 AM,%RH,35.666
9/22/25, 11:32:01 AM,%RH,34.973
9/22/25, 11:42:01 AM,%RH,33.742
9/22/25, 11:52:01 AM,%RH,33.045
9/22/25, 12:02:01 PM,%RH,35.078
9/22/25, 12:12:01 PM,%RH,29.539
9/22/25, 12:22:01 PM,%RH,30.999
9/22/25, 12:32:01 PM,%RH,28.94
9/22/25, 12:42:01 PM,%RH,28.994
9/22/25, 12:52:01 PM,%RH,28.94
9/22/25, 1:02:01 PM,%RH,26.761
9/22/25, 1:12:01 PM,%RH,25.444
9/22/25, 1:22:01 PM,%RH,22.577
9/22/25, 1:32:01 PM,%RH,25.552
9/22/25, 1:42:01 PM,%RH,24.729
9/22/25, 1:52:01 PM,%RH,25.498
9/22/25, 2:02:01 PM,%RH,25.498
9/22/25, 2:12:01 PM,%RH,26.922
9/22/25, 2:22:01 PM,%RH,26.922
9/22/25, 2:32:01 PM,%RH,23.403
9/22/25, 2:42:01 PM,%RH,27.471
9/22/25, 2:52:01 PM,%RH,25.552
9/22/25, 3:02:01 PM,%RH,24.729
9/22/25, 3:12:01 PM,%RH,26.211
9/22/25, 3:22:01 PM,%RH,24.175
9/22/25, 3:32:01 PM,%RH,24.837
9/22/25, 3:42:01 PM,%RH,25.606
9/22/25, 3:52:01 PM,%RH,24.013
9/22/25, 4:02:01 PM,%RH,24.013
9/22/25, 4:12:01 PM,%RH,23.35
9/22/25, 4:22:01 PM,%RH,23.403
9/22/25, 4:32:01 PM,%RH,24.013
9/22/25, 4:42:01 PM,%RH,26.103
9/22/25, 4:52:01 PM,%RH,22.417
9/22/25, 5:02:01 PM,%RH,23.082
9/22/25, 5:12:01 PM,%RH,25.018
9/22/25, 5:22:01 PM,%RH,26.997
9/22/25, 5:32:01 PM,%RH,28.26
9/22/25, 5:42:01 PM,%RH,28.917
9/22/25, 5:52:01 PM,%RH,29.572
9/22/25, 6:02:01 PM,%RH,32.286
9/22/25, 6:12:01 PM,%RH,37.017
9/22/25, 6:22:01 PM,%RH,43.737
9/22/25, 6:32:01 PM,%RH,57.57
9/22/25, 6:42:01 PM,%RH,64.825
9/22/25, 6:52:01 PM,%RH,72.478
9/22/25, 7:02:01 PM,%RH,75.371
9/22/25, 7:12:01 PM,%RH,76.999
9/22/25, 7:22:01 PM,%RH,79.841
9/22/25, 7:32:01 PM,%RH,78.103
9/22/25, 7:42:01 PM,%RH,80.299
9/22/25, 7:52:01 PM,%RH,80.818
9/22/25, 8:02:01 PM,%RH,81.393
9/22/25, 8:12:01 PM,%RH,82.431
9/22/25, 8:22:01 PM,%RH,81.286
9/22/25, 8:32:01 PM,%RH,81.859
9/22/25, 8:42:01 PM,%RH,82.951
9/22/25, 8:52:01 PM,%RH,82.951
9/22/25, 9:02:01 PM,%RH,81.809
9/22/25, 9:12:01 PM,%RH,81.761
9/22/25, 9:22:01 PM,%RH,85.126
9/22/25, 9:32:01 PM,%RH,85.126
9/22/25, 9:42:01 PM,%RH,86.21
9/22/25, 9:52:01 PM,%RH,85.126
9/22/25, 10:02:01 PM,%RH,86.21
9/22/25, 10:12:01 PM,%RH,88.961
9/22/25, 10:22:01 PM,%RH,87.29
9/22/25, 10:32:01 PM,%RH,88.405
9/22/25, 10:42:01 PM,%RH,90.031
9/22/25, 10:52:01 PM,%RH,93.284
9/22/25, 11:02:01 PM,%RH,94.88
9/22/25, 11:12:01 PM,%RH,97.558
9/22/25, 11:22:01 PM,%RH,96.466
9/22/25, 11:32:01 PM,%RH,97.025
9/22/25, 11:42:01 PM,%RH,97.025
9/22/25, 11:52:01 PM,%RH,96.491
9/23/25, 12:02:01 AM,%RH,95.93
9/23/25, 12:12:01 AM,%RH,97.001
9/23/25, 12:22:01 AM,%RH,97.512
9/23/25, 12:32:01 AM,%RH,98.596
9/23/25, 12:42:01 AM,%RH,98.575
9/23/25, 12:52:01 AM,%RH,99.104
9/23/25, 1:02:01 AM,%RH,99.631
9/23/25, 1:12:01 AM,%RH,100
9/23/25, 1:22:01 AM,%RH,100
9/23/25, 1:32:01 AM,%RH,100
9/23/25, 1:42:01 AM,%RH,100
9/23/25, 1:52:01 AM,%RH,100
9/23/25, 2:02:01 AM,%RH,100
9/23/25, 2:12:01 AM,%RH,100
9/23/25, 2:22:01 AM,%RH,100
9/23/25, 2:32:01 AM,%RH,100
9/23/25, 2:42:01 AM,%RH,100
9/23/25, 2:52:01 AM,%RH,100
9/23/25, 3:02:01 AM,%RH,100
9/23/25, 3:12:01 AM,%RH,100
9/23/25, 3:22:01 AM,%RH,100
9/23/25, 3:32:01 AM,%RH,100
9/23/25, 3:42:01 AM,%RH,100
9/23/25, 3:52:01 AM,%RH,100
9/23/25, 4:02:01 AM,%RH,100
9/23/25, 4:12:01 AM,%RH,100
9/23/25, 4:22:01 AM,%RH,100
9/23/25, 4:32:01 AM,%RH,100
9/23/25, 4:42:01 AM,%RH,100
9/23/25, 4:52:01 AM,%RH,100
9/23/25, 5:02:01 AM,%RH,100
9/23/25, 5:12:01 AM,%RH,100
9/23/25, 5:22:01 AM,%RH,100
9/23/25, 5:32:01 AM,%RH,100
9/23/25, 5:42:01 AM,%RH,100
9/23/25, 5:52:01 AM,%RH,100
9/23/25, 6:02:01 AM,%RH,100
9/23/25, 6:12:01 AM,%RH,100
9/23/25, 6:22:01 AM,%RH,100
9/23/25, 6:32:01 AM,%RH,100
9/23/25, 6:42:01 AM,%RH,100
9/23/25, 6:52:01 AM,%RH,100
9/23/25, 7:02:01 AM,%RH,100
9/23/25, 7:12:01 AM,%RH,100
9/23/25, 7:22:01 AM,%RH,100
9/23/25, 7:32:01 AM,%RH,100
9/23/25, 7:42:01 AM,%RH,100
9/23/25, 7:52:01 AM,%RH,100
9/23/25, 8:02:01 AM,%RH,100
9/23/25, 8:12:01 AM,%RH,100
