1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: A6000000817D7E41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Mon Oct 20 14:49:01 PDT 2025
Mission Sample Count:  2191
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Mon Oct 20 14:49:01 PDT 2025
Total Mission Samples:  2191
Total Device Samples:  27256
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/20/25, 2:49:01 PM,%RH,42.459
10/20/25, 2:59:01 PM,%RH,35.17
10/20/25, 3:09:01 PM,%RH,34.62
10/20/25, 3:19:01 PM,%RH,31.881
10/20/25, 3:29:01 PM,%RH,35.075
10/20/25, 3:39:01 PM,%RH,33.082
10/20/25, 3:49:01 PM,%RH,33.13
10/20/25, 3:59:01 PM,%RH,31.08
10/20/25, 4:09:01 PM,%RH,33.828
10/20/25, 4:19:01 PM,%RH,33.731
10/20/25, 4:29:01 PM,%RH,33.684
10/20/25, 4:39:01 PM,%RH,36.37
10/20/25, 4:49:01 PM,%RH,34.287
10/20/25, 4:59:01 PM,%RH,42.378
10/20/25, 5:09:01 PM,%RH,50.525
10/20/25, 5:19:01 PM,%RH,66.919
10/20/25, 5:29:01 PM,%RH,74.525
10/20/25, 5:39:01 PM,%RH,77.926
10/20/25, 5:49:01 PM,%RH,84.137
10/20/25, 5:59:01 PM,%RH,86.902
10/20/25, 6:09:01 PM,%RH,89.593
10/20/25, 6:19:01 PM,%RH,90.655
10/20/25, 6:29:01 PM,%RH,92.261
10/20/25, 6:39:01 PM,%RH,93.827
10/20/25, 6:49:01 PM,%RH,94.908
10/20/25, 6:59:01 PM,%RH,96.491
10/20/25, 7:09:01 PM,%RH,96.466
10/20/25, 7:19:01 PM,%RH,97.512
10/20/25, 7:29:01 PM,%RH,97.493
