1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 450000008176D441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Mon Jul 28 09:38:01 PDT 2025
Mission Sample Count:  3776
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Mon Jul 28 09:38:01 PDT 2025
Total Mission Samples:  3776
Total Device Samples:  15575
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
7/28/25, 9:38:01 AM,%RH,61.897
7/28/25, 9:48:01 AM,%RH,34.609
7/28/25, 9:58:01 AM,%RH,40.008
7/28/25, 10:08:01 AM,%RH,33.165
7/28/25, 10:18:01 AM,%RH,29.65
7/28/25, 10:28:01 AM,%RH,31.061
7/28/25, 10:38:01 AM,%RH,33.812
7/28/25, 10:48:01 AM,%RH,38.595
7/28/25, 10:58:01 AM,%RH,35.405
7/28/25, 11:08:01 AM,%RH,32.078
7/28/25, 11:18:01 AM,%RH,31.269
7/28/25, 11:28:01 AM,%RH,33.53
7/28/25, 11:38:01 AM,%RH,32.131
7/28/25, 11:48:01 AM,%RH,38.371
7/28/25, 11:58:01 AM,%RH,31.428
7/28/25, 12:08:01 PM,%RH,33.748
7/28/25, 12:18:01 PM,%RH,30.18
7/28/25, 12:28:01 PM,%RH,29.364
7/28/25, 12:38:01 PM,%RH,29.581
7/28/25, 12:48:01 PM,%RH,32.403
7/28/25, 12:58:01 PM,%RH,27.391
7/28/25, 1:08:01 PM,%RH,30.778
7/28/25, 1:18:01 PM,%RH,29.472
7/28/25, 1:28:01 PM,%RH,38.016
7/28/25, 1:38:01 PM,%RH,28.925
7/28/25, 1:48:01 PM,%RH,25.239
7/28/25, 1:58:01 PM,%RH,27.445
7/28/25, 2:08:01 PM,%RH,25.239
7/28/25, 2:18:01 PM,%RH,31.645
7/28/25, 2:28:01 PM,%RH,26.121
7/28/25, 2:38:01 PM,%RH,27.445
7/28/25, 2:48:01 PM,%RH,28.816
7/28/25, 2:58:01 PM,%RH,28.268
7/28/25, 3:08:01 PM,%RH,29.691
7/28/25, 3:18:01 PM,%RH,21.669
7/28/25, 3:28:01 PM,%RH,25.185
7/28/25, 3:38:01 PM,%RH,27.445
7/28/25, 3:48:01 PM,%RH,22.29
7/28/25, 3:58:01 PM,%RH,26.012
7/28/25, 4:08:01 PM,%RH,25.293
7/28/25, 4:18:01 PM,%RH,25.239
7/28/25, 4:28:01 PM,%RH,25.239
7/28/25, 4:38:01 PM,%RH,27.996
7/28/25, 4:48:01 PM,%RH,31.536
7/28/25, 4:58:01 PM,%RH,27.175
7/28/25, 5:08:01 PM,%RH,33.584
7/28/25, 5:18:01 PM,%RH,26.46
7/28/25, 5:28:01 PM,%RH,31.375
7/28/25, 5:38:01 PM,%RH,28.6
7/28/25, 5:48:01 PM,%RH,30.724
7/28/25, 5:58:01 PM,%RH,26.353
7/28/25, 6:08:01 PM,%RH,27.175
7/28/25, 6:18:01 PM,%RH,31.375
7/28/25, 6:28:01 PM,%RH,29.204
7/28/25, 6:38:01 PM,%RH,30.512
7/28/25, 6:48:01 PM,%RH,30.908
7/28/25, 6:58:01 PM,%RH,37.58
7/28/25, 7:08:01 PM,%RH,38.952
7/28/25, 7:18:01 PM,%RH,37.58
7/28/25, 7:28:01 PM,%RH,39.505
7/28/25, 7:38:01 PM,%RH,38.864
7/28/25, 7:48:01 PM,%RH,40.826
7/28/25, 7:58:01 PM,%RH,45.432
7/28/25, 8:08:01 PM,%RH,51.314
7/28/25, 8:18:01 PM,%RH,53.985
7/28/25, 8:28:01 PM,%RH,59.425
7/28/25, 8:38:01 PM,%RH,62.393
7/28/25, 8:48:01 PM,%RH,66.504
7/28/25, 8:58:01 PM,%RH,68.783
7/28/25, 9:08:01 PM,%RH,68.643
7/28/25, 9:18:01 PM,%RH,69.808
7/28/25, 9:28:01 PM,%RH,68.576
7/28/25, 9:38:01 PM,%RH,69.16
7/28/25, 9:48:01 PM,%RH,70.834
7/28/25, 9:58:01 PM,%RH,72.493
7/28/25, 10:08:01 PM,%RH,71.346
7/28/25, 10:18:01 PM,%RH,72.431
7/28/25, 10:28:01 PM,%RH,75.269
7/28/25, 10:38:01 PM,%RH,79.107
7/28/25, 10:48:01 PM,%RH,75.714
7/28/25, 10:58:01 PM,%RH,77.39
7/28/25, 11:08:01 PM,%RH,77.945
7/28/25, 11:18:01 PM,%RH,80.04
7/28/25, 11:28:01 PM,%RH,81.674
7/28/25, 11:38:01 PM,%RH,83.778
7/28/25, 11:48:01 PM,%RH,83.291
7/28/25, 11:58:01 PM,%RH,82.704
7/29/25, 12:08:01 AM,%RH,81.624
7/29/25, 12:18:01 AM,%RH,84.797
7/29/25, 12:28:01 AM,%RH,85.327
7/29/25, 12:38:01 AM,%RH,85.283
7/29/25, 12:48:01 AM,%RH,86.339
7/29/25, 12:58:01 AM,%RH,86.297
7/29/25, 1:08:01 AM,%RH,88.429
7/29/25, 1:18:01 AM,%RH,88.388
7/29/25, 1:28:01 AM,%RH,88.388
7/29/25, 1:38:01 AM,%RH,89.423
7/29/25, 1:48:01 AM,%RH,88.349
7/29/25, 1:58:01 AM,%RH,90.412
7/29/25, 2:08:01 AM,%RH,91.433
7/29/25, 2:18:01 AM,%RH,91.906
7/29/25, 2:28:01 AM,%RH,91.906
7/29/25, 2:38:01 AM,%RH,91.906
7/29/25, 2:48:01 AM,%RH,91.874
7/29/25, 2:58:01 AM,%RH,92.885
7/29/25, 3:08:01 AM,%RH,93.387
7/29/25, 3:18:01 AM,%RH,95.352
7/29/25, 3:28:01 AM,%RH,93.86
7/29/25, 3:38:01 AM,%RH,93.387
7/29/25, 3:48:01 AM,%RH,93.358
7/29/25, 3:58:01 AM,%RH,93.358
7/29/25, 4:08:01 AM,%RH,95.327
7/29/25, 4:18:01 AM,%RH,94.831
7/29/25, 4:28:01 AM,%RH,94.831
7/29/25, 4:38:01 AM,%RH,94.309
7/29/25, 4:48:01 AM,%RH,93.809
7/29/25, 4:58:01 AM,%RH,94.309
7/29/25, 5:08:01 AM,%RH,95.304
7/29/25, 5:18:01 AM,%RH,94.807
7/29/25, 5:28:01 AM,%RH,95.304
7/29/25, 5:38:01 AM,%RH,94.786
7/29/25, 5:48:01 AM,%RH,95.283
7/29/25, 5:58:01 AM,%RH,95.778
7/29/25, 6:08:01 AM,%RH,95.283
7/29/25, 6:18:01 AM,%RH,94.786
7/29/25, 6:28:01 AM,%RH,94.807
7/29/25, 6:38:01 AM,%RH,94.309
7/29/25, 6:48:01 AM,%RH,93.331
7/29/25, 6:58:01 AM,%RH,92.323
7/29/25, 7:08:01 AM,%RH,91.874
7/29/25, 7:18:01 AM,%RH,91.398
7/29/25, 7:28:01 AM,%RH,88.349
7/29/25, 7:38:01 AM,%RH,92.017
7/29/25, 7:48:01 AM,%RH,86.477
7/29/25, 7:58:01 AM,%RH,72.828
7/29/25, 8:08:01 AM,%RH,60.879
7/29/25, 8:18:01 AM,%RH,57.198
7/29/25, 8:28:01 AM,%RH,53.419
7/29/25, 8:38:01 AM,%RH,52.159
7/29/25, 8:48:01 AM,%RH,45.661
7/29/25, 8:58:01 AM,%RH,43.739
7/29/25, 9:08:01 AM,%RH,44.54
7/29/25, 9:18:01 AM,%RH,42.527
7/29/25, 9:28:01 AM,%RH,41.222
7/29/25, 9:38:01 AM,%RH,40.591
7/29/25, 9:48:01 AM,%RH,46.009
7/29/25, 9:58:01 AM,%RH,36.584
7/29/25, 10:08:01 AM,%RH,40.057
7/29/25, 10:18:01 AM,%RH,31.816
7/29/25, 10:28:01 AM,%RH,29.702
7/29/25, 10:38:01 AM,%RH,30.356
7/29/25, 10:48:01 AM,%RH,33.862
7/29/25, 10:58:01 AM,%RH,33.424
7/29/25, 11:08:01 AM,%RH,31.428
7/29/25, 11:18:01 AM,%RH,33.584
7/29/25, 11:28:01 AM,%RH,28.708
7/29/25, 11:38:01 AM,%RH,28.762
7/29/25, 11:48:01 AM,%RH,31.755
7/29/25, 11:58:01 AM,%RH,26.729
7/29/25, 12:08:01 PM,%RH,21.669
7/29/25, 12:18:01 PM,%RH,26.675
7/29/25, 12:28:01 PM,%RH,30.344
7/29/25, 12:38:01 PM,%RH,24.626
7/29/25, 12:48:01 PM,%RH,24.626
7/29/25, 12:58:01 PM,%RH,26.406
7/29/25, 1:08:01 PM,%RH,23.849
7/29/25, 1:18:01 PM,%RH,24.011
7/29/25, 1:28:01 PM,%RH,30.941
7/29/25, 1:38:01 PM,%RH,38.646
7/29/25, 1:48:01 PM,%RH,27.609
7/29/25, 1:58:01 PM,%RH,24.788
7/29/25, 2:08:01 PM,%RH,24.173
7/29/25, 2:18:01 PM,%RH,25.401
7/29/25, 2:28:01 PM,%RH,30.568
7/29/25, 2:38:01 PM,%RH,33.971
7/29/25, 2:48:01 PM,%RH,31.051
7/29/25, 2:58:01 PM,%RH,27.609
7/29/25, 3:08:01 PM,%RH,27.554
7/29/25, 3:18:01 PM,%RH,25.401
7/29/25, 3:28:01 PM,%RH,27.664
7/29/25, 3:38:01 PM,%RH,25.401
7/29/25, 3:48:01 PM,%RH,28.981
7/29/25, 3:58:01 PM,%RH,26.784
7/29/25, 4:08:01 PM,%RH,27.445
7/29/25, 4:18:01 PM,%RH,24.68
7/29/25, 4:28:01 PM,%RH,26.729
7/29/25, 4:38:01 PM,%RH,30.18
7/29/25, 4:48:01 PM,%RH,32.348
7/29/25, 4:58:01 PM,%RH,26.621
7/29/25, 5:08:01 PM,%RH,28.708
7/29/25, 5:18:01 PM,%RH,33.53
7/29/25, 5:28:01 PM,%RH,32.078
7/29/25, 5:38:01 PM,%RH,34.174
7/29/25, 5:48:01 PM,%RH,32.078
7/29/25, 5:58:01 PM,%RH,31.428
7/29/25, 6:08:01 PM,%RH,36.997
7/29/25, 6:18:01 PM,%RH,32.778
7/29/25, 6:28:01 PM,%RH,32.078
7/29/25, 6:38:01 PM,%RH,32.725
7/29/25, 6:48:01 PM,%RH,36.535
7/29/25, 6:58:01 PM,%RH,43.782
7/29/25, 7:08:01 PM,%RH,48.351
7/29/25, 7:18:01 PM,%RH,50.932
7/29/25, 7:28:01 PM,%RH,51.545
7/29/25, 7:38:01 PM,%RH,52.807
7/29/25, 7:48:01 PM,%RH,55.346
7/29/25, 7:58:01 PM,%RH,52.773
7/29/25, 8:08:01 PM,%RH,60.35
7/29/25, 8:18:01 PM,%RH,64.643
7/29/25, 8:28:01 PM,%RH,67.065
7/29/25, 8:38:01 PM,%RH,70.323
7/29/25, 8:48:01 PM,%RH,71.978
7/29/25, 8:58:01 PM,%RH,74.112
7/29/25, 9:08:01 PM,%RH,76.369
7/29/25, 9:18:01 PM,%RH,76.855
7/29/25, 9:28:01 PM,%RH,78.452
7/29/25, 9:38:01 PM,%RH,79.485
7/29/25, 9:48:01 PM,%RH,80.581
7/29/25, 9:58:01 PM,%RH,80.993
7/29/25, 10:08:01 PM,%RH,80.993
7/29/25, 10:18:01 PM,%RH,81.537
7/29/25, 10:28:01 PM,%RH,81.537
7/29/25, 10:38:01 PM,%RH,82.555
7/29/25, 10:48:01 PM,%RH,81.473
7/29/25, 10:58:01 PM,%RH,82.555
7/29/25, 11:08:01 PM,%RH,81.953
7/29/25, 11:18:01 PM,%RH,82.434
7/29/25, 11:28:01 PM,%RH,85.637
7/29/25, 11:38:01 PM,%RH,86.108
7/29/25, 11:48:01 PM,%RH,85.051
7/29/25, 11:58:01 PM,%RH,86.108
7/30/25, 12:08:01 AM,%RH,86.634
7/30/25, 12:18:01 AM,%RH,87.158
