1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 450000008176D441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Sat Aug 23 14:56:01 PDT 2025
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Aug 24 02:46:01 PDT 2025
Total Mission Samples:  4167
Total Device Samples:  19742
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
8/24/25, 2:46:01 AM,%RH,95.096
8/24/25, 2:56:01 AM,%RH,95.162
8/24/25, 3:06:01 AM,%RH,94.666
8/24/25, 3:16:01 AM,%RH,94.666
8/24/25, 3:26:01 AM,%RH,95.657
8/24/25, 3:36:01 AM,%RH,94.666
8/24/25, 3:46:01 AM,%RH,95.591
8/24/25, 3:56:01 AM,%RH,94.6
8/24/25, 4:06:01 AM,%RH,95.591
8/24/25, 4:16:01 AM,%RH,96.083
8/24/25, 4:26:01 AM,%RH,96.02
8/24/25, 4:36:01 AM,%RH,97.487
8/24/25, 4:46:01 AM,%RH,97.487
8/24/25, 4:56:01 AM,%RH,96.45
8/24/25, 5:06:01 AM,%RH,97.426
8/24/25, 5:16:01 AM,%RH,97.426
8/24/25, 5:26:01 AM,%RH,97.854
8/24/25, 5:36:01 AM,%RH,97.854
8/24/25, 5:46:01 AM,%RH,98.337
8/24/25, 5:56:01 AM,%RH,98.282
8/24/25, 6:06:01 AM,%RH,99.244
8/24/25, 6:16:01 AM,%RH,99.244
8/24/25, 6:26:01 AM,%RH,99.244
8/24/25, 6:36:01 AM,%RH,99.244
8/24/25, 6:46:01 AM,%RH,99.244
8/24/25, 6:56:01 AM,%RH,98.819
8/24/25, 7:06:01 AM,%RH,97.854
8/24/25, 7:16:01 AM,%RH,97.368
8/24/25, 7:26:01 AM,%RH,96.939
8/24/25, 7:36:01 AM,%RH,97
8/24/25, 7:46:01 AM,%RH,95.591
8/24/25, 7:56:01 AM,%RH,90.258
8/24/25, 8:06:01 AM,%RH,88.338
8/24/25, 8:16:01 AM,%RH,82.783
8/24/25, 8:26:01 AM,%RH,69.621
8/24/25, 8:36:01 AM,%RH,67.248
8/24/25, 8:46:01 AM,%RH,65.459
8/24/25, 8:56:01 AM,%RH,66.098
8/24/25, 9:06:01 AM,%RH,67.91
8/24/25, 9:16:01 AM,%RH,64.915
8/24/25, 9:26:01 AM,%RH,64.881
8/24/25, 9:36:01 AM,%RH,61.806
8/24/25, 9:46:01 AM,%RH,62.46
8/24/25, 9:56:01 AM,%RH,60.636
8/24/25, 10:06:01 AM,%RH,56.272
8/24/25, 10:16:01 AM,%RH,58.21
8/24/25, 10:26:01 AM,%RH,55.762
8/24/25, 10:36:01 AM,%RH,50.053
