1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 450000008176D441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Sat Aug 23 14:56:01 PDT 2025
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Aug 24 02:46:01 PDT 2025
Total Mission Samples:  4167
Total Device Samples:  19742
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
8/24/25, 2:46:01 AM,C,10.582
8/24/25, 2:56:01 AM,C,11.084
8/24/25, 3:06:01 AM,C,11.084
8/24/25, 3:16:01 AM,C,11.084
8/24/25, 3:26:01 AM,C,11.084
8/24/25, 3:36:01 AM,C,11.084
8/24/25, 3:46:01 AM,C,10.582
8/24/25, 3:56:01 AM,C,10.582
8/24/25, 4:06:01 AM,C,10.582
8/24/25, 4:16:01 AM,C,10.582
8/24/25, 4:26:01 AM,C,10.08
8/24/25, 4:36:01 AM,C,10.08
8/24/25, 4:46:01 AM,C,10.08
8/24/25, 4:56:01 AM,C,9.579
8/24/25, 5:06:01 AM,C,9.579
8/24/25, 5:16:01 AM,C,9.579
8/24/25, 5:26:01 AM,C,9.077
8/24/25, 5:36:01 AM,C,9.077
8/24/25, 5:46:01 AM,C,9.077
8/24/25, 5:56:01 AM,C,8.575
8/24/25, 6:06:01 AM,C,8.575
8/24/25, 6:16:01 AM,C,8.575
8/24/25, 6:26:01 AM,C,8.575
8/24/25, 6:36:01 AM,C,8.575
8/24/25, 6:46:01 AM,C,8.575
8/24/25, 6:56:01 AM,C,9.077
8/24/25, 7:06:01 AM,C,9.077
8/24/25, 7:16:01 AM,C,9.077
8/24/25, 7:26:01 AM,C,9.579
8/24/25, 7:36:01 AM,C,10.08
8/24/25, 7:46:01 AM,C,10.582
8/24/25, 7:56:01 AM,C,12.087
8/24/25, 8:06:01 AM,C,13.09
8/24/25, 8:16:01 AM,C,15.596
8/24/25, 8:26:01 AM,C,18.602
8/24/25, 8:36:01 AM,C,19.103
8/24/25, 8:46:01 AM,C,19.604
8/24/25, 8:56:01 AM,C,20.104
8/24/25, 9:06:01 AM,C,20.104
8/24/25, 9:16:01 AM,C,20.605
8/24/25, 9:26:01 AM,C,20.104
8/24/25, 9:36:01 AM,C,20.104
8/24/25, 9:46:01 AM,C,20.605
8/24/25, 9:56:01 AM,C,21.105
8/24/25, 10:06:01 AM,C,21.606
8/24/25, 10:16:01 AM,C,22.106
8/24/25, 10:26:01 AM,C,23.107
8/24/25, 10:36:01 AM,C,24.107
8/24/25, 10:46:01 AM,C,25.107
8/24/25, 10:56:01 AM,C,25.107
8/24/25, 11:06:01 AM,C,24.107
8/24/25, 11:16:01 AM,C,22.607
8/24/25, 11:26:01 AM,C,22.106
8/24/25, 11:36:01 AM,C,23.107
8/24/25, 11:46:01 AM,C,23.107
8/24/25, 11:56:01 AM,C,23.107
8/24/25, 12:06:01 PM,C,24.107
8/24/25, 12:16:01 PM,C,24.607
8/24/25, 12:26:01 PM,C,25.107
8/24/25, 12:36:01 PM,C,25.607
8/24/25, 12:46:01 PM,C,27.107
8/24/25, 12:56:01 PM,C,26.607
8/24/25, 1:06:01 PM,C,27.107
8/24/25, 1:16:01 PM,C,28.106
8/24/25, 1:26:01 PM,C,29.605
8/24/25, 1:36:01 PM,C,30.105
8/24/25, 1:46:01 PM,C,31.603
8/24/25, 1:56:01 PM,C,31.603
8/24/25, 2:06:01 PM,C,30.604
8/24/25, 2:16:01 PM,C,28.606
8/24/25, 2:26:01 PM,C,27.607
8/24/25, 2:36:01 PM,C,28.606
8/24/25, 2:46:01 PM,C,23.607
8/24/25, 2:56:01 PM,C,22.607
8/24/25, 3:06:01 PM,C,22.106
8/24/25, 3:16:01 PM,C,18.602
8/24/25, 3:26:01 PM,C,15.596
8/24/25, 3:36:01 PM,C,15.095
8/24/25, 3:46:01 PM,C,15.095
8/24/25, 3:56:01 PM,C,14.594
8/24/25, 4:06:01 PM,C,14.093
8/24/25, 4:16:01 PM,C,14.093
8/24/25, 4:26:01 PM,C,14.093
8/24/25, 4:36:01 PM,C,14.594
8/24/25, 4:46:01 PM,C,14.594
8/24/25, 4:56:01 PM,C,14.594
8/24/25, 5:06:01 PM,C,14.093
8/24/25, 5:16:01 PM,C,14.093
8/24/25, 5:26:01 PM,C,14.093
8/24/25, 5:36:01 PM,C,14.093
8/24/25, 5:46:01 PM,C,14.093
8/24/25, 5:56:01 PM,C,14.093
8/24/25, 6:06:01 PM,C,14.093
8/24/25, 6:16:01 PM,C,14.093
8/24/25, 6:26:01 PM,C,13.591
8/24/25, 6:36:01 PM,C,13.591
8/24/25, 6:46:01 PM,C,13.591
8/24/25, 6:56:01 PM,C,13.591
8/24/25, 7:06:01 PM,C,14.093
8/24/25, 7:16:01 PM,C,14.093
8/24/25, 7:26:01 PM,C,14.594
8/24/25, 7:36:01 PM,C,14.594
8/24/25, 7:46:01 PM,C,14.093
8/24/25, 7:56:01 PM,C,13.591
8/24/25, 8:06:01 PM,C,13.09
8/24/25, 8:16:01 PM,C,13.09
8/24/25, 8:26:01 PM,C,12.589
8/24/25, 8:36:01 PM,C,12.589
8/24/25, 8:46:01 PM,C,12.087
8/24/25, 8:56:01 PM,C,11.585
8/24/25, 9:06:01 PM,C,12.087
8/24/25, 9:16:01 PM,C,11.585
8/24/25, 9:26:01 PM,C,11.585
8/24/25, 9:36:01 PM,C,11.084
8/24/25, 9:46:01 PM,C,11.084
8/24/25, 9:56:01 PM,C,11.084
8/24/25, 10:06:01 PM,C,10.582
8/24/25, 10:16:01 PM,C,10.582
8/24/25, 10:26:01 PM,C,10.582
8/24/25, 10:36:01 PM,C,10.08
8/24/25, 10:46:01 PM,C,10.08
8/24/25, 10:56:01 PM,C,9.579
8/24/25, 11:06:01 PM,C,9.579
8/24/25, 11:16:01 PM,C,9.579
8/24/25, 11:26:01 PM,C,9.077
8/24/25, 11:36:01 PM,C,8.575
8/24/25, 11:46:01 PM,C,8.575
8/24/25, 11:56:01 PM,C,8.575
8/25/25, 12:06:01 AM,C,8.575
8/25/25, 12:16:01 AM,C,8.575
8/25/25, 12:26:01 AM,C,8.575
8/25/25, 12:36:01 AM,C,8.073
8/25/25, 12:46:01 AM,C,8.073
