1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 450000008176D441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Sun Sep 21 13:24:01 PDT 2025
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Sep 22 05:04:01 PDT 2025
Total Mission Samples:  4190
Total Device Samples:  23932
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
9/22/25, 5:04:01 AM,%RH,100
9/22/25, 5:14:01 AM,%RH,100
9/22/25, 5:24:01 AM,%RH,100
9/22/25, 5:34:01 AM,%RH,100
9/22/25, 5:44:01 AM,%RH,100
9/22/25, 5:54:01 AM,%RH,100
9/22/25, 6:04:01 AM,%RH,100
9/22/25, 6:14:01 AM,%RH,100
9/22/25, 6:24:01 AM,%RH,100
9/22/25, 6:34:01 AM,%RH,100
9/22/25, 6:44:01 AM,%RH,100
9/22/25, 6:54:01 AM,%RH,100
9/22/25, 7:04:01 AM,%RH,100
9/22/25, 7:14:01 AM,%RH,100
9/22/25, 7:24:01 AM,%RH,100
9/22/25, 7:34:01 AM,%RH,100
9/22/25, 7:44:01 AM,%RH,100
9/22/25, 7:54:01 AM,%RH,100
9/22/25, 8:04:01 AM,%RH,100
9/22/25, 8:14:01 AM,%RH,100
9/22/25, 8:24:01 AM,%RH,100
9/22/25, 8:34:01 AM,%RH,100
9/22/25, 8:44:01 AM,%RH,100
9/22/25, 8:54:01 AM,%RH,100
9/22/25, 9:04:01 AM,%RH,100
9/22/25, 9:14:01 AM,%RH,100
9/22/25, 9:24:01 AM,%RH,100
9/22/25, 9:34:01 AM,%RH,92.663
9/22/25, 9:44:01 AM,%RH,87.145
9/22/25, 9:54:01 AM,%RH,85.106
9/22/25, 10:04:01 AM,%RH,79.775
9/22/25, 10:14:01 AM,%RH,76.6
9/22/25, 10:24:01 AM,%RH,73.854
9/22/25, 10:34:01 AM,%RH,67.123
9/22/25, 10:44:01 AM,%RH,58.584
9/22/25, 10:54:01 AM,%RH,54.202
9/22/25, 11:04:01 AM,%RH,61.029
9/22/25, 11:14:01 AM,%RH,56.05
9/22/25, 11:24:01 AM,%RH,50.438
9/22/25, 11:34:01 AM,%RH,46.626
9/22/25, 11:44:01 AM,%RH,45.164
9/22/25, 11:54:01 AM,%RH,46.493
9/22/25, 12:04:01 PM,%RH,46.45
9/22/25, 12:14:01 PM,%RH,41.269
9/22/25, 12:24:01 PM,%RH,40.008
9/22/25, 12:34:01 PM,%RH,41.317
9/22/25, 12:44:01 PM,%RH,37.959
9/22/25, 12:54:01 PM,%RH,35.405
9/22/25, 1:04:01 PM,%RH,34.712
9/22/25, 1:14:01 PM,%RH,31.375
9/22/25, 1:24:01 PM,%RH,27.835
9/22/25, 1:34:01 PM,%RH,30.671
9/22/25, 1:44:01 PM,%RH,31.269
9/22/25, 1:54:01 PM,%RH,32.025
9/22/25, 2:04:01 PM,%RH,30.724
9/22/25, 2:14:01 PM,%RH,31.482
9/22/25, 2:24:01 PM,%RH,29.31
9/22/25, 2:34:01 PM,%RH,28.547
9/22/25, 2:44:01 PM,%RH,28.547
9/22/25, 2:54:01 PM,%RH,29.31
9/22/25, 3:04:01 PM,%RH,28.6
9/22/25, 3:14:01 PM,%RH,30.018
9/22/25, 3:24:01 PM,%RH,28.654
9/22/25, 3:34:01 PM,%RH,28.05
9/22/25, 3:44:01 PM,%RH,26.621
9/22/25, 3:54:01 PM,%RH,26.621
9/22/25, 4:04:01 PM,%RH,25.796
9/22/25, 4:14:01 PM,%RH,26.567
9/22/25, 4:24:01 PM,%RH,25.077
9/22/25, 4:34:01 PM,%RH,24.357
9/22/25, 4:44:01 PM,%RH,25.743
9/22/25, 4:54:01 PM,%RH,29.598
9/22/25, 5:04:01 PM,%RH,30.808
