1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 450000008176D441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Sun Sep 21 13:24:01 PDT 2025
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Sep 22 05:04:01 PDT 2025
Total Mission Samples:  4190
Total Device Samples:  23932
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
9/22/25, 5:04:01 AM,C,1.038
9/22/25, 5:14:01 AM,C,1.541
9/22/25, 5:24:01 AM,C,1.038
9/22/25, 5:34:01 AM,C,1.038
9/22/25, 5:44:01 AM,C,1.038
9/22/25, 5:54:01 AM,C,1.038
9/22/25, 6:04:01 AM,C,1.038
9/22/25, 6:14:01 AM,C,1.038
9/22/25, 6:24:01 AM,C,0.536
9/22/25, 6:34:01 AM,C,0.536
9/22/25, 6:44:01 AM,C,0.536
9/22/25, 6:54:01 AM,C,0.536
9/22/25, 7:04:01 AM,C,0.033
9/22/25, 7:14:01 AM,C,0.536
9/22/25, 7:24:01 AM,C,0.536
9/22/25, 7:34:01 AM,C,0.536
9/22/25, 7:44:01 AM,C,1.038
9/22/25, 7:54:01 AM,C,1.541
9/22/25, 8:04:01 AM,C,2.044
9/22/25, 8:14:01 AM,C,3.049
9/22/25, 8:24:01 AM,C,3.552
9/22/25, 8:34:01 AM,C,4.557
9/22/25, 8:44:01 AM,C,5.059
9/22/25, 8:54:01 AM,C,6.064
9/22/25, 9:04:01 AM,C,7.571
9/22/25, 9:14:01 AM,C,8.575
9/22/25, 9:24:01 AM,C,9.579
9/22/25, 9:34:01 AM,C,11.084
9/22/25, 9:44:01 AM,C,12.087
9/22/25, 9:54:01 AM,C,12.589
9/22/25, 10:04:01 AM,C,13.09
9/22/25, 10:14:01 AM,C,14.093
9/22/25, 10:24:01 AM,C,14.594
9/22/25, 10:34:01 AM,C,16.599
9/22/25, 10:44:01 AM,C,18.602
9/22/25, 10:54:01 AM,C,19.604
9/22/25, 11:04:01 AM,C,17.601
9/22/25, 11:14:01 AM,C,18.602
9/22/25, 11:24:01 AM,C,21.105
9/22/25, 11:34:01 AM,C,22.607
9/22/25, 11:44:01 AM,C,21.105
9/22/25, 11:54:01 AM,C,21.105
9/22/25, 12:04:01 PM,C,20.605
9/22/25, 12:14:01 PM,C,22.607
9/22/25, 12:24:01 PM,C,23.607
9/22/25, 12:34:01 PM,C,23.107
9/22/25, 12:44:01 PM,C,23.607
