1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 51000000817AC641
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Wed Jun 25 12:44:01 PDT 2025
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Jun 29 22:34:01 PDT 2025
Total Mission Samples:  4731
Total Device Samples:  12070
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/29/25, 10:34:01 PM,C,12.604
6/29/25, 10:44:01 PM,C,12.102
6/29/25, 10:54:01 PM,C,12.102
6/29/25, 11:04:01 PM,C,11.6
6/29/25, 11:14:01 PM,C,11.098
6/29/25, 11:24:01 PM,C,11.098
6/29/25, 11:34:01 PM,C,11.6
6/29/25, 11:44:01 PM,C,11.098
6/29/25, 11:54:01 PM,C,11.098
6/30/25, 12:04:01 AM,C,11.098
6/30/25, 12:14:01 AM,C,11.098
6/30/25, 12:24:01 AM,C,10.596
6/30/25, 12:34:01 AM,C,10.596
6/30/25, 12:44:01 AM,C,10.094
6/30/25, 12:54:01 AM,C,10.094
6/30/25, 1:04:01 AM,C,10.094
6/30/25, 1:14:01 AM,C,9.592
6/30/25, 1:24:01 AM,C,9.089
6/30/25, 1:34:01 AM,C,9.089
6/30/25, 1:44:01 AM,C,9.089
6/30/25, 1:54:01 AM,C,9.089
6/30/25, 2:04:01 AM,C,8.587
6/30/25, 2:14:01 AM,C,8.587
6/30/25, 2:24:01 AM,C,8.084
6/30/25, 2:34:01 AM,C,8.084
6/30/25, 2:44:01 AM,C,8.084
6/30/25, 2:54:01 AM,C,7.582
6/30/25, 3:04:01 AM,C,8.084
6/30/25, 3:14:01 AM,C,8.084
6/30/25, 3:24:01 AM,C,7.582
6/30/25, 3:34:01 AM,C,8.084
6/30/25, 3:44:01 AM,C,8.084
6/30/25, 3:54:01 AM,C,8.084
6/30/25, 4:04:01 AM,C,8.084
6/30/25, 4:14:01 AM,C,8.084
6/30/25, 4:24:01 AM,C,7.079
6/30/25, 4:34:01 AM,C,7.079
6/30/25, 4:44:01 AM,C,7.079
6/30/25, 4:54:01 AM,C,7.079
6/30/25, 5:04:01 AM,C,7.079
6/30/25, 5:14:01 AM,C,7.079
6/30/25, 5:24:01 AM,C,7.079
6/30/25, 5:34:01 AM,C,7.079
