1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 51000000817AC641
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Mon Oct 20 14:36:01 PDT 2025
Mission Sample Count:  2191
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Mon Oct 20 14:36:01 PDT 2025
Total Mission Samples:  2191
Total Device Samples:  26392
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/20/25, 2:36:01 PM,%RH,37.06
10/20/25, 2:46:01 PM,%RH,44.616
10/20/25, 2:56:01 PM,%RH,42.602
10/20/25, 3:06:01 PM,%RH,41.226
10/20/25, 3:16:01 PM,%RH,43.249
10/20/25, 3:26:01 PM,%RH,43.896
10/20/25, 3:36:01 PM,%RH,44.579
10/20/25, 3:46:01 PM,%RH,43.86
10/20/25, 3:56:01 PM,%RH,44.544
10/20/25, 4:06:01 PM,%RH,44.283
10/20/25, 4:16:01 PM,%RH,49.421
10/20/25, 4:26:01 PM,%RH,45.539
10/20/25, 4:36:01 PM,%RH,46.126
10/20/25, 4:46:01 PM,%RH,46.126
10/20/25, 4:56:01 PM,%RH,50.504
10/20/25, 5:06:01 PM,%RH,53.098
10/20/25, 5:16:01 PM,%RH,67.299
10/20/25, 5:26:01 PM,%RH,69.049
10/20/25, 5:36:01 PM,%RH,70.123
10/20/25, 5:46:01 PM,%RH,73.575
10/20/25, 5:56:01 PM,%RH,76.452
10/20/25, 6:06:01 PM,%RH,78.717
10/20/25, 6:16:01 PM,%RH,80.909
10/20/25, 6:26:01 PM,%RH,82.566
10/20/25, 6:36:01 PM,%RH,83.695
10/20/25, 6:46:01 PM,%RH,83.607
10/20/25, 6:56:01 PM,%RH,85.29
10/20/25, 7:06:01 PM,%RH,85.808
10/20/25, 7:16:01 PM,%RH,86.326
10/20/25, 7:26:01 PM,%RH,86.882
10/20/25, 7:36:01 PM,%RH,87.952
