1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 53000000817C8341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Mon Jul 28 09:23:01 PDT 2025
Mission Sample Count:  3747
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Mon Jul 28 09:23:01 PDT 2025
Total Mission Samples:  3747
Total Device Samples:  15833
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
7/28/25, 9:23:01 AM,%RH,39.533
7/28/25, 9:33:01 AM,%RH,31.889
7/28/25, 9:43:01 AM,%RH,27.645
7/28/25, 9:53:01 AM,%RH,28.453
7/28/25, 10:03:01 AM,%RH,20.699
7/28/25, 10:13:01 AM,%RH,24.98
7/28/25, 10:23:01 AM,%RH,22.9
7/28/25, 10:33:01 AM,%RH,20.753
7/28/25, 10:43:01 AM,%RH,24.927
7/28/25, 10:53:01 AM,%RH,23.56
7/28/25, 11:03:01 AM,%RH,23.613
7/28/25, 11:13:01 AM,%RH,23.061
7/28/25, 11:23:01 AM,%RH,24.431
7/28/25, 11:33:01 AM,%RH,25.034
7/28/25, 11:43:01 AM,%RH,25.849
7/28/25, 11:53:01 AM,%RH,27.857
7/28/25, 12:03:01 PM,%RH,27.261
7/28/25, 12:13:01 PM,%RH,24.431
7/28/25, 12:23:01 PM,%RH,24.7
7/28/25, 12:33:01 PM,%RH,23.061
7/28/25, 12:43:01 PM,%RH,26.01
7/28/25, 12:53:01 PM,%RH,23.989
7/28/25, 1:03:01 PM,%RH,24.097
7/28/25, 1:13:01 PM,%RH,27.698
7/28/25, 1:23:01 PM,%RH,22.454
7/28/25, 1:33:01 PM,%RH,23.222
7/28/25, 1:43:01 PM,%RH,22.005
7/28/25, 1:53:01 PM,%RH,20.567
7/28/25, 2:03:01 PM,%RH,21.791
7/28/25, 2:13:01 PM,%RH,21.845
7/28/25, 2:23:01 PM,%RH,21.845
7/28/25, 2:33:01 PM,%RH,25.519
7/28/25, 2:43:01 PM,%RH,21.234
7/28/25, 2:53:01 PM,%RH,20.354
7/28/25, 3:03:01 PM,%RH,18.241
