1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 53000000817C8341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Sat Aug 23 09:51:01 PDT 2025
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sat Aug 23 23:11:01 PDT 2025
Total Mission Samples:  4176
Total Device Samples:  20009
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
8/23/25, 11:11:01 PM,%RH,86.717
8/23/25, 11:21:01 PM,%RH,87.265
8/23/25, 11:31:01 PM,%RH,87.265
8/23/25, 11:41:01 PM,%RH,86.168
8/23/25, 11:51:01 PM,%RH,87.265
8/24/25, 12:01:01 AM,%RH,88.825
8/24/25, 12:11:01 AM,%RH,90.375
8/24/25, 12:21:01 AM,%RH,90.912
8/24/25, 12:31:01 AM,%RH,90.306
8/24/25, 12:41:01 AM,%RH,91.847
8/24/25, 12:51:01 AM,%RH,93.44
8/24/25, 1:01:01 AM,%RH,92.379
8/24/25, 1:11:01 AM,%RH,92.91
8/24/25, 1:21:01 AM,%RH,93.506
8/24/25, 1:31:01 AM,%RH,92.446
8/24/25, 1:41:01 AM,%RH,91.379
8/24/25, 1:51:01 AM,%RH,92.91
8/24/25, 2:01:01 AM,%RH,93.44
8/24/25, 2:11:01 AM,%RH,93.44
8/24/25, 2:21:01 AM,%RH,92.91
8/24/25, 2:31:01 AM,%RH,94.431
8/24/25, 2:41:01 AM,%RH,94.431
8/24/25, 2:51:01 AM,%RH,93.968
8/24/25, 3:01:01 AM,%RH,95.544
8/24/25, 3:11:01 AM,%RH,95.02
8/24/25, 3:21:01 AM,%RH,95.544
8/24/25, 3:31:01 AM,%RH,93.968
8/24/25, 3:41:01 AM,%RH,95.02
8/24/25, 3:51:01 AM,%RH,95.544
8/24/25, 4:01:01 AM,%RH,95.48
8/24/25, 4:11:01 AM,%RH,96.002
8/24/25, 4:21:01 AM,%RH,96.523
8/24/25, 4:31:01 AM,%RH,96.462
8/24/25, 4:41:01 AM,%RH,98.016
8/24/25, 4:51:01 AM,%RH,96.462
8/24/25, 5:01:01 AM,%RH,96.981
8/24/25, 5:11:01 AM,%RH,96.923
8/24/25, 5:21:01 AM,%RH,97.957
8/24/25, 5:31:01 AM,%RH,97.901
8/24/25, 5:41:01 AM,%RH,99.952
8/24/25, 5:51:01 AM,%RH,98.363
8/24/25, 6:01:01 AM,%RH,98.416
8/24/25, 6:11:01 AM,%RH,98.877
8/24/25, 6:21:01 AM,%RH,99.389
8/24/25, 6:31:01 AM,%RH,99.952
8/24/25, 6:41:01 AM,%RH,99.389
8/24/25, 6:51:01 AM,%RH,99.442
8/24/25, 7:01:01 AM,%RH,97.441
8/24/25, 7:11:01 AM,%RH,86.717
8/24/25, 7:21:01 AM,%RH,84.921
8/24/25, 7:31:01 AM,%RH,87.666
8/24/25, 7:41:01 AM,%RH,88.211
8/24/25, 7:51:01 AM,%RH,82.434
