1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 53000000817C8341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Sun Sep 21 09:48:01 PDT 2025
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Sep 22 04:28:01 PDT 2025
Total Mission Samples:  4208
Total Device Samples:  24217
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
9/22/25, 4:28:01 AM,C,0.541
9/22/25, 4:38:01 AM,C,0.541
9/22/25, 4:48:01 AM,C,0.541
9/22/25, 4:58:01 AM,C,0.541
9/22/25, 5:08:01 AM,C,0.541
9/22/25, 5:18:01 AM,C,0.039
9/22/25, 5:28:01 AM,C,0.039
9/22/25, 5:38:01 AM,C,0.039
9/22/25, 5:48:01 AM,C,0.039
9/22/25, 5:58:01 AM,C,0.039
9/22/25, 6:08:01 AM,C,0.039
9/22/25, 6:18:01 AM,C,-0.464
9/22/25, 6:28:01 AM,C,-0.464
9/22/25, 6:38:01 AM,C,-0.464
9/22/25, 6:48:01 AM,C,-0.464
9/22/25, 6:58:01 AM,C,-0.464
9/22/25, 7:08:01 AM,C,0.039
9/22/25, 7:18:01 AM,C,0.039
9/22/25, 7:28:01 AM,C,0.039
9/22/25, 7:38:01 AM,C,1.545
9/22/25, 7:48:01 AM,C,2.55
9/22/25, 7:58:01 AM,C,4.056
9/22/25, 8:08:01 AM,C,7.067
9/22/25, 8:18:01 AM,C,10.077
9/22/25, 8:28:01 AM,C,11.08
9/22/25, 8:38:01 AM,C,10.579
9/22/25, 8:48:01 AM,C,10.077
9/22/25, 8:58:01 AM,C,10.579
9/22/25, 9:08:01 AM,C,11.08
9/22/25, 9:18:01 AM,C,12.083
9/22/25, 9:28:01 AM,C,13.586
9/22/25, 9:38:01 AM,C,14.088
9/22/25, 9:48:01 AM,C,14.589
9/22/25, 9:58:01 AM,C,15.09
9/22/25, 10:08:01 AM,C,15.591
9/22/25, 10:18:01 AM,C,16.092
9/22/25, 10:28:01 AM,C,16.593
9/22/25, 10:38:01 AM,C,17.594
