1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 2D0000008170B541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Wed Jun 18 13:34:01 PDT 2025
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Jun 29 04:34:01 PDT 2025
Total Mission Samples:  5626
Total Device Samples:  12225
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/29/25, 4:34:01 AM,%RH,97.09
6/29/25, 4:44:01 AM,%RH,97.606
6/29/25, 4:54:01 AM,%RH,97.606
6/29/25, 5:04:01 AM,%RH,99.146
6/29/25, 5:14:01 AM,%RH,98.121
6/29/25, 5:24:01 AM,%RH,99.146
6/29/25, 5:34:01 AM,%RH,99.146
6/29/25, 5:44:01 AM,%RH,98.634
6/29/25, 5:54:01 AM,%RH,97.606
6/29/25, 6:04:01 AM,%RH,99.146
6/29/25, 6:14:01 AM,%RH,99.656
6/29/25, 6:24:01 AM,%RH,98.663
6/29/25, 6:34:01 AM,%RH,97.151
6/29/25, 6:44:01 AM,%RH,98.181
6/29/25, 6:54:01 AM,%RH,98.214
6/29/25, 7:04:01 AM,%RH,97.737
6/29/25, 7:14:01 AM,%RH,96.268
6/29/25, 7:24:01 AM,%RH,95.319
6/29/25, 7:34:01 AM,%RH,95.889
6/29/25, 7:44:01 AM,%RH,95.474
6/29/25, 7:54:01 AM,%RH,94.021
6/29/25, 8:04:01 AM,%RH,92.629
6/29/25, 8:14:01 AM,%RH,90.1
6/29/25, 8:24:01 AM,%RH,88.163
6/29/25, 8:34:01 AM,%RH,86.054
6/29/25, 8:44:01 AM,%RH,85.646
6/29/25, 8:54:01 AM,%RH,82.8
6/29/25, 9:04:01 AM,%RH,78.178
6/29/25, 9:14:01 AM,%RH,69.246
6/29/25, 9:24:01 AM,%RH,67.463
6/29/25, 9:34:01 AM,%RH,58.184
6/29/25, 9:44:01 AM,%RH,43.542
6/29/25, 9:54:01 AM,%RH,41.781
6/29/25, 10:04:01 AM,%RH,42.565
6/29/25, 10:14:01 AM,%RH,39.8
6/29/25, 10:24:01 AM,%RH,38.382
6/29/25, 10:34:01 AM,%RH,36.431
6/29/25, 10:44:01 AM,%RH,35.742
6/29/25, 10:54:01 AM,%RH,36.486
6/29/25, 11:04:01 AM,%RH,34.468
6/29/25, 11:14:01 AM,%RH,37.174
6/29/25, 11:24:01 AM,%RH,39.173
6/29/25, 11:34:01 AM,%RH,31.847
6/29/25, 11:44:01 AM,%RH,36.597
6/29/25, 11:54:01 AM,%RH,31.903
6/29/25, 12:04:01 PM,%RH,31.146
6/29/25, 12:14:01 PM,%RH,36.767
6/29/25, 12:24:01 PM,%RH,33.301
6/29/25, 12:34:01 PM,%RH,33.358
6/29/25, 12:44:01 PM,%RH,31.429
6/29/25, 12:54:01 PM,%RH,30.612
6/29/25, 1:04:01 PM,%RH,27.672
6/29/25, 1:14:01 PM,%RH,27.072
6/29/25, 1:24:01 PM,%RH,35.501
6/29/25, 1:34:01 PM,%RH,34.865
6/29/25, 1:44:01 PM,%RH,29.089
6/29/25, 1:54:01 PM,%RH,28.326
6/29/25, 2:04:01 PM,%RH,32.968
6/29/25, 2:14:01 PM,%RH,42.921
6/29/25, 2:24:01 PM,%RH,33.61
