1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 2D0000008170B541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Fri Aug 22 15:38:01 PDT 2025
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sat Aug 23 05:28:01 PDT 2025
Total Mission Samples:  4179
Total Device Samples:  20152
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
8/23/25, 5:28:01 AM,%RH,87.816
8/23/25, 5:38:01 AM,%RH,88.9
8/23/25, 5:48:01 AM,%RH,88.9
8/23/25, 5:58:01 AM,%RH,89.439
8/23/25, 6:08:01 AM,%RH,90.514
8/23/25, 6:18:01 AM,%RH,89.978
8/23/25, 6:28:01 AM,%RH,90.514
8/23/25, 6:38:01 AM,%RH,90.514
8/23/25, 6:48:01 AM,%RH,91.049
8/23/25, 6:58:01 AM,%RH,92.644
8/23/25, 7:08:01 AM,%RH,91.631
8/23/25, 7:18:01 AM,%RH,90.078
8/23/25, 7:28:01 AM,%RH,89.54
8/23/25, 7:38:01 AM,%RH,88.57
8/23/25, 7:48:01 AM,%RH,82.278
8/23/25, 7:58:01 AM,%RH,82.77
8/23/25, 8:08:01 AM,%RH,86.091
8/23/25, 8:18:01 AM,%RH,87.321
8/23/25, 8:28:01 AM,%RH,85.271
8/23/25, 8:38:01 AM,%RH,82.164
8/23/25, 8:48:01 AM,%RH,82.217
8/23/25, 8:58:01 AM,%RH,78.178
8/23/25, 9:08:01 AM,%RH,79.349
8/23/25, 9:18:01 AM,%RH,77.038
8/23/25, 9:28:01 AM,%RH,72.923
8/23/25, 9:38:01 AM,%RH,72.923
8/23/25, 9:48:01 AM,%RH,65.126
8/23/25, 9:58:01 AM,%RH,57.245
8/23/25, 10:08:01 AM,%RH,47.592
8/23/25, 10:18:01 AM,%RH,37.86
8/23/25, 10:28:01 AM,%RH,29.795
8/23/25, 10:38:01 AM,%RH,34.579
8/23/25, 10:48:01 AM,%RH,26.962
8/23/25, 10:58:01 AM,%RH,30.499
8/23/25, 11:08:01 AM,%RH,30.444
8/23/25, 11:18:01 AM,%RH,31.258
8/23/25, 11:28:01 AM,%RH,32.603
8/23/25, 11:38:01 AM,%RH,31.258
8/23/25, 11:48:01 AM,%RH,30.668
8/23/25, 11:58:01 AM,%RH,27.839
8/23/25, 12:08:01 PM,%RH,30.84
8/23/25, 12:18:01 PM,%RH,25.755
8/23/25, 12:28:01 PM,%RH,28.718
8/23/25, 12:38:01 PM,%RH,27.895
8/23/25, 12:48:01 PM,%RH,23.655
8/23/25, 12:58:01 PM,%RH,27.183
8/23/25, 1:08:01 PM,%RH,24.375
8/23/25, 1:18:01 PM,%RH,28.108
8/23/25, 1:28:01 PM,%RH,34.997
8/23/25, 1:38:01 PM,%RH,25.093
8/23/25, 1:48:01 PM,%RH,27.239
8/23/25, 1:58:01 PM,%RH,22.772
8/23/25, 2:08:01 PM,%RH,25.372
8/23/25, 2:18:01 PM,%RH,29.034
8/23/25, 2:28:01 PM,%RH,29.574
8/23/25, 2:38:01 PM,%RH,29.52
8/23/25, 2:48:01 PM,%RH,32.11
8/23/25, 2:58:01 PM,%RH,36.01
8/23/25, 3:08:01 PM,%RH,51.209
8/23/25, 3:18:01 PM,%RH,60.123
8/23/25, 3:28:01 PM,%RH,76.491
8/23/25, 3:38:01 PM,%RH,85.71
8/23/25, 3:48:01 PM,%RH,89.07
8/23/25, 3:58:01 PM,%RH,86.853
8/23/25, 4:08:01 PM,%RH,81.782
8/23/25, 4:18:01 PM,%RH,78.914
8/23/25, 4:28:01 PM,%RH,74.826
8/23/25, 4:38:01 PM,%RH,84.661
8/23/25, 4:48:01 PM,%RH,84.12
8/23/25, 4:58:01 PM,%RH,82.438
8/23/25, 5:08:01 PM,%RH,85.875
8/23/25, 5:18:01 PM,%RH,85.312
8/23/25, 5:28:01 PM,%RH,86.941
8/23/25, 5:38:01 PM,%RH,86.916
8/23/25, 5:48:01 PM,%RH,84.661
8/23/25, 5:58:01 PM,%RH,87.432
8/23/25, 6:08:01 PM,%RH,82.866
8/23/25, 6:18:01 PM,%RH,85.681
8/23/25, 6:28:01 PM,%RH,78.213
8/23/25, 6:38:01 PM,%RH,84.547
8/23/25, 6:48:01 PM,%RH,84.547
8/23/25, 6:58:01 PM,%RH,79.381
8/23/25, 7:08:01 PM,%RH,74.669
8/23/25, 7:18:01 PM,%RH,75.244
