1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 2D0000008170B541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Sun Oct 19 16:08:01 PDT 2025
Mission Sample Count:  2327
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sun Oct 19 16:08:01 PDT 2025
Total Mission Samples:  2327
Total Device Samples:  26656
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/19/25, 4:08:01 PM,%RH,39.599
10/19/25, 4:18:01 PM,%RH,56.278
10/19/25, 4:28:01 PM,%RH,64.782
10/19/25, 4:38:01 PM,%RH,68.922
10/19/25, 4:48:01 PM,%RH,67.727
10/19/25, 4:58:01 PM,%RH,65.923
10/19/25, 5:08:01 PM,%RH,72.922
10/19/25, 5:18:01 PM,%RH,78.001
10/19/25, 5:28:01 PM,%RH,80.779
10/19/25, 5:38:01 PM,%RH,83.02
10/19/25, 5:48:01 PM,%RH,84.63
10/19/25, 5:58:01 PM,%RH,85.129
10/19/25, 6:08:01 PM,%RH,82.965
10/19/25, 6:18:01 PM,%RH,85.078
10/19/25, 6:28:01 PM,%RH,83.417
10/19/25, 6:38:01 PM,%RH,87.722
10/19/25, 6:48:01 PM,%RH,89.348
10/19/25, 6:58:01 PM,%RH,91.983
10/19/25, 7:08:01 PM,%RH,91.411
10/19/25, 7:18:01 PM,%RH,93.005
10/19/25, 7:28:01 PM,%RH,93.497
10/19/25, 7:38:01 PM,%RH,94.516
10/19/25, 7:48:01 PM,%RH,95.562
10/19/25, 7:58:01 PM,%RH,95.009
10/19/25, 8:08:01 PM,%RH,94.955
10/19/25, 8:18:01 PM,%RH,96.52
10/19/25, 8:28:01 PM,%RH,97.017
10/19/25, 8:38:01 PM,%RH,97.017
10/19/25, 8:48:01 PM,%RH,97.515
10/19/25, 8:58:01 PM,%RH,98.546
10/19/25, 9:08:01 PM,%RH,98.015
10/19/25, 9:18:01 PM,%RH,98.53
10/19/25, 9:28:01 PM,%RH,98.516
10/19/25, 9:38:01 PM,%RH,99.03
10/19/25, 9:48:01 PM,%RH,99.532
10/19/25, 9:58:01 PM,%RH,99.02
10/19/25, 10:08:01 PM,%RH,99.532
10/19/25, 10:18:01 PM,%RH,100
10/19/25, 10:28:01 PM,%RH,100
10/19/25, 10:38:01 PM,%RH,100
10/19/25, 10:48:01 PM,%RH,100
10/19/25, 10:58:01 PM,%RH,100
10/19/25, 11:08:01 PM,%RH,100
10/19/25, 11:18:01 PM,%RH,100
10/19/25, 11:28:01 PM,%RH,100
10/19/25, 11:38:01 PM,%RH,100
10/19/25, 11:48:01 PM,%RH,100
10/19/25, 11:58:01 PM,%RH,100
10/20/25, 12:08:01 AM,%RH,100
10/20/25, 12:18:01 AM,%RH,100
