1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 37000000817A8841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Sun Jul 27 13:22:01 PDT 2025
Mission Sample Count:  3764
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sun Jul 27 13:22:01 PDT 2025
Total Mission Samples:  3764
Total Device Samples:  16220
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
7/27/25, 1:22:01 PM,%RH,41.973
7/27/25, 1:32:01 PM,%RH,29.327
7/27/25, 1:42:01 PM,%RH,29.165
7/27/25, 1:52:01 PM,%RH,36.33
7/27/25, 2:02:01 PM,%RH,43.007
7/27/25, 2:12:01 PM,%RH,49.482
7/27/25, 2:22:01 PM,%RH,61.328
7/27/25, 2:32:01 PM,%RH,65.013
7/27/25, 2:42:01 PM,%RH,53.181
7/27/25, 2:52:01 PM,%RH,40.958
7/27/25, 3:02:01 PM,%RH,41.683
7/27/25, 3:12:01 PM,%RH,39.913
7/27/25, 3:22:01 PM,%RH,47.528
7/27/25, 3:32:01 PM,%RH,52.883
7/27/25, 3:42:01 PM,%RH,52.106
7/27/25, 3:52:01 PM,%RH,52.063
7/27/25, 4:02:01 PM,%RH,58.402
7/27/25, 4:12:01 PM,%RH,58.362
7/27/25, 4:22:01 PM,%RH,46.874
7/27/25, 4:32:01 PM,%RH,48.271
7/27/25, 4:42:01 PM,%RH,53.982
7/27/25, 4:52:01 PM,%RH,51.979
7/27/25, 5:02:01 PM,%RH,55.132
7/27/25, 5:12:01 PM,%RH,54.497
7/27/25, 5:22:01 PM,%RH,51.899
7/27/25, 5:32:01 PM,%RH,58.84
7/27/25, 5:42:01 PM,%RH,58.213
7/27/25, 5:52:01 PM,%RH,57.551
7/27/25, 6:02:01 PM,%RH,58.146
7/27/25, 6:12:01 PM,%RH,59.367
7/27/25, 6:22:01 PM,%RH,59.398
7/27/25, 6:32:01 PM,%RH,55.656
7/27/25, 6:42:01 PM,%RH,59.367
7/27/25, 6:52:01 PM,%RH,63.648
7/27/25, 7:02:01 PM,%RH,65.438
7/27/25, 7:12:01 PM,%RH,69.636
7/27/25, 7:22:01 PM,%RH,69.398
7/27/25, 7:32:01 PM,%RH,69.902
7/27/25, 7:42:01 PM,%RH,73.372
7/27/25, 7:52:01 PM,%RH,78.794
7/27/25, 8:02:01 PM,%RH,82.51
7/27/25, 8:12:01 PM,%RH,86.69
7/27/25, 8:22:01 PM,%RH,89.209
7/27/25, 8:32:01 PM,%RH,92.272
7/27/25, 8:42:01 PM,%RH,92.729
7/27/25, 8:52:01 PM,%RH,94.718
7/27/25, 9:02:01 PM,%RH,96.737
7/27/25, 9:12:01 PM,%RH,96.183
7/27/25, 9:22:01 PM,%RH,96.737
7/27/25, 9:32:01 PM,%RH,96.685
7/27/25, 9:42:01 PM,%RH,97.637
7/27/25, 9:52:01 PM,%RH,97.59
7/27/25, 10:02:01 PM,%RH,98.134
7/27/25, 10:12:01 PM,%RH,98.088
7/27/25, 10:22:01 PM,%RH,99.036
7/27/25, 10:32:01 PM,%RH,98.995
7/27/25, 10:42:01 PM,%RH,98.995
7/27/25, 10:52:01 PM,%RH,98.956
7/27/25, 11:02:01 PM,%RH,98.956
7/27/25, 11:12:01 PM,%RH,99.415
7/27/25, 11:22:01 PM,%RH,99.874
7/27/25, 11:32:01 PM,%RH,100
7/27/25, 11:42:01 PM,%RH,100
7/27/25, 11:52:01 PM,%RH,99.844
7/28/25, 12:02:01 AM,%RH,99.323
7/28/25, 12:12:01 AM,%RH,100
7/28/25, 12:22:01 AM,%RH,100
7/28/25, 12:32:01 AM,%RH,100
7/28/25, 12:42:01 AM,%RH,100
7/28/25, 12:52:01 AM,%RH,100
7/28/25, 1:02:01 AM,%RH,100
7/28/25, 1:12:01 AM,%RH,100
7/28/25, 1:22:01 AM,%RH,100
7/28/25, 1:32:01 AM,%RH,100
7/28/25, 1:42:01 AM,%RH,100
7/28/25, 1:52:01 AM,%RH,100
7/28/25, 2:02:01 AM,%RH,100
7/28/25, 2:12:01 AM,%RH,100
7/28/25, 2:22:01 AM,%RH,100
7/28/25, 2:32:01 AM,%RH,100
7/28/25, 2:42:01 AM,%RH,100
7/28/25, 2:52:01 AM,%RH,100
7/28/25, 3:02:01 AM,%RH,100
7/28/25, 3:12:01 AM,%RH,100
7/28/25, 3:22:01 AM,%RH,100
7/28/25, 3:32:01 AM,%RH,100
7/28/25, 3:42:01 AM,%RH,100
7/28/25, 3:52:01 AM,%RH,100
7/28/25, 4:02:01 AM,%RH,100
7/28/25, 4:12:01 AM,%RH,100
7/28/25, 4:22:01 AM,%RH,100
7/28/25, 4:32:01 AM,%RH,100
7/28/25, 4:42:01 AM,%RH,100
7/28/25, 4:52:01 AM,%RH,100
7/28/25, 5:02:01 AM,%RH,100
7/28/25, 5:12:01 AM,%RH,100
7/28/25, 5:22:01 AM,%RH,100
7/28/25, 5:32:01 AM,%RH,100
7/28/25, 5:42:01 AM,%RH,100
7/28/25, 5:52:01 AM,%RH,100
7/28/25, 6:02:01 AM,%RH,100
7/28/25, 6:12:01 AM,%RH,100
7/28/25, 6:22:01 AM,%RH,100
7/28/25, 6:32:01 AM,%RH,100
7/28/25, 6:42:01 AM,%RH,100
7/28/25, 6:52:01 AM,%RH,100
7/28/25, 7:02:01 AM,%RH,83.697
7/28/25, 7:12:01 AM,%RH,70.55
7/28/25, 7:22:01 AM,%RH,63.236
7/28/25, 7:32:01 AM,%RH,58.609
7/28/25, 7:42:01 AM,%RH,55.494
7/28/25, 7:52:01 AM,%RH,51.75
7/28/25, 8:02:01 AM,%RH,51.178
7/28/25, 8:12:01 AM,%RH,50.003
7/28/25, 8:22:01 AM,%RH,44.856
7/28/25, 8:32:01 AM,%RH,42.96
7/28/25, 8:42:01 AM,%RH,41.723
7/28/25, 8:52:01 AM,%RH,39.713
7/28/25, 9:02:01 AM,%RH,37.161
7/28/25, 9:12:01 AM,%RH,36.482
7/28/25, 9:22:01 AM,%RH,33.8
7/28/25, 9:32:01 AM,%RH,33.217
7/28/25, 9:42:01 AM,%RH,32.581
7/28/25, 9:52:01 AM,%RH,31.305
7/28/25, 10:02:01 AM,%RH,29.97
7/28/25, 10:12:01 AM,%RH,22.158
7/28/25, 10:22:01 AM,%RH,27.874
7/28/25, 10:32:01 AM,%RH,27.064
7/28/25, 10:42:01 AM,%RH,27.118
7/28/25, 10:52:01 AM,%RH,26.468
7/28/25, 11:02:01 AM,%RH,29.219
7/28/25, 11:12:01 AM,%RH,27.766
7/28/25, 11:22:01 AM,%RH,28.574
7/28/25, 11:32:01 AM,%RH,27.28
7/28/25, 11:42:01 AM,%RH,32.797
7/28/25, 11:52:01 AM,%RH,26.576
7/28/25, 12:02:01 PM,%RH,28.036
7/28/25, 12:12:01 PM,%RH,25.925
7/28/25, 12:22:01 PM,%RH,27.172
7/28/25, 12:32:01 PM,%RH,30.189
7/28/25, 12:42:01 PM,%RH,29.657
7/28/25, 12:52:01 PM,%RH,29.112
7/28/25, 1:02:01 PM,%RH,28.256
7/28/25, 1:12:01 PM,%RH,27.82
7/28/25, 1:22:01 PM,%RH,27.609
7/28/25, 1:32:01 PM,%RH,22.48
7/28/25, 1:42:01 PM,%RH,27.665
7/28/25, 1:52:01 PM,%RH,23.356
7/28/25, 2:02:01 PM,%RH,30.3
7/28/25, 2:12:01 PM,%RH,26.198
7/28/25, 2:22:01 PM,%RH,29.714
7/28/25, 2:32:01 PM,%RH,26.088
7/28/25, 2:42:01 PM,%RH,29.436
7/28/25, 2:52:01 PM,%RH,25.326
7/28/25, 3:02:01 PM,%RH,25.217
7/28/25, 3:12:01 PM,%RH,29.165
7/28/25, 3:22:01 PM,%RH,23.21
7/28/25, 3:32:01 PM,%RH,26.641
7/28/25, 3:42:01 PM,%RH,34.916
7/28/25, 3:52:01 PM,%RH,27.942
7/28/25, 4:02:01 PM,%RH,37.494
7/28/25, 4:12:01 PM,%RH,37.494
7/28/25, 4:22:01 PM,%RH,40.194
7/28/25, 4:32:01 PM,%RH,44.768
7/28/25, 4:42:01 PM,%RH,42.778
7/28/25, 4:52:01 PM,%RH,42.068
7/28/25, 5:02:01 PM,%RH,46.66
7/28/25, 5:12:01 PM,%RH,46.003
7/28/25, 5:22:01 PM,%RH,46.003
7/28/25, 5:32:01 PM,%RH,41.312
7/28/25, 5:42:01 PM,%RH,44.683
7/28/25, 5:52:01 PM,%RH,39.969
7/28/25, 6:02:01 PM,%RH,44.601
7/28/25, 6:12:01 PM,%RH,41.897
7/28/25, 6:22:01 PM,%RH,43.232
7/28/25, 6:32:01 PM,%RH,46.466
7/28/25, 6:42:01 PM,%RH,51.002
7/28/25, 6:52:01 PM,%RH,49.018
7/28/25, 7:02:01 PM,%RH,50.321
7/28/25, 7:12:01 PM,%RH,48.364
7/28/25, 7:22:01 PM,%RH,52.262
7/28/25, 7:32:01 PM,%RH,47.018
7/28/25, 7:42:01 PM,%RH,48.331
7/28/25, 7:52:01 PM,%RH,53.492
7/28/25, 8:02:01 PM,%RH,53.341
7/28/25, 8:12:01 PM,%RH,58.303
7/28/25, 8:22:01 PM,%RH,67.63
7/28/25, 8:32:01 PM,%RH,70.353
7/28/25, 8:42:01 PM,%RH,73.684
7/28/25, 8:52:01 PM,%RH,75.954
7/28/25, 9:02:01 PM,%RH,80.858
7/28/25, 9:12:01 PM,%RH,82.994
7/28/25, 9:22:01 PM,%RH,82.994
7/28/25, 9:32:01 PM,%RH,86.714
7/28/25, 9:42:01 PM,%RH,87.73
7/28/25, 9:52:01 PM,%RH,87.156
7/28/25, 10:02:01 PM,%RH,88.744
7/28/25, 10:12:01 PM,%RH,89.754
7/28/25, 10:22:01 PM,%RH,87.687
7/28/25, 10:32:01 PM,%RH,88.216
7/28/25, 10:42:01 PM,%RH,90.761
7/28/25, 10:52:01 PM,%RH,92.831
7/28/25, 11:02:01 PM,%RH,93.345
7/28/25, 11:12:01 PM,%RH,92.316
7/28/25, 11:22:01 PM,%RH,91.764
7/28/25, 11:32:01 PM,%RH,95.32
7/28/25, 11:42:01 PM,%RH,94.812
7/28/25, 11:52:01 PM,%RH,95.798
7/29/25, 12:02:01 AM,%RH,97.307
7/29/25, 12:12:01 AM,%RH,96.781
7/29/25, 12:22:01 AM,%RH,98.282
7/29/25, 12:32:01 AM,%RH,97.283
7/29/25, 12:42:01 AM,%RH,98.282
7/29/25, 12:52:01 AM,%RH,97.762
7/29/25, 1:02:01 AM,%RH,98.758
7/29/25, 1:12:01 AM,%RH,99.748
7/29/25, 1:22:01 AM,%RH,99.254
7/29/25, 1:32:01 AM,%RH,99.236
7/29/25, 1:42:01 AM,%RH,99.236
7/29/25, 1:52:01 AM,%RH,100
7/29/25, 2:02:01 AM,%RH,100
7/29/25, 2:12:01 AM,%RH,100
