1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 37000000817A8841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Fri Aug 22 16:42:01 PDT 2025
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sat Aug 23 04:12:01 PDT 2025
Total Mission Samples:  4165
Total Device Samples:  20387
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
8/23/25, 4:12:01 AM,%RH,38.181
8/23/25, 4:22:01 AM,%RH,97.005
8/23/25, 4:32:01 AM,%RH,96.966
8/23/25, 4:42:01 AM,%RH,97.964
8/23/25, 4:52:01 AM,%RH,98.956
8/23/25, 5:02:01 AM,%RH,97.964
8/23/25, 5:12:01 AM,%RH,98.956
8/23/25, 5:22:01 AM,%RH,99.415
8/23/25, 5:32:01 AM,%RH,99.907
8/23/25, 5:42:01 AM,%RH,99.907
8/23/25, 5:52:01 AM,%RH,99.415
8/23/25, 6:02:01 AM,%RH,99.415
8/23/25, 6:12:01 AM,%RH,100
8/23/25, 6:22:01 AM,%RH,99.907
8/23/25, 6:32:01 AM,%RH,100
8/23/25, 6:42:01 AM,%RH,100
8/23/25, 6:52:01 AM,%RH,99.942
8/23/25, 7:02:01 AM,%RH,97.637
8/23/25, 7:12:01 AM,%RH,86.757
8/23/25, 7:22:01 AM,%RH,69.636
8/23/25, 7:32:01 AM,%RH,59.88
8/23/25, 7:42:01 AM,%RH,59.308
8/23/25, 7:52:01 AM,%RH,52.466
8/23/25, 8:02:01 AM,%RH,48.788
8/23/25, 8:12:01 AM,%RH,47.573
8/23/25, 8:22:01 AM,%RH,45.747
8/23/25, 8:32:01 AM,%RH,51.464
8/23/25, 8:42:01 AM,%RH,40.794
8/23/25, 8:52:01 AM,%RH,35.598
8/23/25, 9:02:01 AM,%RH,32.852
8/23/25, 9:12:01 AM,%RH,34.064
8/23/25, 9:22:01 AM,%RH,37.586
8/23/25, 9:32:01 AM,%RH,34.011
8/23/25, 9:42:01 AM,%RH,41.464
8/23/25, 9:52:01 AM,%RH,30.94
8/23/25, 10:02:01 AM,%RH,29.491
8/23/25, 10:12:01 AM,%RH,31.165
8/23/25, 10:22:01 AM,%RH,30.525
8/23/25, 10:32:01 AM,%RH,25.544
8/23/25, 10:42:01 AM,%RH,26.308
8/23/25, 10:52:01 AM,%RH,28.424
8/23/25, 11:02:01 AM,%RH,25.055
8/23/25, 11:12:01 AM,%RH,26.644
8/23/25, 11:22:01 AM,%RH,25.878
8/23/25, 11:32:01 AM,%RH,25.6
8/23/25, 11:42:01 AM,%RH,22.803
8/23/25, 11:52:01 AM,%RH,20.86
8/23/25, 12:02:01 PM,%RH,23.239
8/23/25, 12:12:01 PM,%RH,21.073
8/23/25, 12:22:01 PM,%RH,19.464
8/23/25, 12:32:01 PM,%RH,21.905
8/23/25, 12:42:01 PM,%RH,19.673
8/23/25, 12:52:01 PM,%RH,21.689
8/23/25, 1:02:01 PM,%RH,21.851
8/23/25, 1:12:01 PM,%RH,19.831
8/23/25, 1:22:01 PM,%RH,34.914
8/23/25, 1:32:01 PM,%RH,23.902
8/23/25, 1:42:01 PM,%RH,22.301
8/23/25, 1:52:01 PM,%RH,22.573
8/23/25, 2:02:01 PM,%RH,29.999
8/23/25, 2:12:01 PM,%RH,30.468
8/23/25, 2:22:01 PM,%RH,24.507
8/23/25, 2:32:01 PM,%RH,21.978
8/23/25, 2:42:01 PM,%RH,24.232
8/23/25, 2:52:01 PM,%RH,31.785
8/23/25, 3:02:01 PM,%RH,36.38
8/23/25, 3:12:01 PM,%RH,45.56
8/23/25, 3:22:01 PM,%RH,53.221
8/23/25, 3:32:01 PM,%RH,78.566
8/23/25, 3:42:01 PM,%RH,83.627
8/23/25, 3:52:01 PM,%RH,83.088
8/23/25, 4:02:01 PM,%RH,83.184
8/23/25, 4:12:01 PM,%RH,77.497
8/23/25, 4:22:01 PM,%RH,77.497
8/23/25, 4:32:01 PM,%RH,73.469
8/23/25, 4:42:01 PM,%RH,76.407
8/23/25, 4:52:01 PM,%RH,77.626
8/23/25, 5:02:01 PM,%RH,71.889
8/23/25, 5:12:01 PM,%RH,66.519
8/23/25, 5:22:01 PM,%RH,72.438
8/23/25, 5:32:01 PM,%RH,78.769
8/23/25, 5:42:01 PM,%RH,78.164
8/23/25, 5:52:01 PM,%RH,69.331
8/23/25, 6:02:01 PM,%RH,60.157
8/23/25, 6:12:01 PM,%RH,65.621
8/23/25, 6:22:01 PM,%RH,72.152
8/23/25, 6:32:01 PM,%RH,63.73
8/23/25, 6:42:01 PM,%RH,62.531
8/23/25, 6:52:01 PM,%RH,59.431
8/23/25, 7:02:01 PM,%RH,57.551
8/23/25, 7:12:01 PM,%RH,59.431
8/23/25, 7:22:01 PM,%RH,67.352
8/23/25, 7:32:01 PM,%RH,73.853
8/23/25, 7:42:01 PM,%RH,75.588
8/23/25, 7:52:01 PM,%RH,77.326
8/23/25, 8:02:01 PM,%RH,81.865
8/23/25, 8:12:01 PM,%RH,84.058
8/23/25, 8:22:01 PM,%RH,85.679
8/23/25, 8:32:01 PM,%RH,88.717
8/23/25, 8:42:01 PM,%RH,88.717
8/23/25, 8:52:01 PM,%RH,92.813
8/23/25, 9:02:01 PM,%RH,93.84
8/23/25, 9:12:01 PM,%RH,93.252
8/23/25, 9:22:01 PM,%RH,95.293
8/23/25, 9:32:01 PM,%RH,94.785
8/23/25, 9:42:01 PM,%RH,94.785
8/23/25, 9:52:01 PM,%RH,94.785
8/23/25, 10:02:01 PM,%RH,94.785
8/23/25, 10:12:01 PM,%RH,94.785
8/23/25, 10:22:01 PM,%RH,94.785
8/23/25, 10:32:01 PM,%RH,95.22
8/23/25, 10:42:01 PM,%RH,95.656
8/23/25, 10:52:01 PM,%RH,95.656
8/23/25, 11:02:01 PM,%RH,97.165
8/23/25, 11:12:01 PM,%RH,96.595
8/23/25, 11:22:01 PM,%RH,97.665
8/23/25, 11:32:01 PM,%RH,97.165
8/23/25, 11:42:01 PM,%RH,97.097
8/23/25, 11:52:01 PM,%RH,98.164
8/24/25, 12:02:01 AM,%RH,96.092
8/24/25, 12:12:01 AM,%RH,98.029
8/24/25, 12:22:01 AM,%RH,96.967
8/24/25, 12:32:01 AM,%RH,97.905
8/24/25, 12:42:01 AM,%RH,97.406
8/24/25, 12:52:01 AM,%RH,98.343
8/24/25, 1:02:01 AM,%RH,98.839
8/24/25, 1:12:01 AM,%RH,99.391
8/24/25, 1:22:01 AM,%RH,99.944
8/24/25, 1:32:01 AM,%RH,99.391
8/24/25, 1:42:01 AM,%RH,100
8/24/25, 1:52:01 AM,%RH,100
8/24/25, 2:02:01 AM,%RH,98.897
