1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 6C000000817CCE41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Sun Jul 27 14:24:01 PDT 2025
Mission Sample Count:  3756
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sun Jul 27 14:24:01 PDT 2025
Total Mission Samples:  3756
Total Device Samples:  15962
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
7/27/25, 2:24:01 PM,%RH,56.96
7/27/25, 2:34:01 PM,%RH,51.074
7/27/25, 2:44:01 PM,%RH,43.849
7/27/25, 2:54:01 PM,%RH,35.875
7/27/25, 3:04:01 PM,%RH,35.764
7/27/25, 3:14:01 PM,%RH,41.368
7/27/25, 3:24:01 PM,%RH,42.454
7/27/25, 3:34:01 PM,%RH,38.448
7/27/25, 3:44:01 PM,%RH,36.078
7/27/25, 3:54:01 PM,%RH,38.182
7/27/25, 4:04:01 PM,%RH,36.397
7/27/25, 4:14:01 PM,%RH,37.712
7/27/25, 4:24:01 PM,%RH,31.662
7/27/25, 4:34:01 PM,%RH,31.717
7/27/25, 4:44:01 PM,%RH,36.288
7/27/25, 4:54:01 PM,%RH,32.25
7/27/25, 5:04:01 PM,%RH,33.531
7/27/25, 5:14:01 PM,%RH,33.531
7/27/25, 5:24:01 PM,%RH,36.815
7/27/25, 5:34:01 PM,%RH,36.13
7/27/25, 5:44:01 PM,%RH,35.443
7/27/25, 5:54:01 PM,%RH,37.396
7/27/25, 6:04:01 PM,%RH,38.709
7/27/25, 6:14:01 PM,%RH,40.066
7/27/25, 6:24:01 PM,%RH,40.066
7/27/25, 6:34:01 PM,%RH,39.389
7/27/25, 6:44:01 PM,%RH,42.616
7/27/25, 6:54:01 PM,%RH,39.968
7/27/25, 7:04:01 PM,%RH,39.289
7/27/25, 7:14:01 PM,%RH,48.373
7/27/25, 7:24:01 PM,%RH,48.91
7/27/25, 7:34:01 PM,%RH,48.91
7/27/25, 7:44:01 PM,%RH,61.544
7/27/25, 7:54:01 PM,%RH,69.767
7/27/25, 8:04:01 PM,%RH,74.945
7/27/25, 8:14:01 PM,%RH,79.359
7/27/25, 8:24:01 PM,%RH,79.288
7/27/25, 8:34:01 PM,%RH,82.019
7/27/25, 8:44:01 PM,%RH,83.68
7/27/25, 8:54:01 PM,%RH,85.807
7/27/25, 9:04:01 PM,%RH,88.922
7/27/25, 9:14:01 PM,%RH,88.922
7/27/25, 9:24:01 PM,%RH,90.993
7/27/25, 9:34:01 PM,%RH,92.575
7/27/25, 9:44:01 PM,%RH,93.51
7/27/25, 9:54:01 PM,%RH,94.031
7/27/25, 10:04:01 PM,%RH,95.017
7/27/25, 10:14:01 PM,%RH,94.551
7/27/25, 10:24:01 PM,%RH,91.884
7/27/25, 10:34:01 PM,%RH,94.967
7/27/25, 10:44:01 PM,%RH,95.437
7/27/25, 10:54:01 PM,%RH,96.466
7/27/25, 11:04:01 PM,%RH,96.466
7/27/25, 11:14:01 PM,%RH,96.422
7/27/25, 11:24:01 PM,%RH,96.893
7/27/25, 11:34:01 PM,%RH,97.913
7/27/25, 11:44:01 PM,%RH,98.383
7/27/25, 11:54:01 PM,%RH,98.889
7/28/25, 12:04:01 AM,%RH,99.862
7/28/25, 12:14:01 AM,%RH,99.829
7/28/25, 12:24:01 AM,%RH,100
7/28/25, 12:34:01 AM,%RH,100
7/28/25, 12:44:01 AM,%RH,100
7/28/25, 12:54:01 AM,%RH,100
7/28/25, 1:04:01 AM,%RH,100
7/28/25, 1:14:01 AM,%RH,99.799
7/28/25, 1:24:01 AM,%RH,100
7/28/25, 1:34:01 AM,%RH,100
7/28/25, 1:44:01 AM,%RH,100
7/28/25, 1:54:01 AM,%RH,100
7/28/25, 2:04:01 AM,%RH,100
7/28/25, 2:14:01 AM,%RH,100
7/28/25, 2:24:01 AM,%RH,100
7/28/25, 2:34:01 AM,%RH,100
7/28/25, 2:44:01 AM,%RH,100
7/28/25, 2:54:01 AM,%RH,100
7/28/25, 3:04:01 AM,%RH,100
7/28/25, 3:14:01 AM,%RH,100
7/28/25, 3:24:01 AM,%RH,100
7/28/25, 3:34:01 AM,%RH,100
7/28/25, 3:44:01 AM,%RH,100
7/28/25, 3:54:01 AM,%RH,100
7/28/25, 4:04:01 AM,%RH,100
7/28/25, 4:14:01 AM,%RH,100
7/28/25, 4:24:01 AM,%RH,100
7/28/25, 4:34:01 AM,%RH,100
7/28/25, 4:44:01 AM,%RH,100
7/28/25, 4:54:01 AM,%RH,100
7/28/25, 5:04:01 AM,%RH,100
7/28/25, 5:14:01 AM,%RH,100
7/28/25, 5:24:01 AM,%RH,100
7/28/25, 5:34:01 AM,%RH,100
7/28/25, 5:44:01 AM,%RH,100
7/28/25, 5:54:01 AM,%RH,100
