1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 6C000000817CCE41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Sat Sep 20 15:19:01 PDT 2025
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Sep 21 06:29:01 PDT 2025
Total Mission Samples:  4187
Total Device Samples:  24320
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
9/21/25, 6:29:01 AM,%RH,100
9/21/25, 6:39:01 AM,%RH,100
9/21/25, 6:49:01 AM,%RH,100
9/21/25, 6:59:01 AM,%RH,100
9/21/25, 7:09:01 AM,%RH,100
9/21/25, 7:19:01 AM,%RH,100
9/21/25, 7:29:01 AM,%RH,100
9/21/25, 7:39:01 AM,%RH,100
9/21/25, 7:49:01 AM,%RH,100
9/21/25, 7:59:01 AM,%RH,100
9/21/25, 8:09:01 AM,%RH,100
9/21/25, 8:19:01 AM,%RH,100
9/21/25, 8:29:01 AM,%RH,100
9/21/25, 8:39:01 AM,%RH,86.864
9/21/25, 8:49:01 AM,%RH,71.42
9/21/25, 8:59:01 AM,%RH,62.982
9/21/25, 9:09:01 AM,%RH,59.289
9/21/25, 9:19:01 AM,%RH,56.191
9/21/25, 9:29:01 AM,%RH,54.309
9/21/25, 9:39:01 AM,%RH,53.02
9/21/25, 9:49:01 AM,%RH,49.202
9/21/25, 9:59:01 AM,%RH,50.913
9/21/25, 10:09:01 AM,%RH,51.074
9/21/25, 10:19:01 AM,%RH,40.693
9/21/25, 10:29:01 AM,%RH,49.685
9/21/25, 10:39:01 AM,%RH,36.078
9/21/25, 10:49:01 AM,%RH,38.659
9/21/25, 10:59:01 AM,%RH,37.099
9/21/25, 11:09:01 AM,%RH,36.764
9/21/25, 11:19:01 AM,%RH,32.784
9/21/25, 11:29:01 AM,%RH,30.048
9/21/25, 11:39:01 AM,%RH,33.757
9/21/25, 11:49:01 AM,%RH,36.462
9/21/25, 11:59:01 AM,%RH,37.147
9/21/25, 12:09:01 PM,%RH,38.417
9/21/25, 12:19:01 PM,%RH,44.27
9/21/25, 12:29:01 PM,%RH,42.972
9/21/25, 12:39:01 PM,%RH,43.685
9/21/25, 12:49:01 PM,%RH,41.714
9/21/25, 12:59:01 PM,%RH,39.639
9/21/25, 1:09:01 PM,%RH,31.182
9/21/25, 1:19:01 PM,%RH,29.134
9/21/25, 1:29:01 PM,%RH,28.926
9/21/25, 1:39:01 PM,%RH,29.576
9/21/25, 1:49:01 PM,%RH,36.318
9/21/25, 1:59:01 PM,%RH,23.624
9/21/25, 2:09:01 PM,%RH,28.59
9/21/25, 2:19:01 PM,%RH,30.431
9/21/25, 2:29:01 PM,%RH,29.888
9/21/25, 2:39:01 PM,%RH,35.536
9/21/25, 2:49:01 PM,%RH,39.098
9/21/25, 2:59:01 PM,%RH,33.657
9/21/25, 3:09:01 PM,%RH,39.73
9/21/25, 3:19:01 PM,%RH,30.747
9/21/25, 3:29:01 PM,%RH,29.24
9/21/25, 3:39:01 PM,%RH,27.179
9/21/25, 3:49:01 PM,%RH,28.378
9/21/25, 3:59:01 PM,%RH,34.894
9/21/25, 4:09:01 PM,%RH,33.064
9/21/25, 4:19:01 PM,%RH,33.757
9/21/25, 4:29:01 PM,%RH,33.216
9/21/25, 4:39:01 PM,%RH,34.548
9/21/25, 4:49:01 PM,%RH,39.051
9/21/25, 4:59:01 PM,%RH,38.417
9/21/25, 5:09:01 PM,%RH,42.972
9/21/25, 5:19:01 PM,%RH,46.268
9/21/25, 5:29:01 PM,%RH,46.971
9/21/25, 5:39:01 PM,%RH,46.268
9/21/25, 5:49:01 PM,%RH,49.528
9/21/25, 5:59:01 PM,%RH,54.014
9/21/25, 6:09:01 PM,%RH,54.659
9/21/25, 6:19:01 PM,%RH,58.436
9/21/25, 6:29:01 PM,%RH,63.934
9/21/25, 6:39:01 PM,%RH,69.175
9/21/25, 6:49:01 PM,%RH,74.219
9/21/25, 6:59:01 PM,%RH,78.087
9/21/25, 7:09:01 PM,%RH,82.507
9/21/25, 7:19:01 PM,%RH,84.585
9/21/25, 7:29:01 PM,%RH,85.618
9/21/25, 7:39:01 PM,%RH,88.325
9/21/25, 7:49:01 PM,%RH,90.936
