1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 2C000000817ACA41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Sun Jul 27 15:05:01 PDT 2025
Mission Sample Count:  3748
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sun Jul 27 15:05:01 PDT 2025
Total Mission Samples:  3748
Total Device Samples:  16704
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
7/27/25, 3:05:01 PM,%RH,31.953
7/27/25, 3:15:01 PM,%RH,44.624
7/27/25, 3:25:01 PM,%RH,48.786
7/27/25, 3:35:01 PM,%RH,42.665
7/27/25, 3:45:01 PM,%RH,48.065
7/27/25, 3:55:01 PM,%RH,39.572
7/27/25, 4:05:01 PM,%RH,33.348
7/27/25, 4:15:01 PM,%RH,40.798
7/27/25, 4:25:01 PM,%RH,36.151
7/27/25, 4:35:01 PM,%RH,40.649
7/27/25, 4:45:01 PM,%RH,41.242
7/27/25, 4:55:01 PM,%RH,42.571
7/27/25, 5:05:01 PM,%RH,43.211
7/27/25, 5:15:01 PM,%RH,44.624
7/27/25, 5:25:01 PM,%RH,45.306
7/27/25, 5:35:01 PM,%RH,45.261
7/27/25, 5:45:01 PM,%RH,43.896
7/27/25, 5:55:01 PM,%RH,46.622
7/27/25, 6:05:01 PM,%RH,43.851
7/27/25, 6:15:01 PM,%RH,45.217
7/27/25, 6:25:01 PM,%RH,45.898
7/27/25, 6:35:01 PM,%RH,46.535
7/27/25, 6:45:01 PM,%RH,49.162
7/27/25, 6:55:01 PM,%RH,52.483
7/27/25, 7:05:01 PM,%RH,55.08
7/27/25, 7:15:01 PM,%RH,56.343
7/27/25, 7:25:01 PM,%RH,55.711
7/27/25, 7:35:01 PM,%RH,63.53
7/27/25, 7:45:01 PM,%RH,69.903
7/27/25, 7:55:01 PM,%RH,75.812
7/27/25, 8:05:01 PM,%RH,77.479
7/27/25, 8:15:01 PM,%RH,80.416
7/27/25, 8:25:01 PM,%RH,82.135
7/27/25, 8:35:01 PM,%RH,83.252
7/27/25, 8:45:01 PM,%RH,86.718
7/27/25, 8:55:01 PM,%RH,88.401
7/27/25, 9:05:01 PM,%RH,89.562
7/27/25, 9:15:01 PM,%RH,88.917
7/27/25, 9:25:01 PM,%RH,92.887
7/27/25, 9:35:01 PM,%RH,91.681
7/27/25, 9:45:01 PM,%RH,93.398
7/27/25, 9:55:01 PM,%RH,93.911
7/27/25, 10:05:01 PM,%RH,94.993
7/27/25, 10:15:01 PM,%RH,95.047
7/27/25, 10:25:01 PM,%RH,94.993
7/27/25, 10:35:01 PM,%RH,94.941
7/27/25, 10:45:01 PM,%RH,96.636
7/27/25, 10:55:01 PM,%RH,96.023
7/27/25, 11:05:01 PM,%RH,95.458
7/27/25, 11:15:01 PM,%RH,96.54
7/27/25, 11:25:01 PM,%RH,98.182
7/27/25, 11:35:01 PM,%RH,99.299
7/27/25, 11:45:01 PM,%RH,99.816
7/27/25, 11:55:01 PM,%RH,100
7/28/25, 12:05:01 AM,%RH,100
7/28/25, 12:15:01 AM,%RH,99.742
7/28/25, 12:25:01 AM,%RH,100
7/28/25, 12:35:01 AM,%RH,100
7/28/25, 12:45:01 AM,%RH,100
7/28/25, 12:55:01 AM,%RH,100
7/28/25, 1:05:01 AM,%RH,100
7/28/25, 1:15:01 AM,%RH,100
7/28/25, 1:25:01 AM,%RH,100
7/28/25, 1:35:01 AM,%RH,100
7/28/25, 1:45:01 AM,%RH,100
7/28/25, 1:55:01 AM,%RH,100
7/28/25, 2:05:01 AM,%RH,100
7/28/25, 2:15:01 AM,%RH,100
7/28/25, 2:25:01 AM,%RH,100
7/28/25, 2:35:01 AM,%RH,100
7/28/25, 2:45:01 AM,%RH,100
7/28/25, 2:55:01 AM,%RH,100
7/28/25, 3:05:01 AM,%RH,100
7/28/25, 3:15:01 AM,%RH,100
7/28/25, 3:25:01 AM,%RH,100
7/28/25, 3:35:01 AM,%RH,100
7/28/25, 3:45:01 AM,%RH,100
